"A distributed management scheme for partitionable parallel computers,""M. Jeng";" H. J. Siegel"",""Computer Science Department, University of Houston, Houston, TX, USA";" Parallel Processing Laboratory, School of Electrical Engineering, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""120"",""126"",""A distributed scheme for dynamic partitioning is investigated. Distributed procedures to split a subsystem and to combine subsystems are presented. The correctness of each of these two procedures is shown, and the complexity is analyzed. The procedures are applicable to parallel computers that use interconnection networks, such as hypercube, omega, multistage cube, and extra-stage cube networks.<>"",""1558-2183"","""",""10.1109/71.80130"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80130"","""",""Concurrent computing";Distributed computing;Multiprocessor interconnection networks;Computer networks;Parallel processing;Application software;Hypercubes;Intelligent networks;Resource management;"Large-scale systems"","""",""12"",""1"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A fault-tolerant protocol for atomic broadcast,""S. . -W. Luan";" V. D. Gligor"",""Department of Electrical Engineering, University of Maryland, College Park, MD, USA";" Department of Electrical Engineering, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""271"",""285"",""A general protocol for atomic broadcast in networks is presented. The protocol tolerates loss, duplication, reordering, delay of messages, and network partitioning in an arbitrary network of fail-stop sites (i.e. no Byzantine site behavior is tolerated). The protocol is based on majority-concensus decisions to commit on unique ordering of received broadcast messages. Under normal operating conditions, the protocol requires three phases to complete and approximately 4N/V messages where N is the number of sites. This overhead is distributed among the messages of which the delivery decision is made and the heavier the broadcast message traffic, the lower the overhead per broadcast message becomes. Under abnormal operating conditions, a decentralized termination protocol (also presented) is invoked. A performance analysis of this protocol is presented, showing that this protocol commits with high probability under realistic operating conditions without invoking termination protocol if N is sufficiently large. The protocol retains its efficiency in wide-area networks where broadcast communication media are unavailable.<>"",""1558-2183"","""",""10.1109/71.80156"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80156"","""",""Fault tolerance";Protocols;Clocks;Synchronization;Ethernet networks;Satellite broadcasting;Disruption tolerant networking;Performance analysis;Voting;"Fault tolerant systems"","""",""75"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A parallel algorithm for 2-D DFT computation with no interprocessor communication,""I. Gertner";" M. Rofheart"",""Center for Large Scale Computation, Graduate School and University Center, CUNY, New York, NY, USA";" Center for Large Scale Computation, Graduate School and University Center, CUNY, New York, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""377"",""382"",""A parallel algorithm is proposed for the two-dimensional discrete Fourier transform (2-D DFT) computation which eliminates interprocessor communications and uses only O(N) processors. The mapping of the algorithm onto architectures with broadcast and report capabilities is discussed. Expressions are obtained for estimating the speed performance on these machines as a function of the size N*N of the 2-D DFT, the bandwidth of the communications channel, the time for an addition, the time T(F/sub N/) for a single processing element to perform an N-point DFT, and the degree of parallelism. For single I/O channel machines that are capable of exploiting the full degree of parallelism of the algorithm, attainable execution times are as low as the time T(F/sub N/) plus the I/O time for data upload and download. An implementation on a binary tree computer is discussed.<>"",""1558-2183"","""",""10.1109/71.80164"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80164"","""",""Parallel algorithms";Concurrent computing;Discrete Fourier transforms;Parallel processing;Two dimensional displays;Computer architecture;Broadcasting;Bandwidth;Communication channels;"Binary trees"","""",""15"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A parallel algorithm for relational database normalization,""E. R. Omiecinski"",""Georgia Institute of Technology, School of Information and Computer Science, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""415"",""423"",""The problem of database normalization in a parallel environment is examined. Generating relation schemes in third normal form is straightforward when given a set of functional dependencies that is a reduced cover. It is shown that a reduced cover for a set of functional dependencies can be produced in parallel. The correctness of the algorithm is based on two important theorems. it is demonstrated that the companion third normal form algorithm can be easily translated into a parallel version. The performance of the two algorithms is compared to the performance of their serial counterparts. The standard serial algorithms for computing minimal covers and synthesizing third normal form relations are presented. The parallel algorithms and their rationale are discussed.<>"",""1558-2183"","""",""10.1109/71.80171"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80171"","""",""Parallel algorithms";Relational databases;Concurrent computing;Performance analysis;Pathology;Standards development;Computer science;Parallel processing;"Query processing"","""",""3"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A performance evaluation study of pipeline TMR systems,""P. D. Ezhilchelvan"; I. Mitrani;" S. K. Shrivastava"",""Computing Laboratory, University of Newcastle, UK"; Computing Laboratory, University of Newcastle, UK;" Computing Laboratory, University of Newcastle, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""4"",""442"",""456"",""A distributed system in which a job can be broken into a number of subjobs which are processed sequentially at various processors is considered. The performance of such a system is then compared to the replicated (triple modular redundant, or TMR) version of the system in which each subjob will require concurrent replicated processing with majority voting. The effect of voting times and processor failure rates on the performance of the system is investigated with analytical approximations and computer simulations. The accuracy of the former is examined. The results indicate the possible existence of a threshold voting time, below which the TMR system performs better than the unreplicated one, and above which the situation is reversed. Such thresholds are observed, where possible, in systems with repairable servers, as well as in those with nonrepairable servers.<>"",""1558-2183"","""",""10.1109/71.80173"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80173"","""",""Pipelines";Voting;Nuclear magnetic resonance;Performance analysis;Computational modeling;Power system reliability;Concurrent computing;Delay;Throughput;"Intersymbol interference"","""",""10"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A resilient mutual exclusion algorithm for computer networks,""S. Nishio"; K. F. Li;" E. G. Manning"",""Department of Information and Computer Sciences, Osaka University, Toyonaka, Osaka, Japan"; Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada;" Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""344"",""355"",""The authors present an extension to the work of I. Suzuki and T. Kasami (see Proc. 3rd Int. Conf. Distributed Compact Syst., p.365-70 (1982)), where a mutual exclusion algorithm uses a message called a token to transfer the privilege of entering a critical region among the participating sites. The proposed algorithm checks whether the token is lost during network failure, and regenerates it if necessary. The mutual exclusion requirement is satisfied by guaranteeing regeneration of only one token in the network. Failures in a computer network are classified into three types: processor failure, communication controller failure, and communication link failure. To detect failures, a time-out mechanism based on message delay is used. The execution of the algorithm is described for each type of failure";" each site follows a rather simple execution procedure. Each site is not required to observe the failure of other sites or communication links.<>"",""1558-2183"","""",""10.1109/71.80161"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80161"","""",""Computer networks";Chromium;Computer network management;Communication system control;Delay;Distributed control;Concurrency control;Distributed algorithms;"Fault tolerance"","""",""26"",""2"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A UNITY-style programming logic for shared dataspace programs,""H. C. Cunningham";" G. . -C. Roman"",""Department of Computer and Information Science, University of Mississippi, MS, USA";" Department of Computer Science, Washington University, Saint Louis, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""365"",""376"",""A proof system for a shared dataspace programming notation called Swarm (a programming logic similar in style to that of UNITY) is specified. Relevant aspects of the Swarm language and model are overviewed. To illustrate the proof system, the Swarm logic is used to verify the correctness of a program for labeling connected equal-intensity regions of a digital image. Like UNITY, the Swarm proof system uses an assertional programming logic which relies upon proof of programwide properties, e.g. global invariants and progress properties. The Swarm logic is defined in terms of the same logical relations as UNITY (unless, ensures, and leads-to), but several of the concepts are reformulated to accommodate Swarm's distinctive features.<>"",""1558-2183"","""",""10.1109/71.80163"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80163"","""",""Logic programming";Concurrent computing;Dynamic programming;Computer languages;Data structures;Production systems;Computer science;Vehicle dynamics;Vehicles;"Artificial intelligence"","""",""35"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An efficient data dependence analysis for parallelizing compilers,""Z. Li"; P. . -C. Yew;" C. . -Q. Zhu"",""Department of Computer Science, York University, North York, ONT, Canada"; Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA;" Fudan University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""1"",""26"",""34"",""A novel algorithm, called the lambda test, is presented for an efficient and accurate data dependence analysis of multidimensional array references. It extends the numerical methods to allow all dimensions of array references to be tested simultaneously. Hence, it combines the efficiency and the accuracy of both approaches. This algorithm has been implemented in Parafrase, a Fortran program parallelization restructurer developed at the University of Illinois at Urbana-Champaign. Some experimental results are presented to show its effectiveness.<>"",""1558-2183"","""",""10.1109/71.80122"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80122"","""",""Data analysis";Testing;Algorithm design and analysis;Multidimensional systems;Program processors;Linear systems;Linear programming;Log periodic antennas;Phase detection;"Sufficient conditions"","""",""76"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"An empirical study of Fortran programs for parallelizing compilers,""Z. Shen"; Z. Li;" P. . -C. Yew"",""Changsha Institute of Technology, Changsha, China"; Department of Computer Science, York University, North York, ONT, Canada;" Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""356"",""364"",""Some results are reported from an empirical study of program characteristics, that are important in parallelizing compiler writers, especially in the area of data dependence analysis and program transformations. The state of the art in data dependence analysis and some parallel execution techniques are examined. The major findings are included. Many subscripts contain symbolic terms with unknown values. A few methods of determining their values at compile time are evaluated. Array references with coupled subscripts appear quite frequently";" these subscripts must be handled simultaneously in a dependence test, rather than being handled separately as in current test algorithms. Nonzero coefficients of loop indexes in most subscripts are found to be simple: they are either 1 or -1. This allows an exact real-valued test to be as accurate as an exact integer-valued test for one-dimensional or two-dimensional arrays. Dependencies with uncertain distance are found to be rather common, and one of the main reasons is the frequent appearance of symbolic terms with unknown values.<>"",""1558-2183"","""",""10.1109/71.80162"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80162"","""",""Program processors";Data analysis;Testing;Scheduling;Statistics;US Department of Energy;NASA;Councils;"Space technology"","""",""81"",""1"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Analysis of fork-join program response times on multiprocessors,""D. Towsley"; C. G. Rommel;" J. A. Stankovic"",""Department of Computer and Information Science, University of Massachusetts, Amherst, MA, USA"; Eastern Connecticut State University, Williamsburg, CT, USA;" Department of Computer and Information Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1990"",""1"",""3"",""286"",""303"",""Models for two processor sharing policies called task scheduling processor sharing and job scheduling processor sharing are developed and analyzed. The first policy schedules each task independently and allows parallel execution of an individual program, whereas the second policy schedules each job as a unit, thereby not allowing parallel execution of an individual program. It is found that task scheduling performs better than job scheduling for most system parameter values. The performance of the task scheduling processor sharing is compared to a first come first serve policy. First come first serve performs better than processor sharing over a wide range of system parameters. Processor sharing performs best when the task service time variability is high. The performance of processor sharing and first come first serve is studied with two classes of jobs, and for when a specific number of processors is statically assigned to each of the classes.<>"",""1558-2183"","""",""10.1109/71.80157"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=80157"","""",""Time factors";Processor scheduling;Costs;Degradation;Queueing analysis;Upper bound;Parallel programming;Mathematical model;Information science;"Computational modeling"","""",""32"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
