"A dynamic information-structure mutual exclusion algorithm for distributed systems,""M. Singhal"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""121"",""125"",""A dynamic information-structure mutual exclusion algorithm is presented for distributed systems whose information-structure evolves with time as sites learn about the state of the system through messages. An interesting feature of the algorithm is that it adapts itself to heterogeneous or fluctuating traffic conditions to optimize the performance (the number of messages exchanged). The performance of the algorithm is studied by simulation technique and compared to the performance of a well-known mutual exclusion algorithm. The impact message loss and site failures on the algorithm is discussed and methods to tolerate these failures are proposed.<>"",""1558-2183"","""",""10.1109/71.113087"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113087"","""",""Communication networks";Algorithm design and analysis;Traffic control;Performance loss;Message passing;Propagation delay;Telecommunication network reliability;Computer crashes;Fault tolerance;"Permission"","""",""55"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A hybrid scheme for processing data structures in a dataflow environment,""B. Lee"; A. R. Hurson;" B. Shirazi"",""Department of Electrical and Computer Engineering, Oregon State University, Corvallis, OR, USA"; Department of Electrical and Computer Engineering, Pennsylvania State University, University Park, PA, USA;" Department of Computer Science, University of Texas, Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""83"",""96"",""The asynchronous nature of the dataflow model of computation allows the exploitation of maximum inherent parallelism in many application programs. However, before the dataflow model of computation can become a viable alternative to the control flow model of computation, one has to find practical solutions to some problems such as efficient handling of data structures. The paper introduces a new model for handling data structures in a dataflow environment. The proposed model combines constant time access capabilities of vectors as well as the flexibility inherent in the concept of pointers. This allows a careful balance between copying and sharing to optimize the storage and processing overhead incurred during the operations on data structures. The mode) is compared by simulation to other data structure models proposed in the literature, and the results are good.<>"",""1558-2183"","""",""10.1109/71.113084"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113084"","""",""Data structures";Computational modeling;Data flow computing;Analytical models;Concurrent computing;Parallel processing;Counting circuits;Distributed computing;Distributed control;"Computer science"","""",""10"","""",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"A multiprocessor bus design model validated by system measurement,""T. . -F. Tsuei";" M. K. Vernon"",""Advanced Technology Group, Apple Computer, Inc., Cupertino, CA, USA";" Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""712"",""727"",""An accurate and efficient model of a commercial multiprocessor bus is developed. Four important characteristics of the bus design are modeled: asynchronous memory write operations"; in-order delivery of responses to processor read requests; priority scheduling of memory responses;" and upper bounds on the number of outstanding processor requests. A two-level hierarchical model employing both Markov chain and mean value analysis techniques for analyzing queueing networks is used. The model is shown to accurately predict measured system performance for two parallel program workloads that have different memory access characteristics. The results provide evidence that analytic queueing models can be extremely accurate in spite of simplifying assumptions required for model tractability. Model estimates are compared against detailed simulation of the bus to investigate in more detail the likely source of small model inaccuracies. The use of the analytical model for assessing system design tradeoffs is illustrated.<>"",""1558-2183"","""",""10.1109/71.180626"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180626"","""",""Processor scheduling";Interference;Analytical models;Read-write memory;Queueing analysis;Bandwidth;Protocols;Upper bound;Predictive models;"System performance"","""",""9"",""2"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";
"A parallel execution method for minimizing distributed query response time,""C. Wang"; A. L. P. Chen;" S. . -C. Shyu"",""Department of Computer Science, University of California, Riverside, CA, USA"; Department of Computer Science, National Tsing Hua University, Taiwan;" IBM Santa Teresa Laboratory, San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""325"",""333"",""Performance studies show that traditional semi-join processing methods are sometimes inefficient because of the storage and processing overhead. To remedy this problem, a new semi-join processing method, called one-shot semi-join execution is proposed. This method allows parallel generation of all the semi-join projections, parallel transmission of all the semi-join projections, and parallel execution of all the semi-joins. The authors apply this method to optimize the response time for processing distributed queries. A response time model is established, which considers both data transmission time and local processing time. Based on this model, an efficient query processing algorithm is developed and analyzed.<>"",""1558-2183"","""",""10.1109/71.139206"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139206"","""",""Delay";Costs;Query processing;Computer science;Optimization methods;Relational databases;Data communication;Database systems;Marine vehicles;"Councils"","""",""14"",""1"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"A processor-time-minimal systolic array for cubical mesh algorithms,""P. Cappello"",""Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""4"",""13"",""Using a directed acyclic graph (DAG) model of algorithms, the paper focuses on time-minimal multiprocessor schedules that use as few processors as possible. Such a processor-time-minimal scheduling of an algorithm's DAG first is illustrated using a triangular shaped 2-D directed mesh (representing, for example, an algorithm for solving a triangular system of linear equations). Then, algorithms represented by an n*n*n directed mesh are investigated. This cubical directed mesh is fundamental";" it represents the standard algorithm for computing matrix product as well as many other algorithms. Completion of the cubical mesh required 3n-2 steps. It is shown that the number of processing elements needed to achieve this time bound is at least (3n/sup 2/4/). A systolic array for the cubical directed mesh is then presented. It completes the mesh using the minimum number of steps and exactly (3n/sup 2/4/) processing elements it is processor-time-minimal. The systolic array's topology is that of a hexagonally shaped, cylindrically connected, 2-D directed mesh.<>"",""1558-2183"","""",""10.1109/71.113078"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113078"","""",""Systolic arrays";Processor scheduling;Concurrent computing;Difference equations;Scheduling algorithm;Physics computing;Topology;Very large scale integration;Digital arithmetic;"Databases"","""",""26"",""1"",""50"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A processor-time-minimal systolic array for transitive closure,""C. J. Scheiman";" P. R. Cappello"",""Department of Computer Science, University of California, Santa Barbara, CA, USA";" Department of Computer Science, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""257"",""269"",""Using a directed acyclic graph (DAG) model of algorithms, the authors focus on processor-time-minimal multiprocessor schedules: time-minimal multiprocessor schedules that use as few processors as possible. The Kung, Lo, and Lewis (KLL) algorithm for computing the transitive closure of a relation over a set of n elements requires at least 5n-4 parallel steps. As originally reported. their systolic array comprises n/sup 2/ processing elements. It is shown that any time-minimal multiprocessor schedule of the KLL algorithm's dag needs at least n/sup 2//3 processing elements. Then a processor-time-minimal systolic array realizing the KLL dag is constructed. Its processing elements are organized as a cylindrically connected 2-D mesh, when n=0 mod 3. When n not=0 mod 3, the 2-D mesh is connected as a torus.<>"",""1558-2183"","""",""10.1109/71.139200"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139200"","""",""Systolic arrays";Processor scheduling;Difference equations;Differential equations;Computational modeling;Algorithm design and analysis;Concurrent computing;Linearity;Constraint optimization;"Computer science"","""",""21"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A unified task-based dependability model for hypercube computers,""C. R. Das";" J. Kim"",""Dept. of Electr. & Comput. Eng., Pennsylvania State Univ., University Park, PA, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""312"",""324"",""A unified analytical model for computing the task-based dependability (TDB) of hypercube architectures is presented. A hypercube is deemed operational as long as a task can be executed on the system. The technique can compute both reliability and availability for two types of task requirements-I-connected model and subcube model. The I-connected TBD assumes that a connected group of at least I working nodes is required for task execution. The subcube TBD needs at least an m-cube in an n-cube, m<or=n, for task execution. The dependability is computed by multiplying the probability that x nodes (x>or=I or x>or=2/sup m/) are working in an n-cube at time t by the conditional probability that the hypercube can satisfy any one of the two task requirements from x working nodes. Recursive models are proposed for the two types of task requirements to find the connection probability. The subcube requirement is extended to find multiple subcubes for analyzing multitask dependability. The analytical results are validated through extensive simulation.<<ETX>>"",""1558-2183"","""",""10.1109/71.139205"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139205"","""",""Hypercubes";Availability;Computer architecture;Power system modeling;Analytical models;Power system reliability;Government;Power engineering and energy;"Performance analysis"","""",""31"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A VLSI constant geometry architecture for the fast Hartley and Fourier transforms,""E. L. Zapata";" F. Arguello"",""Dept. of Electron.. Univ. Santiago de Compostela, Spain";" Dept. of Electron.. Univ. Santiago de Compostela, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""58"",""70"",""An application-specific architecture for the parallel calculation of the decimation in time and radix 2 fast Hartley (FHT) and Fourier (FFT) transforms is presented. A real sequence with N=2/sup n/ data items is considered as input. The system calculates the FHT and the FFT in n and n+1 stages. respectively. The modular and regular parallel architecture is based on a constant geometry algorithm using butterflies of four data items and the perfect unshuffle permutation. With this permutation, the mapping of the algorithm in VLSI technology is simplified and the communications among processors are minimized. Organization of the processor memory based on first-in, first-out (FIFO) queues facilitates a systolic data flow and permits the implementation in a direct way of the complex data movements and address sequences of the transforms. This is accomplished by means of simple multiplexing operations, using hardwired control. The total calculation time is (Nlog/sub 2/N)/4Q cycles for the FHT and N(1+log/sub 2/N)/4Q cycles for the FFT, where Q is the number of processors (Q= 2/sup q/, Q<or=N/4).<<ETX>>"",""1558-2183"","""",""10.1109/71.113082"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113082"","""",""Very large scale integration";Geometry;Fourier transforms;Discrete transforms;Fast Fourier transforms;Parallel architectures;Hardware;Costs;"Energy consumption"","""",""22"",""4"",""46"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Accuracy of memory reference traces of parallel computations in trace-drive simulation,""M. A. Holliday";" C. S. Ellis"",""Department of Computer Science, Duke University, Durham, NC, USA";" Department of Computer Science, Duke University, Durham, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""97"",""109"",""For given input the global trace generated by a parallel program in a shared memory multiprocessing environment may change as the memory architecture, and management policies change. A method is proposed for ensuring that a correct global trace is generated in the new environment. This method involves a new characterization of a parallel program that identifies its address change points and address affecting points. An extension of traditional process traces, called the intrinsic trace of each process, is developed. The intrinsic traces maximize the decoupling of program execution from simulation by describing the address flow graph and path expressions of each process program. At each point where an address is issued, the trace-driven simulator uses the intrinsic traces and the sequence of loads and stores before the current cycle, to determine the next address. The mapping between load and store sequences and next addresses to issue, sometimes, requires partial program reexecution. Programs that do not require partial program reexecution are called graph-traceable.<>"",""1558-2183"","""",""10.1109/71.113085"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113085"","""",""Concurrent computing";Computational modeling;Buildings;Memory management;Memory architecture;Environmental management;Computer science;Computer architecture;"Interleaved codes"","""",""12"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"An analysis of cache performance for a hypercube multicomputer,""C. B. Stunkel";" W. K. Fuchs"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA";" Coordinated Science Laboratory, University of Illinois, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""421"",""432"",""Multicomputer cache simulation results derived from address traces collected from an Intel iPSC/2 hypercube multicomponent are presented. The primary emphasis is on examining how increasing the number of processor nodes executing a parallel application affects the overall multicomputer cache performance. The effects on multicomputer direct-mapped cache performance of application-specific data partitioning, data access patterns, communication distribution, and communication frequency are illustrated. The effects of system accesses on total cache performance are explored, as well as the reasons for application-specific differences in cache behavior for system and user accesses. Comparing user code results with full user and system code analysis reveals the significant effect of system accesses, and this effect increases with multicomputer size. The time distribution of an application's message-passing operations is found to more strongly affect cache performance than the total amount of time spent in message-passing code.<>"",""1558-2183"","""",""10.1109/71.149961"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149961"","""",""Performance analysis";Hypercubes;Computational modeling;Analytical models;Cache memory;Frequency;Parallel processing;Computer networks;Distributed computing;"Multiprocessor interconnection networks"","""",""1"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"An example of modeling and evaluation of a concurrent program using colored stochastic Petri nets: Lamport's fast mutual exclusion algorithm,""G. Balbo"; G. Chiola; S. C. Bruell;" P. . -Z. Chen"",""Dipartimento di Informatica, Università degli Studi di Torino, Torino, Italy"; Dipartimento di Informatica, Università degli Studi di Torino, Torino, Italy; Department of Computer Science, University of Iowa, Iowa, IA, USA;" Department of Computer Science, University of Iowa, Iowa, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""221"",""240"",""A colored generalized stochastic Petri net (CGSPN) model was used to study the correctness and performance of the Lamport concurrent algorithm to solve the mutual exclusion problem on machines lacking an atomic test and set instruction. In particular, a parametric formal proof of liveness is developed based on the structure and initial state of the model. The performance evaluation is based on a Markovian analysis that exploits the symmetries of the model to reduce the cost of the numerical solution. Both kinds of analysis are supported by efficient algorithms. The potential of the GSPN modeling technique is illustrated on an academic but nontrivial example of an application from distributed systems.<>"",""1558-2183"","""",""10.1109/71.127262"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127262"","""",""Stochastic processes";Petri nets;Algorithm design and analysis;Performance analysis;Partitioning algorithms;Costs;Concurrent computing;Monitoring;Computer science;"Cities and towns"","""",""37"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
