"A compile-time scheduling heuristic for interconnection-constrained heterogeneous processor architectures,""G. C. Sih";" E. A. Lee"",""Qualcomm, Inc., San Diego, CA, USA";" Electrical Engineering and Computer Science Department, University of California, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""2"",""175"",""187"",""The authors present a compile-time scheduling heuristic called dynamic level scheduling, which accounts for interprocessor communication overhead when mapping precedence-constrained, communicating tasks onto heterogeneous processor architectures with limited or possibly irregular interconnection structures. This technique uses dynamically-changing priorities to match tasks with processors at each step, and schedules over both spatial and temporal dimensions to eliminate shared resource contention. This method is fast, flexible, widely targetable, and displays promising performance.<>"",""1558-2183"","""",""10.1109/71.207593"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=207593"","""",""Processor scheduling";Dynamic scheduling;Integrated circuit interconnections;Signal processing algorithms;Parallel processing;Hardware;Partitioning algorithms;Delay;Scheduling algorithm;"Computer architecture"","""",""600"",""16"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A comprehensive performance evaluation of crossbar networks,""H. Y. Youn";" C. C. . -Y. Chen"",""Department of Computer Science Engineering, University of Texas, Arlington, Arlington, TX, USA";" Department of Computer Science, Tamkang University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""5"",""481"",""489"",""A comprehensive model for evaluating crossbar networks in which the memory bandwidth and processor acceptance probability are primary measures considered is presented. This analytical model includes all important network control policies, such as the bus arbitration and rejected request handling policies, as well as the home memory concept. Computer simulation validates the correctness of the model. It is confirmed that the home memory and dynamic bus arbitration policy improve the network performance.<>"",""1558-2183"","""",""10.1109/71.224212"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=224212"","""",""Multiprocessor interconnection networks";Multiprocessing systems;Bandwidth;Analytical models;Computer science;Computer simulation;Distributed processing;Resource management;Government;"Propagation delay"","""",""5"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A distributed recovery block approach to fault-tolerant execution of application tasks in hypercubes,""K. H. Kim";" A. Kavianpour"",""Department of Electrical and Computer Engineering, University of California, Irvine, CA, USA";" Department of Electrical and Computer Engineering, University of California, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""1"",""104"",""111"",""An approach to fault-tolerant execution of real-time application tasks in hypercubes is proposed. The approach is based on the distributed recovery block (DRB) scheme and does not require special hardware mechanisms in support of fault tolerance. Each task is assigned to a pair of processors forming a DRB computing station for execution in a dual-redundant and self-checking mode. Assignment of all tasks in an application in such a form is called the full DRB mapping. The DRB scheme was developed as an approach to uniform treatment of hardware and software faults with the effect of fast forward recovery. However, if the system developer is concerned with hardware fault possibilities only, then forming DRB stations becomes a mechanical process not burdening the application software designer in any way. A procedure for converting an efficient nonredundant task-to-processor mapping into an efficient full DRB mapping is presented.<>"",""1558-2183"","""",""10.1109/71.205657"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=205657"","""",""Fault tolerance";Hypercubes;Hardware;Application software;Real time systems;Concurrent computing;Computer architecture;Software design;Binary trees;"Costs"","""",""4"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A family of parallel prefix algorithms embedded in networks,""M. Takesue"",""Software Research Laboratory, NTT Software Research Laboratories, Musashino, Tokyo, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""10"",""1179"",""1184"",""This paper presents a family of algorithms for producing, from ( upsilon /sub 0/, upsilon /sub 1/, ..., upsilon /sub n-1/), all initial prefixes x/sub i/= upsilon /sub 0/ theta upsilon /sub 1/ theta ... theta upsilon /sub i/ (i=0, 1, ..., n-1) in parallel in interconnection networks such as the omega network and the hypercube, where theta is an associative binary operator. Each algorithm can be embedded in the switches and interconnections of the network, and can be executed in O((log/sub 2/ r+1) log/sub r/ n) time steps provided that the network connecting n processors is constructed by using an r*r switch, and that parallelism within as well as among individual switches is exploited. The objective of these algorithms is to attain a communication pattern that fits the topology of the network. One type of network can be made equivalent to, or can be embedded in, another type of network, so a family of algorithms can be derived from one basic algorithm. In the basic algorithm, every processor p/sub i/ upward multicasts upsilon /sub i/ to processors p/sub k/ (k=i+1, i+2, ..., n - 1). En route to p/sub i/, upsilon /sub j/ (j=0, 1, ..., i - 1) are combined in the switches to produce the (i - 1)th initial prefix x/sub i-1/ that is received by p/sub i/, which can then compute the ith initial prefix x/sub i/=x/sub i-1/ theta upsilon /sub i/.<>"",""1558-2183"","""",""10.1109/71.246079"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=246079"","""",""Intelligent networks";Switches;Multicast algorithms;Hypercubes;Communication switching;Computer networks;Polynomials;Classification tree analysis;Multiprocessor interconnection networks;"Joining processes"","""",""1"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A generalized scheme for mapping parallel algorithms,""V. Chaudhary";" J. K. Aggarwal"",""Parallel and Distributed Computing Laboratory, Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""3"",""328"",""346"",""A generalized mapping strategy that uses a combination of graph theory, mathematical programming, and heuristics is proposed. The authors use the knowledge from the given algorithm and the architecture to guide the mapping. The approach begins with a graphical representation of the parallel algorithm (problem graph) and the parallel computer (host graph). Using these representations, the authors generate a new graphical representation (extended host graph) on which the problem graph is mapped. An accurate characterization of the communication overhead is used in the objective functions to evaluate the optimality of the mapping. An efficient mapping scheme is developed which uses two levels of optimization procedures. The objective functions include minimizing the communication overhead and minimizing the total execution time which includes both computation and communication times. The mapping scheme is tested by simulation and further confirmed by mapping a real world application onto actual distributed environments.<>"",""1558-2183"","""",""10.1109/71.210815"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=210815"","""",""Parallel algorithms";Concurrent computing;Computer architecture;Processor scheduling;Resource management;Distributed computing;Computer vision;Graph theory;Mathematical programming;"Testing"","""",""70"",""1"",""87"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A network flow model for load balancing in circuit-switched multicomputers,""S. H. Bokhari"",""Department of Electrical Engineering, University of Engineering and Technology, Lahore, Pakistan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""6"",""649"",""657"",""In multicomputers that utilize circuit switching or wormhole routing, communication overhead depends largely on link contention-the variation due to distance between nodes is negligible. This has a major impact on the load balancing problem. In this case there are some nodes with an excess load (sources) and other with a deficit load (sinks). A matching of sources to sinks is required to avoid contention. The problem is made complex by the hardwired routing on currently available machines: The user can control only which nodes communicate but not how the messages are routed. Network flow models of message flow in the mesh and the hypercube have been developed to solve this problem. The crucial property of these models is the correspondence between minimum cost flows and correctly routed messages. To solve a given load balancing problem, a minimum cost flow algorithm is applied to the network. This permits the efficient determination of a maximum contention free matching of sources to sinks that, in turn, tells how much of the given imbalance can be eliminated without contention.<>"",""1558-2183"","""",""10.1109/71.242158"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=242158"","""",""Load modeling";Load management;Intelligent networks;Hypercubes;Routing;Costs;Integrated circuit interconnections;NASA;Switching circuits;"Communication switching"","""",""9"",""1"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A new graph approach to minimizing processor fragmentation in hypercube multiprocessors,""Q. Yang";" H. Wang"",""Department of Electrical Engineering, University of Rhode Island, Kingston, RI, USA";" Department of Electrical Engineering, University of Rhode Island, Kingston, RI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""10"",""1165"",""1171"",""The authors propose a new approach for subcube and noncubic processor allocations for hypercube multiprocessors. The main idea is to represent available processors in the system by means of a prime cube graph (PC-graph). The PC-graph maintains the inter-relationships between free subcubes and hence reduces both internal and external processor fragmentations. Their simulation results show that the PC-graph approach outperforms the existing allocation strategies by 25% to 50% under certain load conditions.<>"",""1558-2183"","""",""10.1109/71.246077"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=246077"","""",""Hypercubes";Binary trees;Computational modeling;Concurrent computing;Nonlinear equations;High performance computing;Application software;Topology;Costs;"Availability"","""",""9"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A new theory of deadlock-free adaptive routing in wormhole networks,""J. Duato"",""Departamento de Ingenieria de Sistemas, Computadores y Automática, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""12"",""1320"",""1331"",""The theoretical background for the design of deadlock-free adaptive routing algorithms for wormhole networks is developed. The author proposes some basic definitions and two theorems. These create the conditions to verify that an adaptive algorithm is deadlock-free, even when there are cycles in the channel dependency graph. Two design methodologies are also proposed. The first supplies algorithms with a high degree of freedom, without increasing the number of physical channels. The second methodology is intended for the design of fault-tolerant algorithms. Some examples are given to show the application of the methodologies. Simulations show the performance improvement that can be achieved by designing the routing algorithms with the new theory.<>"",""1558-2183"","""",""10.1109/71.250114"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=250114"","""",""System recovery";Routing;Intelligent networks;Delay;Hardware;Network topology;Algorithm design and analysis;Design methodology;Fault tolerance;"Pipelines"","""",""597"",""36"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A novel concurrent error detection scheme for FFT networks,""D. L. Tao";" C. R. P. Hartmann"",""Department of Electrical Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA";" School of Computer and Information Science, Syracuse University, Syracuse, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""2"",""198"",""221"",""The algorithm-based fault tolerance techniques have been proposed to obtain reliable results at very low hardware overhead. Even though 100% fault coverage can be theoretically obtained by using these techniques, the system performance, i.e., fault coverage and throughput, can be drastically reduced due to many practical problems, e.g., round-off errors. A novel algorithm-based fault tolerance scheme is proposed for fast Fourier transform (FFT) networks. It is shown that the proposed scheme achieves 100% fault coverage theoretically. An accurate measure of the fault coverage for FFT networks is provided by taking the round-off error into account. The proposed scheme is shown to provide concurrent error detection capability to FFT networks with low hardware overhead, high throughput, and high fault coverage.<>"",""1558-2183"","""",""10.1109/71.207595"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=207595"","""",""Fault tolerance";Fault detection;Hardware;Throughput;Very large scale integration;Matrix decomposition;Fast Fourier transforms;Signal processing algorithms;Roundoff errors;"Discrete Fourier transforms"","""",""33"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A parallel algorithm for an efficient mapping of grids in hypercubes,""M. Y. Chan";" F. Chin"",""University of Texas, Dallas, Richardson, TX, USA";" University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1993"",""4"",""8"",""933"",""946"",""The authors parallelize the embedding strategy for mapping any two-dimensional grid into its optimal hypercube with minimal dilation. The parallelization allows each hypercube node to independently determine, in constant time, which grid node it will simulate and the communication paths it will take to reach the hypercube nodes that simulate its grid-neighbors. The paths between grid-neighbors are chosen in such a way as to curb the congestion at each hypercube node and across each hypercube edge. Explicity, the node congestion for the embedding is at most 6, one above optimal, while the edge congestion is at most 5.<>"",""1558-2183"","""",""10.1109/71.238627"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=238627"","""",""Parallel algorithms";Hypercubes;Computer science;Network topology;Labeling;Embedded computing;Grid computing;"Broadcasting"","""",""4"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
