"A comparative study of topological properties of hypercubes and star graphs,""K. Day";" A. Tripathi"",""Computer Science Department, University of Bahrain, Isa Town, Bahrain";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""31"",""38"",""Undertakes a comparative study of two important interconnection network topologies: the star graph and the hypercube, from the graph theory point of view. Topological properties are derived for the star graph and are compared with the corresponding properties of the hypercube. Among other results, the authors determine necessary and sufficient conditions for shortest path routing and characterize maximum-sized families of parallel paths between any two nodes of the star graph. These parallel paths are proven of minimum length within a small additive constant. They also define greedy and asymptotically balanced spanning trees to support broadcasting and personalized communication on the star graph. These results confirm the already claimed topological superiority of the star graph over the hypercube.<>"",""1558-2183"","""",""10.1109/71.262586"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262586"","""",""Hypercubes";Tree graphs;Routing;Broadcasting;Concurrent computing;Computer science;Multiprocessor interconnection networks;Network topology;Graph theory;"Additives"","""",""174"",""2"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A concurrent test architecture for massively parallel computers and its error detection capability,""M. V. A. Hancu"; K. Iwasaki; Y. Sato;" M. Sugie"",""Centre de Recherche Informatique de Montreal, Montreal, QUE, Canada"; Department of Information and Computer Sciences, Faculty of Engineering, Chiba University, Yayoi-cho, Chiba, Japan; Central Research Laboratory, Hitachi and Limited, Kokubunji, Tokyo, Japan;" Central Research Laboratory, Hitachi and Limited, Kokubunji, Tokyo, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1169"",""1184"",""Presents new principles for online monitoring in the context of multiprocessors (especially massively parallel processors) and then focuses on the effect of the aliasing probability on the error detection process. In the proposed test architecture, concurrent testing (or online monitoring) at the system level is accomplished by enforcing the run-time testing of the data and control dependences of the algorithm currently being executed on the parallel computer. In order to help in this process, each message contains both source and destination addresses. At each message source, the sequence of destination addresses of the outgoing messages is compressed on a block basis. At the same time, at each destination, the sequence of source addresses of all incoming messages is compressed, also on a block basis. Concurrent compression of the instructions executed by the PEs is also possible. As a result of this procedure, an image of the data dependences and of the control flow of the currently running algorithm is created. This image is compared, at the end of each computational block, with a reference image created at compilation time. The main results of this work are in proposing new principles for the online system-level testing of multiprocessor systems, based on signaturing and monitoring the data dependences together with the control dependences, and in providing an analytical model and analysis for the address compression process used for monitoring the data routing process.<>"",""1558-2183"","""",""10.1109/71.329671"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329671"","""",""Computer architecture";Concurrent computing;System testing;Image coding;Computerized monitoring;Computer errors;Runtime;Control systems;Multiprocessing systems;"Analytical models"","""","""",""4"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"A decomposition algorithm for optimal static load balancing in tree hierarchy network configurations,""Jie Li";" H. Kameda"",""Institute of Information Sciences and Electronics, University of Tsukuba, Tsukuba, Ibaraki, Japan";" Institute of Information Sciences and Electronics, University of Tsukuba, Tsukuba, Ibaraki, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""5"",""540"",""548"",""We study the static load balancing problem in a distributed computer system with the tree hierarchy configuration. It is formulated as a nonlinear optimization problem. After studying the conditions that the solution to the optimization problem of the tree hierarchy network satisfies, we demonstrate that the special structure of the optimization problem leads to an interesting decomposition technique. A new effective decomposition algorithm to solve the optimization problem is presented. The proposed algorithm Is compared with two other well known algorithms: the Flow Deviation (FD) algorithm and the Dafermos-Sparrow (D-S) algorithm. It is shown that the amounts of the storage required for the proposed algorithm and the FD algorithm are O(n) for load balancing of an n-node system. However, the amount of the storage required for the D-S algorithm is O(n log(n)). By using numerical experiments, we show that both the proposed algorithm and the D-S algorithm have much faster convergence in terms of central processing unit (CPU) time than the FD algorithm.<>"",""1558-2183"","""",""10.1109/71.282565"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=282565"","""",""Load management";Intelligent networks;Computer networks;Central Processing Unit;Workstations;Delay;Distributed computing;Convergence of numerical methods;Network topology;"Scheduling"","""",""14"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A fast selection algorithm for meshes with multiple broadcasting,""D. Bhagavathi"; P. J. Looges; S. Olariu; J. L. Schwing;" J. Zhang"",""Department of Computer Science, Southern Illinois University Edwardsville, IL, USA"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" Department of Mathematics and Computer Science, Elizabeth City State University, Elizabeth City, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""772"",""778"",""One of the fundamental algorithmic problems in computer science involves selecting the kth smallest element in a collection A of n elements. We propose an algorithm design methodology to solve the selection problem on meshes with multiple broadcasting. Our methodology leads to a selection algorithm that runs in O(n/sup 1/8/(log n)/sup 3/4/)) time on a mesh with multiple broadcasting of size n/sup 3/8/(log n)/sup 1/4//spl times/n/sup 5/8//(log n)/sup 1/4/. This result is optimal over a large class of selection algorithms. Our result shows that just as for semigroup computations, selection can be done faster on suitably chosen rectangular meshes than on square meshes.<>"",""1558-2183"","""",""10.1109/71.296326"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296326"","""",""Broadcasting";Computer science;Very large scale integration;Design methodology;Databases;Computer architecture;Computer vision;Cities and towns;Parallel algorithms;"Image processing"","""",""33"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"A framework for mapping periodic real-time applications on multicomputers,""S. B. Shukla";" D. P. Agrawal"",""Department of Electrical and Computer Engineering Code EC/Sh, Naval Postgraduate School, Monterrey, CA, USA";" Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""778"",""784"",""This short paper presents a framework for periodic execution of task-flow graphs that enables schedulability analysis of the communication requirements. The analysis performs the steps of segmenting messages, assigning the segments to specific links and time intervals, and ordering them within the intervals to generate node switching schedules that provide contention-free message routing at run-time. The analysis is also used to integrate task allocation with message routing using a contention-based objective function. Usefulness of the proposed scheme in ensuring guaranteed communication performance is demonstrated by an appropriate example.<>"",""1558-2183"","""",""10.1109/71.296323"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296323"","""",""Routing";Runtime;Delay;Communication switching;Radar signal processing;Telecommunication traffic;Performance analysis;Mathematical programming;Channel allocation;"Resource management"","""",""11"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A general scheme for token- and tree-based distributed mutual exclusion algorithms,""J. . -M. Helary"; A. Mostefaoui;" M. Raynal"",""IRISA Campus de Beaulieu, Université de Rennes, Rennes, France"; IRISA Campus de Beaulieu, Université de Rennes, Rennes, France;" IRISA Campus de Beaulieu, Université de Rennes, Rennes, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1185"",""1196"",""In a distributed context, mutual exclusion algorithms can be divided into two families according to their underlying algorithmic principles: those that are permission-based and those that are token-based. Within the latter family, a lot of algorithms use a rooted tree structure to move the requests and the unique token. This paper presents a very general information structure (and the associated generic algorithm) for token- and tree-based mutual exclusion algorithms. This general structure not only covers, as particular cases, several known algorithms, but also allows for the design of new ones that are well suited for various topology requirements.<>"",""1558-2183"","""",""10.1109/71.329670"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329670"","""",""Permission";Safety;Tree data structures;Algorithm design and analysis;Topology;Distributed algorithms;Communication channels;Clocks;Propagation delay;"Out of order"","""",""35"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A genetic algorithm for multiprocessor scheduling,""E. S. H. Hou"; N. Ansari;" Hong Ren"",""Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA"; Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA;" Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""2"",""113"",""120"",""The problem of multiprocessor scheduling can be stated as finding a schedule for a general task graph to be executed on a multiprocessor system so that the schedule length can be minimized. This scheduling problem is known to be NP-hard, and methods based on heuristic search have been proposed to obtain optimal and suboptimal solutions. Genetic algorithms have recently received much attention as a class of robust stochastic search algorithms for various optimization problems. In this paper, an efficient method based on genetic algorithms is developed to solve the multiprocessor scheduling problem. The representation of the search node is based on the order of the tasks being executed in each individual processor. The genetic operator proposed is based on the precedence relations between the tasks in the task graph. Simulation results comparing the proposed genetic algorithm, the list scheduling algorithm, and the optimal schedule using random task graphs, and a robot inverse dynamics computational task graph are presented.<>"",""1558-2183"","""",""10.1109/71.265940"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265940"","""",""Genetic algorithms";Processor scheduling;Optimal scheduling;Multiprocessing systems;Scheduling algorithm;Heuristic algorithms;Robustness;Topology;Computational modeling;"Robots"","""",""482"",""11"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A pairwise substitutional fault tolerance technique for the cube-connected cycles architecture,""Nian-Feng Tzeng";" Po-Jen Chuang"",""The Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA";" The Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""4"",""433"",""438"",""With all of the salient features of hypercubes, the cube-connected cycles (CCC) structure is an attractive parallel computation network suited for very large scale integration (VLSI) implementation because of its layout regularity. Unfortunately, the classical CCC structure tends to suffer from considerable performance degradation in the presence of faults. The authors deal with a fault-tolerant CCC structure obtained by incorporating a spare PE in each cycle and by adding extra links among PE's to realize dimensional substitutes for failed PE's in the immediate lower dimension. A unique feature of this design lies in that a faulty PE and its laterally connected PE are always replaced at the same time by their immediate vertical successor pair, achieving pairwise substitution to elegantly maintain the rigid full CCC structure after faulty PE's arise. The proposed structure improves reliability substantially without incurring large overhead in layout area. This design is compared with earlier fault-tolerant CCC designs in terms of normalized reliability, which takes area overhead into account. An extension to this fault-tolerant structure is also discussed.<>"",""1558-2183"","""",""10.1109/71.273049"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=273049"","""",""Fault tolerance";Hypercubes;Very large scale integration;Fault tolerant systems;Topology;Computer architecture;Degradation;Parallel processing;Computer networks;"Concurrent computing"","""",""3"","""",""8"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A parallel algorithm for computing Fourier transforms on the star graph,""P. Fragopoulou";" S. G. Akl"",""Department of Computing and Information Science, Queen's University, Kingston, ONT, Canada";" Department of Computing and Information Science, Queen's University, Kingston, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""5"",""525"",""531"",""The n-star graph, denoted by S/sub n/, is one of the graph networks that have been recently proposed as attractive alternatives to the n-cube topology for interconnecting processors in parallel computers. We present a parallel algorithm for the computation of the Fourier transform on the star graph. The algorithm requires O(n/sup 2/) multiply-add steps for an input sequence of n! elements, and is hence cost-optimal with respect to the sequential algorithm on which it is based. This is believed to be the first algorithm, and the only one to date, for the computation of the Fourier transform on the star graph.<>"",""1558-2183"","""",""10.1109/71.282562"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=282562"","""",""Parallel algorithms";Concurrent computing;Fourier transforms;Telecommunication computing;Network topology;Computer networks;Hypercubes;Cost function;"Fast Fourier transforms"","""",""42"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A performance model for multilayer neural networks in linear arrays,""D. Naylor";" S. Jones"",""Department of Electronic and Electrical Engineering, Loughborough University of Technology, Loughborough, Leicestershire, UK";" Department of Electronic and Electrical Engineering, Loughborough University of Technology, Loughborough, Leicestershire, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""12"",""1322"",""1328"",""An analytical model is presented for assessing the performance of multilayer neural networks implemented in linear arrays. Metrics to assess latency, throughput rate, and computational and input-output bandwidth are developed. These metrics demonstrate a rich and complex interaction between the performance of the hardware and the number and relative dimensions of the layers in a network. Practical illustration of the use of these metrics is demonstrated for a two-hidden-layer network.<>"",""1558-2183"","""",""10.1109/71.334906"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=334906"","""",""Multi-layer neural network";Neural networks;Intelligent networks;Throughput;Delay;Analytical models;Neural network hardware;Artificial neural networks;Clocks;"Bandwidth"","""",""4"","""",""4"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A performance study of robust distributed load sharing strategies,""A. Leff";" P. S. Yu"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA";" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""12"",""1286"",""1301"",""In this paper, we examine a set of load sharing strategies that are robust to the unreliable state information that is often present in a distributed database system. In this environment, sites must solve the problem of how alternative sites should be selected to process incoming transactions, given that the information on which the decision is based exhibits varying degrees of obsolescence. A set of regression-based adaptive strategies is examined in which a feedback mechanism is used to compensate for obsolete information. Transaction response time under the different adaptive strategies is evaluated, and the reasons for these performance differences discussed. The key characteristic of the best regression strategy is that transaction site affinity is taken into consideration when adjusting for the effect of information obsolescence.<>"",""1558-2183"","""",""10.1109/71.334902"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=334902"","""",""Robustness";Delay;Routing;Frequency;Database systems;Feedback;Costs;Queueing analysis;Bayesian methods;"Decision theory"","""",""8"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
