"A diagnosis algorithm for constant degree structures and its application to VLSI circuit testing,""Kaiyuan Huang"; V. K. Agarwal; L. LaForge;" K. Thulasiraman"",""Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada"; Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada; Department of Electrical Engineering, University of Nevada, Reno, NV, USA;" Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""363"",""372"",""A simple diagnosis algorithm is presented for constant degree systems such as rectangular grids connected as tori. The algorithm determines the status of a unit according to the size of its faction, a cluster of units that call each other fault-free but outsiders faulty. Almost all units are correctly identified with this algorithm under a binomial failure distribution even when the probability of failure is rather high. The complexity of the algorithm is O(n), where n is the number of units in a constant degree system. The application of the algorithm to production testing of VLSI chips is also considered. With a test board that houses a large number of chips to be tested, all the chips can be tested in parallel in a way that they test each other and the test outcomes, not necessarily correct, are reported to a host system for analysis. The actual status of each chip is determined by using this new diagnosis algorithm. The above chip screening process can be repeated for higher accuracy. It is shown that no more than two steps are needed in most real situations. Compared with testing by test equipment that usually tests only one chip at a time, the saving of test time and the test equipment cost could be significant with our approach.<>"",""1558-2183"","""",""10.1109/71.372790"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372790"","""",""Very large scale integration";Circuit testing;System testing;Clustering algorithms;Fault diagnosis;Microelectronics;Circuit faults;Test equipment;Production;"Costs"","""",""19"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A family of fault-tolerant routing protocols for direct multiprocessor networks,""P. T. Gaughan";" S. Yalamanchili"",""Department of Electrical Engineering, Computer Architecture Research Laboratory, University of Alabama, Tuscaloosa, AL, USA";" Computer Systems Research Laboratory, School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""482"",""497"",""Our goal is to reconcile the conflicting demands of performance and fault-tolerance in interprocessor communication. To this end, we propose a pipelined communication mechanism-pipelined circuit-switching (PCS)-which is a variant of the well known wormhole routing (WR) mechanism. PCS relaxes some of the routing constraints imposed by WR and as a result enables routing behavior that cannot otherwise be realized. This paper presents a new class of adaptive routing algorithms-misrouting backtracking with m misroutes (MB-m). This class of routing algorithms is made possible by PCS. We provide an analysis of the performance and static fault-tolerant properties of MB-m. The results of an experimental evaluation of PCS and MB-3 are also presented. This methodology provides performance approaching that of WR, while realizing a level of resilience to static faults that is difficult to achieve with WR.<>"",""1558-2183"","""",""10.1109/71.382317"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382317"","""",""Fault tolerance";Routing protocols;System recovery;Delay;Personal communication networks;Circuit faults;Throughput;Laboratories;Performance analysis;"Resilience"","""",""131"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A fast parallel algorithm for routing unicast assignments in Benes networks,""Ching-Yi Lee";" A. Y. Oruc"",""Electrical Engineering Department and Institutefor Advanced Computer Studies, University of Maryland, College Park, MD, USA";" Electrical Engineering Department and Institutefor Advanced Computer Studies, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""3"",""329"",""334"",""This paper presents a new parallel algorithm for routing unicast (one-to-one) assignments in Benes networks. Parallel routing algorithms for such networks were reported earlier, but these algorithms were designed primarily to route permutation assignments. The routing algorithm presented in this paper removes this restriction without an increase in the order of routing cost or routing time. We realize this new routing algorithm on two different topologies. The algorithm routes a unicast assignment involving O(k) pairs of inputs and outputs in O(lg/sup 2/ k+lg n) time on a completely connected network of n processors and in O(lg/sup 4/ k+lg/sup 2/ k lg n) time on an extended shuffle-exchange network of n processors. Using O(n lg n) professors, the same algorithm can be pipelined to route /spl alpha/ unicast assignments each involving O(k) pairs of inputs and outputs, in O(lg/sup 2/ k+lg n+(/spl alpha/-1) lg k) time on a completely connected network and in O(lg/sup 4/ k+lg/sup 2/ k lg n+(/spl alpha/-1)(lg/sup 3/ k+lg k lg n)) time on the extended shuffle-exchange network. These yield an average routing time of O(lg k) in the first case, and O(lg/sup 3/ k+1g k lg n) in the second case, for all /spl alpha/spl ges/lg n. These complexities indicate that the algorithm given in this paper is as fast as Nassimi and Sahni's algorithm for unicast assignments, and with pipelining, it is faster than the same algorithm at least by a factor of O(lg n) on both topologies. Furthermore, for sparse assignments, i.e., when k=O(1), it is the first algorithm which has an average routing time of O(1g n) on a topology with O(n) links.<>"",""1558-2183"","""",""10.1109/71.372780"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372780"","""",""Parallel algorithms";Routing;Unicast;Intelligent networks;Partitioning algorithms;Network topology;Algorithm design and analysis;Costs;Packet switching;"Multiprocessor interconnection networks"","""",""18"",""7"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A fault-tolerant algorithm for replicated data management,""S. Rangarajan"; S. Setia;" S. K. Tripathi"",""Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA"; Department of Computer Science, George Mason University, Fairfax, VA, USA;" Department of Computer Science, University of Maryland, College Park, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1271"",""1282"",""We examine the tradeoff between message overhead and data availability that arises in the design of fault-tolerant algorithms for replicated data management in distributed systems. We propose a property called asymptotically high resiliency which is useful for evaluating the fault-tolerance of replica control algorithms and distributed mutual exclusion algorithms. We present a new algorithm for replica control that can be tailored (through a design parameter) to achieve the desired balance between low message overhead and high data availability. Further, we show that for a message overhead of O(/spl radic/(Nlog N)), our algorithm can achieve asymptotically high resiliency."",""1558-2183"","""",""10.1109/71.476168"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476168"","""",""Fault tolerance";Algorithm design and analysis;Partitioning algorithms;Availability;Fault tolerant systems;Distributed control;Computer science;Database systems;"Maintenance"","""",""24"","""",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A fault-tolerant distributed subcube management scheme for hypercube multicomputer systems,""Y. . -L. Chen";" J. . -C. Liu"",""Department of Computer Science, Texas A and M University, College Station, TX, USA";" Department of Computer Science, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""766"",""772"",""This paper proposes a fault-tolerant distributed subcube management scheme for hypercube multicomputer systems. Gracefully degradable subcube management is supported by a data structure, called the distributed subcube table (DST), and a fault-tolerant broadcast protocol, called the reliably synchronized broadcast (RSB). In an n-dimensional hypercube, DST is the collection of 2/sup n/ local subcube tables (LSTs), DST.<>"",""1558-2183"","""",""10.1109/71.395406"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395406"","""",""Fault tolerant systems";Hypercubes;Fault tolerance;Broadcasting;Degradation;Data structures;Centralized control;Computational modeling;Tree graphs;"Time factors"","""",""3"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A general methodology of partitioning and mapping for given regular arrays,""Xian Chen";" G. M. Megson"",""University of Kent, Canterbury, UK";" Department of Computer Science, University of Reading, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""10"",""1100"",""1107"",""A methodology for partitioning and mapping of arbitrary uniform recurrence equations (UREs) expressed as computation graphs onto a given regular array is proposed. Deriving and based on a set of canonical dependencies together with two models of space projection, we give a general method of parallelization. The method has significant advantages in mapping an arbitrary computation graph onto a given processor array while preserving high efficiency in both communication and computation.<>"",""1558-2183"","""",""10.1109/71.473518"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=473518"","""",""Difference equations";Processor scheduling;Topology;Computer architecture;Concurrent computing;"Computer science"","""",""5"",""4"",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A hierarchical approach to parallel multiquery scheduling,""J. L. Wolf"; J. Turek; Ming-Syan Chen;" P. S. Yu"",""IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA; IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" IBM Research Division, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""578"",""590"",""There has been a good deal of progress made recently toward the efficient parallelization of individual phases of single queries in multiprocessor database systems. In this paper we devise and experimentally evaluate a number of scheduling algorithms designed to handle multiple parallel queries. (Scheduling in this context implies the determination of both processor allotments and temporal processor assignments to individual queries and query phases.) One of these algorithms performs the best in our experiments. This algorithm is hierarchical in nature: In the first phase, a good quality precedence based schedule is created for each individual query and each possible number of processors. This component employs dynamic programming. In the second phase, the results of the first phase are used to create an overall schedule of the full set of queries. This component is based on previously published work on nonprecedence-based malleable scheduling. Even though the problem we are considering is NP-hard in the strong sense, the multiple query schedules generated by our hierarchical algorithm are seen experimentally to achieve high quality results.<>"",""1558-2183"","""",""10.1109/71.388035"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388035"","""",""Processor scheduling";Algorithm design and analysis;Scheduling algorithm;Database systems;Performance evaluation;Dynamic programming;"Relational databases"","""",""14"",""6"",""51"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A hierarchical task queue organization for shared-memory multiprocessor systems,""S. P. Dandamudi";" P. S. P. Cheng"",""Centre for Parallel and Distributed Computing School of Computer Science, Carleton University, Ottawa, ONT, Canada";" Bell Northern Research Limited, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""1"",""1"",""16"",""There are two basic ways in which waiting ready tasks can be organized: centralized organization or distributed organization. In the centralized organization, a single central task queue is maintained. In the latter case, private ready queue of tasks. Ideally, a central ready queue global to all processors is desired over the distributed organization because the centralized organization provides perfect load sharing. However, the centralized organization is not suitable for large parallel systems because the central task queue could become a system bottleneck. The distributed organization, on the other hand, creates the load imbalance problem, which results in performance deterioration, while techniques have been proposed to reduce the ill-effects of task queue contention in the centralized organization and load imbalance in the distributed organization these techniques introduce problems of their own. We propose the use of a hierarchical task queue organization to incorporate the best features of these two organizations. Our study into the performance of this hierarchical organization shows that a properly designed hierarchical organization provides performance very close to that of the centralized organization while eliminating the ready queue contention problem, we also provide an analysis that identifies and provides guidance for designing the hierarchical task queue organization that avoids ready queue access contention. A brief discussion of task scheduling policies is also included.<>"",""1558-2183"","""",""10.1109/71.363415"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363415"","""",""Multiprocessing systems";Processor scheduling;Queueing analysis;Performance analysis;Parallel processing;System performance;Distributed computing;Computer science;Delay;"Degradation"","""",""31"",""5"",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A measurement-based model to predict the performance impact of system modifications: a case study,""R. T. Dimpsey";" R. K. Iyer"",""IBM, Austin, TX, USA";" Center for Reliable and High Performance Computing Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""1"",""28"",""40"",""The paper presents a performance case study of parallel jobs executing in real multi user workloads. The study is based on a measurement based model capable of predicting the completion time distribution of the jobs executing under real workloads. The model constructed is also capable of predicting the effects of system design changes on application performance. The model is a finite state, discrete time Markov model with rewards and costs associated with each state. The Markov states are defined from real measurements and represent system/workload states in which the machine has operated. The paper places special emphasis on choosing the correct number of states to represent the workload measured. Specifically, the performance of computationally bound, parallel applications executing in real workloads on an Alliant FX/80 is evaluated. The constructed model is used to evaluate scheduling policies, the performance effects of multiprogramming overhead, and the scalability of the Alliant FX/8O in real workloads. The model identifies a number of available scheduling policies which would improve the response time of parallel jobs. In addition, the model predicts that doubling the number of processors in the current configuration would only improve response time for a typical parallel application by 25%. The model recommends a different processor configuration to more fully utilize extra processors. The paper also presents empirical results which validate the model created.<>"",""1558-2183"","""",""10.1109/71.363413"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363413"","""",""Predictive models";Computer aided software engineering;Application software;Processor scheduling;Delay;Computer applications;Concurrent computing;Scalability;"Costs"","""",""6"",""8"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A memory interference model for regularly patterned multiple stream vector accesses,""Qing Yang";" Tao Yang"",""Department of Electrical and Computer Engineering, University of Rhode Island, Kingston, RI, USA";" Department of Industrial Engineering, Technical University of Nova Scotia, Halifax, NS, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""520"",""530"",""Most existing analytical models for memory interference generally assume random bank selection for each memory access. In vector computers, however, memory accesses are typically regularly patterned with a number of data items being accessed concurrently from different banks. Very little is known about the queueing behavior of memory interferences in multiple stream vector accesses. This paper presents an analytical model for memory interferences due to vector accesses in multiple vector processor systems. The model captures the effects of both bank conflicts among elements within one vector access stream and conflicts among multiple vector access streams on system performance. The model is based on a closed queueing network assuming an ideal interconnection network. An approximation technique is proposed to solve the memory queueing system that serves customers in a complicated way (non-FIFO). We also carry out extensive simulation experiments to study memory interference and validate our analytical model. Simulation results and analytical results are in a very good agreement, indicating that the model is very accurate. We further validate our analysis by comparing the numerical results obtained from our analytical model with those measurement results that were published by other researchers. Based on our analytical model and simulations, we carry out performance evaluation of the multiple vector processor systems. Our numerical results show that memory access conflicts pose a severe limitation on the number of useful processors in the system, implying that memory system design is essential to high-performance computing.<>"",""1558-2183"","""",""10.1109/71.382320"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382320"","""",""Interference";Analytical models;Vector processors;Multiprocessor interconnection networks;Concurrent computing;System performance;Computational modeling;Computer architecture;Memory architecture;"Supercomputers"","""",""1"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A multiway merge sorting network,""De-Lei Lee";" K. E. Batcher"",""Department of Computer Science, York University, North York, ONT, Canada";" Department of Mathematics and Computer Science, Kent University, Kent, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""211"",""215"",""A multiway merge sorting network is presented, which generalizes the technique used in the odd-even merge sorting network. The merging network described here is composed of m k-way mergers and a combining network. It arranges k ordered lists of length n each into one ordered lists in T(k)+[log/sub 2/k] [log/sub 2/m] [log/sub 2/m] steps, where T(k) is the number of steps needed to sort k keys in order";" and k and m are any integers no longer restricted to 2.<>"",""1558-2183"","""",""10.1109/71.342136"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342136"","""",""Sorting";Corporate acquisitions;Merging;Delay effects;Parallel processing;Computer science;Councils;"Mathematics"","""",""24"",""2"",""3"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
