"1996 Index IEEE Transactions on Parallel and Distributed Systems vol. 7,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1"",""11"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1996.553313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553313"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A broadcast algorithm for all-port wormhole-routed torus networks,""Yih-Jia Tsai";" P. K. McKinley"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""876"",""885"",""A new approach to broadcast in wormhole-routed two- and three-dimensional torus networks is proposed. The underlying network is assumed to support only deterministic, dimension-ordered unicast routing. The approach extends the graph theoretical concept of dominating nodes by accounting for the relative distance-insensitivity of the wormhole routing switching strategy. The proposed algorithm also takes advantage of an all-port communication architecture, which allows each node to simultaneously transmit messages on different outgoing channels. The resulting broadcast operation is based on a tree structure that uses multiple levels of extended dominating nodes(EDNs). Performance results are presented that confirm the advantage of this method over other approaches."",""1558-2183"","""",""10.1109/71.532118"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532118"","""",""Broadcasting";Unicast;Routing;Concurrent computing;Network topology;Communication switching;Tree data structures;Computer networks;Distributed computing;"Message passing"","""",""31"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A concurrent architecture for serializable production systems,""J. N. Amaral";" J. Ghosh"",""Electrical Engineering Department, Pntificia Univesidade Católica do Rio Grande do Sul (PUCRS), Porto Alegre, Rio Grande do Sul, Brazil";" Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1265"",""1280"",""This paper presents a new production system architecture that takes advantage of modern associative memory devices to allow parallel production firing, concurrent matching, and overlap among matching, selection, and firing of productions. We prove that the results produced by the architecture are correct according to the serializability criterion. A comprehensive event driven simulator is used to evaluate the scaling properties of the new architecture and to compare it with a parallel architecture that does global synchronization before every production firing. We also present measures for the improvement in speed due to the use of associative memories and an estimate for the amount of associative memory needed. Architectural evaluation is facilitated by a new benchmark program that allows for changes in the number of productions, the size of the database, the variance between the sizes of local data clusters, and the ratio between local and global data. Our results indicate that substantial improvements in speed can be achieved with a very modest increase in hardware cost."",""1558-2183"","""",""10.1109/71.553276"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553276"","""",""Production systems";Associative memory;Parallel architectures;Costs;Discrete event simulation;Velocity measurement;Databases;Hardware;Commutation;"Engines"","""",""4"","""",""45"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A dynamic coherence protocol for distributed shared memory enforcing high data availability at low costs,""O. E. Theel";" B. D. Fleisch"",""IRISA/INRIA de Rennes, Rennes, France";" Department of Computer Science, University of California, Riverside, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""9"",""915"",""930"",""DSM coherence protocols should scale well for large networks. Fault-tolerance in terms of highly available data access and uninterrupted DSM service is needed in large-scale environments that have a greater number of potentially malfunctioning components. We present a new class of dynamic coherence protocols for DSM systems in error-prone networks whose instances offer highly available access to DSM data at low operation costs. The approach is based on the highly scalable Boundary-Restricted (BR) coherence protocol class. The new protocol class, called the Dynamic Boundary-Restricted (DBR) coherence protocol class, maintains read/write frequencies of DSM requests at run-time. This information is used to dynamically adjust the minimum number of cached copies of a single DSM page in order to guarantee a given degree of data availability. The description of the new protocol class is accompanied by an analysis covering a large variety of workloads. This analysis presents the overall savings achieved by using a DBR coherence protocol in comparison to a static BR protocol."",""1558-2183"","""",""10.1109/71.536936"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=536936"","""",""Availability";Access protocols;Costs;Coherence;Large-scale systems;Distributed Bragg reflectors;Monitoring;Power system reliability;Scalability;"Fault tolerance"","""",""16"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A family of interconnection networks for nonuniform traffic,""D. M. Koppelman"",""Electrical and Computer Engineering Depavtment, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""5"",""486"",""492"",""New networks, called GLO networks, are constructed by adding bus-like links to omega networks, providing additional capacity between cells on momentarily busy paths. Equivalent pin-count GLO and omega networks offered uniform and nonuniform traffic were simulated. GLO networks exhibited lower latency for nonuniform traffic and light to moderate uniform traffic."",""1558-2183"","""",""10.1109/71.503773"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=503773"","""",""Multiprocessor interconnection networks";Telecommunication traffic;Traffic control;Delay;Throughput;Computer networks;Switches;Pins;Concurrent computing;"Analytical models"","""","""","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A fast, efficient parallel-acting method of generating functions defined by power series, including logarithm, exponential, and sine, cosine,""D. M. Mandelbaum";" S. G. Mandelbaum"",""168 Hollingston Pl., East Windsor, NJ, USA";" 168 Hollingston Pl., East Windsor, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""1"",""33"",""45"",""A fundamental parallel procedure of implementing certain algorithms is by means of trees and arrays. A method of generating any function defined by a power series in a fast, efficient parallel-acting manner using trees and arrays is described. The power series considered can be written as f(Y)=a/sub 0/+a/sub 1/Y+a/sub 2/Y/sup 2/+...where Y=v/sub 1/x+V/sub 2/x/sup 2/+...+v/sub k/x/sup k/,v/sub i/=(0, 1), is a binary fraction when x=1/2. The power series must be expanded into individual terms cx/sup 1/. These terms are then transformed into weighted binary terms. Two methods are given to obtain all the individual terms (including coefficients) associated with each power of x. The hardware required for implementation is a tree similar to a Wallace or Dadda tree used for parallel multiplication of two binary numbers. Despite the multiplicity of terms required, Boolean logic methods reduce the tree dimensions in many cases so that the total tree required is smaller than an existing multiplier tree. In that case, Schwarz and Flynn (1993), have shown that the required tree can be superimposed on the existing multiplier tree in a multiplexed manner with relatively little increase in hardware. The generation of the logarithmic function is described in detail. Comparisons with other methods are made for the case of 11 bit accuracy of the logarithm. Using a figure of merit of latency times area (number of transistors), estimates show that the superposition scheme gives the best (smallest) figure of merit. For 11 bit accuracy, the superposition scheme requires only about 480 additional gates to be superimposed upon a 41 bit or larger multiplier, and the speed of operation is that of the multiplier."",""1558-2183"","""",""10.1109/71.481596"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=481596"","""",""Power generation";Hardware;Boolean functions;Delay;Partitioning algorithms;Concurrent computing;"Power generation economics"","""",""12"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A flexible bit-pattern associative router for interconnection networks,""D. H. Summerville"; J. G. Delgado-Frias;" S. Vassiliadis"",""Electrical Engineering Department, State University of New York, Binghamton, NY, USA"; Electrical Engineering Department, State University of New York, Binghamton, NY, USA;" Electrical Engineering Department, Delft University of Technnology, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""5"",""477"",""485"",""A programmable associative approach to execute implicit routing algorithms is presented. Algorithms are mapped onto a set of bit-patterns that are matched in parallel. We have studied and mapped a large number of routing algorithms for a wide range of interconnection network topologies. Here we report three cases that illustrate the capabilities of the router scheme. For the studied topologies, the number of required bit-patterns is of the same order as the topology degree. The proposed approach is one of the fastest routers and requires a very small amount of hardware."",""1558-2183"","""",""10.1109/71.503772"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=503772"","""",""Multiprocessor interconnection networks";Routing;Network topology;Decoding;Senior members;Hardware;Delay;Table lookup;Associative memory;"Throughput"","""",""20"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A framework for designing deadlock-free wormhole routing algorithms,""R. V. Boppana";" S. Chalasani"",""Division of Computer Science, University of Technology, San Antonio, TX, USA";" Department of Electrical and Computer Engineering, University of Wisconsin-Madison, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""2"",""169"",""183"",""This paper presents a framework to design fully-adaptive, deadlock-free wormhole algorithms for a variety of network topologies. The main theoretical contributions are: (a) design of new wormhole algorithms using store-and-forward algorithms, (b) a sufficient condition for deadlock free routing by the wormhole algorithms so designed, and (c) a sufficient condition for deadlock free routing by these wormhole algorithms with centralized flit buffers shared among multiple channels. To illustrate the theory, several wormhole algorithms based on store-and-forward hop schemes are designed. The hop-based wormhole algorithms can be applied to a variety of networks including torus, mesh, de Brujin, and a class of Cayley networks, with the best known bounds on virtual channels for minimal routing on the last two classes of networks. An analysis of the resource requirements and performances of a proposed algorithm, called negative-hop algorithm, with some of the previously proposed algorithms for torus and mesh networks is presented."",""1558-2183"","""",""10.1109/71.485506"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=485506"","""",""Algorithm design and analysis";System recovery;Routing;Communication switching;Communication channels;Sufficient conditions;Mesh networks;Network topology;Buffer storage;"Performance analysis"","""",""42"",""3"",""43"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A framework for resource-constrained rate-optimal software pipelining,""R. Govindarajan"; E. R. Altman;" G. R. Gao"",""Supercomputer Education and Research Cen-ter Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" School of Computer Science, McGill University, Montreal, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""11"",""1133"",""1149"",""The rapid advances in high-performance computer architecture and compilation techniques provide both challenges and opportunities to exploit the rich solution space of software pipelined loop schedules. In this paper, we develop a framework to construct a software pipelined loop schedule which runs on the given architecture (with a fixed number of processor resources) at the maximum possible iteration rate (a la rate-optimal) while minimizing the number of buffers-a close approximation to minimizing the number of registers. The main contributions of this paper are: First, we demonstrate that such problem can be described by a simple mathematical formulation with precise optimization objectives under a periodic linear scheduling framework. The mathematical formulation provides a clear picture which permits one to visualize the overall solution space (for rate-optimal schedules) under different sets of constraints. Secondly, we show that a precise mathematical formulation and its solution does make a significant performance difference. We evaluated the performance of our method against three leading contemporary heuristic methods. Experimental results show that the method described in this paper performed significantly better than these methods. The techniques proposed in this paper are useful in two different ways: 1) As a compiler option which can be used in generating faster schedules for performance-critical loops (if the interested users are willing to trade the cost of longer compile time with faster runtime). 2) As a framework for compiler writers to evaluate and improve other heuristics-based approaches by providing quantitative information as to where and how much their heuristic methods could be further improved."",""1558-2183"","""",""10.1109/71.544355"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=544355"","""",""Pipeline processing";Processor scheduling;Computer architecture;Space technology;Optimized production technology;Registers;Computer science;Computer Society;Senior members;"Visualization"","""",""40"",""1"",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A modular systolic linearization of the Warshall-Floyd algorithm,""J. F. Myoupo";" A. C. Fabret"",""LaRlA, Faculté de Mathématique et dE28099lnformatique, Université de Picardie Jules Verne, Amiens, France";" Université Paris Sud, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""5"",""449"",""455"",""In this paper, we use a variant of the geometric method to derive efficient modular linear systolic algorithms for the transitive closure and shortest path problems. Furthermore, we show that partially-pipelined modular linear systolic algorithms with an output operation, for matrix multiplication, can be as fast as the fully-pipelined existing ones and, moreover, they need less cells."",""1558-2183"","""",""10.1109/71.503769"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=503769"","""",""Partitioning algorithms";Systolic arrays;Algorithm design and analysis;Computer Society;Shortest path problem;Computer networks;Computer architecture;Hardware;Clocks;"Very large scale integration"","""",""9"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A necessary and sufficient condition for deadlock-free routing in cut-through and store-and-forward networks,""J. Duato"",""Departamento de Ingenievia de Sistemas, Compufadoresy Automatica, Univevsidad Politecnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""841"",""854"",""This paper develops the theoretical background for the design of deadlock-free adaptive routing algorithms for virtual cut-through and store-and-forward switching. This theory is valid for networks using either central buffers or edge buffers. Some basic definitions and three theorems are proposed, developing conditions to verify that an adaptive algorithm is deadlock-free, even when there are cyclic dependencies between routing resources. Moreover, we propose a necessary and sufficient condition for deadlock-free routing. Also, a design methodology is proposed. It supplies fully adaptive, minimal and non-minimal routing algorithms, guaranteeing that they are deadlock-free. The theory proposed in this paper extends the necessary and sufficient condition for wormhole switching previously proposed by us. The resulting routing algorithms are more flexible than the ones for wormhole switching. Also, the design methodology is much easier to apply because it automatically supplies deadlock-free routing algorithms."",""1558-2183"","""",""10.1109/71.532115"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532115"","""",""Sufficient conditions";System recovery;Routing;Delay;Design methodology;Buffer storage;Pipeline processing;Hardware;Clocks;"Frequency"","""",""105"",""1"",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A new family of Cayley graph interconnection networks of constant degree four,""P. Vadapalli";" P. K. Srimani"",""Tartan Labs., Pittsburgh, PA, USA";" Department of Computer Science, Colorado State University, Collins, CO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""1"",""26"",""32"",""We propose a new family of interconnection networks that are Cayley graphs with constant node degree 4. These graphs are regular, have logarithmic diameter, and are maximally fault tolerant. We investigate different algebraic properties of these networks (including fault tolerance) and propose optimal routing algorithms. As far as we know, this is the first family of Cayley graphs of constant degree 4."",""1558-2183"","""",""10.1109/71.481595"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=481595"","""",""Multiprocessor interconnection networks";Fault tolerance;Routing;Network topology;Hypercubes;Senior members;Parallel processing;Bibliographies;Very large scale integration;"Laboratories"","""",""37"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
