"1997 Index IEEE Transactions on Parallel And Vol. 8,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""12"",""1301"",""1312"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1997.640023"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=640023"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A Boolean expression-based approach for maximum incomplete subcube identification in faulty hypercubes,""Hsing-Lung Chen";" Nian-Feng Tzeng"",""Department of Electronic Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan";" Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""11"",""1171"",""1183"",""An incomplete hypercube possesses virtually every advantage of complete hypercubes, including simple deadlock-free routing, a small diameter, bounded link traffic density, a good support of parallel algorithms, and so on. It is natural to reconfigure a faulty hypercube into a maximum incomplete cube so as to lower potential performance degradation, because a hypercube so reconfigured often results in a much larger system than what is attainable according to any conventional reconfiguration scheme which identifies only complete subcubes. A maximum incomplete subcube involves one maximum complete subcube, plus certain smaller complete subcubes, and, thus, may accommodate multiple jobs of different sizes simultaneously, delivering a higher performance level. This paper proposes an efficient approach for identifying all the maximum incomplete subcubes present in a faulty hypercube. The proposed approach is on the basis of manipulating Boolean expressions, with the search space reduced considerably by taking advantage of the basic properties of faulty hypercubes during expression manipulation. It is distributed, in that every healthy node executes the same identification algorithm independently, at the same time, it is confirmed by fault simulation that our approach indeed gives rise to significantly larger reconfigured systems and requires short execution times."",""1558-2183"","""",""10.1109/71.642951"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=642951"","""",""Fault diagnosis";Hypercubes;Circuit faults;Routing;Degradation;System recovery;Fault tolerant systems;Parallel algorithms;"Distributed algorithms"","""",""16"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A circular list based mutual exclusion scheme for large shared-memory multiprocessors,""S. S. Fu";" Nian-Feng Tzeng"",""Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA";" Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""6"",""628"",""639"",""Mutual exclusion in shared-memory multiprocessors is realized by employing a lock to determine the processor among those which compete for the critical section. Accesses to such a mutual exclusion lock may create heavy synchronization traffic and/or serious contention over the network, thereby degrading system performance considerably. In this paper, we introduce an efficient scheme which keeps synchronization traffic low and avoids serious hot-spot contention. This is made possible by constructing a circular list of the processors waiting for the critical section and by dispersing accesses to the lock. Extensive simulation of the proposed approach was conducted and the lower bound on the elapsed time was derived. Our simulation results demonstrate that the proposed scheme indeed achieves better performance than prior techniques, with its elapsed time close to the lower bound for the whole range of simulated system sizes, thus promising good scalability for large systems."",""1558-2183"","""",""10.1109/71.595581"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=595581"","""",""Hardware";Telecommunication traffic;Degradation;System performance;Traffic control;Tree data structures;Multiprocessor interconnection networks;Computer Society;Scalability;"Multiprocessing systems"","""",""10"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A comment on ""A total ordering multicast protocol using propagation trees"",""Shiuh-Pyng Shieh";" Fu-Shen Ho"",""National Chiao Tung University, Hsinchu, TW";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""10"",""1084"","""",""In this paper, we reevaluate the message cost of X. Jia's multicast mechanism (see ibid., vol. 6, no. 6, p. 617-27 (1995)). Our analysis shows that its message cost should be (D+k+1) instead of (D+2), where D is the depth of the subtree and k is the number of metagroups containing the destination multicast group."",""1558-2183"","""",""10.1109/71.629490"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=629490"","""",""Multicast protocols";Costs;Computer science;Computer security;National security;Operating systems;Distributed computing;Information security;Delay;"Load management"","""",""2"",""1"",""1"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A framework for exploiting task and data parallelism on distributed memory multicomputers,""S. Ramaswamy"; S. Sapatnekar;" P. Banerjee"",""Transarc Corporation, Pittsburgh, PA, USA"; Department of Electrical Engineering, Minneapolis, MN, USA;" Center for Parallel and Distributed Computing, Northwestern University, Evanston, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""11"",""1098"",""1116"",""Distributed Memory Multicomputers (DMMs), such as the IBM SP-2, the Intel Paragon, and the Thinking Machines CM-5, offer significant advantages over shared memory multiprocessors in terms of cost and scalability. Unfortunately, the utilization of all the available computational power in these machines involves a tremendous programming effort on the part of users, which creates a need for sophisticated compiler and run-time support for distributed memory machines. In this paper, we explore a new compiler optimization for regular scientific applications-the simultaneous exploitation of task and data parallelism. Our optimization is implemented as part of the PARADIGM HPF compiler framework we have developed. The intuitive idea behind the optimization is the use of task parallelism to control the degree of data parallelism of individual tasks. The reason this provides increased performance is that data parallelism provides diminishing returns as the number of processors used is increased. By controlling the number of processors used for each data parallel task in an application and by concurrently executing these tasks, we make program execution more efficient and, therefore, faster."",""1558-2183"","""",""10.1109/71.642945"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=642945"","""",""Parallel processing";Data structures;Random access memory;Optimizing compilers;Costs;Scalability;Runtime;Concurrent computing;Distributed computing;"Program processors"","""",""76"",""1"",""48"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A general method for deflection worm routing on meshes based on packet routing algorithms,""A. Roberts";" A. Symvonis"",""Basser Department of Computer Science, University of Sydney, Sydney, NSW, Australia";" Basser Department of Computer Science, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""8"",""781"",""789"",""In this paper, we consider the deflection worm routing problem on n/spl times/n meshes. In deflection routing, a message cannot be queued and it is always moving until it reaches its destination. In worm routing, the message is considered to be a worm, a sequence of k flits which, during the routing, follow the head of the worm, which knows the destination address. We show how to derive a deflection worm routing algorithm from a packet routing algorithm which uses queues of size O(f(N))(N is the side-length of the mesh in which the packet routing algorithm is applied). Our result generalizes the method of Newman and Schuster in which only packet routing algorithms with a maximum queue of four packets can be used."",""1558-2183"","""",""10.1109/71.605765"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=605765"","""",""Routing";Computer worms;Hydrogen;Parallel machines;Communication channels;Concurrent computing;Multiprocessor interconnection networks;Bidirectional control;"Hardware"","""",""1"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A general method for maximizing the error-detecting ability of distributed algorithms,""M. Schollmeyer";" B. McMillin"",""Research Institute for Applied Software Technology, Munich, Germany";" Department of Computer Science, 325 Math-Computer Science, University of Missouri, Rolla, Rolla, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""2"",""164"",""172"",""The bound on component failures and their spatial distribution govern the fault tolerance of any candidate error-detecting algorithm. For distributed memory multiprocessors, the specific algorithm and the topology of the processor interconnection network define these bounds. This paper introduces the maximal fault index, derived from the system topology and local communication patterns, to demonstrate how a maximal number of simultaneous component failures can be tolerated for a particular interconnection network and error-detecting algorithm. The index is used to design a mapping of processes to processor groups such that the error-detecting ability of the algorithm is preserved for certain multiple simultaneous processor failures."",""1558-2183"","""",""10.1109/71.577258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=577258"","""",""Distributed algorithms";Fault tolerance;Fault detection;Fault tolerant systems;Network topology;Multiprocessor interconnection networks;Simultaneous localization and mapping;Algorithm design and analysis;Delay;"Safety"","""",""1"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A geometric approach for constructing coteries and k-coteries,""Yu-Chen Kuo";" Shing-Tsaan Huang"",""The Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan";" The Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""4"",""402"",""411"",""Quorum-based mutual exclusion algorithms are resilient to node and communication line failures. Recently, some mutual exclusion algorithms successfully use logical structures to construct coteries with small quorums sizes. In this paper, we introduce a geometric approach on dealing with the logical structures and present some useful geometric properties for constructing coteries and k-coteries. Based on those geometric properties, a logical structure named three-sided graph is proposed to provide a new scheme for constructing coteries with small quorums: The smallest quorum size is O(/spl radic/N) in a homogeneous system with N nodes and O(1) in a heterogeneous system. In addition, we also extend the three-sided graph to the O-sided graph for constructing k-coteries."",""1558-2183"","""",""10.1109/71.588618"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=588618"","""",""Fault tolerance";Permission;Cascading style sheets;Senior members;Distributed algorithms;Algorithm design and analysis;Costs;Voting;"Tree graphs"","""",""35"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A heuristic storage for minimizing access time of arbitrary data patterns,""M. A. Al-Mouhamed";" S. S. Seiden"",""Department of Computer Engineering, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia";" Department of Information and Computer Science, University of California, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""4"",""441"",""447"",""The serialization of memory accesses is a major limiting factor in high performance SIMD computers. The data patterns or templates that are accessed by a program can be perceived by the compiler, and, therefore, the design of dynamic storage schemes that minimize conflicts may dramatically improve performance. The problem of finding storage schemes that minimize the access time of arbitrary sets of power-of-two data patterns is proved to be NP-complete. We propose linear address transformations that can be dynamically applied by each processing element for mapping array references onto memories. An efficient approach for combining the constraints of different access patterns into one single linear address transformation is presented. We prove that finding the transformation that minimizes the access time is reducible to N-coloring, where N is the number of parallel memories. Using coloring heuristics, storage schemes are investigated with respect to minimizing the implementation cost (perfect storage) and overall access conflicts (semiperfect storage). Results show that the perfect-storage may deviate on the average by 20% from the optimum access time in the case of 10 arbitrary data patterns and 16 memories. However, semiperfect schemes lead to dramatic reduction of the degree of conflict compared to perfect-schemes. The proposed heuristic storage largely outperforms interleaving and row-column-diagonals storages. The method can be implemented as compiler procedure for synthesizing storage schemes that promote parallel access to arbitrary sets of data patterns."",""1558-2183"","""",""10.1109/71.588625"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=588625"","""",""Costs";Interleaved codes;Image storage;High performance computing;Program processors;Bandwidth;Runtime;Degradation;"Petroleum"","""",""4"",""15"",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A parallel algorithm for constructing a labeled tree,""Yue-Li Wang"; Hon-Chan Chen;" Wei-Kai Liu"",""Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan"; Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan;" Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""12"",""1236"",""1240"",""A tree T is labeled when the n vertices are distinguished from one another by names such as v/sub 1/, v/sub 2/...v/sub n/. Two labeled trees are considered to be distinct if they have different vertex labels even though they might be isomorphic. According to Cayley's tree formula, there are n/sup n-2/ labeled trees on n vertices. Prufer used a simple way to prove this formula and demonstrated that there exists a mapping between a labeled tree and a number sequence. From his proof, we can find a naive sequential algorithm which transfers a labeled tree to a number sequence and vice versa. However, it is hard to parallelize. In this paper, we shall propose an O(log n) time parallel algorithm for constructing a labeled tree by using O(n) processors and O(n log n) space on the EREW PRAM computational model."",""1558-2183"","""",""10.1109/71.640015"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=640015"","""",""Parallel algorithms";Phase change random access memory;Concurrent computing;Computational modeling;Vegetation mapping;Moon;Encoding;Data compression;Algorithm design and analysis;"Tree graphs"","""",""8"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A parallel algorithm for graph matching and its MasPar implementation,""R. Allen"; L. Cinque; S. Tanimoto; L. Shapiro;" D. Yasuda"",""Hewlett Packard Company, Palo Alto, CA, USA"; Dipartimento di Scienze dell'Informazione, Universita La Sapienza, Rome, Italy; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA;" College of Ocean and Fishery Sciences, University of Washington, Seattle, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1997"",""8"",""5"",""490"",""501"",""Search of discrete spaces is important in combinatorial optimization. Such problems arise in artificial intelligence, computer vision, operations research, and other areas. For realistic problems, the search spaces to be processed are usually huge, necessitating long computation times, pruning heuristics, or massively parallel processing. We present an algorithm that reduces the computation time for graph matching by employing both branch-and-bound pruning of the search tree and massively-parallel search of the as-yet-unpruned portions of the space. Most research on parallel search has assumed that a multiple-instruction-stream/multiple-data-stream (MIMD) parallel computer is available. Since massively parallel stream (SIMD) computers are much less expensive than MIMD systems with equal numbers of processors, the question arises as to whether SIMD systems can efficiently handle state-space search problems. We demonstrate that the answer is yes, and in particular, that graph matching has a natural and efficient implementation on SIMD machines."",""1558-2183"","""",""10.1109/71.598276"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=598276"","""",""Parallel algorithms";Computer vision;Concurrent computing;Parallel processing;Application software;Image databases;Artificial intelligence;Search problems;Load management;"Operations research"","""",""18"","""",""43"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
