"1998 Index IEEE Transactions on Parallel And Distributed Systems - Author Index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1269"",""1273"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1998.737701"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737701"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A basic-cycle calculation technique for efficient dynamic data redistribution,""Yeh-Ching Chung"; Ching-Hsien Hsu;" Sheng-Wen Bai"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""359"",""377"",""Array redistribution is usually required to enhance algorithm performance in many parallel programs on distributed memory multicomputers. Since it is performed at run-time, there is a performance trade-off between the efficiency of the new data decomposition for a subsequent phase of an algorithm and the cost of redistributing data among processors. In this paper, we present a basic-cycle calculation technique to efficiently perform BLOCK-CYCLIC(S) to BLOCK-CYCLIC(t) redistribution. The main idea of the basic-cycle calculation technique is, first, to develop closed forms for computing source/destination processors of some specific array elements in a basic-cycle, which is defined as icm(s,t)/gcd(s,t). These closed forms are then used to efficiently determine the communication sets of a basic-cycle. From the source/destination processor/data sets of a basic-cycle, we can efficiently perform a BLOCK-CYCLIC(s) to BLOCK-CYCLIC(t) redistribution. To evaluate the performance of the basic-cycle calculation technique, we have implemented this technique on an IBM SP2 parallel machine, along with the PITFALLS method and the multiphase method. The cost models for these three methods are also presented. The experimental results show that the basic-cycle calculation technique outperforms the PITFALLS method and the multiphase method for most test samples."",""1558-2183"","""",""10.1109/71.667897"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667897"","""",""Phased arrays";Runtime;Parallel programming;Costs;Parallel machines;Testing;Program processors;Programming profession;"Algorithm design and analysis"","""",""20"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A comment on ""A circular list-based mutual exclusion scheme for large shared-memory multiprocessor"",""Ting-Lu Huang";" Chien-Hua Shann"",""Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan";" Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""414"",""415"",""The circular list-based mutual exclusion algorithm proposed by Fu and Tzeng (1997) is subject to a race condition that leads to a deadlock under subtle situations. An execution sequence evidences the race, and a modified version is provided. The performance of the original algorithm remains unchanged."",""1558-2183"","""",""10.1109/71.667901"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667901"","""",""Hypercubes";System recovery;Multiprocessor interconnection networks;Electronic switching systems;Application software;Computer architecture;Concurrent computing;Parallel processing;"Spinning"","""",""4"","""",""1"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A compiler optimization algorithm for shared-memory multiprocessors,""K. S. McKinley"",""Department of Computer Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""769"",""787"",""This paper presents a new compiler optimization algorithm that parallelizes applications for symmetric, shared-memory multiprocessors. The algorithm considers data locality, parallelism, and the granularity of parallelism. It uses dependence analysis and a simple cache model to drive its optimizations. It also optimizes across procedures by using interprocedural analysis and transformations. We validate the algorithm by hand-applying it to sequential versions of parallel, Fortran programs operating over dense matrices. The programs initially were hand-coded to target a variety of parallel machines using loop parallelism. We ignore the user's parallel loop directives, and use known and implemented dependence and interprocedural analysis to find parallelism. We then apply our new optimization algorithm to the resulting program. We compare the original parallel program to the hand-optimized program, and show that our algorithm improves three programs, matches four programs, and degrades one program in our test suite on a shared-memory, bus-based parallel machine with local caches. This experiment suggests existing dependence and interprocedural array analysis can automatically detect user parallelism, and demonstrates that user parallelized codes often benefit from our compiler optimizations, providing evidence that we need both parallel algorithms and compiler optimizations to effectively utilize parallel machines."",""1558-2183"","""",""10.1109/71.706049"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706049"","""",""Optimizing compilers";Algorithm design and analysis;Parallel processing;Parallel machines;Program processors;Parallel algorithms;Hardware;Parallel programming;Costs;"Degradation"","""",""20"",""4"",""51"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A cost and speed model for k-ary n-cube wormhole routers,""A. A. Chein"",""Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""150"",""162"",""The evaluation of advanced routing features must be based on both of costs and benefits. To date, adaptive routers have generally been evaluated on the basis of the achieved network throughput (channel utilization), ignoring the effects of implementation complexity. In this paper, we describe a parameterized cost model for router performance, characterized by two numbers: router delay and flow control time. Grounding the cost model in a 0.8 micron gate array technology, we use it to compare a number of proposed routing algorithms. From these design studies, several insights into the implementation complexity of adaptive routers are clear. First, header update and selection is expensive in adaptive routers, suggesting that absolute addressing should be reconsidered. Second, virtual channels are expensive in terms of latency and cycle time, so decisions to include them to support adaptivity or even virtual lanes should not be taken lightly. Third, requirements of larger crossbars and more complex arbitration cause some increase in the complexity of adaptive routers, but the rate of increase is small. Last, the complexity of adaptive routers significantly increases their setup delay and flow control cycle times, implying that claims of performance advantages in channel utilization and low load latency must be carefully balanced against losses in achievable implementation speed."",""1558-2183"","""",""10.1109/71.663877"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663877"","""",""Costs";Routing;Clocks;Network topology;Delay effects;System recovery;Parallel machines;Concrete;Throughput;"Grounding"","""",""177"","""",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A distributed graph algorithm for the detection of local cycles and knots,""A. Boukerche";" C. Tropper"",""Department of Computer Science, University of North Texas, Denton, TX, USA";" School of Computer Science, McGill University, Montreal, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""748"",""757"",""In this paper, a distributed cycle/knot detection algorithm for general graphs is presented. The algorithm distinguishes between cycles and knots and is the first algorithm to our knowledge which does so. It is especially relevant to an application such as parallel simulation in which 1) cycles and knots can arise frequently 2) the size of the graph is very large, and 3) it is necessary to know if a given node is in a cycle or a knot. It requires less communication than previous algorithms-2m vs. (at least) (4m) for the Chandy and Misra algorithm, where m is the number of links in the graph. It requires O (nlog (n)) bits of memory, where n is the number of nodes. The algorithm differs from the classical diffusing computation methods through its use of incomplete search messages to speed up the computation. We introduce a marking scheme in order to identify strongly connected subcomponents of the graph which cannot reach the initiator of the algorithm. This allows us to distinguish between the case in which the initiator is in a cycle (only) or is in a knot."",""1558-2183"","""",""10.1109/71.706047"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706047"","""",""System recovery";Detection algorithms;Clustering algorithms;Signal detection;Distributed computing;Computational modeling;Database systems;Signal generators;"Detectors"","""",""30"",""1"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A fault-tolerant dynamic scheduling algorithm for multiprocessor real-time systems and its analysis,""G. Manimaran";" C. S. R. Murthy"",""Department of Computer Science and Engineering, Indian Institute of Technology, Chennai, India";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""11"",""1137"",""1152"",""Many time-critical applications require dynamic scheduling with predictable performance. Tasks corresponding to these applications have deadlines to be met despite the presence of faults. In this paper, we propose an algorithm to dynamically schedule arriving real-time tasks with resource and fault-tolerant requirements on to multiprocessor systems. The tasks are assumed to be nonpreemptable and each task has two copies (versions) which are mutually excluded in space, as well as in time in the schedule, to handle permanent processor failures and to obtain better performance, respectively. Our algorithm can tolerate more than one fault at a time, and employs performance improving techniques such as 1) distance concept which decides the relative position of the two copies of a task in the task queue, 2) flexible backup overloading, which introduces a trade-off between degree of fault tolerance and performance, and 3) resource reclaiming, which reclaims resources both from deallocated backups and early completing tasks. We quantify, through simulation studies, the effectiveness of each of these techniques in improving the guarantee ratio, which is defined as the percentage of total tasks, arrived in the system, whose deadlines are met. Also, we compare through simulation studies the performance our algorithm with a best known algorithm for the problem, and show analytically the importance of distance parameter in fault-tolerant dynamic scheduling in multiprocessor real-time systems."",""1558-2183"","""",""10.1109/71.735960"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735960"","""",""Fault tolerance";Dynamic scheduling;Heuristic algorithms;Scheduling algorithm;Processor scheduling;Real time systems;Fault tolerant systems;Time factors;Multiprocessing systems;"Analytical models"","""",""112"",""2"",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A framework for reinforcement-based scheduling in parallel processor systems,""A. Y. Zomaya"; M. Clements;" S. Olariu"",""Parallel Computing Research Laboratory, Department of Electrical and Electronic Engineering, University of Western Australia, Perth, WA, Australia"; Digital Equipment Corporation, Turner, ACT, Australia;" Department of Computer Science, Old Dominion University, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""3"",""249"",""260"",""Task scheduling is important for the proper functioning of parallel processor systems. The static scheduling of tasks onto networks of parallel processors is well-defined and documented in the literature. However, in many practical situations a priori information about the tasks that need to be scheduled is not available. In such situations, tasks usually arrive dynamically and the scheduling should be performed on-line or """"on the fly"""". In this paper, we present a framework based on stochastic reinforcement learning, which is usually used to solve optimization problems in a simple and efficient way. The use of reinforcement learning reduces the dynamic scheduling problem to that of learning a stochastic approximation of an unknown average error surface. The main advantage of the proposed approach is that no prior information is required about the parallel processor system under consideration. The learning system develops an association between the best action (schedule) and the current state of the environment (parallel system). The performance of reinforcement learning is demonstrated by solving several dynamic scheduling problems. The conditions under which reinforcement learning can used to efficiently solve the dynamic scheduling problem are highlighted."",""1558-2183"","""",""10.1109/71.674317"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=674317"","""",""Processor scheduling";Optimal scheduling;Job shop scheduling;Dynamic scheduling;Parallel processing;Stochastic processes;Intelligent networks;Learning systems;"Application software"","""",""27"",""3"",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A fully adaptive routing algorithm for dynamically injured hypercubes, meshes, and tori,""Ming-Jer Tsai";" Sheng-De Wang"",""Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan";" Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""163"",""174"",""Unicast V is a progressive, misrouting algorithm for packet or virtual cut-through networks. A progressive protocol forwards a message at an intermediate node if a nonfaulty profitable link is available and waits, deroutes, or aborts otherwise. A misrouting protocol uses both profitable and nonprofitable links at each node";" thus, a message can move farther away from its destination at some steps. Unicast V is simple for hardware implementation, requires a very small message overhead, and makes routing decisions by local failure information only. However, it is claimed to be partially adaptive and to be able to tolerate static faults in hypercubes only. In this paper, we uncover some new features of Unicast V: (1) it is fully-adaptive, (2) it also applies to meshes and tori, and (3) it can tolerate dynamic faults by careful implementation. In addition, we also provide bounds on the performance of the algorithm."",""1558-2183"","""",""10.1109/71.663879"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663879"","""",""Heuristic algorithms";Hypercubes;Packet switching;Routing protocols;Delay;History;Computer Society;Hardware;Programmable control;"Adaptive control"","""",""4"","""",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A general theory for deadlock avoidance in wormhole-routed networks,""E. Fleury";" P. Fraigniaud"",""LORIA, Villers-Les-Nancy, France";" LRI, Universite Paris-Sud, Orsay, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""626"",""638"",""Most machines of the last generation of distributed memory parallel computers possess specific routers which are used to exchange messages between nonneighboring nodes in the network. Among the several technologies, wormhole routing is usually preferred because it allows low channel-setup time and reduces the dependency between latency and internode distance. However, wormhole routing is very susceptible to deadlock because messages are allowed to hold many resources while requesting others. Therefore, designing deadlock-free routing algorithms using few hardware facilities is a major problem for wormhole-routed networks. In this paper, we describe a general theoretical framework for the study of deadlock-free routing functions. We give a general definition of what can be a routing function. This definition captures many specific definitions of the literature (e.g., vertex dependent, input-dependent, source-dependent, path-dependent etc.). Using our definition, we give a necessary and sufficient condition which characterizes deadlock-free routing functions. Our theory embraces, at a high level, most of the theories related to deadlock avoidance in wormhole-routed networks previously derived in the literature. In particular, it applies not only to one-to-one routing, but also to one-to-many routing. The latter paradigm is used to solve the multicast problem with the path-based or tree-based facility."",""1558-2183"","""",""10.1109/71.707539"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707539"","""",""System recovery";Intelligent networks;Routing;Sufficient conditions;Delay;Algorithm design and analysis;Hardware;Computer Society;Computer networks;"Concurrent computing"","""",""52"",""7"",""76"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A new algorithm based on Givens rotations for solving linear equations on fault-tolerant mesh-connected processors,""K. N. B. Murthy"; K. Bhuvaneswari;" C. S. Ram Murthy"",""The Department of Electrical and Electronics Engineering, Malnad College of Engineering, Hassan, India"; India Development Center, Oracle Software India Limited, Bangalore, India;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""825"",""832"",""In this paper, we propose a new I/O overhead free Givens rotations based parallel algorithm for solving a system of linear equations. The algorithm uses a new technique called two-sided elimination and requires an N/spl times/(N+1) mesh-connected processor array to solve N linear equations in (5N-log N-4) time steps. The array is well suited for VLSI implementation as identical processors with simple and regular interconnection pattern are required. We also describe a fault-tolerant scheme based on an algorithm based fault tolerance (ABFT) approach. This scheme has small hardware and time overhead and can tolerate up to N processor failures."",""1558-2183"","""",""10.1109/71.706053"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706053"","""",""Fault tolerance";Equations;Linear systems;Parallel algorithms;Fault tolerant systems;Phased arrays;Systolic arrays;Neural networks;Very large scale integration;"Hardware"","""",""4"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A new parallel and distributed shortest path algorithm for hierarchically clustered data networks,""S. Zhu";" G. M. Huang"",""Nortel, Inc., Richardson, TX, USA";" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""9"",""841"",""855"",""This paper presents new efficient shortest path algorithms to solve single origin shortest path problems (SOSP problems) and multiple origins shortest path problems (MOSP problems) for hierarchically clustered data networks. To solve an SOSP problem for a network with n nodes, the distributed version of our algorithm reaches the time complexity of O(log(n)), which is less than the time complexity of O(log/sup 2/ (n)) achieved by the best existing algorithm. To solve an MOSP problem, our algorithm minimizes the needed computation resources, including computation processors and communication links for the computation of each shortest path so that we can achieve massive parallelization. The time complexity of our algorithm for an MOSP problem is O(m log(n)), which is much less than the time complexity of O(M log/sup 2/ (0)) of the best previous algorithm. Here, M is the number of the shortest paths to be computed and m is a positive number related to the network topology and the distribution of the nodes incurring communications, m is usually much smaller than M. Our experiment shows that m is almost a constant when the network size increases. Accordingly, our algorithm is significantly faster than the best previous algorithms to solve MOSP problems for large data networks."",""1558-2183"","""",""10.1109/71.722218"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=722218"","""",""Clustering algorithms";Network topology;Concurrent computing;Shortest path problem;Distributed computing;Algorithm design and analysis;Computer networks;Distributed algorithms;Broadcasting;"Parallel processing"","""",""20"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
