"A distributed deadlock resolution algorithm for the AND model,""J. R. Gonzalez de Mendivil"; F. Farina; J. R. Garitagotia; C. F. Alastruey;" J. M. Bernabeu-Auban"",""Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain"; Department de Matemáticas e Informática, University Pública de Navarra, Pamplona, Spain; NA; Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain;" Department de Sistemas Informáticos y Computación, University Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""433"",""447"",""Previous proposals for Distributed Deadlock Detection/Resolution algorithms for the AND model have the main disadvantage of resolving false deadlocks, that is, nonexisting or currently being resolved deadlocks. This paper provides an algorithm free of false deadlock resolutions, A simple specification for a safe deadlock resolution algorithm is introduced, and the new distributed solution is developed in a hierarchical fashion from its abstract specification. The algorithm is probe-based, uses node priorities, and coordinates the actions of resolvers so that false deadlocks are not resolved. The solution is formally proven correct by using the input-output Automata Model. Finally, a study about the liveness of the algorithm is provided."",""1558-2183"","""",""10.1109/71.770131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770131"","""",""System recovery";Automata;Abortion;Computer Society;Resource management;Safety;Proposals;Fault detection;Fault tolerance;"Measurement"","""",""20"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A general interprocedural framework for placement of split-phase large latency operations,""G. Agrawal"",""Department of Computer and Information Sciences, University of Delaware, duPont Hospital for Children, Newark, DE, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""4"",""394"",""413"",""Overlapping split-phase large latency operations with computations is a standard technique for improving performance on modern architectures. In this paper, we present a general interprocedural technique for overlapping such accesses with computation. We have developed an Interprocedural Balanced Code Placement (IBCP) framework, which performs analysis on arbitrary recursive procedures and arbitrary control flow and replaces synchronous operations with a balanced pair of asynchronous operations. We have evaluated this scheme in the context of overlapping I/O operations with computation. We demonstrate how this analysis is useful for applications which perform frequent and large accesses to disks, including applications which snapshot or checkpoint their computations or out-of-core applications."",""1558-2183"","""",""10.1109/71.762818"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762818"","""",""Delay";Random access memory;Performance analysis;Read-write memory;Computer architecture;Data analysis;Writing;Data structures;Degradation;"Satellites"","""",""3"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A linear algebra framework for automatic determination of optimal data layouts,""M. Kandemir"; A. Choudhary; N. Shenoy; P. Banerjee;" J. Ramenujarn"",""Department of Electrical Engineering and Computer, Syracuse University, Syracuse, NY, USA"; Department of Electrical and Computer Engineering, Northwestern University Medical School, Evanston, IL, USA; Department of Electrical and Computer Engineering, Northwestern University Medical School, Evanston, IL, USA; Department of Electrical and Computer Engineering, Northwestern University Medical School, Evanston, IL, USA;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""2"",""115"",""135"",""This paper presents a data layout optimization technique for sequential and parallel programs based on the theory of hyperplanes from linear algebra. Given a program, our framework automatically determines suitable memory layouts that can be expressed by hyperplanes for each array that is referenced. We discuss the cases where data transformations are preferable to loop transformations and show that under certain conditions a loop nest can be optimized for perfect spatial locality by using data transformations. We argue that data transformations can also optimize spatial locality for some arrays without distorting temporal/spatial locality exhibited by others. We divide the problem of optimizing data layout into two independent subproblems: 1) determining optimal static data layouts, and 2) determining data transformation matrices to implement the optimal layouts. By postponing the determination of the transformation matrix to the last stage, our method can be adapted to compilers with different default layouts. We then present an algorithm that considers optimizing parallelism and spatial locality simultaneously. Our results on eight programs on two distributed shared-memory multiprocessors, the Convex Exemplar SPP-2000 and the SGI Origin 2000, show that the layout optimizations are effective in optimizing spatial locality and parallelism."",""1558-2183"","""",""10.1109/71.752779"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=752779"","""",""Linear algebra";Parallel processing;Parallel machines;Computer Society;Random access memory;Programming profession;Program processors;Optimizing compilers;Law;"Legal factors"","""",""39"",""6"",""44"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A new self-routing multicast network,""Yuanyuan Yang";" Jianchao Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" GTE Laboratories, Inc., Waltham, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1299"",""1316"",""In this paper, we propose a design for a new self-routing multicast network which can realize arbitrary multicast assignments between its inputs and outputs without any blocking. The network design uses a recursive decomposition approach and is based on the binary radix sorting concept. All functional components of the network are reverse banyan networks. Specifically, the new multicast network is recursively constructed by cascading a binary splitting network and two half-size multicast networks. The binary splitting network, in turn, consists of two recursively constructed reverse banyan networks. The first reverse banyan network serves as a scatter network and the second reverse banyan network serves as a quasisorting network. The advantage of this approach is to provide a way to self-route multicast assignments through the network and a possibility to reuse part of network to reduce the network cost. The new multicast network we design is compared favorably with the previously proposed multicast networks. It uses O(n log/sup 2/ n) logic gates, and has O(log/sup 2/ n) depth and O(log/sup 2/ n) routing time where the unit of time is a gate delay. By reusing part of the network, the feedback implementation of the network can further reduce the network cost to O(n log n)."",""1558-2183"","""",""10.1109/71.819951"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819951"","""",""Routing";Delay effects;Switches;Sorting;Costs;Logic gates;Hardware;Scattering;Feedback;"Distributed databases"","""",""23"",""1"",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"A real-time primary-backup replication service,""Hengming Zou";" F. Jahanian"",""Department of Electrical Engineering And Computer Science, University of Michigan, Ann Arbor, MI, USA";" Department of Electrical Engineering And Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""533"",""548"",""This paper presents a real-time primary-backup replication scheme to support fault-tolerant data access in a real-time environment. The main features of the system are fast response to client requests, bounded inconsistency between primary and backup, temporal consistency guarantee for replicated data, and quick recovery from failures. The paper defines external and interobject temporal consistency, the notion of phase variance, and builds a computation model that ensures such consistencies for replicated data deterministically where the underlying communication mechanism provides deterministic message delivery semantics and probabilistically where no such support is available. It also presents an optimization of the system and an analysis of the failover process which includes failover consistency and failure recovery time. An implementation of the proposed scheme is built within the x-kernel architecture on the MK 7.2 microkernel from the Open Group. The results of a detailed performance evaluation of this implementation are also discussed."",""1558-2183"","""",""10.1109/71.774905"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774905"","""",""Real time systems";Redundancy;Computer aided manufacturing;Aerospace electronics;Process control;Fault tolerance;Fault tolerant systems;Application software;Timing;"Computational modeling"","""",""17"","""",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"A router architecture for flexible routing and switching in multihop point-to-point networks,""S. W. Daniel"; K. G. Shin;" Sang Kyun Yun"",""Lexmark International, Lexington, KY, USA"; Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Technical University of Munich, Ann Arbor, MI, USA;" Department of Computer Science, Seowon University, Cheonghu, Chungbuk, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""1"",""62"",""75"",""Modern parallel and distributed applications have a wide range of communication characteristics and performance requirements. These diverse characteristics affect the performance and suitability of particular routing and switching policies in multihop point-to-point networks. In this paper, we identify a core set of architectural features necessary for flexible selection and implementation of multiple routing and switching schemes. Using this, we present a flexible router whose routing and switching policies can be tailored to the application, allowing the network to meet these diverse needs. By dedicating a small programmable processor to each incoming link, we can implement wormhole, virtual cut-through, and packet switching, as well as hybrid switching schemes, each under a variety of unicast and multicast routing algorithms. In addition, a flexible router can support several applications or traffic types simultaneously, enabling better support of applications with multiple traffic classes. We have designed, implemented, and fabricated the Programmable Routing Controller (PRG). Cycle-level simulations of mesh-connected PRCs also demonstrate that flexible routing and switching can significantly enhance application performance."",""1558-2183"","""",""10.1109/71.744841"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=744841"","""",""Routing";Intelligent networks;Spread spectrum communication;Communication switching;Packet switching;Delay;Computer architecture;Traffic control;Partial response channels;"Switches"","""",""1"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A testbed for evaluation of fault-tolerant routing in multiprocessor interconnection networks,""A. S. Vaidya"; C. R. Das;" A. Sivasubramaniam"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA;" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""1052"",""1066"",""This paper presents a comprehensive evaluation testbed for interconnection networks and routing algorithms using real applications. The testbed is flexible enough to implement any network topology and fault-tolerant routing algorithm, and allows the system architect to study the cost versus performance trade-offs for a range of network parameters. We illustrate its use with one fault-tolerant algorithm and analyze the performance of four shared memory applications with different fault conditions. We also show how the testbed can be used to drive future research in fault-tolerant routing algorithms and architectures by proposing and evaluating novel architectural enhancements to the network router, called path selection heuristics (PSH). We propose three such schemes and the Least Recently Used (LRU) PSH is shown to give the best performance in the presence of faults."",""1558-2183"","""",""10.1109/71.808150"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808150"","""",""Fault tolerance";Routing;Intelligent networks;Multiprocessor interconnection networks;Network topology;Fault tolerant systems;Hardware;System testing;Costs;"Performance analysis"","""",""6"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Adaptive-trail routing and performance evaluation in irregular networks using cut-through switches,""Wenjian Qiao"; L. M. Ni;" T. Rokicki"",""IBM Transarc Laboratories, Pittsburgh, PA, USA"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA;" Hewlett Packard Laboratories, Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""11"",""1138"",""1158"",""Cut-through switching promises low latency delivery and has been used in new generation switches, especially in high speed networks demanding low communication latency. The interconnection of cut-through switches provides an excellent network platform for high speed local area networks (LANs). For cost and performance reasons. Irregular topologies should be supported in such a switch-based network. Switched irregular networks are truly incrementally scalable and have potential to be reconfigured to adapt to the dynamics of network traffic conditions. Due to the arbitrary topologies of networks, it is critical to develop an efficient deadlock-free routing algorithm. A novel deadlock-free adaptive routing algorithm called adaptive-trail routing is proposed to allow irregular interconnection of cut-through switches. The adaptive routing algorithm is based on two unidirectional adaptive trails constructed from two opposite unidirectional Eulerian trails. Some heuristics are suggested in terms of the selection of Eulerian trails, the avoidance of long routing paths, and the degree of adaptivity. Extensive simulation experiments are conducted to evaluate the performance of the proposed and two other routing algorithms under different topologies and traffic workloads."",""1558-2183"","""",""10.1109/71.809573"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809573"","""",""Routing";Communication switching;Switches;Delay;Network topology;System recovery;High-speed networks;LAN interconnection;Local area networks;"Costs"","""",""12"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Algorithmic redistribution methods for block-cyclic decompositions,""A. P. Petitet";" J. J. Dongarra"",""Department of Computer Science, University of Tennessee, Knoxville, TN, USA";" Department of Computer Science, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1201"",""1216"",""This article presents various data redistribution methods for block-partitioned linear algebra algorithms operating on dense matrices that are distributed in a block-cyclic fashion. Because the algorithmic partitioning unit and the distribution blacking factor are most often chosen to be equal, severe alignment restrictions are induced on the operands, and optimal values with respect to performance are architecture dependent. The techniques presented in this paper redistribute data """"on the fly,"""" so that the user's data distribution blocking factor becomes independent from the architecture dependent algorithmic partitioning. These techniques are applied to the matrix-matrix multiplication operation. A performance analysis along with experimental results shows that alignment restrictions can then be removed and that high performance can be maintained across platforms independently from the user's data distribution blocking factor."",""1558-2183"","""",""10.1109/71.819944"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819944"","""",""Partitioning algorithms";Linear algebra;Distributed computing;Software libraries;Scalability;Matrix decomposition;Performance analysis;Parallel algorithms;Concurrent computing;"Algorithm design and analysis"","""",""26"","""",""51"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"An analytical model on the blocking probability of a fault-tolerant network,""M. P. Haynos";" Yuanyuan Yang"",""IBM, Corporation, Encinitas, CA, USA";" Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""1040"",""1051"",""The well-known Clos network has been extensively used for telephone switching, multiprocessor interconnection and data communications. Much work has been done to develop analytical models for understanding the routing blocking probability of the Clos network. However, none of the analytical models for estimating the blocking probability of this type of network have taken into account the very real possibility of the interstage links in the network failing. In this paper, we consider the routing between arbitrary network inputs and outputs in the Clos network in the presence of interstage link faults. In particular, we present an analytical model for the routing blocking probability of the Clos network which incorporates the probability of interstage link failure to allow for a more realistic and useful determination of the approximation of blocking probability. We also conduct extensive simulations to validate the model. Our analytical and simulation results demonstrate that for a relatively small interstage link failure probability, the blocking behavior of the Clos network is similar to that of a fault-free network, and indicate that the Clos network has a good fault-tolerant capability. The new integrated analytical model can guide network designers in the determination of the effects of network failure on the overall connecting capability of the network and allows for the examination of the relationship between network utilization and network failure."",""1558-2183"","""",""10.1109/71.808147"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808147"","""",""Analytical models";Fault tolerance;Multiprocessor interconnection networks;Routing;Joining processes;Switches;Computer networks;Telephony;Data communication;"Computer architecture"","""",""4"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"An application-driven study of parallel system overheads and network bandwidth requirements,""A. Sivasubramaniam"; A. Singla; U. Ramachandran;" H. Venkateswaran"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"; Silicon Graphics, Inc., Mountain View, CA, USA; Georgia Institute of Technology, College of Computing Georgia Institute of Technology, Atlanta, GA, USA;" Georgia Institute of Technology, College of Computing Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""193"",""210"",""Evaluating and analyzing the performance of a parallel application on an architecture to explain the disparity between projected and delivered performance is an important aspect of parallel systems research. However, conducting such a study is hard due to the vast design space of these systems. We study two important aspects related to the performance of parallel applications on shared memory parallel architectures. First, we quantify overheads observed during the execution of these applications on three different simulated architectures. We next use these results to synthesize the bandwidth requirements for the applications with respect to different network topologies. This study is performed using an execution-driven simulation tool called SPASM, which provides a way of isolating and quantifying the different parallel system overheads in a nonintrusive manner. The first exercise shows that in shared memory machines with private caches, as long as the applications are well-structured to exploit locality, the key determinant that impacts performance is network connection. The second exercise quantifies the network bandwidth needed to minimize the effect of network connection. Specifically, it is shown that for the applications considered, as long as the problem sizes are increased commensurate with the system size, current network technologies supporting 200-300 MBytes/sec link bandwidth are sufficient to keep the network overheads (such as latency and contention) within acceptable bounds."",""1558-2183"","""",""10.1109/71.755819"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755819"","""",""Bandwidth";Parallel architectures;Multiprocessor interconnection networks;Network topology;Network synthesis;Delay;Concurrent computing;Parallel machines;Computer architecture;"Hardware"","""",""8"","""",""52"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
