"A class of highly scalable optical crossbar-connected interconnection networks (SOCNs) for parallel computing systems,""B. Webb";" A. Louri"",""Science Applications International Corporation, Tucson, AZ, USA";" Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""5"",""444"",""458"",""A class of highly scalable interconnect topologies called the Scalable Optical Crossbar-Connected Interconnection Networks (SOCNs) is proposed. This proposed class of networks combines the use of tunable Vertical Cavity Surface Emitting Lasers (VCSEL's), Wavelength Division Multiplexing (WDM) and a scalable, hierarchical network architecture to implement large-scale optical crossbar based networks. A free-space and optical waveguide-based crossbar interconnect utilizing tunable VCSEL arrays is proposed for interconnecting processor elements within a local cluster. A similar WDM optical crossbar using optical fibers is proposed for implementing intercluster crossbar links. The combination of the two technologies produces large-scale optical fan-out switches that could be used to implement relatively low cost, large scale, high bandwidth, low latency, fully connected crossbar clusters supporting up to hundreds of processors. An extension of the crossbar network architecture is also proposed that implements a hybrid network architecture that is much more scalable. This could be used to connect thousands of processors in a multiprocessor configuration while maintaining a low latency and high bandwidth. Such an architecture could be very suitable for constructing relatively inexpensive, highly scalable, high bandwidth, and fault-tolerant interconnects for large-scale, massively parallel computer systems. This paper presents a thorough analysis of two example topologies, including a comparison of the two topologies to other popular networks. In addition, an overview of a proposed optical implementation and power budget is presented, along with analysis of proposed media access control protocols and corresponding optical implementation."",""1558-2183"","""",""10.1109/71.852398"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=852398"","""",""Optical interconnections";Stimulated emission;Vertical cavity surface emitting lasers;Large-scale systems;Network topology;Wavelength division multiplexing;Bandwidth;Optical fiber networks;Tunable circuits and devices;"Optical waveguides"","""",""27"",""3"",""38"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A fair distributed mutual exclusion algorithm,""S. Lodha";" A. Kshemkalyani"",""Synposys, Inc., Mountain View, CA, USA";" Department of Electrical Engineering and computer science, University of Illinois, Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""6"",""537"",""549"",""This paper presents a fair decentralized mutual exclusion algorithm for distributed systems in which processes communicate by asynchronous message passing. The algorithm requires between N-1 and 2(N-1) messages per critical section access, where N is the number of processes in the system. The exact message complexity can be expressed as a deterministic function of concurrency in the computation. The algorithm does not introduce any other overheads over Lamport's and Ricart-Agrawala's algorithms, which require 3(N-1) and 2(N-1) messages, respectively, per critical section access and are the only other decentralized algorithms that allow mutual exclusion access in the order of the timestamps of requests."",""1558-2183"","""",""10.1109/71.862205"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=862205"","""",""Clocks";Heuristic algorithms;Message passing;Concurrent computing;Protection;Cascading style sheets;Algorithm design and analysis;Permission;"Delay"","""",""43"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A formal model of message blocking and deadlock resolution in interconnection networks,""S. Wamakulasuriya";" T. M. Pinkston"",""WorkPlace Syst., Pasadena, CA, USA";" SMART Interconnects Group, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""3"",""212"",""229"",""This paper presents a theoretical model of resource allocations and dependencies in wormhole and virtual cut-through interconnection networks. This model allows various types of message blocking to be described precisely, including deadlock. The model distinguishes between messages involved in deadlock and those simply dependent upon deadlock, thus establishing a framework for evaluating the accuracy and correctness of deadlock detection mechanisms. The paper also identifies the necessary and sufficient conditions for the occurrence and resolution of deadlock in interconnection networks, thus providing efficiency and correctness criteria for deadlock resolution mechanisms. Theorems derived from the model are related to various routing algorithms which are based on deadlock recovery."",""1558-2183"","""",""10.1109/71.841739"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=841739"","""",""System recovery";Intelligent networks;Multiprocessor interconnection networks;Routing;Resource management;Sufficient conditions;Packet switching;Throughput;Algorithm design and analysis;"Design optimization"","""",""25"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A framework for the design and implementation of FFT permutation algorithms,""J. Seguel"; D. Bollman;" J. Feo"",""Department of Mathematics, University of Puerto Rico, Mayaguez, Puerto Rico"; Department of Mathematics, University of Puerto Rico, Mayaguez, Puerto Rico;" Supercomputer Center, University of California, San Diego, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""7"",""625"",""635"",""We propose an algebraic framework for the design and implementation of a large class of data-sorting procedures, including all index-digit permutations used in FFTs. We discuss both old and new algorithms in terms of this framework. We show that the algebraic formulation of the new algorithms can be easily encoded using a functional programming language, and that the resulting code introduces no inefficiencies. We present performance results for implementations of three new algorithms for mixed-radix digit-reversal on a Cray C-90 and on a Sun Sparc 5."",""1558-2183"","""",""10.1109/71.877731"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=877731"","""",""Algorithm design and analysis";Tensile stress;Functional programming;Flexible printed circuits;Sun;Scattering;Application software;Arithmetic;Fast Fourier transforms;"Concurrent computing"","""",""5"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A generalized basic-cycle calculation method for efficient array redistribution,""Ching-Hsien Hsu"; Sheng-Wen Bai; Yeh-Ching Chung;" Chu-Sing Yang"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Institute of Computer and Information Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Institute of Computer and Information Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""12"",""1201"",""1216"",""In many scientific applications, dynamic array redistribution is usually required to enhance the performance of an algorithm. In this paper, we present a generalized basic-cycle calculation (GBCC) method to efficiently perform a BLOCK-CYCLIC(s) over P processors to BLOCK-CYCLIC(t) over Q processors array redistribution. In the GBCC method, a processor first computes the source/destination processor/data sets of array elements in the first generalized basic-cycle of the local array it owns. A generalized basic-cycle is defined as lcm(sP, tQ)/(gcd(s,t)/spl times/P) in the source distribution and lcm(sP, tQ)/(gcd(s,t)/spl times/Q) in the destination distribution. From the source/destination processor/data sets of array elements in the first generalized basic-cycle, we can construct packing/unpacking pattern tables to minimize the data-movement operations. Since each generalized basic-cycle has the same communication pattern, based on the packing/unpacking pattern tables, a processor can pack/unpack array elements efficiently. To evaluate the performance of the GBCC method, we have implemented this method on an IBM SP2 parallel machine, along with the PITFALLS method and the ScaLAPACK method. The cost models for these three methods are also presented. The experimental results show that the GBCC method outperforms the PITFALLS method and the ScaLAPACK method for all test samples. A brief description of the extension of the GBCC method to multidimensional array redistributions is also presented."",""1558-2183"","""",""10.1109/71.895789"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895789"","""",""Phased arrays";Costs;Multidimensional systems;Parallel programming;Computer languages;Program processors;Computer Society;Application software;Parallel machines;"Testing"","""",""20"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A mathematical model and scheduling heuristics for satisfying prioritized data requests in an oversubscribed communication network,""M. D. Theys"; Min Tan; N. B. Beck; H. J. Siegel;" M. Jurczyk"",""Department of Electrical Engineering and Computer Science, University of Illinois, Chicago, Chicago, IL, USA"; Dealist. com, San Jose, CA, USA; Boston Design Center, Sun UltraSPARC Verification, Chelmsford, MA, USA; School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA;" Department of Computer Engineering and Computer Science, University of Missouri, Columbia, Columbia, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""9"",""969"",""988"",""Providing up-to-date input to users' applications is an important data management problem for a distributed computing environment, where each data storage location and intermediate node may have specific data available, storage limitations, and communication links available. Sites in the network request data items and each request has an associated deadline and priority. In a military situation, the data staging problem involves positioning data for facilitating a faster access time when it is needed by programs that will aid in decision making. This work concentrates on solving a basic version of the data staging problem in which all parameter values for the communication system and the data request information represent the best known information collected so far and stay fixed throughout the scheduling process. The network is assumed to be oversubscribed and not all requests for data items can be satisfied. A mathematical model for the basic data staging problem is introduced. Then, three multiple-source shortest-path algorithm-based heuristics for finding a near-optimal schedule of the communication steps for staging the data are presented. Each heuristic can be used with each of four cost criteria developed. Thus, 12 implementations are examined. In addition, two different weightings for the relative importance of different priority levels are considered. The performance of the proposed heuristics are evaluated and compared by simulations. The proposed heuristics are shown to perform well with respect to upper and lower bounds. Furthermore, the heuristics and a complex cost criterion allow more highest priority messages to be received than a simple-cost-based heuristic that schedules all highest priority messages first."",""1558-2183"","""",""10.1109/71.879779"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=879779"","""",""Mathematical model";Communication networks;Costs;Processor scheduling;Environmental management;Distributed computing;Memory;Military computing;Decision making;"Heuristic algorithms"","""",""27"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"A parallel pruning technique for highly asymmetric assignment problems,""N. Cohen";" J. Brassil"",""San Francisco Bay, CA, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""6"",""550"",""558"",""We introduce a new two-phase technique to solve highly asymmetric assignment problems. In the first phase, the assignment problem is decomposed into subproblems which are solved in parallel. The first phase is used to exclude certain suboptimal assignments from consideration in the second phase. In the second phase, the optimal assignment is finalized. We show that the two-phase algorithm can reduce the theoretical time bound for solving an n/spl times/k assignment problem (n<k) by a factor of /spl radic//sup k///sub n/."",""1558-2183"","""",""10.1109/71.862206"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=862206"","""",""Iterative algorithms";Lifting equipment;Mathematical programming;Parallel algorithms;Resource management;Personnel;Weapons;Missiles;Transportation;"Concurrent computing"","""",""1"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A protocol to achieve independence in constant rounds,""R. Gennaro"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""7"",""636"",""647"",""Independence is a fundamental property needed to achieve security in fault-tolerant distributed computing. In practice, distributed communication networks are neither fully synchronous or fully asynchronous, but rather loosely synchronized. By this, we mean that in a communication protocol, messages at a given round may depend on messages from other players at the same round. These possible dependencies among messages create problems if we need n players to announce independently chosen values. This task is called simultaneous broadcast. In this paper, we present the first constant round protocol for simultaneous broadcast in a reasonable computation model (which includes a common shared random string among the players). The protocol is provably secure under general cryptographic assumptions. In the process, we develop a new and stronger formal definition for this problem. Previously known protocols for this task required either O(log n) or expected constant rounds to complete (depending on the computation model considered)."",""1558-2183"","""",""10.1109/71.877748"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=877748"","""",""Broadcasting";Cryptographic protocols;Computational modeling;Distributed computing;Cryptography;Fault tolerance;Communication networks;Variable structure systems;Intelligent networks;"Computer networks"","""",""8"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A protocol-centric approach to on-the-fly race detection,""D. Perkovic";" P. J. Keleher"",""Department of Computer Science, University of Maryland, College Park, MD, USA";" Department of Computer Science, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""10"",""1058"",""1072"",""We present the design and evaluation of a new data-race-detection technique. Our technique executes at runtime rather than post-mortem, and handles unmodified shared-memory applications that run on top of CVM, a software distributed shared memory system. We do not assume explicit associations between synchronization and shared data, and require neither compiler support nor program source. Instead, we use a binary code re-writer to instrument instructions that may access shared memory. The most novel aspect of our system is that we are able to use information from the underlying memory system implementation in order to reduce the number of comparisons made at runtime. We present an experimental evaluation of our techniques by using our system to look for data races in five common shared-memory programs. We quantify the effect of several optimizations to the basic technique: data flow analysis, instrumentation batching, runtime code modification, and instrumentation inlining. Our system correctly found races in three of the five programs, including two from a standard benchmark suite. The slowdown of this debugging technique averages less than 2.5 for our applications."",""1558-2183"","""",""10.1109/71.888645"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=888645"","""",""Application software";Instruments;Runtime;Computer Society;Protocols;Computer bugs;Program processors;Binary codes;Data analysis;"Debugging"","""",""12"","""",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A randomized contention-based load-balancing protocol for a distributed multiserver queuing system,""A. E. Kostin"; I. Aybay;" G. Oz"",""Department of Computer Engineering, Eastern Mediterranean University, Mersin, Turkey"; Department of Computer Engineering, Eastern Mediterranean University, Mersin, Turkey;" Department of Computer Engineering, Eastern Mediterranean University, Mersin, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2000"",""11"",""12"",""1252"",""1273"",""A novel protocol for load balancing in distributed multiserver queuing systems is proposed. The protocol is based on an anonymous multicast communication in a network of servers or workers. A formal description of the protocol in terms of a state diagram is given. The complexity issues of the protocol are considered. The protocol was investigated by the use of a simulation model in terms of a class of the extended Petri nets and implemented as a prototype system on a group of computers in a LAN of Ethernet type. The results of simulation and prototype-system studies of a distributed queuing system with the proposed protocol are compared to the behavior of an ideal, centralized queuing system. Limitations and possible extensions to the protocol are outlined."",""1558-2183"","""",""10.1109/71.895792"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895792"","""",""Computational modeling";Virtual prototyping;Load management;Multicast protocols;Multicast communication;Network servers;Computer simulation;Petri nets;Local area networks;"Ethernet networks"","""",""13"","""",""34"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
