"A novel channel-adaptive uplink access control protocol for nomadic computing,""Yu-Kwong Kwok";" V. K. N. Lau"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China";" Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1150"",""1165"",""We consider the uplink access control problem in a mobile nomadic computing system, which is based on a cellular phone network in that a user can use the mobile device to transmit voice or file data. This resource management problem is important because an efficient solution to uplink access control is critical for supporting a large user population with a reasonable level of quality of service (QoS). While there are a number of recently proposed protocols for uplink access control, these protocols possess a common drawback in that they do not adapt well to the burst error properties, which are inevitable in using wireless communication channels. We propose a novel TDMA-based uplink access protocol, which employs a channel state dependent allocation strategy. Our protocol is motivated by two observations: (1) when channel state is bad, the throughput is low due to the large amount of FEC (forward error correction) or excessive ARQ (automatic repeated request) that is needed and (2) because of item 1, much of the mobile device's energy is wasted. The proposed protocol works closely with the underlying physical layer in that, through observing the channel state information (CSI) of each mobile device, the MAC protocol first segregates a set of users with good CSI from requests gathered in the request contention phase of an uplink frame. The protocol then judiciously allocates channel bandwidth to contending users based on their channel conditions. Simulation results indicate that the proposed protocol considerably outperforms five state-of-the-art protocols in terms of packet loss, delay, and throughput."",""1558-2183"","""",""10.1109/TPDS.2002.1058098"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058098"","""",""Access control";Access protocols;Mobile computing;Quality of service;Wireless application protocol;Throughput;Forward error correction;Computer networks;Cellular networks;"Resource management"","""",""18"","""",""23"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A novel data distribution technique for host-client type parallel applications,""N. Comino";" V. L. Narasimhan"",""Department of Electrical Engineering, University of Queensland, Australia";" Computer Science Department, University of North Texas, Denton, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""2"",""97"",""110"",""This paper considers an analytic data distribution for improving the performance of host-client type parallel applications which exhibit serialized communication patterns. The technique involves assuming the serialized communications is enforced, which simplifies data analysis and can provide the basis for real-time dynamic load balancing. This distribution has been tested using a parallel matrix multiplication implementation and a parallel MPEG compression implementation. The key results of this paper are that analytic distribution can reduce execution time and increase scalability of certain parallel applications over typical equal data distributions."",""1558-2183"","""",""10.1109/71.983939"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983939"","""",""Distributed computing";Data analysis;Performance analysis;Load management;Transform coding;Algorithm design and analysis;Concurrent computing;Communication standards;Pattern analysis;"Testing"","""",""14"",""9"",""22"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A performance analysis of transposition-table-driven work scheduling in distributed search,""J. W. Romein"; H. E. Bal; J. Schaeffer;" A. Plaat"",""Faculty of Sciences Department of Mathematics and Computer Science, Vrije Universiteit, Amsterdam, Netherlands"; Faculty of Sciences Department of Mathematics and Computer Science, Vrije Universiteit, Amsterdam, Netherlands; Department of Computing Science, University of Alberta, AB, Canada;" Faculty of Sciences Department of Mathematics and Computer Science, Vrije Universiteit, Amsterdam, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""5"",""447"",""459"",""This paper discusses a new work-scheduling algorithm for parallel search of single-agent state spaces, called transposition-table-driven work scheduling, that places the transposition table at the heart of the parallel work scheduling. The scheme results in less synchronization overhead, less processor idle time, and less redundant search effort. Measurements on a 128-processor parallel machine show that the scheme achieves close-to-linear speedups";" for large problems the speedups are even superlinear due to better memory usage. On the same machine, the algorithm is 1.6 to 12.9 times faster than traditional work-stealing-based schemes."",""1558-2183"","""",""10.1109/TPDS.2002.1003855"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1003855"","""",""Performance analysis";Processor scheduling;Scheduling algorithm;State-space methods;Tree graphs;Computer Society;Heart;Velocity measurement;Parallel machines;"Logic programming"","""",""17"","""",""39"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"A study of adaptive forward error correction for wireless collaborative computing,""P. K. McKinley"; Chiping Tang;" A. P. Mani"",""The Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"; The Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA;" Lucent Technologies, Bell Laboratories Innovations, Holmdel, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""936"",""947"",""This paper addresses the problem of reliably multicasting Web resources across wireless local area networks (WLANs) in support of collaborative computing applications. An adaptive forward error correction (FEC) protocol is described, which adjusts the level of redundancy in the data stream in response to packet loss conditions. The proposed protocol is intended for use on a proxy server that supports mobile users on a WLAN. The software architecture of the proxy service and the operation of the adaptive FEC protocol are described. The performance of the protocol is evaluated using both experimentation on a mobile computing testbed as well as simulation. The results of the performance study show that the protocol can quickly accommodate worsening channel characteristics in order to reduce delay and increase throughput for reliable multicast channels."",""1558-2183"","""",""10.1109/TPDS.2002.1036067"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036067"","""",""Forward error correction";Collaboration;Wireless LAN;Multicast protocols;Computer applications;Computer networks;Application software;Redundancy;Network servers;"Software architecture"","""",""15"",""5"",""27"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Access control mechanisms in a distributed, persistent memory system,""L. Lopriore"",""Dipartimento di Ingegneria della Informazione Elettronica, Informatica, Telecomunicazioni, Università degli Studi di Pisa, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""10"",""1066"",""1083"",""A distributed, persistent memory system is considered, which implements a form of segmentation with paging within the framework of the single-address-space paradigm of memory reference. A peculiar problem of a system of this type is the lack of protection of the private information items of any given process against unauthorized access attempts possibly performed by the other processes. We present a set of mechanisms able to enforce access control over the private virtual space areas. These mechanisms guarantee a degree of protection comparable to that typical of a multiple-address-space system, while preserving the advantages of ease of information sharing, typical of the single-address-space model. The resulting environment is evaluated from a number of salient viewpoints, including ease of distribution and revocation of access rights, strategies for virtual space reuse, and the storage requirements of the information for memory management."",""1558-2183"","""",""10.1109/TPDS.2002.1041883"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041883"","""",""Access control";Protection;Permission;Memory management;Environmental management;Buffer storage;Information management;Distributed control;Control systems;"Circuits"","""",""5"",""2"",""56"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Adaptive bandwidth reservation and admission control in QoS-sensitive cellular networks,""Sunghyun Choi";" K. G. Shin"",""Philips Research, Wireless Communications and Networking, NY, USA";" Real-Time Computing Laboratory, EECS Department, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""882"",""897"",""How to keep the probability of hand-off drops within a prespecified limit is a very important quality-of-service (QoS) issue in cellular networks because mobile users should be able to maintain ongoing sessions even during their hand-off from one cell to another. We design and evaluate predictive and adaptive schemes for bandwidth reservation for the hand-offs of ongoing sessions and the admission control of new connections. We first develop a method to estimate user mobility based on an aggregate history of hand-offs observed in each cell. This method is then used to probabilistically predict mobiles' directions and hand-off times in a cell. For each cell, the bandwidth to be reserved for hand-offs is calculated by estimating the total sum of tractional bandwidths of the expected hand-offs within a mobility-estimation time window. Three different admission-control schemes for new connection requests using this bandwidth reservation are proposed. We also consider variations that utilize the path/location information available from the car navigation system or global positioning system. Finally, we evaluate the performance of the proposed schemes extensively to show that they meet our design goal and outperform the static reservation scheme under various scenarios."",""1558-2183"","""",""10.1109/TPDS.2002.1036063"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036063"","""",""Programmable control";Adaptive control;Bandwidth;Admission control;Land mobile radio cellular systems;Quality of service;Maintenance;Aggregates;History;"Navigation"","""",""100"",""1"",""22"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Addressing and routing in hexagonal networks with applications for tracking mobile users and connection rerouting in cellular networks,""F. Garcia Nocetti"; I. Stojmenovic;" Jingyuan Zhang"",""DISCA, IIMAS, UNAM Apdo, Mexico"; University of Ottawa, Ottawa, ONT, Canada;" Computer Science Department, University of Alabama, Tuscaloosa, AL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""963"",""971"",""Nodes in a hexagonal network are placed at the vertices of a regular triangular tessellation, so that each node has up to six neighbors. The network is proposed as an alternative interconnection network to a mesh connected computer (with nodes serving as processors) and is used also to model cellular networks where nodes are the base stations. In this paper, we propose a suitable addressing scheme for nodes (with two variants), derive a formula for distance between nodes, and present a very simple and elegant routing algorithm. This addressing scheme and corresponding routing algorithm for hexagonal interconnection are considerably simpler than previously proposed solutions. We then apply the addressing scheme for solving two problems in cellular networks. With the new scheme, the distance between the new and old cell to which a mobile phone user is connected can be easily determined and coded with three integers, one of them being zero. Further, in order to minimize the wireless cost of tracking mobile users, we propose hexagonal cell identification codes containing three, four, or six bits, respectively, to implement a distance based tracking strategy. These schemes do not have errors in determining cell distance in existing hexagonal based cellular networks. Another application is for connection rerouting in cellular networks during a path extension process."",""1558-2183"","""",""10.1109/TPDS.2002.1036069"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036069"","""",""Routing";Intelligent networks;Land mobile radio cellular systems;Base stations;Multiprocessor interconnection networks;Broadcasting;Computer networks;Mobile handsets;Costs;"Tracking"","""",""78"","""",""30"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"An advanced compiler framework for non-cache-coherent multiprocessors,""Yunheung Paek"; A. Navarro; E. Zapata; J. Hoeflinger;" D. Padua"",""Department of Electrical Engineering and Computer Science, Korean Advanced Institute of Science and Technology, Taejon, South Korea"; Department of Computer Architecture, University of Malaga, Malaga, Spain; Department of Computer Architecture, University of Malaga, Malaga, Spain; Intel Corporation, Champaign, IL, USA;" Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""241"",""259"",""The Cray T3D and T3E are non-cache-coherent (NCC) computers with a NUMA structure. They have been shown to exhibit a very stable and scalable performance for a variety of application programs. Considerable evidence suggests that they are more stable and scalable than many other shared-memory multiprocessors. However, the principal drawback of these machines is a lack of programmability, caused by the absence of the global cache coherence that is necessary to provide a convenient shared view of memory in hardware. This forces the programmer to keep careful track of where each piece of data is stored, a complication that is unnecessary when a pure shared-memory view is presented to the user. We believe that a remedy for this problem is advanced compiler technology. In this paper, we present our experience with a compiler framework for automatic parallelization and communication generation that has the potential to reduce the time-consuming hand-tuning that would otherwise be necessary to achieve good performance with this type of machine. From our experiments, we learned that our compiler performs well for a variety of applications on the T3D and T3E and we found a few sophisticated techniques that could improve performance even more once they are fully implemented in the compiler."",""1558-2183"","""",""10.1109/71.993205"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993205"","""",""Application software";Hardware;"Programming profession"","""",""7"","""",""49"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"An analytical model for information retrieval in wireless sensor networks using enhanced APTEEN protocol,""A. Manjeshwar"; Qing-An Zeng;" D. P. Agrawal"",""Robert Bosch Limited Liability Company, Palo Alto, CA, USA"; Center for Distributed and Mobile Computing, Electrical and Computer Engineering and Computer Science Department, University of Cincinnati, Cincinnati, OH, USA;" Center for Distributed and Mobile Computing, Electrical and Computer Engineering and Computer Science Department, University of Cincinnati, Cincinnati, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1290"",""1302"",""Wireless sensor networks are a new class of ad hoc networks that will find increasing deployment in coming years, as they enable reliable monitoring and analysis of unfamiliar and untested environments. The advances in technology have made it possible to have extremely small, low powered sensor devices equipped with programmable computing, multiple parameter sensing, and wireless communication capability. Because of their inherent limitations, the protocols designed for such sensor networks must efficiently use both limited bandwidth and battery energy. We develop an M/G/1 model to analytically determine the delay incurred in handling various types of queries using our enhanced APTEEN (Adaptive Periodic Threshold-sensitive Energy Efficient sensor Network protocol) protocol. Our protocol uses an enhanced TDMA schedule to efficiently incorporate query handling, with a queuing mechanism for heavy loads. It also provides the additional flexibility of querying the network through any node in the network. To verify our analytical results, we have simulated a temperature sensing application with a Poisson arrival rate for queries on the network simulator ns-2. As the simulation and analytical results match perfectly well, this can be said to be the first step towards analytically determining the delay characteristics of a wireless sensor network."",""1558-2183"","""",""10.1109/TPDS.2002.1158266"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158266"","""",""Analytical models";Information retrieval;Wireless sensor networks;Wireless application protocol;Ad hoc networks;Telecommunication network reliability;Monitoring;Wireless communication;Bandwidth;"Batteries"","""",""62"","""",""18"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;
"An application-centric characterization of domain-based SFC partitioners for parallel SAMR,""J. Steensland"; S. Chandra;" M. Parashar"",""Software Systems Laboratory, Department of Electrical and Computer Engineering, Rutgers, State University of New Jersey, Piscataway, NJ, USA"; Software Systems Laboratory, Department of Electrical and Computer Engineering, Rutgers, State University of New Jersey, Piscataway, NJ, USA;" Software Systems Laboratory, Department of Electrical and Computer Engineering, Rutgers, State University of New Jersey, Piscataway, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Jan 2003"",""2002"",""13"",""12"",""1275"",""1289"",""Structured adaptive mesh refinement (SAMR) methods for the numerical solution of partial differential equations yield highly advantageous ratios for cost/accuracy as compared to methods based on static uniform approximations. These techniques are being effectively used in many domains including computational fluid dynamics, numerical relativity, astrophysics, subsurface modeling, and oil reservoir simulation. Distributed implementations of these methods, however, lead to significant challenges in dynamic data-distribution, load-balancing, and runtime management. This paper presents an application-centric characterization of a suite of dynamic domain-based inverse space-filling curve partitioning techniques for the distributed adaptive grid hierarchies that underlie SAMR applications. The overall goal of this research is to formulate policies required to drive a dynamically adaptive metapartitioner for SAMR grid hierarchies capable of selecting the most appropriate partitioning strategy at runtime based on current application and system state. Such a metapartitioner can significantly reduce the execution time of SAMR applications."",""1558-2183"","""",""10.1109/TPDS.2002.1158265"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1158265"","""",""Fluid dynamics";Runtime;Adaptive mesh refinement;Partial differential equations;Costs;Computational fluid dynamics;Astrophysics;Petroleum;Hydrocarbon reservoirs;"Computational modeling"","""",""34"","""",""50"",""IEEE"",""6 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;
"An efficient parallel algorithm for the efficient domination problem on distance-hereditary graphs,""Sun-yuan Hsieh"",""The Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""985"",""993"",""In the literature, there are quite a few sequential and parallel algorithms for solving problems on distance-hereditary graphs. With an n-vertex and m-edge distance-hereditary graph G, we show that the efficient domination problem on G can be solved in O(log/sup 2/ n) time using O(n + m) processors on a CREW PRAM. Moreover, if a binary tree representation of G is given, the problem can be optimally solved in O(log n) time using O(n/log n) processors on an EREW PRAM."",""1558-2183"","""",""10.1109/TPDS.2002.1036071"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036071"","""",""Parallel algorithms";Phase change random access memory;Binary trees;Tree graphs;Bipartite graph;Joining processes;Concurrent computing;Codes;Resource management;"Parallel processing"","""",""5"","""",""33"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
