"2002 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""94"",""96"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2003.1167374"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167374"","""",""IEEE"","""","""","""","""",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A clustering approach for identifying and quantifying irregularities in interconnection networks,""W. H. Ho";" T. M. Pinkston"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1222"",""1239"",""Support for arbitrary topologies has become more popular for system-area networks but very little has been done in trying to characterize their behavior and performance. Traditional parameters like diameter and bisection width are not sufficient for characterizing the irregularities that abound in such networks and fail to give much insight into throughput performance. A clustering approach for partitioning a network into clusters of richly-connected regions is proposed as a means of defining two performance-correlated characterization metrics: intercluster bandwidth index and intercluster link-cost index. The two characterization metrics are shown to have a strong correlation to saturation throughput when link and load distribution of a network is imbalanced. Simulation results also show that the clustering algorithm can be applied to a variety of network configurations and traffic scenarios, particularly irregular ones. With the proposed characterization metrics that correlate more strongly with performance, it is possible to classify networks into categories having similar performance."",""1558-2183"","""",""10.1109/TPDS.2003.1255635"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255635"","""",""Intelligent networks";Multiprocessor interconnection networks;Network topology;Telecommunication traffic;Routing;Throughput;Switches;Bandwidth;Clustering algorithms;"Partitioning algorithms"","""",""1"",""1"",""23"",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A comparison of three artificial life techniques for reporting cell planning in mobile computing,""R. Subrata";" A. Y. Zomaya"",""Parallel Computing Research Laboratory, Department of Electrical and Electronic Engineering, University of Western Australia, Perth, WA, Australia";" School of Information Technologies, University of Sydney, Sydney, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2003"",""2003"",""14"",""2"",""142"",""153"",""Location management is a very important and complex problem in today's mobile computing environments. There is a need to develop algorithms that could capture this complexity yet can be easily implemented and used to solve a wide range of location management scenarios. Artificial life techniques have been used to solve a wide range of complex problems in recent times. The power of these techniques stems from their capability in searching large search spaces, which arise in many combinatorial optimization problems, very efficiently. This paper compares several well-known artificial life techniques to gauge their suitability for solving location management problems. Due to their popularity and robustness, a genetic algorithm (GA), tabu search (TS), and ant colony algorithm (ACA) are used to solve the reporting cells planning problem. In the reporting cell location management scheme, some cells in the network are designated as reporting cells";" mobile terminals update their positions (location update) upon entering one of these reporting cells. To create such a planner, a GA, TS, as well as several different AC algorithms are implemented. The effectiveness of each algorithm is shown for a number of test problems."",""1558-2183"","""",""10.1109/TPDS.2003.1178878"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178878"","""",""Mobile computing";Genetic algorithms;Paging strategies;Quality of service;Costs;Environmental management;Ant colony optimization;Robustness;Testing;"Mobile radio mobility management"","""",""68"","""",""43"",""IEEE"",""19 Feb 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A cost-effective implementation of multilevel tiling,""M. Jimenez"; J. M. Llaberia;" A. Fernandez"",""Departamento de Arquitectura de Computadores, UPC, Barcelona, Spain"; Departamento de Arquitectura de Computadores, UPC, Barcelona, Spain;" Departamento de Arquitectura de Computadores, UPC, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Oct 2003"",""2003"",""14"",""10"",""1006"",""1020"",""This paper presents a new cost-effective algorithm to compute exact loop bounds when multilevel tiling is applied to a loop nest having affine functions as bounds (nonrectangular loop nest). Traditionally, exact loop bounds computation has not been performed because its complexity is doubly exponential on the number of loops in the multilevel tiled code and, therefore, for certain classes of loops (i.e., nonrectangular loop nests), can be extremely time consuming. Although computation of exact loop bounds is not very important when tiling only for cache levels, it is critical when tiling includes the register level. This paper presents an efficient implementation of multilevel tiling that computes exact loop bounds and has a much lower complexity than conventional techniques. To achieve this lower complexity, our technique deals simultaneously with all levels to be tiled, rather than applying tiling level by level as is usually done. For loop nests having very simple affine functions as bounds, results show that our method is between 15 and 28 times faster than conventional techniques. For loop nests caving not so simple bounds, we have measured speedups as high as 2,300. Additionally, our technique allows eliminating redundant bounds efficiently. Results show that eliminating redundant bounds in our method is between 22 and 11 times faster than in conventional techniques for typical linear algebra programs."",""1558-2183"","""",""10.1109/TPDS.2003.1239869"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239869"","""",""Registers";Parallel processing;Linear algebra;Microprocessors;Bandwidth;Velocity measurement;Partitioning algorithms;"Memory architecture"","""",""7"",""2"",""26"",""IEEE"",""27 Oct 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A fair resource allocation protocol for multimedia wireless networks,""A. Malla"; M. El-Kadi; S. Olariu;" P. Todorova"",""Nortel Networks, Richardson, TX, USA"; Zel Technologies, Hampton, VA; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" FhG-FOKUS, Berlin, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""63"",""71"",""Wireless networks are expected to support real-time interactive multimedia traffic and must be able, therefore, to provide their users with quality-of-service (QoS) guarantees. Although the QoS provisioning problem arises in wireline networks as well, mobility of hosts and scarcity of bandwidth makes QoS provisioning a challenging task in wireless networks. It has been noticed that multimedia applications can tolerate and gracefully adapt to transient fluctuations in the QoS that they receive from the network. The additional flexibility afforded by the ability of multimedia applications to tolerate and adapt to transient changes in QoS can be exploited by protocol designers to significantly improve the overall performance of wireless systems. This paper presents a fair resource allocation protocol for multimedia wireless networks that uses a combination of bandwidth reservation and bandwidth borrowing to provide network users with QoS in terms of guaranteed bandwidth, call blocking, and call dropping probabilities. Our view of fairness was inspired by the well-known max-min fairness allocation protocol for wireline networks. Simulation results are presented that compare our protocol to similar schemes."",""1558-2183"","""",""10.1109/TPDS.2003.1167371"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167371"","""",""Resource management";Wireless application protocol;Wireless networks;Bandwidth;Admission control;Telecommunication traffic;Land mobile radio cellular systems;Channel allocation;Traffic control;"Communication system traffic control"","""",""56"","""",""26"",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A fine-grained modality classification for global predicates,""A. D. Kshemkalyani"",""Department of Computer Science, University of Illinois, Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Aug 2003"",""2003"",""14"",""8"",""807"",""816"",""Specifying and detecting predicates in a distributed execution is an important problem. Distributed execution observation has classically used two modalities-Possibly(/spl Phi/) and Definitely(/spl Phi/)-for predicate /spl Phi/. Based on the temporal interactions of intervals, the author identified a complete, orthogonal set of relationships /spl Rfr/";" between pairs of intervals in a distributed execution. We show how to map the rich, orthogonal classification of modalities of pairwise interval interactions, to the classical coarse-grained classification, Possibly(/spl Phi/) and Definitely(/spl Phi/), for specifying predicates defined on any number of processes. This increases the power of expressing the temporal modalities under which predicates can be specified, beyond the current Possibly/Definitely classification. We give some timestamp-based tests for the orthogonal modalities in the refined classification."",""1558-2183"","""",""10.1109/TPDS.2003.1225059"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1225059"","""",""Testing";Refining;Debugging;Electrical equipment industry;Industrial control;Process control;Event detection;Interleaved codes;Monitoring;"Distributed control"","""",""21"","""",""19"",""IEEE"",""26 Aug 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"A high-performance application data environment for large-scale scientific computations,""X. Shen"; W. . -K. Liao; Alok Choudhary; G. Memik;" M. Kandemir"",""Core Technology Department, Motorola, Inc., Libertyville, IL, USA"; Electrical and Computer Engineering Department, L359 Technological Institute, Northwestern University, Evanston, IL, USA; Electrical and Computer Engineering Department, L359 Technological Institute, Northwestern University, Evanston, IL, USA; Electrical and Computer Engineering Department, L359 Technological Institute, Northwestern University, Evanston, IL, USA;" Department of Computer Science and Engineering, Pennsylvania state University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1262"",""1274"",""Effective high-level data management is becoming an important issue with more and more scientific applications manipulating huge amounts of secondary-storage and tertiary-storage data using parallel processors. A major problem facing the current solutions to this data management problem is that these solutions either require a deep understanding of specific data storage architectures and file layouts to obtain the best performance (as in high-performance storage management systems and parallel file systems), or they sacrifice significant performance in exchange for ease-of-use and portability (as in traditional database management systems). We discuss the design, implementation, and evaluation of a novel application development environment for scientific computations. This environment includes a number of components that make it easy for the programmers to code and run their applications without much programming effort and, at the same time, to harness the available computational and storage power on parallel architectures."",""1558-2183"","""",""10.1109/TPDS.2003.1255638"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255638"","""",""Large-scale systems";File systems;Concurrent computing;Memory;Data visualization;Libraries;Environmental management;Database systems;Programming profession;"Parallel programming"","""",""6"","""",""39"",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A pipeline-based approach for scheduling video processing algorithms on NOW,""Mau-Tsuen Yang"; R. Kasturi;" A. Sivasubramaniam"",""Dept. of Comput. Sci. & Inf. Eng., Nat. Don-Hwa Univ., Taipei, Taiwan"; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA;" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2003"",""2003"",""14"",""2"",""119"",""130"",""Network Of Workstations (NOW) platforms put together with off-the-shelf workstations and networking hardware have become a cost effective, scalable, and flexible platform for video processing applications. Still, one has to manually schedule an algorithm to the available processors of the NOW to make efficient use of the resources. However, this approach is time-consuming and impractical for a video processing system that must perform a variety of different algorithms, with new algorithms being constantly developed. Improved support for program development is absolutely necessary before the full benefits of parallel architectures can be realized for video processing applications. Toward this goal, an automatic compile-time scheduler has been developed to schedule input tasks of video processing applications with precedence constraints onto available processors. The scheduler exploits both spatial (parallelism) and temporal (pipelining) concurrency to make the best use of machine resources. Two important scheduling problems are addressed. First, given a task graph and a desired throughput, a schedule is constructed to achieve the desired throughput with the minimum number of processors. Second, given a task graph and a finite set of available resources, a schedule is constructed such that the throughput is maximized while meeting the resource constraints. Results from simulations show that the scheduler and proposed optimization techniques effectively tackle these problems by maximizing processor utilization. A code generator has been developed to generate parallel programs automatically. The tools developed in this paper make it much easier for a programmer to develop video processing applications on these parallel architectures."",""1558-2183"","""",""10.1109/TPDS.2003.1178876"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178876"","""",""Scheduling algorithm";Processor scheduling;Throughput;Workstations;Parallel architectures;Hardware;Costs;Pipeline processing;Concurrent computing;"Programming profession"","""",""21"","""",""22"",""IEEE"",""19 Feb 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"A progressive approach to handling message-dependent deadlock in parallel computer systems,""Yong Ho Song";" T. M. Pinkston"",""SMART Interconnects Group, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-System, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2003"",""2003"",""14"",""3"",""259"",""275"",""Handling deadlocks is essential for providing reliable communication paths between processing nodes in parallel computer systems. The existence of multiple message types and associated inter-message dependencies may cause message-dependent deadlocks in networks that are designed to be free of routing deadlock. Most methods currently used for dealing with message-dependent deadlocks require more system resources than are necessary and/or do not use system resources efficiently. This may have an adverse effect on system performance if resources are scarce. In this paper, we characterize the frequency of message-dependent deadlocks in multiprocessor/multicomputer systems. We also propose a handling technique for message-dependent deadlocks based on progressive deadlock recovery and evaluate its performance with other approaches. Results show that message-dependent deadlocks occur very infrequently under typical circumstances thus, rendering approaches based on avoiding them overly restrictive in the common case. The proposed technique relaxes restrictions considerably, allowing the routing of packets and the handling of message-dependent deadlocks to be much more efficient-particularly when network resources are scarce."",""1558-2183"","""",""10.1109/TPDS.2003.1189584"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189584"","""",""System recovery";Concurrent computing;Routing;Computer network reliability;Telecommunication network reliability;System performance;Frequency;Parallel processing;Computer networks;"Hardware"","""",""52"",""1"",""26"",""IEEE"",""26 Mar 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A simple and fast parallel coloring for distance-hereditary graphs,""Sun-Yuan Hsieh"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1201"",""1208"",""In the literature, there are quite a few sequential and parallel algorithms to solve problems on distance-hereditary graphs. Two well-known classes of graphs, which contain trees and cographs, belong to distance-hereditary graphs. We consider the vertex-coloring problem on distance-hereditary graphs. Let T/sub d/(|V|, |E|) and P/sub d/d(|V|, |E|) denote the time and processor complexities, respectively, required to construct a decomposition tree representation of a distance-hereditary graph G=(V,E) on a PRAM model M/sub d/. Our algorithm runs in O(T/sub d/(|V|, |E|)+log|V|) time using O(P/sub d/(|V|, |E|)+|V|/log|V|) processors on M/sub d/. The best known result for constructing a decomposition tree needs O(log/sup 2/ |V|) time using O(|V|+|E|) processors on a CREW PRAM. If a decomposition tree is provided as input, we solve the problem in O(log |V|) time using O(|V|/log |V|) processors on an EREW PRAM. To the best of our knowledge, there is no parallel algorithm for this problem on distance-hereditary graphs."",""1558-2183"","""",""10.1109/TPDS.2003.1255633"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255633"","""",""Phase change random access memory";Tree graphs;Parallel algorithms;Joining processes;Labeling;Costs;Problem-solving;Concurrent computing;"Computational modeling"","""",""2"","""",""23"",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Accountable Web-computing,""A. L. Rosenberg"",""Department of Computer Science, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2003"",""2003"",""14"",""2"",""97"",""106"",""Web-based computing (WBC) is a modality of collaborative computing wherein """"volunteers"""" register at a Web site, receiving one (usually compute-intensive) task to compute at each visit and returning the results from that task at the subsequent visit. The security of a WBC project is enhanced if the owner of the Web site can easily keep track of which """"volunteer"""" computed which tasks, thereby endowing the project with accountability. We develop a framework for constructing computationally lightweight schemes for endowing WBC projects with accountability. The framework is built around the notion of a directly computed task allocation function (TAF) that reserves a dedicated subset of the Web site's tasks for each """"volunteer."""" We show how TAFs simplify the data structures needed to link """"volunteers"""" with their tasks, even when """"volunteers"""" are allowed to join and leave the WBC project dynamically. We then design a methodology for constructing easily computed TAFs that enhance the efficiency of the accountability scheme."",""1558-2183"","""",""10.1109/TPDS.2003.1178874"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178874"","""",""Collaboration";Registers;Data structures;Design methodology;Computer security;Collaborative work;Concurrent computing;Distributed computing;Computational efficiency;"Assembly"","""",""12"","""",""14"",""IEEE"",""19 Feb 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
