"A class of multistage conference switching networks for group communication,""Y. Yang";" J. Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" East Isle Technologies, Inc., Setauket, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""228"",""243"",""There is a growing demand for network support for group applications, in which messages from one or more sender(s) are delivered to a large number of receivers. Here, we propose a network architecture for supporting a fundamental type of group communication, conferencing. A conference refers to a group of members in a network who communicate with each other within the group. We consider adopting a class of multistage networks, such as a baseline, an omega, or an indirect binary cube network, composed of switch modules with fan-in and fan-out capability for a conference network which supports multiple disjoint conferences. The key issue in designing a conference network is to determine the multiplicity of routing conflicts, which is the maximum number of conflict parties competing a single interstage link when multiple disjoint conferences simultaneously present in the network. Our results show that, for a network of size n /spl times/ n, the multiplicities of routing conflicts are small constants (between 2 and 4) for an omega network or an indirect binary cube network";" while it can be as large as /spl radic/n/q + 1 for a baseline network, where q is the minimum allowable conference size. Thus, our design for conference networks is based on an omega network or an indirect binary cube network. We also develop fast self-routing algorithms for setting up routing paths in the newly designed conference networks. As can be seen, such an n /spl times/ n conference network has O(logn) routing time and communication delay and O(nlogn) hardware cost. The conference networks are superior to existing designs in terms of routing complexity, communication delay and hardware cost. The conference network proposed is rearrangeably nonblocking in general, and is strictly nonblocking under some conference service policy. It can be used in applications that require efficient or real-time group communication."",""1558-2183"","""",""10.1109/TPDS.2004.1264808"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264808"","""",""Communication switching";Routing;Application software;Switches;Hardware;Costs;Collaboration;Computer Society;Computer architecture;"Algorithm design and analysis"","""",""12"","""",""22"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A core stateless bandwidth broker architecture for scalable support of guaranteed services,""Zhenhai Duan"; Zhi-Li Zhang; Y. T. Hou;" Lixin Gao"",""Computer Science Department, Florida State University, Tallahassee, FL, USA"; Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA; Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA;" Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2004"",""2004"",""15"",""2"",""167"",""182"",""We present a novel bandwidth broker architecture for scalable support of guaranteed services that decouples the QoS control plane from the packet forwarding plane. More specifically, under this architecture, core routers do not maintain any QoS reservation states, whether per-flow or aggregate. Instead, the QoS reservation states are stored at and managed by a bandwidth broker. There are several advantages of such a bandwidth broker architecture. Among others, it avoids the problem of inconsistent QoS states faced by the conventional hop-by-hop, distributed admission control approach. Furthermore, it allows us to design efficient admission control algorithms without incurring any overhead at core routers. The proposed bandwidth broker architecture is designed based on a core stateless virtual time reference system developed recently. This virtual time reference system provides a unifying framework to characterize, in terms of their abilities to support delay guarantees, both the per-hop behaviors of core routers and the end-to-end properties of their concatenation. We focus on the design of efficient admission control algorithms under the proposed bandwidth broker architecture. We consider both per-flow end-to-end guaranteed delay services and class-based guaranteed delay services with flow aggregation. Using our bandwidth broker architecture, we demonstrate how admission control can be done on a per domain basis instead of on a """"hop-by-hop"""" basis. Such an approach may significantly reduce the complexity of the admission control algorithms. In designing class-based admission control algorithms, we investigate the problem of dynamic flow aggregation in providing guaranteed delay services and devise a new apparatus to effectively circumvent this problem. We conduct detailed analyses to provide theoretical underpinning for our schemes as well as to establish their correctness. Simulations are also performed to demonstrate the efficacy of our schemes."",""1558-2183"","""",""10.1109/TPDS.2004.1264799"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264799"","""",""Bandwidth";Admission control;Quality of service;Scalability;Algorithm design and analysis;Delay effects;Web and internet services;Scheduling algorithm;Aggregates;"Resource management"","""",""29"",""2"",""23"",""IEEE"",""28 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A framework to capture dynamic data structures in pointer-based codes,""F. Corbera"; R. Asenjo;" E. L. Zapata"",""Department of Computer Science, University of Màlaga, Malaga, Spain"; Department of Computer Science, University of Màlaga, Malaga, Spain;" Department of Computer Science, University of Màlaga, Malaga, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2004"",""2004"",""15"",""2"",""151"",""166"",""To successfully exploit all the possibilities of current computer/multicomputer architectures, optimization compiling techniques are a must. However, for codes based on pointers and dynamic data structures, these optimization techniques have to be necessarily carried out after identifying the characteristics and properties of the data structure used in the code. We describe the framework and the analyzer we have implemented to capture complex data structures generated, traversed, and modified in codes based on pointers. Our method assigns a reduced set of reference shape graph (RSRSG) to each statement to approximate the shape of the data structure after the execution of such a statement. With the properties and operations that define the behavior of our RSRSG, the method can accurately detect complex recursive data structures such as a doubly linked list of pointers to trees where the leaves point to additional lists. Several experiments are carried out with real codes to validate the capabilities of our analyzer."",""1558-2183"","""",""10.1109/TPDS.2004.1264798"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264798"","""",""Data structures";Optimizing compilers;Shape;Runtime;Prefetching;Information analysis;Computer architecture;Tree data structures;Tree graphs;"Data analysis"","""",""6"","""",""27"",""IEEE"",""28 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A general compiler framework for speculative multithreaded processors,""A. Bhowmik";" M. Franklin"",""Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India";" Computer Engineering Department and UMIACS, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""8"",""713"",""724"",""Speculative multithreading (SpMT) promises to be an effective mechanism for parallelizing nonnumeric programs, which tend to have irregular and pointer-intensive data structures and complex flows of control. Proper thread formation is crucial for obtaining good speedup in an SpMT system. This paper presents a compiler framework for partitioning a sequential program into multiple threads for parallel execution in an SpMT system. This framework is very general and supports speculative threads, nonspeculative threads, loop-centric threads, and out-of-order thread spawning. It is therefore useful for compiling for a wide variety of SpMT architectures. For effective partitioning of programs, the compiler uses profiling, interprocedural pointer analysis, data dependence information, and control dependence information. The compiler is implemented on the SUIF-MachSUIF platform. A simulation-based evaluation of the generated threads shows that the use of nonspeculative threads and nonloop speculative threads provides a significant increase in speedup for nonnumeric programs."",""1558-2183"","""",""10.1109/TPDS.2004.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333641"",""Multithread processor";scheduling and task partitioning;"compilers."",""Program processors";Parallel processing;Data structures;Out of order;Multithreading;Data analysis;Computer science;Information analysis;"Computational modeling"","""",""23"",""4"",""23"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A global-state-triggered fault injector for distributed system evaluation,""Ramesh Chandra"; R. M. Lefever; K. R. Joshi; M. Cukier;" W. H. Sanders"",""Department of Computer Science, University of Stanford, Stanford, CA, USA"; Coordinated Science Laboratory and Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Coordinated Science Laboratory and Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Department of Mechanical Engineering, University of Maryland, College Park, MD, USA;" Coordinated Science Laboratory and Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Jun 2004"",""2004"",""15"",""7"",""593"",""605"",""Validation of the dependability of distributed systems via fault injection is gaining importance because distributed systems are being increasingly used in environments with high dependability requirements. The fact that distributed systems can fail in subtle ways that depend on the state of multiple parts of the system suggests that a global-state-based fault injection mechanism should be used to validate them. However, global-state-based fault injection is challenging since it is very difficult in practice to maintain the global state of a distributed system at runtime with minimal intrusion into the system execution. We present Loki, a global-state-based fault injector, which has been designed with the goals of low intrusion, high precision, and high flexibility. Loki achieves these goals by utilizing the ideas of partial view of global state, optimistic synchronization, and offline analysis. In Loki, faults are injected based on a partial, view of the global state of the system, and a post-runtime analysis is performed to place events and injections into a single global timeline and to discard experiments with incorrect fault injections. Finally, the experiments with correct fault injections are used to estimate user-specified performance and dependability measures. A flexible measure language has been designed that facilitates the specification of a wide range of measures."",""1558-2183"","""",""10.1109/TPDS.2004.14"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1302100"",""Distributed systems";reliable systems;system evaluation;fault injection;partial view of global state;offline clock synchronization;"measure estimation."",""Monitoring";Synchronization;Performance analysis;Clocks;State estimation;Availability;Web server;Air traffic control;"System testing"","""",""25"",""4"",""24"",""IEEE"",""1 Jun 2004"","""","""",""IEEE"",""IEEE Journals"""
"A load balancing framework for adaptive and asynchronous applications,""K. Barker"; A. Chernikov; N. Chrisochoides;" K. Pingali"",""Computer Science Department, College of William and Mary, Williamsburg, VA, USA"; Computer Science Department, College of William and Mary, Williamsburg, VA, USA; Computer Science Department, College of William and Mary, Williamsburg, VA, USA;" Computer Science Department, Cornell University, Ithaca, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2004"",""2004"",""15"",""2"",""183"",""192"",""We describe the design of a flexible load balancing framework and runtime software system for supporting the development of adaptive applications on distributed-memory parallel computers. The runtime system supports a global namespace, transparent object migration, automatic message forwarding and routing, and automatic load balancing. These features can be used at the discretion of the application developer in order to simplify program development and to eliminate complex bookkeeping associated with mobile data objects. An evaluation of this system in the context of a three-dimensional tetrahedral advancing front parallel mesh generator shows that overall runtime improvements of 15 percent compared to common stop-and-repartition load balancing methods, 30 percent compared to explicit intrusive load balancing methods, and 42 percent compared to no load balancing are possible on large processor configurations. At the same time, the overheads attributable to the runtime system are a fraction of 1 percent of the total runtime. The parallel advancing front method is a coarse-grained and highly adaptive application and therefore exercises all of the features of the runtime system."",""1558-2183"","""",""10.1109/TPDS.2004.1264800"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264800"","""",""Load management";Application software;Mesh generation;Concurrent computing;Runtime;Software systems;Scientific computing;Geometry;Finite element methods;"Libraries"","""",""56"",""18"",""38"",""IEEE"",""28 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A parallel two-level hybrid method for tridiagonal systems and its application to fast Poisson solvers,""X. . -H. Sun";" Wu Zhang"",""Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA";" College of Computer Science and Engineering, Shanghai University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2004"",""2004"",""15"",""2"",""97"",""106"",""A new method, namely, the parallel two-level hybrid (PTH) method, is developed to solve tridiagonal systems on parallel computers. PTH has two levels of parallelism. The first level is based on algorithms developed from the Sherman-Morrison modification formula, and the second level can choose different parallel tridiagonal solvers for different applications. By choosing different outer and inner solvers and by controlling its two-level partition, PTH can deliver better performance for different applications on different machine ensembles and problem sizes. In an extreme case, the two levels of parallelism can be merged into one, and PTH can be the best algorithm otherwise available. Theoretical analyses and numerical experiments indicate that PTH is significantly better than existing methods on massively parallel computers. For instance, using PTH in a fast Poisson solver results in a 2-folds speedup compared to a conventional parallel Poisson solver on a 512 nodes IBM machine. When only the tridiagonal solver is considered, PTH is over 10 times faster than the currently used implementation."",""1558-2183"","""",""10.1109/TPDS.2004.1264794"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264794"","""",""Partitioning algorithms";Concurrent computing;Pipeline processing;Application software;Parallel processing;Sun;Costs;Size control;Computational modeling;"Parallel algorithms"","""",""7"","""",""19"",""IEEE"",""28 Jun 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A proportional-delay DiffServ-enabled Web server: admission control and dynamic adaptation,""S. C. M. Lee"; J. C. S. Lui;" D. K. Y. Yau"",""Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China"; Department of Computer Science and Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China;" Department of Computer Science, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""385"",""400"",""We consider a Web server that can provide differentiated services to clients with different quality of service (QoS) requirements. The Web server can provide N/spl ges/1 classes of proportional-delay differentiated services (PDDS) to heterogeneous clients. An operator can specify fixed performance spacings between classes, namely, r/sub i,i+1/>1, for i=1,..., N-1. Requests in class i+1 are guaranteed to have an average waiting time which is 1/r/sub i,i+1/ of the average waiting time of class i requests. With PDDS, we can provide consistent performance spacings over a wide range of system loading and this simplifies many pricing issues. In addition, each client can specify a maximum average waiting time requirement to be guaranteed by the PDDS-enabled Web server. We show that, in general, the problem of assigning clients to service classes in order to optimize system efficacy is NP-complete. We propose two efficient admission control algorithms so that a Web server can provide the QoS guarantees and, at the same time, classify each client to its """"lowest"""" admissible class, resulting in lowest usage cost for the admitted client. We also consider how to perform end-point dynamic adaptation such that admitted clients can submit requests at a lower class and further reduce their usage costs without violating their QoS requirements. We propose two dynamic adaptation algorithms: one is server-based and the other is client-based. The client-based adaptation is distributed and is based on a noncooperative game technique. We carry out experiments to illustrate the effectiveness of these algorithms under different utility functions and traffic arrival patterns (e.g., Poisson, MMPP, and Pareto). We report extensive experimental results to illustrate the effectiveness of our proposed algorithms."",""1558-2183"","""",""10.1109/TPDS.2004.1278097"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278097"","""",""Web server";Admission control;Quality of service;Pricing;Controllability;Costs;Heuristic algorithms;Internet;"Business"","""",""39"",""2"",""18"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Scalable Asynchronous Cache Consistency Scheme (SACCS) for mobile environments,""Z. Wang"; S. K. Das; H. Che;" Mohan Kumar"",""Center of Research in Wireless Mobility and Networking (CReWMaN), Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA"; Center of Research in Wireless Mobility and Networking (CReWMaN), Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA; Center of Research in Wireless Mobility and Networking (CReWMaN), Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA;" Center of Research in Wireless Mobility and Networking (CReWMaN), Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Oct 2004"",""2004"",""15"",""11"",""983"",""995"",""In the literature, there exit two types of cache consistency maintenance algorithms for mobile computing environments: stateless and stateful. In a stateless approach, the server is unaware of the cache contents at a mobile user (MU). Even though stateless approaches employ simple database management schemes, they lack scalability and ability to support user disconnectedness and mobility. On the other hand, a stateful approach is scalable for large database systems at the cost of nontrivial overhead due to server database management. We propose a novel algorithm, called Scalable Asynchronous Cache Consistency Scheme (SACCS), which inherits the positive features of both stateless and stateful approaches. SACCS provides a weak cache consistency for unreliable communication (e.g., wireless mobile) environments with small stale cache hit probability. It is also a highly scalable algorithm with minimum database management overhead. The properties are accomplished through the use of flag bits at the server cache (SC) and MU cache (MUC), an identifier (ID) in MUC for each entry after its invalidation, and estimated time-to-live (TTL) for each cached entry, as well as rendering of all valid entries of MUC to uncertain state when an MU wakes up. The stale cache hit probability is analyzed and also simulated under the Rayleigh fading model of error-prone wireless channels. Comprehensive simulation results show that the performance of SACCS is superior to those of other existing stateful and stateless algorithms in both single and multicell mobile environments."",""1558-2183"","""",""10.1109/TPDS.2004.60"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339249"",""Mobile environments";cache consistency;disconnection;bandwidth utilization;"stale cache hit."",""Spatial databases";Mobile computing;Scalability;Database systems;Costs;Mobile communication;Wireless communication;State estimation;Analytical models;"Rayleigh channels"","""",""32"","""",""20"",""IEEE"",""4 Oct 2004"","""","""",""IEEE"",""IEEE Journals""";;;
"A super-programming approach for mining association rules in parallel on PC clusters,""D. Jin";" S. G. Ziavras"",""Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA";" Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""9"",""783"",""794"",""PC clusters have become popular in parallel processing. They do not involve specialized interprocessor networks, so the latency of data communications is rather long. The programming models for PC clusters are often different than those for parallel machines or supercomputers containing sophisticated interprocessor communication networks. For PC clusters, load balancing among the nodes becomes a more critical issue in attempts to yield high performance. We introduce a new model for program development on PC clusters, namely, the super-programming model (SPM). The workload is modeled as a collection of super-instructions (SIs). We propose that a set of SIs be designed for each application domain. They should constitute an orthogonal set of frequently used high-level operations in the corresponding application domain. Each SI should normally be implemented as a high-level language routine that can execute on any PC. Application programs are modeled as super-programs (SPs), which are coded using SIs. SIs are dynamically assigned to available PCs at runtime. Because of the known granularity of SIs, an upper bound on their execution time can be estimated at static time. Therefore, dynamic load balancing becomes an easier task. Our motivation is to support dynamic load balancing and code porting, especially for applications with diverse sets of inputs such as data mining. We apply here SPM to the implementation of an a priori-like algorithm for mining association rules. Our experiments show that the average idle time per node is kept very low."",""1558-2183"","""",""10.1109/TPDS.2004.37"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333650"",""Mining association rules";cluster computing;load balancing;"parallel processing."",""Data mining";Association rules;Load management;Scanning probe microscopy;Parallel processing;Delay;Data communication;Parallel programming;Parallel machines;"Supercomputers"","""",""13"",""3"",""21"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A timeout-based message ordering protocol for a lightweight software implementation of TMR systems,""P. D. Ezhilchelvan"; F. V. Brasileiro;" N. A. Speirs"",""School of Computing Science, University of Newcastle, UK"; School of Computing Science, University of Newcastle, UK;" Departamento de Sistemas e Computação, Universidade Federal de Campina Grande, Campina Grande, Paraiba, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""1"",""53"",""65"",""Replicated processing with majority voting is a well-known method for achieving reliability and availability. Triple modular redundant (TMR) processing is the most commonly used version of that method. Replicated processing requires that the replicas reach agreement on the order in which input requests are to be processed. Almost all synchronous and deterministic ordering protocols published in the literature are time-based in the sense that they require replicas' clocks to be kept synchronized within some known bound. We present a protocol for TMR systems that is based on timeouts and does not require clocks to be kept in bounded synchronism. Our design efforts focus on keeping the ordering delays small, without an unnecessary increase in message overhead. Consequently, we are able to show that no symmetric protocol that works only with unsynchronized clocks can provide a smaller worst-case delay. We also demonstrate through analysis and experiments that our protocol is faster than a time-based one of identical message complexity in certain situations which can prevail in many application settings."",""1558-2183"","""",""10.1109/TPDS.2004.1264786"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264786"","""",""Protocols";Clocks;Synchronization;Delay;Voting;Fault tolerance;Nuclear magnetic resonance;Computer Society;Availability;"Redundancy"","""",""5"","""",""32"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
