"3D hexagonal network: modeling, topological properties, addressing scheme, and optimal routing algorithm,""C. Decayeux";" D. Seme"",""Faculté' de Mathématiques et dInformatique, LaRIA, Amiens, France";" Faculté' de Mathématiques et dInformatique, LaRIA, Amiens, France"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Aug 2005"",""2005"",""16"",""9"",""875"",""884"",""The 2D hexagonal mesh, based on triangle plane tessellation, is considered as a multiprocessor interconnection network. The 3D hexagonal mesh is presented as a natural extension of the hexagonal mesh. Although the topological properties of the 2D hexagonal mesh are well known, existing addressing schemes are not suitable to be extended to 3D hexagonal mesh. Then, we present, in this paper, a new addressing scheme and an optimal routing algorithm for 2D hexagonal network based on the distance formula and using shortest paths. We propose also a 3D hexagonal network that can be built with 2D hexagonal meshes as a natural generalization. We also present some topological properties, an efficient addressing scheme, and an optimal routing algorithm based on our 2D routing algorithm."",""1558-2183"","""",""10.1109/TPDS.2005.100"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1490517"",""Parallel architectures";interconnection networks;hexagonal mesh;routing;"communication algorithms."",""Routing";Computer architecture;Multiprocessor interconnection networks;Computer networks;Mobile computing;Costs;Cellular networks;Indoor environments;Concurrent computing;"Parallel processing"","""",""29"","""",""24"",""IEEE"",""1 Aug 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A 1.5 approximation algorithm for embedding hyperedges in a cycle,""Sing Ling Lee";" Hann-Jang Ho"",""Department of Computer Science and Information Engineering, National Chung Cheng University, Chiayi, Taiwan";" Department of Information Management, Wu Feng Institute of Technology, Chiayi, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""2 May 2005"",""2005"",""16"",""6"",""481"",""488"",""The problem of minimum congestion hypergraph embedding in a cycle (MCHEC) is to embed the hyperedges of a hypergraph as adjacent paths around a cycle, such that the maximum congestion over any physical link in the cycle is minimized. The problem is NP-complete in general, but solvable in polynomial time when all hyperedges contain exactly two vertices. In this paper, we first formulate the problem as an integer linear program (ILP). Then, a solution with approximation bound of 1.5(opt + 1) is presented by using a clockwise (2/3)-rounding algorithm, where opt denotes the optimal value of maximum congestion. To our knowledge, this is the best approximation bound known for the MCHEC problem."",""1558-2183"","""",""10.1109/TPDS.2005.62"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1425436"",""Approximation algorithm";hypergraph;integer linear programming;LP-relaxation;"NP-complete."",""Approximation algorithms";Multicast algorithms;Routing;Polynomials;Clocks;Optimized production technology;Integer linear programming;Electronic design automation and methodology;Joining processes;"Pins"","""",""7"","""",""18"",""IEEE"",""2 May 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A complete compiler approach to auto-parallelizing C programs for multi-DSP systems,""B. Franke";" M. F. P. O'Boyle"",""University of Edinburgh, Institute for Computing Systems Architecture (ICSA), Edinburgh, United Kingdom";" University of Edinburgh, Institute for Computing Systems Architecture (ICSA), Edinburgh, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Jan 2005"",""2005"",""16"",""3"",""234"",""245"",""Auto-parallelizing compilers for embedded applications have been unsuccessful due to the widespread use of pointer arithmetic and the complex memory model of multiple-address space digital signal processors (DSPs). This work develops, for the first time, a complete auto-parallelization approach, which overcomes these issues. It first combines a pointer conversion technique with a new modulo elimination transformation for program recovery enabling later parallelization stages. Next, it integrates a novel data transformation technique that exposes the processor location of partitioned data. When this is combined with a new address resolution mechanism, it generates efficient programs that run on multiple address spaces without using message passing. Furthermore, as DSPs do not possess any data cache structure, an optimization is presented which transforms the program to both exploit remote data locality and local memory bandwidth. This parallelization approach is applied to the DSPstone and UTDSP benchmark suites, giving an average speedup of 3.78 on four analog devices TigerSHARC TS-101 processors."",""1558-2183"","""",""10.1109/TPDS.2005.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1388213"",""Parallel processors";interprocessor communications;real-time and embedded systems;signal processing systems;measurement;evaluation;modeling;simulation of multiple-processor systems;conversion from sequential to parallel forms;restructuring;reverse engineering;and reengineering;performance measures;compilers;"arrays."",""Program processors";Digital signal processing;Bandwidth;Embedded system;Costs;Hardware;Digital arithmetic;Digital signal processors;Message passing;"Real time systems"","""",""10"",""1"",""29"",""IEEE"",""31 Jan 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A decentralized convergence detection algorithm for asynchronous parallel iterative algorithms,""J. M. Bahi"; S. Contassot-Vivier; R. Couturier;" F. Vernier"",""LIFC (Laboratoire d'Informatique de l'Université de Franche-Comté), Belfort, France"; LIFC (Laboratoire d'Informatique de l'Université de Franche-Comté), Belfort, France; LIFC (Laboratoire d'Informatique de l'Université de Franche-Comté), Belfort, France;" LIFC (Laboratoire d'Informatique de l'Université de Franche-Comté), Belfort, France"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Jan 2005"",""2005"",""16"",""1"",""4"",""13"",""We introduce a theoretical algorithm and its practical version to perform a decentralized detection of the global convergence of parallel asynchronous iterative algorithms. We prove that, even if the algorithm is completely decentralized, the detection of global convergence is achieved on one processor under the classical conditions. The proposed algorithm is very useful in the context of grid computing in which the processors are distributed and in which detecting the convergence on a master processor may be penalizing or even impossible as in peer to peer computation frameworks. Finally, the efficiency of the practical algorithm is illustrated in a typical experiment."",""1558-2183"","""",""10.1109/TPDS.2005.2"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1363748"",""Parallel iterative algorithms";asynchronism;"convergence detection."",""Convergence";Detection algorithms;Iterative algorithms;Grid computing;Distributed computing;Peer to peer computing;Iterative methods;Approximation algorithms;Algorithm design and analysis;"Delay"","""",""32"","""",""23"",""IEEE"",""17 Jan 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"A distributed admission control model for QoS assurance in large-scale media delivery systems,""Z. Xia"; W. Hao; I. . -L. Yen;" P. Li"",""Department of Computer Science, Western Kentucky University, Bowling Green, KY, USA"; Department of Computer Science, University of Technology, Dallas, TX, USA; Department of Computer Science, University of Technology, Dallas, TX, USA;" Department of Computer Science, University of Technology, Dallas, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Oct 2005"",""2005"",""16"",""12"",""1143"",""1153"",""Conventional admission control models incur some performance penalty. First, admission control computation can overload a server that is already heavily loaded. Also, in large-scale media systems with geographically distributed server clusters, performing admission control on each cluster can result in long response latency, if the client request is denied at one site and has to be forwarded to another site. Furthermore, in prefix caching, initial frames cached at the proxy are delivered to the client before the admission decisions are made. If the media server is heavily loaded and, finally, has to deny the client request, forwarding a large number of initial frames is a waste of critical network resources. In this paper, a novel distributed admission control model is presented. We make use of proxy servers to perform the admission control tasks. Each proxy hosts an agent to coordinate the effort. Agents reserve media server's disk bandwidth and make admission decisions autonomously based on the allocated disk bandwidth. We develop an effective game theoretic framework to achieve fairness in the bandwidth allocation among the agents. To improve the overall bandwidth utilization, we also consider an aggressive admission control policy where each agent may admit more requests than its allocated bandwidth allows. The distributed admission control approach provides the solution to the stated problems incurred in conventional admission control models. Experimental studies show that our algorithms significantly reduce the response latency and the media server load."",""1558-2183"","""",""10.1109/TPDS.2005.141"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1524951"",""Distributed admission control";disk bandwidth;game theory;"quality of service."",""Admission control";Large-scale systems;Network servers;Delay;Bandwidth;Quality of service;Game theory;Streaming media;Channel allocation;"Software libraries"","""",""16"",""1"",""28"",""IEEE"",""31 Oct 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A distributed approach to node clustering in decentralized peer-to-peer networks,""Lakshmish Ramaswamy"; B. Gedik;" L. Liu"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA;" College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Aug 2005"",""2005"",""16"",""9"",""814"",""829"",""Connectivity-based node clustering has wide-ranging applications in decentralized peer-to-peer (P2P) networks such as P2P file sharing systems, mobile ad-hoc networks, P2P sensor networks, and so forth. This paper describes a connectivity-based distributed node clustering scheme (CDC). This scheme presents a scalable and efficient solution for discovering connectivity-based clusters in peer networks. In contrast to centralized graph clustering algorithms, the CDC scheme is completely decentralized and it only assumes the knowledge of neighbor nodes instead of requiring a global knowledge of the network (graph) to be available. An important feature of the CDC scheme is its ability to cluster the entire network automatically or to discover clusters around a given set of nodes. To cope with the typical dynamics of P2P networks, we provide mechanisms to allow new nodes to be incorporated into appropriate existing clusters and to gracefully handle the departure of nodes in the clusters. These mechanisms enable the CDC scheme to be extensible and adaptable in the sense that the clustering structure of the network adjusts automatically as nodes join or leave the system. We provide detailed experimental evaluations of the CDC scheme, addressing its effectiveness in discovering good quality clusters and handling the node dynamics. We further study the types of topologies that can benefit best from the connectivity-based distributed clustering algorithms like CDC. Our experiments show that utilizing message-based connectivity structure can considerably reduce the messaging cost and provide better utilization of resources, which in turn improves the quality of service of the applications executing over decentralized peer-to-peer networks."",""1558-2183"","""",""10.1109/TPDS.2005.101"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1490512"",""Distributed node clustering";connectivity-based graph clustering;peer-to-peer networks;"decentralized network management."",""Peer to peer computing";Intelligent networks;Sensor systems and applications;Clustering algorithms;Quality of service;Computer network management;Distributed computing;Ad hoc networks;Network topology;"Costs"","""",""77"",""2"",""42"",""IEEE"",""1 Aug 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A family of mechanisms for congestion control in wormhole networks,""E. Baydal"; P. Lopez;" J. Duato"",""Department of Computer Engineering (DISCA), Universidad Politecnica de Valencia, Valencia, Spain"; Department of Computer Engineering (DISCA), Universidad Politecnica de Valencia, Valencia, Spain;" Department of Computer Engineering (DISCA), Universidad Politecnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Aug 2005"",""2005"",""16"",""9"",""772"",""784"",""Multiprocessor interconnection networks may reach congestion with high traffic loads, which prevents reaching the wished performance. Unfortunately, many of the mechanisms proposed in the literature for congestion control either suffer from a lack of robustness, being unable to work properly with different traffic patterns or message lengths, or detect congestion relying on global information that wastes some network bandwidth. This paper presents a family of mechanisms to avoid network congestion in wormhole networks. All of them need only local information, applying message throttling when it is required. The proposed mechanisms use different strategies to detect network congestion and also apply different corrective actions. The mechanisms are evaluated and compared for several network loads and topologies, noticeably improving network performance with high loads but without penalizing network behavior for low and medium traffic rates, where no congestion control is required."",""1558-2183"","""",""10.1109/TPDS.2005.102"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1490509"",""Wormhole switching";congestion control;"message throttling."",""Intelligent networks";Telecommunication traffic;Multiprocessor interconnection networks;Bandwidth;Communication system traffic control;Degradation;Network topology;Delay;Computer Society;"Robust control"","""",""57"","""",""30"",""IEEE"",""1 Aug 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A methodology for developing deadlock-free dynamic network reconfiguration processes. Part II,""O. Lysne"; T. M. Pinkston;" J. Duato"",""Simula Research Laboratory, Lysaker, Norway"; The Computer Engineering Division, Electrical Engineering Department, University of Southern California, Los Angeles, CA, USA;" DISCA, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Apr 2005"",""2005"",""16"",""5"",""428"",""443"",""For pt.I see ibid., vol.16, no.5, p.412-427 (2005). Dynamic network reconfiguration is defined as the process of changing from one routing function to another while the network remains up and running. The main challenge is in avoiding deadlock anomalies while keeping restrictions on packet injection and forwarding minimal. Current approaches either require virtual channels in the network or they work only for a limited set of routing algorithms and/or fault patterns. In this paper, we present a methodology for devising deadlock free and dynamic transitions between old and new routing functions that is consistent with newly proposed theory [J. Duato et al., (2005)]. The methodology is independent of topology, can be applied to any deadlock-free routing function, and puts no restrictions on the routing function changes that can be supported. Furthermore, it does not require any virtual channels to guarantee deadlock freedom. This research is motivated by current trends toward using increasingly larger Internet and transaction processing servers based on clusters of PCs that have very high availability and dependability requirements, as well as other local, system, and storage area network-based computing systems."",""1558-2183"","""",""10.1109/TPDS.2005.59"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1411731"",""Interconnection network";dynamic reconfiguration;deadlock-freedom methodology;"system reliability and availability."",""System recovery";Routing;Availability;Network servers;Network topology;Personal communication networks;Concurrent computing;Communication system control;IP networks;"Web server"","""",""27"","""",""25"",""IEEE"",""4 Apr 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A note on recursive cube of rings network,""Honghui Hu"; Naijie Gu;" J. Cao"",""Department of Computer Science and Technology, University of Science and Technology, Beijing, China"; Computer Science Department, University of Science and Technology, Hefei, Anhui, China;" Computer Science Department, University of Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Aug 2005"",""2005"",""16"",""10"",""1007"",""1008"",""We describe and analyze the problems existing on RCR network, a family of scalable interconnection network topologies proposed by Sun and Cheung, which include disconnected graph, the definition of bisection width, and network diameter. And, necessary modifications on some RCR topological parameters including bisection width and network diameter are made."",""1558-2183"","""",""10.1109/TPDS.2005.115"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1501811"",""Recursive Cube of Rings (RCR)";disconnected graph;bisection width;"network diameter."",""Multiprocessor interconnection networks";Network topology;Sun;Parallel machines;Intelligent networks;Hypercubes;"Routing"","""",""3"","""",""1"",""IEEE"",""29 Aug 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A process distribution approach for multisensor data fusion systems based on geographical dataspace partitioning,""P. P. A. Storms"; J. B. van Veelen;" E. Boasson"",""Acklin B.V., Waalwijk, Netherlands"; Thales Netherlands, Hengelo, Netherlands;" Quaerendo Invenietis B.V, Borculo, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Jan 2005"",""2005"",""16"",""1"",""14"",""23"",""In this work, we present a new approach to distributed sensor data fusion (SDF) systems in multitarget tracking, called TSDF (Tessellated SDF), centered around a geographical partitioning (tessellation) of the data. A functional decomposition divides SDF into components that can be assigned to processing units, parallelizing the processing. The tessellation implicitly defines the set of tracks potentially yielding correlations with the sensor plots (observations) in a tile. Some tracks may occur as correlation candidates for multiple tiles. Conflicts caused by correlations of such tracks with plots in different tiles, are resolved by combining all involved tracks and plots into independent data association problems. The benefit of the TSDF approach to a clustering-based process distribution is independence of the problem space, which yields better scalability and manageability characteristics. The TSDF approach allows scaling in more than one way. It allows SDF for single sensor, multiple sensors on a single platform, and even for multiple sensors on multiple platforms. It also provides the flexibility to scale the processing to the size of the problem. This enables a better control of the throughput, to meet various timing constraints."",""1558-2183"","""",""10.1109/TPDS.2005.3"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1363749"",""Distributed architectures";data models;sensor fusion;"command and control."",""Radar tracking";Target tracking;Sensor fusion;Sensor systems;Sensor phenomena and characterization;Infrared sensors;Storms;Scalability;"Throughput"","""",""7"",""1"",""19"",""IEEE"",""17 Jan 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
