"A design methodology for efficient application-specific on-chip interconnects,""W. H. Ho";" T. M. Pinkston"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""174"",""190"",""As the level of chip-integration continues to advance at a fast pace, the desire for efficient interconnects - whether on-chip or off-chip - is rapidly increasing. Traditional interconnects like buses, point-to-point wires, and regular topologies may suffer from poor resource sharing in the time and space domains, leading to high contention or low resource utilization. In this paper, we propose a design methodology for constructing networks for special-purpose computer systems with well-behaved (known) communication characteristics. A temporal and spatial model is proposed to define the sufficient condition for contention-free communication. Based upon this model, a design methodology using a recursive bisection technique is applied to systematically partition a parallel system such that the required number of links and switches is minimized while achieving low contention. Results show that the design methodology can generate more optimized on-chip networks with up to 60 percent fewer resources than meshes or tori while providing blocking performance closer to that of a fully connected crossbar."",""1558-2183"","""",""10.1109/TPDS.2006.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566595"",""On-chip interconnects";communication model;low-contention communication;network partitioning;"irregular topology."",""Design methodology";Resource management;Wires;Network topology;Computer networks;Sufficient conditions;Switches;Communication switching;Design optimization;"Network-on-a-chip"","""",""23"","""",""30"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Fault-Local Self-Stabilizing Clustering Service for Wireless Ad Hoc Networks,""M. Demirbas"; A. Arora; V. Mittal;" V. Kulathumani"",""Computer Science and Engineering Department, State University of New York, University at Buffalo, Buffalo, NY, USA"; Computer Science and Engineering Department, Ohio State Uinversity, Columbus, OH, USA; QUALCOMM, Inc.orporated, San Diego, CA, USA;" Computer Science and Engineering Department, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""912"",""922"",""We present a fast, local clustering service, FLOC, that partitions a multihop wireless network into nonoverlapping and approximately equal-sized clusters. Each cluster has a clusterhead such that all nodes within unit distance and some nodes within distance m of the clusterhead belong to the cluster. We show that, by asserting a stretch factor m ges 2, FLOC achieves locality of clustering and fault-local self-stabilization: the effects of cluster formation and faults/changes at any part of the network are contained within at most m + 1 units. Through simulations and experiments with actual deployments, we analyze the trade-offs between clustering time and the quality of clustering and suggest suitable parameters for FLOC to achieve a fast completion time without compromising the quality of the resulting clustering"",""1558-2183"","""",""10.1109/TPDS.2006.113"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668057"",""Wireless sensor networks";fault tolerance;reliability;availability;"and serviceability."",""Ad hoc networks";Spread spectrum communication;Maintenance;Base stations;Communication system control;Mobile ad hoc networks;Wireless networks;Analytical models;Fault tolerance;"Telecommunication network reliability"","""",""41"","""",""21"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A Novel {O(n)} Parallel Banker's Algorithm for System-on-a-Chip,""J. J. Lee";" V. J. Mooney"",""Department of Electrical and Computer Engineering, Indiana University-Purdue University Indianapolis, Indianapolis, IN, USA";" School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1377"",""1389"",""This article proposes a novel O(n) Parallel Banker's Algorithm (PBA), which is a parallelized version of the Banker's Algorithm (BA), a well-known O(m\times n) deadlock avoidance algorithm. We implement the approach in hardware, which we call PBA Unit (PBAU). PBAU is not a mere Verilog HDL translation of BA, but a novel, fully hardware-oriented implementation exploiting maximum hardware parallelism of all computations in BA, resulting in O(1) runtime complexity in the best case and O(n) in the worst. PBAU is an Intellectual Property (IP) block that provides a mechanism of very fast, automatic deadlock avoidance for Multiprocessor System-on-a-Chip (MPSoC), which we predict will be the mainstream of future high performance computing environments. Furthermore, our PBAU supports multiple instance multiple resource systems. We demonstrate that PBAU not only avoids deadlock in a few clock cycles (several orders of magnitude faster than BA in software), but also achieves, in a particular example, a 19 percent speedup of application execution time over avoiding deadlock in software. Lastly, the MPSoC area overhead due to PBAU is small, less than 0.05 percent in our candidate MPSoC example."",""1558-2183"","""",""10.1109/TPDS.2006.164"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717401"",""Parallel Banker's Algorithm";deadlock avoidance in hardware;"multiprocessor system-on-a-chip."",""System-on-a-chip";System recovery;Hardware design languages;Parallel processing;Concurrent computing;Runtime;Intellectual property;Multiprocessing systems;High performance computing;"Clocks"","""",""4"","""",""26"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Parallel Computational Model for Heterogeneous Clusters,""J. L. Bosque";" L. Pastor"",""Departamento de Arquitectura de Computadores y Ciencias de la Computacin e Inteligencia Artificial, Universidad Rey Juan Carlos, Spain";" Departamento de Arquitectura de Computadores y Ciencias de la Computacin e Inteligencia Artificial, Universidad Rey Juan Carlos, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1390"",""1400"",""This paper addresses the maximal lifetime scheduling for sensor surveillance systems with K sensors to 1 target. Given a set of sensors and targets in an Euclidean plane, a sensor can watch only one target at a time and a target should be watched by k, kges1, sensors at any time. Our task is to schedule sensors to watch targets and pass data to the base station, such that the lifetime of the surveillance system is maximized, where the lifetime is the duration up to the time when there exists one target that cannot be watched by k sensors or data cannot be forwarded to the base station due to the depletion of energy of the sensor nodes. We propose an optimal solution to find the target watching schedule for sensors that achieves the maximal lifetime. Our solution consists of three steps: 1) computing the maximal lifetime of the surveillance system and a workload matrix by using linear programming techniques, 2) decomposing the workload matrix into a sequence of schedule matrices that can achieve the maximal lifetime, and 3) determining the sensor surveillance trees based on the above obtained schedule matrices, which specify the active sensors and the routes to pass sensed data to the base station. This is the first time in the literature that this scheduling problem of sensor surveillance systems has been formulated and the optimal solution has been found. We illustrate our optimal method by a numeric example and experiments in the end"",""1558-2183"","""",""10.1109/TPDS.2006.165"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717402"",""Parallel computational models";performance evaluation;heterogeneous systems;cluster computing;"LogGP model."",""Concurrent computing";Computational modeling;Computer architecture;Algorithm design and analysis;Clustering algorithms;Parallel algorithms;High performance computing;Mathematical model;Computer industry;"Laboratories"","""",""16"",""1"",""34"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A quorum-based protocol for searching objects in peer-to-peer networks,""K. Miura"; T. Tagawa;" H. Kakugawa"",""Oki Data Corp., Tokyo, Japan"; NA;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Dec 2005"",""2006"",""17"",""1"",""25"",""37"",""Peer-to-peer (P2P) system is an overlay network of peer computers without centralized servers, and many applications have been developed for such networks such as file sharing systems. Because a set of peers dynamically changes, design and verification of efficient protocols is a challenging task. In this paper, we consider an object searching problem under a resource model such that there are some replicas in a system and the lower bound of the ratio /spl rho/=n'/n is known in advance, where n' is a lower bound of the number of peers that hold original or replica for any object type and n is the total number of peers. In addition, we consider object searching with probabilistic success, i.e., for each object search, object must be found with at least probability 0</spl sigma/<1. To solve such a problem efficiently, we propose a new communication structure, named probabilistic weak quorum systems (PWQS), which is an extension of coterie. Then, we propose a fault-tolerant protocol for searching for objects in a P2P system. In our method, each peer does not maintain global information such as the set of all peers and a logical topology with global consistency. In our protocol, each peer communicates only a small part of a peer set and, thus, our protocol is adaptive for huge scale P2P network."",""1558-2183"","""",""10.1109/TPDS.2006.2"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1549813"",""Distributed systems";distributed data structures;reliability and robustness;combinatorial algorithms;"distributed file systems."",""Protocols";Peer to peer computing;Network servers;Fault tolerant systems;Network topology;File servers;Computer Society;Computer networks;Application software;"Maintenance"","""",""10"","""",""28"",""IEEE"",""5 Dec 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A Simple Data Transfer Technique Using Local Address for Networks-on-Chips,""M. Koibuchi"; K. Anjo; Y. Yamada; A. Jouraku;" H. Amano"",""Infrastructure Systems Research Division, National Institute of Informatics National Center of Sciences, Tokyo, Japan"; Department of Information and Computer Science, Keio University, Yokohama, Japan; Department of Information and Computer Science, Keio University, Yokohama, Japan; Department of Information and Computer Science, Keio University, Yokohama, Japan;" Department of Information and Computer Science, Keio University, Yokohama, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1425"",""1437"",""Networks-on-chips (NoCs) have been studied to connect a number of modules in a chip by introducing a network structure which is similar to that in parallel computers. Since embedded streaming applications usually generate predictable small-sized data traffic, the network structure can be customized to the target traffic. Accordingly, we develop a data transfer technique for simplifying routers for predictable small-sized communication in simple tile-based architectures. A data structure is split into single-flit packets, and a label is attached to each of them in order to route them independently. A label is transferred on dedicated wires beside data lines in a channel by taking advantage of relaxed pin count limitations of a channel. To reduce the wiring area for the label, the label is locally assigned according to a preanalysis of required communication pairs of nodes. Analysis results show that only a 3-bit local label is sufficient to route all data of evaluated streaming applications in the case of a 16-node 2D torus. The required amount of hardware for a router is reduced by 37 percent compared with that for a wormhole packet router with the same number of routing table entries."",""1558-2183"","""",""10.1109/TPDS.2006.166"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717405"",""Networks-on-chips";on-chip interconnects;table-lookup routing;streaming processing;reconfigurable systems;"interconnection networks."",""Telecommunication traffic";Network-on-a-chip;Computer networks;Concurrent computing;Application software;Computer architecture;Data structures;Wires;Wiring;"Hardware"","""",""14"","""",""31"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;
"Active replication of multithreaded applications,""C. Basile"; Z. Kalbarczyk;" R. K. Iyer"",""Center for Reliable and High-Performance computing, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"; Center for Reliable and High-Performance computing, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA;" Center for Reliable and High-Performance computing, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2006"",""2006"",""17"",""5"",""448"",""465"",""Software-based active replication is expensive in terms of performance overhead. Multithreading can help improve performance";" however, thread scheduling is a source of nondeterminism in replica behavior. To achieve strong replica consistency in multithreaded environments, this paper proposes intercepting mutex lock/unlock operations performed by threads on accessing the shared data and contributes with two algorithmic solutions: 1) a loose synchronization algorithm (LSA), which captures the natural concurrency in a leader replica and projects it on follower replicas through interreplica communication, and 2) a preemptive deterministic scheduler (PDS) algorithm, which removes the need for interreplica communication through the notion of round and by suspending threads when it is unable (yet) to schedule them deterministically. Failure behavior and performance of LSA and PDS implementations are evaluated in a triplicated system and compared with existing solutions. A performance evaluation indicates that LSA and PDS outperform existing solutions, with PDS offering lower throughput than LSA. A fault-injection campaign shows that PDS is more robust to errors due to the absence of interreplica communication. Hence, LSA and PDS represent a trade-off between performance and dependability. Finally, LSA and PDS are demonstrated in replicating the Apache Web server, a substantial real-world application."",""1558-2183"","""",""10.1109/TPDS.2006.56"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1613853"",""Fault tolerance";replication;multithreading;nondeterminism;"fault injection."",""Scheduling algorithm";Multithreading;Concurrent computing;Robustness;Interleaved codes;Throughput;Web server;Fault tolerance;"Redundancy"","""",""30"",""1"",""24"",""IEEE"",""3 Apr 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Adaptive Electrocardiogram Feature Extraction on Distributed Embedded Systems,""R. Jafari"; H. Noshadi; S. Ghiasi;" M. Sarrafzadeh"",""Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA"; Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA; Department of Electrical and Computer Engineering, University of California Davis, Davis, CA, USA;" Computer Science Department, University of California, Los Angeles, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jul 2006"",""2006"",""17"",""8"",""797"",""807"",""Tiny embedded systems have not been an ideal outfit for high performance computing due to their constrained resources-limitations in processing power, battery life, communication bandwidth, and memory constrain the applicability of existing complex medical analysis algorithms such as the electrocardiogram (ECG) analysis. Among various limitations, battery lifetime has been a major key technological constraint. In this paper, we address the issue of partitioning such a complex algorithm while the energy consumption due to wireless transmission is minimized. ECG analysis algorithms normally consist of preprocessing, pattern recognition, and classification. Considering the orientation of the ECG leads, we devise a technique to perform preprocessing and pattern recognition locally in small embedded systems attached to the leads. The features detected in the pattern recognition phase are considered for the classification. Ideally, if the features detected for each heartbeat reside in a single processing node, the transmission will be unnecessary. Otherwise, to perform classification, the features must be gathered on a local node and, thus, the communication is inevitable. We perform such a feature grouping by modeling the problem as a hypergraph and applying partitioning schemes which yield a significant power saving in wireless communications. Furthermore, we utilize dynamic reconfiguration by software module migration. This technique, with respect to partitioning, enhances the overall power saving in such systems. Moreover, it adaptively alters the system configuration in various environments and on different patients. We evaluate the effectiveness of our proposed techniques on MIT/BIH benchmarks and, on average, achieve 70 percent energy saving"",""1558-2183"","""",""10.1109/TPDS.2006.96"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652943"",""Computational biology";ECG analysis;embedded systems;"feature extraction."",""Feature extraction";Embedded system;Algorithm design and analysis;Partitioning algorithms;Electrocardiography;Pattern recognition;Batteries;Performance analysis;Computer vision;"High performance computing"","""",""15"",""2"",""29"",""IEEE"",""10 Jul 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Adaptive Localized QoS-Constrained Data Aggregation and Processing in Distributed Sensor Networks,""Jin Zhu"; S. Papavassiliou;" Jie Yang"",""Department of Industrial Technology, University of Northern Iowa, Cedar Falls, IA, USA"; Department of Electrical and Computer Engineering, National and Technical University of Athens, Athens, Greece;" Department of Industrial Technology, University of Northern Iowa, Cedar Falls, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""923"",""933"",""In this paper, an efficient quality of service (QoS)-constrained data aggregation and processing approach for distributed wireless sensor networks is investigated and analyzed. One of the key features of the proposed approach is that the task QoS requirements are taken into account to determine when and where to perform the aggregation in a distributed fashion, based on the availability of local only information. Data aggregation is performed on the fly at intermediate sensor nodes, while at the same time the end-to-end latency constraints are satisfied. Furthermore, a localized adaptive data collection algorithm performed at the source nodes is developed that balances the design tradeoffs of delay, measurement accuracy, and buffer overflow, for given QoS requirements. The performance of the proposed approach is analyzed and evaluated, through modeling and simulation, under different data aggregation scenarios and traffic loads. The impact of several design parameters and tradeoffs on various critical network and application related performance metrics, such as energy efficiency, network lifetime, end-to-end latency, and data loss are also evaluated and discussed"",""1558-2183"","""",""10.1109/TPDS.2006.114"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668058"",""Sensor networks";distributed networks;data aggregation;"quality of service."",""Quality of service";Delay;Wireless sensor networks;Availability;Performance evaluation;Algorithm design and analysis;Buffer overflow;Performance analysis;Analytical models;"Telecommunication traffic"","""",""32"","""",""18"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Adaptive on-the-fly compression,""C. Krintz";" S. Sucu"",""Computer Science Department, University of California, Santa Barbara, CA, USA";" Computer Science Department, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Dec 2005"",""2006"",""17"",""1"",""15"",""24"",""We present a system called the adaptive compression environment (ACE) that automatically and transparently applies compression (on-the-fly) to a communication stream to improve network transfer performance. ACE uses a series of estimation techniques to make short-term forecasts of compressed and uncompressed transfer time at the 32 Kb block level. ACE considers underlying networking technology, available resource performance, and data characteristics as part of its estimations to determine which compression algorithm to apply (if any). Our empirical evaluation shows that, on average, ACE improves transfer performance given changing network types and performance characteristics by 8 to 93 percent over using the popular compression techniques that we studied (Bzip, Zlib, LZO, and no compression) alone."",""1558-2183"","""",""10.1109/TPDS.2006.3"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1549812"",""Adaptive compression";dynamic;performance prediction;"mobile systems."",""Bandwidth";Grid computing;Portable computers;Adaptive systems;Compression algorithms;IP networks;Distributed computing;Weather forecasting;Mobile computing;"Web services"","""",""40"",""7"",""26"",""IEEE"",""5 Dec 2005"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Allocating non-real-time and soft real-time jobs in multiclusters,""L. He"; S. A. Jarvis; D. P. Spooner; H. Jiang; D. N. Dillenberger;" G. R. Nudd"",""Department of Computer Science, University of Warwick, Coventry, UK"; Department of Computer Science, University of Warwick, Coventry, UK; Department of Computer Science, University of Warwick, Coventry, UK; Department of Computer Science and Engineering, University of Nebraska, Lincoln, Lincolnshire, NE, USA; IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;" Department of Computer Science, University of Warwick, Coventry, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""99"",""112"",""This paper addresses workload allocation techniques for two types of sequential jobs that might be found in multicluster systems, namely, non-real-time jobs and soft real-time jobs. Two workload allocation strategies, the optimized mean response time (ORT) and the optimized mean miss rate (OMR), are developed by establishing and numerically solving two optimization equation sets. The ORT strategy achieves an optimized mean response time for non-real-time jobs, while the OMR strategy obtains an optimized mean miss rate for soft real-time jobs over multiple clusters. Both strategies take into account average system behaviors (such as the mean arrival rate of jobs) in calculating the workload proportions for individual clusters and the workload allocation is updated dynamically when the change in the mean arrival rate reaches a certain threshold. The effectiveness of both strategies is demonstrated through theoretical analysis. These strategies are also evaluated through extensive experimental studies and the results show that when compared with traditional strategies, the proposed workload allocation schemes significantly improve the performance of job scheduling in multiclusters, both in terms of the mean response time (for non-real-time jobs) and the mean miss rate (for soft real-time jobs)."",""1558-2183"","""",""10.1109/TPDS.2006.18"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566589"",""Scheduling";parallel systems;distributed systems;real-time systems;"numerical algorithms."",""Processor scheduling";Real time systems;Delay;Ordinary magnetoresistance;Computer architecture;Dispatching;Resource management;Computer science;"Computer Society"","""",""45"",""1"",""28"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;
"An Adaptive Algorithm Selection Framework for Reduction Parallelization,""Hao Yu";" L. Rauchwerger"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA";" Department of Computer Science, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Sep 2006"",""2006"",""17"",""10"",""1084"",""1096"",""Irregular and dynamic memory reference patterns can cause performance variations for low level algorithms in general and for parallel algorithms in particular. In this paper, we present an adaptive algorithm selection framework which can collect and interpret the characteristics of a particular instance of parallel reduction algorithms and select the best performing one from an existing library. The framework consists of the following components: 1) an offline systematic process for characterizing the input sensitivity of parallel reduction algorithms and a method for building corresponding predictive performance models, 2) an online input characterization and algorithm selection module, and 3) a small library of parallel reduction algorithms, which represent the algorithmic choices made available at runtime. We also present one possible integration of this framework in a restructuring compiler. We validate our design experimentally and show that our framework 1) selects the most appropriate algorithms in 85 percent of the cases studied, 2) overall, delivers 98 percent of the optimal performance, 3) adaptively selects the best algorithms for dynamic phases of a running program (resulting in performance improvements otherwise not possible), and 4) adapts to the underlying machine architectures (evaluated on IBM Regatta and HP V-Class systems)."",""1558-2183"","""",""10.1109/TPDS.2006.131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687879"",""Runtime parallelization";adaptive optimization;reduction parallelization;"compiler optimization."",""Adaptive algorithm";Optimizing compilers;Libraries;Parallel algorithms;Predictive models;Runtime;Algorithm design and analysis;Programming profession;Program processors;"Sorting"","""",""21"","""",""30"",""IEEE"",""6 Sep 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
