"A Comment on ""The Exchanged Hypercube',""Y. -w. Chen"",""Department of Computer and Information Science, Aletheia University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""576"",""576"",""We address and analyze the problems existing on the exchanged hypercube proposed by Loh et al., an interconnection network obtained by systematically removing links from a hypercube. By taking the wrong number of links, the exchanged hypercube suffers from two problems. Necessary modifications on the exchanged hypercube, including the incremental expandability and the ratio of the number of links in EH(s, t) to that of an (s+t+1)-dimensional hypercube, are made"",""1558-2183"","""",""10.1109/TPDS.2007.1006"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118697"",""Interconnection network";exchanged hypercube;incremental expandability;"number of links."",""Hypercubes";Multiprocessor interconnection networks;Topology;Intelligent networks;"Hamming distance"","""",""16"","""",""1"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Comprehensive Framework for Enhancing Security in InfiniBand Architecture,""M. Lee";" E. J. Kim"",""Department of Computer Science, Dwight Look College of Engineering, Texas A and M University, College Station, TX, USA";" Department of Computer Science, Dwight Look College of Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Sep 2007"",""2007"",""18"",""10"",""1393"",""1406"",""The InfiniBand™ Architecture (IBA) is a promising communication standard for building clusters and system area networks. However, the IBA specification has left out security aspects, resulting in potential security vulnerabilities which could be exploited with moderate effort. In this paper, we view these vulnerabilities from three classical security aspects: confidentiality, authentication, and availability and investigate the following security issues. First, as groundwork for secure services in IBA, we present partition-level and queue pair-level key management schemes, both of which can be easily integrated into IBA. Second, for confidentiality and authentication, we present a method to incorporate a scalable encryption and authentication algorithm into IBA with little performance overhead. Third, for better availability, we propose a stateful ingress filtering mechanism to block denial of service (DoS) attacks. Finally, to further improve the availability, we provide a scalable packet marking method tracing back DoS attacks. Simulation results of an IBA network show that the security performance overhead due to encryption/authentication on network latency ranges from 0.7% to 12.4%. Since the stateful ingress filtering is enabled only when a DoS attack is active, there is no performance overhead in a normal situation."",""1558-2183"","""",""10.1109/TPDS.2007.1079"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302727"",""Cluster Security";InfiniBand Architecture;Galois/Counter Mode;Authentication;Encryption;"Availability DoS"",""Communication system security";Authentication;Computer crime;Cryptography;Availability;Filtering;Communication standards;Buildings;Partitioning algorithms;"Delay"","""",""7"",""2"",""32"",""IEEE"",""17 Sep 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Distributed and Efficient Flooding Scheme Using 1-Hop Information in Mobile Ad Hoc Networks,""H. Liu"; X. Jia; P. -J. Wan; X. Liu;" F. F. Yao"",""Department of Computer Science, City University of Hong Kong, Hong Kong, China"; Department of Computer Science, City University of Hong Kong, Hong Kong, China; Department of Computer Science, City University of Hong Kong, Hong Kong, China; School of Computer Science, Wuhan University of China, China;" Department of Computer Science, City University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""658"",""671"",""Flooding is one of the most fundamental operations in mobile ad hoc networks. Traditional implementation of flooding suffers from the problems of excessive redundancy of messages, resource contention, and signal collision. This causes high protocol overhead and interference with the existing traffic in the networks. Some efficient flooding algorithms were proposed to avoid these problems. However, these algorithms either perform poorly in reducing redundant transmissions or require each node to maintain 2-hop (or more) neighbors information. In the paper, we study the sufficient and necessary condition of 100 percent deliverability for flooding schemes that are based on only 1-hop neighbors information. We further propose an efficient flooding algorithm that achieves the local optimality in two senses: 1) the number of forwarding nodes in each step is minimal and 2) the time complexity for computing forwarding nodes is the lowest, which is O(nlogn), where n is the number of neighbors of a node. Extensive simulations have been conducted and simulation results have shown the excellent performance of our algorithm"",""1558-2183"","""",""10.1109/TPDS.2007.1023"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160934"",""Flooding";broadcasting;mobile ad hoc networks;"wireless networks."",""Mobile ad hoc networks";Floods;Road accidents;Telecommunication traffic;Computational modeling;Routing protocols;Radio broadcasting;Storms;Streaming media;"Interference"","""",""61"","""",""32"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A Distributed Throttling Approach for Handling High Bandwidth Aggregates,""C. W. Tan"; D. -M. Chiu; J. C. S. Lui;" D. K. Y. Yau"",""Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"; Department of Information Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China; Department of Information Engineering, Chinese University of Hong Kong, New Territories, Hong Kong, China;" Department of Computer Science, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Jun 2007"",""2007"",""18"",""7"",""983"",""995"",""Public-access networks need to handle persistent congestion and overload caused by high bandwidth aggregates that may occur during times of flooding-based DDoS attacks or flash crowds. The often unpredictable nature of these two activities can severely degrade server performance. Legitimate user requests also suffer considerably when traffic from many different sources aggregates inside the network and causes congestion. This paper studies a family of algorithms that """"proactively"""" protect a server from overload by installing rate throttles in a set of upstream routers. Based on an optimal control setting, we propose algorithms that achieve throttling in a distributed and fair manner by taking important performance metrics into consideration, such as minimizing overall load variations. Using ns-2 simulations, we show that our proposed algorithms 1) are highly adaptive by avoiding unnecessary parameter configuration, 2) provide max-min fairness for any number of throttling routers, 3) respond very quickly to network changes, 4) are extremely robust against extrinsic factors beyond the system control, and 5) are stable under given delay bounds."",""1558-2183"","""",""10.1109/TPDS.2007.1034"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218577"",""Resource management";DDoS attacks;"network security."",""Bandwidth";Aggregates;Network servers;Computer crime;Degradation;Communication system traffic control;Protection;Optimal control;Measurement;"Load management"","""",""10"",""1"",""23"",""IEEE"",""4 Jun 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A Divide-and-Conquer Strategy for Thwarting Distributed Denial-of-Service Attacks,""R. Chen"; J. -M. Park;" R. Marchany"",""Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"; Bradley Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA;" Information Technology Security Office, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""577"",""588"",""Attack mitigation schemes actively throttle attack traffic generated in Distributed Denial-of-Service (DDoS) attacks. This paper presents Attack Diagnosis (AD), a novel attack mitigation scheme that adopts a divide-and-conquer strategy. AD combines the concepts of Pushback and packet marking, and its architecture is in line with the ideal DDoS attack countermeasure paradigm—attack detection is performed near the victim host and packet filtering is executed close to the attack sources. AD is a reactive defense mechanism that is activated by a victim host after an attack is detected. By instructing its upstream routers to mark packets deterministically, the victim can trace back one attack source and command an AD-enabled router close to the source to filter the attack packets. This process isolates one attacker and throttles it, which is repeated until the attack is mitigated. We also propose an extension to AD called Parallel Attack Diagnosis (PAD) that is capable of throttling traffic coming from a large number of attackers simultaneously. AD and PAD are analyzed and evaluated using the Skitter Internet map, Lumeta's Internet map, and the 6-degree complete tree topology model. Both schemes are shown to be robust against IP spoofing and to incur low false positive ratios."",""1558-2183"","""",""10.1109/TPDS.2007.1014"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160927"",""Network-level security and protection."",""Computer crime";Internet;Telecommunication traffic;Atherosclerosis;Resource management;Information filtering;Information filters;Traffic control;Topology;"Robustness"","""",""29"","""",""44"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Fine-Grained Reputation System for Reliable Service Selection in Peer-to-Peer Networks,""Y. Zhang";" Y. Fang"",""Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA";" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1134"",""1145"",""Distributed peer-to-peer (P2P) applications have been gaining momentum recently. In such applications, all participants are equal peers simultaneously functioning as both clients and servers to each other. A fundamental problem is, therefore, how to select reliable servers from a vast candidate pool. To answer this important open question, we present a novel reputation system built upon the multivariate Bayesian inference theory. Our system offers a theoretically sound basis for clients to predict the reliability of candidate servers based on self-experiences and feedbacks from peers. In our system, a fine-grained quality of service (QoS) differentiation method is designed to satisfy the diverse QoS needs of individual nodes. Our reputation system is also application-independent and can simultaneously serve unlimited P2P applications of different type. Moreover, it is semidistributed in the sense that all application-related QoS information is stored across system users either in a random fashion or through a distributed hash table (DHT). In addition, we propose to leverage credits and social awareness as reliable means of seeking honest feedbacks. Furthermore, our reputation system well protects the privacy of users offering feedbacks and is secure against various attacks such as defaming, flattering, and the Sybil attack. We confirm the effectiveness and efficiency of the proposed system by extensive simulation results."",""1558-2183"","""",""10.1109/TPDS.2007.1043"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288110"",""P2P";QoS;reliability;reputation;security;"DHT"",""Peer to peer computing";Quality of service;Feedback;Bayesian methods;Protection;Engines;Network servers;Privacy;Statistics;"Reliability theory"","""",""73"",""1"",""25"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Fully Distributed Proactively Secure Threshold-Multisignature Scheme,""J. Van Der Merwe"; D. S. Dawoud;" S. McDonald"",""School of Electrical, Electronic, and Computer Engineering, University of Kwazulu-Natal, Durban, South Africa"; School of Electrical, Electronic, and Computer Engineering, University of Kwazulu-Natal, Durban, South Africa;" School of Electrical, Electronic, and Computer Engineering, University of Kwazulu-Natal, Durban, South Africa"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""562"",""575"",""Threshold-multisignature schemes combine the properties of threshold group-oriented signature schemes and multisignature schemes to yield a signature scheme that allows a threshold (t) or more group members to collaboratively sign an arbitrary message. In contrast to threshold group signatures, the individual signers do not remain anonymous, but are publicly identifiable from the information contained in the valid threshold-multisignature. The main objective of this paper is to propose such a secure and efficient threshold-multisignature scheme. The paper uniquely defines the fundamental properties of threshold-multisignature schemes and shows that the proposed scheme satisfies these properties and eliminates the latest attacks to which other similar schemes are subject. The efficiency of the proposed scheme is analyzed and shown to be superior to its counterparts. The paper also proposes a discrete logarithm based distributed-key management infrastructure (DKMI), which consists of a round optimal, publicly verifiable, distributed-key generation (DKG) protocol and a one round, publicly verifiable, distributed-key redistribution/ updating (DKRU) protocol. The round optimal DKRU protocol solves a major problem with existing secret redistribution/updating schemes by giving group members a mechanism to identify malicious or faulty share holders in the first round, thus avoiding multiple protocol executions"",""1558-2183"","""",""10.1109/TPDS.2007.1005"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118696"",""Security and protection";distributed systems;group-oriented cryptography;threshold-multisignature;secret sharing;distributed-key management infrastructure;publicly verifiable distributed-key generation;publicly verifiable distributed-key update;"publicly verifiable distributed-key redistribution."",""Cryptography";Cryptographic protocols;Collaboration;Fault diagnosis;Power system protection;Power system management;Distributed power generation;Distributed computing;Digital signatures;"Security"","""",""1"","""",""28"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A Game Theory-Based Pricing Strategy to Support Single/Multiclass Job Allocation Schemes for Bandwidth-Constrained Distributed Computing Systems,""P. Ghosh"; K. Basu;" S. K. Das"",""CReWMaN Laboratories, Center for Research in Wireless Mobility and Networking (CReWMaN), University of Texas, Arlington, Arlington, TX, USA"; CReWMaN Laboratories, Center for Research in Wireless Mobility and Networking (CReWMaN), University of Texas, Arlington, Arlington, TX, USA;" CReWMaN Laboratories, Center for Research in Wireless Mobility and Networking (CReWMaN), University of Texas, Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Feb 2007"",""2007"",""18"",""3"",""289"",""306"",""Today's distributed computing systems incorporate different types of nodes with varied bandwidth constraints which should be considered while designing cost-optimal job allocation schemes for better system performance. In this paper, we propose a fair pricing strategy for job allocation in bandwidth-constrained distributed systems. The strategy formulates an incomplete information, alternating-offers bargaining game on two variables, such as price per unit resource and percentage of bandwidth allocated, for both single and multiclass jobs at each node. We present a cost-optimal job allocation scheme for single-class jobs that involve communication delay and, hence, the link bandwidth. For fast and adaptive allocation of multiclass jobs, we describe three efficient heuristics and compare them under different network scenarios. The results show that the proposed algorithms are comparable to existing job allocation schemes in terms of the expected system response time over all jobs."",""1558-2183"","""",""10.1109/TPDS.2007.34"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4079530"",""Distributed systems";noncooperative alternating-offers bargaining game;job scheduling;"constrained optimization."",""Game theory";Pricing;Distributed computing;Delay;Bandwidth;Resource management;Computer Society;Job design;System performance;"Processor scheduling"","""",""41"","""",""32"",""IEEE"",""5 Feb 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Group Construction Method with Applications to Deriving Pruned Interconnection Networks,""W. Xiao";" B. Parhami"",""Department of Computer Science, South China University of Technology, Guangzhou, China";" Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""637"",""643"",""A number of low degree and, thus, low complexity, Cayley-graph interconnection structures, such as honeycomb and diamond networks, are known to be derivable by systematic pruning of 2D or 3D tori. In this paper, we extend these known pruning schemes via a general algebraic construction based on commutative groups. We show that, under certain conditions, Cayley graphs based on the constructed groups are pruned networks when Cayley graphs of the original commutative groups are kD tori. Thus, our results offer a general mathematical framework for synthesizing and exploring pruned interconnection networks that offer lower node degrees and, thus, smaller VLSI layout and simpler physical packaging. Our constructions also lead to new insights, as well as new concrete results, for previously known interconnection schemes such as honeycomb and diamond networks"",""1558-2183"","""",""10.1109/TPDS.2007.1002"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160932"",""Algebraic structure";Cayley graph;distributed system;geometric group theory;interconnection network;network diameter;parallel processor architecture;pruning scheme;"VLSI realization."",""Multiprocessor interconnection networks";Very large scale integration;Network synthesis;Packaging;Concrete;Computer architecture;Parallel processing;Computer networks;"Concurrent computing"","""",""10"","""",""12"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Latency-Aware Partitioning Method for Distributed Virtual Environment Systems,""P. Morillo"; S. Rueda; J. M. Orduna;" J. Duato"",""Departamento de Informática, Universidad de Valencia, Valencia, Spain"; Departamento de Informática, Universidad de Valencia, Valencia, Spain; Departamento de Informática, Universidad de Valencia, Valencia, Spain;" DISCA, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""9"",""1215"",""1226"",""Distributed virtual environment (DVE) systems allow multiple users working on different client computer's interconnected through different networks to interact in a shared virtual world. In these systems, latency is crucial for providing an acceptable quality of service (QoS), since it determines how fast client computers are reported about changes in the shared virtual scene produced by other client computers. This paper presents in a unified manner a partitioning approach for providing a latency below a threshold to the maximum number of users as possible in DVE systems. This partitioning approach searches the assignment of avatars, which represents the best trade-off among system latency, system throughput, and partitioning efficiency when solving the partitioning problem. Evaluation results show that the proposed approach not only maximizes system throughput, but also allows the system to satisfy, if possible, any specific latency requirement needed for providing QoS. This improvement is achieved without decreasing either image resolution or quality of animation, and it can be used together with other techniques already proposed. Therefore, it can contribute to provide QoS in DVEs."",""1558-2183"","""",""10.1109/TPDS.2007.1055"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288122"",""Distributed Applications";Distributed/network;"graphics"",""Virtual environment";Delay;Quality of service;Throughput;Computer networks;Distributed computing;Layout;Avatars;Image resolution;"Animation"","""",""26"","""",""47"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A Local Diagnosability Measure for Multiprocessor Systems,""G. -H. Hsu";" J. J. M. Tan"",""Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan";" Department of Computer Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""598"",""607"",""The problem of fault diagnosis has been discussed widely and the diagnosability of many well-known networks has been explored. Under the PMC model, we introduce a new measure of diagnosability, called local diagnosability, and derive some structures for determining whether a vertex of a system is locally t-diagnosable. For a hypercube, we prove that the local diagnosability of each vertex is equal to its degree under the PMC model. Then, we propose a concept for system diagnosis, called the strong local diagnosability property. A system G(V, E) is said to have a strong local diagnosability property if the local diagnosability of each vertex is equal to its degree. We show that an n-dimensional hypercube Qn has this strong property, nges3. Next, we study the local diagnosability of a faulty hypercube. We prove that Qn keeps this strong property even if it has up to n-2 faulty edges. Assuming that each vertex of a faulty hypercube Qn  is incident with at least two fault-free edges, we prove Qn  keeps this strong property even if it has up to 3(n-2)-1 faulty edges. Furthermore, we prove that Qn keeps this strong property no matter how many edges are faulty, provided that each vertex of a faulty hypercube Qn is incident with at least three fault-free edges. Our bounds on the number of faulty edges are all tight"",""1558-2183"","""",""10.1109/TPDS.2007.1022"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160929"",""PMC model";local diagnosability;"strong local diagnosability property."",""Multiprocessing systems";Hypercubes;Fault diagnosis;Sufficient conditions;Topology;"Time measurement"","""",""59"","""",""20"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
