"A Dynamic Skip List-Based Overlay for On-Demand Media Streaming with VCR Interactions,""D. Wang";" J. Liu"",""Department of Computing, Hong Kong Polytechnic University, Hong Kong, China";" School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Mar 2008"",""2008"",""19"",""4"",""503"",""514"",""Media distribution through application-layer overlay networks has received considerable attention recently, owing to its flexibility and readily deployable nature. On-demand streaming with asynchronous requests and, in general, with VCR-like interactions nevertheless remains a challenging task in overlay networks. In this paper, we introduce the dynamic skip list (DSL), a novel randomized and distributed structure that inherently accommodates dynamic and asynchronous clients. We establish the theoretical foundations of the DSL and demonstrate a practical DSL-based streaming overlay. In this overlay, the costs for typical operations, including join, leave, fast-forward, rewind, and random seek, are all sublinear to the client population. The model also seamlessly integrates a smart data scheduling algorithm using linear network coding, yielding fast and robust downloading from multiple suppliers. Our simulation results show that the DSL-based overlay is highly scalable. It delivers reasonably smooth playback with diverse client interactivities while keeping the computation and bandwidth overheads low."",""1558-2183"","""",""10.1109/TPDS.2007.70748"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359437"",""Applications";Protocol architecture;Applications;"Protocol architecture"",""Streaming media";Video recording;Peer to peer computing;DSL;Vehicle dynamics;Costs;Scheduling algorithm;Robustness;Collaboration;"Indexing"","""",""48"","""",""38"",""IEEE"",""3 Mar 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Framework to Provide Quality of Service over Advanced Switching,""R. Martínez"; F. J. Alfaro;" J. L. Sánchez"",""Intel Barcelona Research Center, Barcelona, Spain"; Computing Systems Department, University of Castilla La Mancha, Albacete, Spain;" Computing Systems Department, University of Castilla La Mancha, Albacete, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Jun 2008"",""2008"",""19"",""8"",""1111"",""1123"",""Advanced Switching (AS) is a network technology that expands the capabilities of PCI-Express adding new features like peer-to-peer communication. Together, PCI Express and AS have the potential for building the next generation interconnects. Furthermore, the provision of Quality of Service (QoS) in computing and communication environments is currently the focus of much discussion and research in industry and academia. In this paper we propose a framework to provide QoS based on bandwidth, latency, and jitter over AS employing the mechanisms provided by AS. We also present several implementations for the output scheduling mechanism. Finally, we evaluate our proposals by simulation, comparing the performance of the schedulers that we propose and their implementation complexity."",""1558-2183"","""",""10.1109/TPDS.2007.70799"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4384475"",""Network Architecture and Design";Packet-switching networks;High-speed;Performance of Systems;Network Architecture and Design;Packet-switching networks;High-speed;"Performance of Systems"",""Quality of service";Communication switching;Job shop scheduling;Peer to peer computing;Communication industry;Computer industry;Bandwidth;Delay;Jitter;"Processor scheduling"","""",""6"","""",""39"",""IEEE"",""27 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"A Key Management Scheme Using Deployment Knowledge for Wireless Sensor Networks,""Z. Yu";" Y. Guan"",""Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA";" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Aug 2008"",""2008"",""19"",""10"",""1411"",""1425"",""Wireless sensor networks pose new security and privacy challenges. One of the important challenges is how to bootstrap secure communications among nodes. Several key management schemes have been proposed. However, they either cannot offer strong resilience against node capture attacks, or require too much memory for achieving the desired connectivity. In this paper, we propose a novel key management scheme using deployment knowledge. In our scheme, a target field is divided into a number of hexagon grids and sensor nodes are divided into the same number of groups as that of grids, where each group is deployed into a unique grid. By using deployment knowledge, we drastically reduce the number of potential groups from which a node's neighbors may come. Thus, a pairwise key can be generated efficiently for any two neighbor nodes. Compared with existing schemes, our scheme achieves higher connectivity with a much lower memory requirement and shorter transmission range. It also outperforms others in terms of resilience against node capture attacks."",""1558-2183"","""",""10.1109/TPDS.2008.23"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4447661"",""Key Management";Sensor networks;Key Management;"Sensor networks"",""Knowledge management";Wireless sensor networks;Public key;Privacy;Resilience;Computer network management;Wireless communication;Base stations;Elliptic curve cryptography;"Computer networks"","""",""63"","""",""19"",""IEEE"",""8 Feb 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A More Practical Approach for Single-Packet IP Traceback using Packet Logging and Marking,""C. Gong";" K. Sarac"",""Department of Computer Science, University of Mary Hardin-Baylor, Belton, TX, USA";" Department of Computer Science, University of Technology, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Aug 2008"",""2008"",""19"",""10"",""1310"",""1324"",""Tracing IP packets to their origins is an important step in defending Internet against denial-of-service attacks. Two kinds of IP traceback techniques have been proposed as packet marking and packet logging. In packet marking, routers probabilistically write their identification information into forwarded packets. This approach incurs little overhead but requires large flow of packets to collect the complete path information. In packet logging, routers record digests of the forwarded packets. This approach makes it possible to trace a single packet and is considered more powerful. At routers forwarding large volume of traffic, the high storage overhead and access time requirement for recording packet digests introduce practicality problems. In this paper, we present a novel scheme to improve the practicality of log-based IP traceback by reducing its overhead on routers. Our approach makes an intelligent use of packet marking to improve scalability of log-based IP traceback. We use mathematical analysis and simulations to evaluate our approach. Our evaluation results show that, compared to the state-of-the-art log-based approach called hash-based IP traceback, our approach maintains the ability to trace single IP packet while reducing the storage overhead by half and the access time overhead by a factor of the number of neighboring routers."",""1558-2183"","""",""10.1109/TPDS.2007.70817"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4408575"",""Infrastructure protection";Network-level security and protection;Network Protocols;Network Operations;Internetworking;Protocols;Infrastructure protection;Network-level security and protection;Network Protocols;Network Operations;Internetworking;"Protocols"",""Computer crime";Internet;Floods;Protocols;Chaos;Scalability;Mathematical analysis;Analytical models;Search engines;"Security"","""",""55"",""1"",""31"",""IEEE"",""29 Aug 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A New Storage Scheme for Approximate Location Queries in Object-Tracking Sensor Networks,""J. Xu"; X. Tang;" W. -C. Lee"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"; School of Computer Engineering, Nanyang Technological University, Singapore;" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Jan 2008"",""2008"",""19"",""2"",""262"",""275"",""Energy efficiency is one of the most critical issues in the design of wireless sensor networks. Observing that many sensor applications for object tracking can tolerate a certain degree of imprecision in the location data of tracked objects, this paper studies precision-constrained approximate queries that trade answer precision for energy efficiency. We develop an energy-conserving approximate storage (EASE) scheme to efficiently answer approximate location queries by keeping error-bounded imprecise location data at some designated storage node. The data impreciseness is captured by a system parameter called the approximation radius. We derive the optimal setting of the approximation radius for our storage scheme based on the mobility pattern and devise an adaptive algorithm to adjust the setting when the mobility pattern is not available a priori or is dynamically changing. Simulation experiments are conducted to validate our theoretical analysis of the optimal approximation setting. The simulation results show that the proposed EASE scheme reduces the network traffic from a conventional approach by up to 96 percent and, in most cases, prolongs the network lifetime by a factor of 2-5."",""1558-2183"","""",""10.1109/TPDS.2007.70740"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359430"",""Energy efficiency";data dissemination;data storage;location query;wireless sensor network;Energy efficiency;data dissemination;data storage;location query;"wireless sensor network"",""Wireless sensor networks";Energy efficiency;Energy storage;Telecommunication traffic;Batteries;Adaptive algorithm;Analytical models;Traffic control;Memory;"Wildlife"","""",""28"","""",""37"",""IEEE"",""4 Jan 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A Novel Algorithm for Mining Association Rules in Wireless Ad Hoc Sensor Networks,""A. Boukerche";" S. Samarah"",""School of Information Technology and Engineering (SITE) and PARADISE Research Laboratory, University of Ottawa, Ottawa, ONT, Canada";" School of Information Technology and Engineering SITE and PARADISE Research Laboratory, University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""30 May 2008"",""2008"",""19"",""7"",""865"",""877"",""In this paper, we propose a comprehensive framework for mining wireless ad hoc sensor networks (WASNs), which is able to extract patterns regarding the sensors' behaviors. The main goal of determining behavioral patterns is to use them to generate rules that will improve the WASN's quality of service by participating in the resource management process or compensating for the undesired side effects of wireless communication. The proposed framework consists of 1) a formal definition of sensor behavioral patterns and sensor association rules, 2) a novel representation structure that we refer to as the positional lexicographic tree (PLT) that is able to compress the data gathered for the mining process and thus allows the fast and efficient mining of sensor behavioral patterns, and 3) a distributed data extraction mechanism to prepare the data required for mining sensor behavioral patterns. Several experimental studies have been conducted to evaluate our PLT structure and our proposed data extraction algorithms for mining wireless sensor networks."",""1558-2183"","""",""10.1109/TPDS.2007.70789"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4378362"",""Performance Evaluation";Sensor Networks;Distributed data mining;Performance Evaluation;Sensor Networks;"Distributed data mining"",""Wireless sensor networks";Data mining;Association rules;Wireless communication;Quality of service;Resource management;Event detection;Sensor systems;Spread spectrum communication;"Condition monitoring"","""",""60"","""",""26"",""IEEE"",""30 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Novel O(1) Deadlock Detection Methodology for Multiunit Resource Systems and Its Hardware Implementation for System-on-Chip,""X. Xiao";" J. J. Lee"",""Department of Electrical and Computer Engineering, Indiana University-Purdue University Indianapolis, Indianapolis, IN, USA";" Department of Electrical and Computer Engineering, Indiana University-Purdue University Indianapolis, Indianapolis, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Nov 2008"",""2008"",""19"",""12"",""1657"",""1670"",""This article describes a novel parallel multi-unit resource deadlock detection algorithm (MDDA) and its hardware implementation (MDDU). The contributions are (i) the first O(1) hardware deadlock detection, (ii) reduced O(min(m, n)) preparation, where m and n are the number of processes and resources, respectively, and (iii) support for multi-unit resources. O(min(m, n)), previously O(mtimesn), is achieved by performing all the searches for sink nodes for each and every resource in parallel in hardware over two matrices representing resource allocations as well as other auxiliary matrices. MDDU provides a fast and deterministic deadlock detection mechanism for multiprocessor system-on-chips (MPSoCs), which we predict will become prevalent in the near future in system designs. Our experiments demonstrate that MDDU always takes two clock cycles to detect deadlock regardless the size of the system. Lastly, the MPSoC area overhead due to MDDU is small, approximately 0.024 percent for MDDU16 x 16 on our example MPSoC."",""1558-2183"","""",""10.1109/TPDS.2008.56"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4487065"",""Deadlocks";Algorithms implemented in hardware;Real-time and embedded systems;Deadlocks;Algorithms implemented in hardware;"Real-time and embedded systems"",""System recovery";Hardware;System-on-a-chip;Detection algorithms;Multiprocessing systems;Embedded system;Embedded computing;Real time systems;Switches;"Resource management"","""",""6"","""",""22"",""IEEE"",""11 Apr 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Novel State Transition Method for Metaheuristic-Based Scheduling in Heterogeneous Computing Systems,""Y. -C. Lee";" A. Zomaya"",""School of Information Technologiea, University of Sydney, NSW, Australia";" School of Information Technologiea, University of Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jul 2008"",""2008"",""19"",""9"",""1215"",""1223"",""Much of the recent literature shows a prevalance in the use of metaheuristics in solving a variety of problems in parallel and distributed computing. This is especially ture for problems that have a combinatorial nature, such as scheduling and load balancing. Despite numerous efforts, task scheduling remains one of the most challenging problems in heterogeneous computing environments. In this paper, we propose a new state transitionscheme , called the Duplication-based State Transition (DST) method specially designed for metaheuristics that can be used for the task scheduling problem in heterogeneous computing environments. State transition in metaheuristics is a key component that takes charge of generating variants of a given state. The DST method produces a new state by first overlapping randomly generated states with the current state and then the resultant state is refined by removing ineffectual tasks. The proposed method is incorporated into three different metaheuristics: genetic algorithms (GAs), simulated annealing (SA), and artificial immune system (AISs). They are experimentally evaluated and are also compared with existing algorithms. The experimental results confirm DST's promising impact on the performance of metaheuristics."",""1558-2183"","""",""10.1109/TPDS.2007.70815"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4407696"",""Load balancing and task assignment";TC scheduling and synchronization;Scheduling and task partitioning;Multiprocessor Systems;Load balancing and task assignment;TC scheduling and synchronization;Scheduling and task partitioning;"Multiprocessor Systems"",""Processor scheduling";Genetic algorithms;Computational modeling;Simulated annealing;Artificial immune systems;Concurrent computing;Scheduling algorithm;Samarium;Strontium;"Refining"","""",""37"","""",""26"",""IEEE"",""29 Jul 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Payment-Based Incentive and Service Differentiation Scheme for Peer-to-Peer Streaming Broadcast,""G. Tan";" S. A. Jarvis"",""INRIA Rennes Bretagne Atlantique, Rennes, France";" Department of Computer Science, University of Warwick, Coventry, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""30 May 2008"",""2008"",""19"",""7"",""940"",""953"",""We propose a novel payment-based incentive scheme for peer-to-peer (P2P) live media streaming. Using this approach, peers earn points by forwarding data to others. The data streaming is divided into fixed-length periods";" during each of these periods, peers compete with each other for good parents (data suppliers) for the next period in a first-price-auction-like procedure using their points. We design a distributed algorithm to regulate peer competitions and consider various individual strategies for parent selection from a game-theoretic perspective. We then discuss possible strategies that can be used to maximize a peer's expected media quality by planning different bids for its substreams. Finally, in order to encourage off-session users to remain online and continue contributing to the network, we develop an optimal data forwarding strategy that allows peers to accumulate points that can be used in future services. Simulation results show that the proposed methods effectively differentiate the media qualities received by peers making different contributions (which originate from, for example, different forwarding bandwidths or servicing times) and at the same time maintain high overall system performance."",""1558-2183"","""",""10.1109/TPDS.2007.70778"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359458"",""Distributed networks";Network Protocols;Distributed Systems;Internet;Multicast;Performance of Systems;Distributed networks;Network Protocols;Distributed Systems;Internet;Multicast;"Performance of Systems"",""Peer to peer computing";Broadcasting;Streaming media;Bandwidth;System performance;Quality of service;Incentive schemes;Algorithm design and analysis;Distributed algorithms;"Strategic planning"","""",""40"","""",""32"",""IEEE"",""30 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Policy Evaluation Tool for Multisite Resource Management,""M. Srivatsa"; N. Rajamani;" M. Devarakonda"",""IBM Thomas J. Watson Research Center, NY, USA"; IBM Thomas J. Watson Research Center, NY, USA;" IBM Thomas J. Watson Research Center, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Aug 2008"",""2008"",""19"",""10"",""1352"",""1366"",""An enterprise typically operates multiple data center sites, each handling workloads according to an enterprise-level strategy. Sharing resources across multiple sites (or enterprises) brings up several important problems. Each site may have its own policies that govern its interactions with other remote sites. Different policies impact the system performance in different ways. The site administrators and system designers need to understand the effects of a given set of policies on different workloads. In this paper, we describe an analysis methodology that determines the impact of policies on the workloads, and we present results and validation for a prototypical multi-site resource sharing system. Our analytical tool is capable of evaluating complex policies on a large scale system and permits independent policies for each site, so that policy makers can quickly evaluate several alternatives and their effects on the workloads before deploying them."",""1558-2183"","""",""10.1109/TPDS.2008.29"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459316"",""Performance Analysis and Design Aids";Distributed Systems;Performance Analysis and Design Aids;"Distributed Systems"",""Resource management";Prototypes;Large-scale systems;Performance analysis;Automata;System performance;Peer to peer computing;Buildings;Strategic planning;"Queueing analysis"","""",""3"",""1"",""40"",""IEEE"",""3 Mar 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
