"A Case for Continuous Data Protection at Block Level in Disk Array Storages,""W. Xiao"; J. Ren;" Q. Yang"",""Department of Electrical, Computer, and Biomedical Engineering, University of Rhode Island, Kingston, RI, USA"; Department of Electrical, Computer, and Biomedical Engineering, University of Rhode Island, Kingston, RI, USA;" Department of Electrical, Computer, and Biomedical Engineering, University of Rhode Island, Kingston, RI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Apr 2009"",""2009"",""20"",""6"",""898"",""911"",""This paper presents a study of data storages for continuous data protection (CDP). After analyzing the existing data protection technologies, we propose a new disk array architecture that provides Timely Recovery to Any Point-in-time, referred to as TRAP. TRAP stores not only the data stripe upon a write to the array but also the time-stamped Exclusive ors (xors) of successive writes to each data block. By leveraging the xor operations that are performed upon each block write in today's RAID4/5 controllers, TRAP does not incur noticeable performance overhead. More importantly, TRAP is able to recover data very quickly to any point-in-time upon data damage by tracing back the sequence and history of xors resulting from writes. What is interesting is that the TRAP architecture is very space efficient. We have implemented a prototype of the new TRAP architecture using software at the block level and carried out extensive performance measurements using TPC-C benchmarks running on Oracle and Postgres databases, TPC-W running on a MySQL database, and file system benchmarks running on Linux and Windows systems. Our experiments demonstrated that TRAP not only is able to recover data to any point-in-time very quickly upon a failure but also uses less storage space than traditional daily incremental backup/snapshot. Compared to the state-of-the-art CDP technologies, TRAP saves disk storage space by one to two orders of magnitude with a simple and a fast encoding algorithm. In addition, TRAP can provide two-way data recovery with the availability of only one reference image in contrast to the one-way recovery of snapshot and incremental backup technologies."",""1558-2183"","""",""10.1109/TPDS.2008.154"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4604661"",""Disk array";disk I/O;data storage;data protection and recovery;data backup.;Disk Array;Disk I/O;Data Storage;"Data Protection and Recovery"",""Protection";Space technology;Computer architecture;Databases;Memory;Data analysis;History;Software prototyping;Software performance;"Measurement"","""",""12"",""16"",""67"",""IEEE"",""22 Aug 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Class of Cross-Layer Optimization Algorithms for Performance and Complexity Trade-Offs in Wireless Networks,""X. Zheng"; F. Chen; Y. Xia;" Y. Fang"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"; Wireless Networks Laboratory, Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA; Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA;" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1393"",""1407"",""In this paper, we solve the problem of a joint optimal design of congestion control and wireless MAC-layer scheduling using a column generation approach with imperfect scheduling. We point out that the general subgradient algorithm has difficulty in recovering the time-share variables and experiences slower convergence. We first propose a two-timescale algorithm that can recover the optimal time-share values. Most existing algorithms have a component, called global scheduling, which is usually NP-hard. We apply imperfect scheduling and prove that if the imperfect scheduling achieves an approximation ratio rho, then our algorithm produces a suboptimum of the overall problem with the same approximation ratio. By combining the idea of column generation and the two-timescale algorithm, we derive a family of algorithms that allows us to reduce the number of times the global scheduling is needed."",""1558-2183"","""",""10.1109/TPDS.2008.245"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4689551"",""Cross-layer design";optimization;column generation;MAC-layer scheduling;congestion control.;Algorithm/protocol design and analysis;Wireless communication;Constrained optimization;Convex programming;Nonlinear programming;Convergence and stability;"Nonlinear approximation"",""Wireless networks";Scheduling algorithm;Design optimization;Algorithm design and analysis;Throughput;Costs;Optimal control;Convergence;"Approximation algorithms"","""",""9"","""",""28"",""IEEE"",""25 Nov 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Cooperative Game Theoretical Technique for Joint Optimization of Energy Consumption and Response Time in Computational Grids,""S. U. Khan";" I. Ahmad"",""Department of Electrical and Computer Engineering, North Dakota State University, Fargo, ND, USA";" Department of Computer Science and Engineering, University of Technology, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""346"",""360"",""With the explosive growth in computers and the growing scarcity in electric supply, reduction of energy consumption in large-scale computing systems has become a research issue of paramount importance. In this paper, we study the problem of allocation of tasks onto a computational grid, with the aim to simultaneously minimize the energy consumption and the makespan subject to the constraints of deadlines and tasks' architectural requirements. We propose a solution from cooperative game theory based on the concept of Nash bargaining solution. In this cooperative game, machines collectively arrive at a decision that describes the task allocation that is collectively best for the system, ensuring that the allocations are both energy and makespan optimized. Through rigorous mathematical proofs we show that the proposed cooperative game in mere O(n mlog(m)) time (where n is the number of tasks and m is the number of machines in the system) produces a Nash bargaining solution that guarantees Pareto-optimally. The simulation results show that the proposed technique achieves superior performance compared to the greedy and linear relaxation (LR) heuristics, and with competitive performance relative to the optimal solution implemented in LINDO for small-scale problems."",""1558-2183"","""",""10.1109/TPDS.2008.83"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4531736"",""Power Management";Distributed Systems;Multiprocessor Systems;Power Management;Distributed Systems;"Multiprocessor Systems"",""Game theory";Energy consumption;Delay;Grid computing;Voltage control;NIST;Resource management;Energy management;Central Processing Unit;"Large-scale systems"","""",""150"",""2"",""32"",""IEEE"",""30 May 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Decentralized Method for Scaling Up Genome Similarity Search Services,""C. Zhou"; B. B. Wang;" A. Y. Zomaya"",""CSIRO ICT Centre, Epping, NSW, Australia"; School of Information Technologies, University of Sydney, Sydney, NSW, Australia;" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""303"",""315"",""As genome sequence databases grow in size, the accuracy and speed of sequence similarity detection become more important. There is an increasing number of methods being used for detecting sequence similarity. Meanwhile the demands for genome sequence search and alignment services are also increasing. It is a challenge to scale up the computer systems for hosting various methods and serving requests to these methods in a timely manner. Traditional clusters, which are used in most of scientific centers, can not cope with this challenge. This paper tackles this problem in a novel way, which treats the sequence search requests as content requests to both genome databases and similarity detection methods";" therefore, scaling up the computer systems that serve these contents is a process of constructing content distribution network. The paper gives a decentralized method to dynamically construct content distribution networks for a variety of genome sequence similarity detection services. It also provides a scheduling algorithm for efficiently using content nodes. Our simulation study shows that scalability and high content node utilization can be achieved in such a system while the cost of achieving remains reasonable."",""1558-2183"","""",""10.1109/TPDS.2008.95"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4538213"",""Simulation";Performance Analysis and Design Aids;Simulation;Distributed architectures;Distributed networks;Distributed applications;Data models;Hash-table representations;Optimization;Simulation;Performance Analysis and Design Aids;Simulation;Distributed architectures;Distributed networks;Distributed applications;Data models;Hash-table representations;"Optimization"",""Genomics";Bioinformatics;Databases;Scalability;Hidden Markov models;Storage area networks;Computer networks;Distributed computing;Scheduling algorithm;"Computational modeling"","""",""1"","""",""34"",""IEEE"",""6 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A DHT-Based Identifier-to-Locator Mapping Approach for a Scalable Internet,""H. Luo"; Y. Qin;" H. Zhang"",""School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China"; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China;" School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2009"",""2009"",""20"",""12"",""1790"",""1802"",""It is commonly recognized that today's Internet routing and addressing system is facing serious scaling problems, which are mainly caused by the overloading of IP address semantics. That is, an IP address represents not only the location but also the identity of a host. To address this problem, several recent schemes propose to replace the IP namespace in today's Internet with a locator namespace and an identity namespace. The locator namespace consists of locators that are used to represent the locations of hosts. On the other hand, the identity namespace consists of identifiers that are used to represent the identities of hosts. For these schemes to work, there must be a mapping system that can supply an appropriate locator for any given end point identifier (EID). While prior related works mainly focus on aggregable EIDs, several recent works proposed the use of self-certifying EIDs for purpose of security and privacy. However, self-certifying EIDs are flat, unstructured and prior proposals cannot be used to deal with flat EIDs. In this paper, we propose a Distributed hash table (DHT)-based identifier-to-locator mapping scheme to resolve a locator for a flat identifier. We evaluate the performance of the proposed scheme. We show that, besides the capability to support flat EIDs, the scheme has good scalability and low resolution delay. We also show that the scheme is robust and can efficiently support mobility."",""1558-2183"","""",""10.1109/TPDS.2009.30"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4796190"",""Identifier";locator;identifier-to-locator mapping;scalability;multihoming;robustness;"Internet architecture."",""Internet";Routing;Protocols;Scalability;Robustness;Intrusion detection;Security;Privacy;Proposals;"Delay"","""",""54"",""1"",""34"",""IEEE"",""27 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Distributed Stream Query Optimization Framework through Integrated Planning and Deployment,""S. Seshadri"; V. Kumar; B. Cooper;" L. Liu"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"; IBM Thomas J. Watson Research Center, Hawthorne, NY, USA; Santa Clara, CA, USA;" College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1439"",""1453"",""This paper addresses the problem of optimizing multiple distributed stream queries that are executing simultaneously in distributed data stream systems. We argue that the static query optimization approach of """"plan, then deployment"""" is inadequate for handling distributed queries involving multiple streams and node dynamics faced in distributed data stream systems and applications. Thus, the selection of an optimal execution plan in such dynamic and networked computing systems must consider operator ordering, reuse, network placement, and search space reduction. We propose to use hierarchical network partitions to exploit various opportunities for operator-level reuse while utilizing network characteristics to maintain a manageable search space during query planning and deployment. We develop top-down, bottom-up, and hybrid algorithms for exploiting operator-level reuse through hierarchical network partitions. Formal analysis is presented to establish the bounds on the search space and suboptimality of our algorithms. We have implemented our algorithms in the IFLOW system, an adaptive distributed stream management system. Through simulations and experiments using a prototype deployed on Emulab, we demonstrate the effectiveness of our framework and our algorithms."",""1558-2183"","""",""10.1109/TPDS.2008.232"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4653774"",""Computer-communication networks";distributed systems;distributed databases;distributed applications;database management;systems;query processing.;Distributed Systems;Distributed databases;"Query processing"",""Query processing";Computer networks;Partitioning algorithms;Distributed databases;Network servers;Distributed processing;Distributed computing;Runtime;Computer network management;"Algorithm design and analysis"","""",""6"","""",""38"",""IEEE"",""17 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Faithful Distributed Mechanism for Sharing the Cost of Multicast Transmissions,""N. Garg";" D. Grosu"",""Department of Computer Science, Wayne State University, Detroit, MI, USA";" Department of Computer Science, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2009"",""2009"",""20"",""8"",""1089"",""1101"",""The problem of sharing the cost of multicast transmissions was studied in the past, and two mechanisms, marginal cost (MC) and Shapley value (SH), were proposed to solve it. Although both of them are strategy proof mechanisms, the distributed protocols implementing them are susceptible to manipulation by autonomous nodes. We propose a distributed Shapley value mechanism in which the participating nodes do not have incentives to deviate from the mechanism specifications. We show that the proposed mechanism is a faithful implementation of the Shapley value mechanism. We experimentally investigate the performance of the existing and the proposed cost-sharing mechanisms by implementing and deploying them on PlanetLab. We compare the execution time of MC and SH mechanisms for the tamper-proof and autonomous node models. We also study the convergence and scalability of the mechanisms by varying the number of nodes and the number of users per node. We show that the MC mechanisms generate a smaller revenue compared to the SH mechanisms, and thus, they are not attractive to the content provider. We also show that increasing the number of users per node is beneficial for the systems implementing the SH mechanisms from both computational and economic perspectives."",""1558-2183"","""",""10.1109/TPDS.2008.221"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4641917"",""Multicast";cost sharing;faithful implementation;algorithmic mechanism design.;multicast;cost sharing;"distributed mechanisms"",""Costs";Convergence;Scalability;Algorithm design and analysis;Video sharing;IP networks;Multicast algorithms;Bandwidth;Web and internet services;"Video on demand"","""",""2"","""",""46"",""IEEE"",""10 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"A Hybrid Network Architecture for File Transfers,""X. Fang";" M. Veeraraghavan"",""Google, Inc., Mountain View, CA, USA";" Charles L. Brown Department of Electrical and Computer Engineering, University of Virginia, Charlottesville, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2009"",""2009"",""20"",""12"",""1714"",""1725"",""In prior work, we proposed a hybrid architecture that complements the connectionless Internet with a high-speed, dynamically shared circuit-switched network for file-transfer applications. """"Smallrdquo files are directed to the connectionless network while for """"largerdquo files, a high-speed circuit setup is attempted. If the attempt is unsuccessful (because all circuits are already in use), the application will fall back to using the connectionless path. This paper addresses the question of how to select appropriate values for operational parameters in this hybrid architecture. Specifically, we study the questions of what sized files to direct to the circuit-switched network and how much bandwidth to allocate per file transfer. To answer these questions, we construct a model of this hybrid architecture by combining the Erlang-B call blocking model with TCP delay models. Our model captures a combination of utilization and delay considerations in the selection of minimum file size above which transfers should be directed to the circuit-switched network. The optimal per-call circuit rate and the optimal minimum file size are determined to maximize the benefits of using the circuit network, which is quantified with an average-delay-reduction metric."",""1558-2183"","""",""10.1109/TPDS.2009.21"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4770096"",""Network architecture";circuit-switching networks;packet-switching networks;"network applications."",""Circuits";Internet;IP networks;Delay;Bandwidth;SONET;Wavelength division multiplexing;Analytical models;Throughput;"WDM networks"","""",""5"","""",""21"",""IEEE"",""2 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Parameterized Approach to Spam-Resilient Link Analysis of the Web,""J. Caverlee"; S. Webb; L. Liu;" W. B. Rouse"",""Department of Computer Science, Texas A and M University, College Station, TX, USA"; Purewire, Atlanta, GA, USA; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA;" Tennenbaum Institute, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1422"",""1438"",""Link-based analysis of the Web provides the basis for many important applications-like Web search, Web-based data mining, and Web page categorization-that bring order to the massive amount of distributed Web content. Due to the overwhelming reliance on these important applications, there is a rise in efforts to manipulate (or spam) the link structure of the Web. In this manuscript, we present a parameterized framework for link analysis of the Web that promotes spam resilience through a source-centric view of the Web. We provide a rigorous study of the set of critical parameters that can impact source-centric link analysis and propose the novel notion of influence throttling for countering the influence of link-based manipulation. Through formal analysis and a large-scale experimental study, we show how different parameter settings may impact the time complexity, stability, and spam resilience of Web link analysis. Concretely, we find that the source-centric model supports more effective and robust rankings in comparison with existing Web algorithms such as PageRank."",""1558-2183"","""",""10.1109/TPDS.2008.227"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4653482"",""Internet search";information search and retrieval;information storage and retrieval;information technology and systems;distributed systems;systems and software;Web search;general;Web-based services;online information services.;Internet search;Distributed systems;Web Search;"Web-based services"",""Web pages";Web search;Data mining;Resilience;Information retrieval;Large-scale systems;Stability analysis;Robustness;Information technology;"Software systems"","""",""9"","""",""41"",""IEEE"",""17 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Polynomial Time Solution to Minimum Forwarding Set Problem in Wireless Networks under Unit Disk Coverage Model,""M. Baysan"; K. Sarac; R. Chandrasekaran;" S. Bereg"",""Department of Management, University of Toronto, Toronto, ONT, Canada"; University of Texas, Dallas, Richardson, TX, USA; University of Texas, Dallas, Richardson, TX, USA;" University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jun 2009"",""2009"",""20"",""7"",""913"",""924"",""Network-wide broadcast (simply broadcast) is a frequently used operation in wireless ad hoc networks (WANETs). One promising practical approach for energy-efficient broadcast is to use localized algorithms to minimize the number of nodes involved in the propagation of the broadcast messages. In this context, the minimum forwarding set problem (MFSP) (also known as multipoint relay (MPR) problem) has received a considerable attention in the research community. Even though the general form of the problem is shown to be NP-complete, the complexity of the problem has not been known under the practical application context of ad hoc networks. In this paper, we present a polynomial time algorithm to solve the MFSP for wireless network under unit disk coverage model. We prove the existence of some geometrical properties for the problem and then propose a polynomial time algorithm to build an optimal solution based on these properties. To the best of our knowledge, our algorithm is the first polynomial time solution to the MFSP under the unit disk coverage model. We believe that the work presented in this paper will have an impact on the design and development of new algorithms for several wireless network applications including energy-efficient multicast, broadcast, and topology control protocols for WANETs and sensor networks."",""1558-2183"","""",""10.1109/TPDS.2008.169"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4624252"",""Multipoint relays";minimum forwarding set problem;network-wide broadcast;unit disk graphs.;Algorithm/protocol design and analysis;"Support services"",""Polynomials";Wireless networks;Broadcasting;Energy efficiency;Multicast algorithms;Wireless sensor networks;Multicast protocols;Mobile ad hoc networks;Relays;"Ad hoc networks"","""",""12"",""2"",""30"",""IEEE"",""12 Sep 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
