"2PASS: Bandwidth-Optimized Location Cloaking for Anonymous Location-Based Services,""H. Hu";" J. Xu"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China";" Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1458"",""1472"",""Protection of users' location privacy is a critical issue for location-based services. Location cloaking has been proposed to blur users' accurate locations with cloaked regions. Although various cloaking algorithms have been studied, none of the prior work has explored the impact of cloaking on the bandwidth usage of requested services. In this paper, we develop an innovative result-aware location cloaking approach, called 2PASS. Based on the notion of Voronoi cells, 2PASS minimizes the number of objects to request, and hence, the bandwidth while meeting the same privacy requirement. The core component of 2PASS is a lightweight WAG-tree index, based on which efficient and secure client and server procedures are designed. Through threat analysis and experimental results, we argue that 2PASS is robust and outperforms state-of-the-art approaches in terms of various metrics, such as query response time and bandwidth consumption. We also enclose a case study of 2PASS in a real-life application."",""1558-2183"","""",""10.1109/TPDS.2010.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406506"",""Mobile applications";distributed applications;security;integrity;"protection."",""Privacy";Bandwidth;Robustness;Protection;Network servers;Neural networks;Delay;Information security;Medical conditions;"Law"","""",""15"",""2"",""33"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Cross-Layer Approach-Based Gnutella for Collaborative Virtual Environments over Mobile Ad Hoc Networks,""A. Boukerche"; A. Zarrad;" R. Araujo"",""Paradise Research Laboratory and the School of Information Technology and Engineering (SITE), University of Ottawa, Ottawa, ONT, Canada"; Paradise Research Laboratory and the School of Information Technology and Engineering (SITE), University of Ottawa, Ottawa, ONT, Canada;" Department of Computer Science, Federal University of Sāo Carlos UFSCar, Rodovia Washington Luis, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""911"",""924"",""Collaborative Virtual Environments (CVEs) such as military training programs, emergency preparedness simulations, and online games place strict requirements on network performance when participating users share the 3D virtual environment through their mobile devices in an ad hoc network. However, most support systems for existing CVEs are confined to a desktop setting, thus preventing collaboration while users are mobile. In this work, we propose and evaluate a Gnutella peer-to-peer network over mobile ad hoc networks (MANETs) to support Mobile Collaborative Virtual Environment (MCVE) applications. Both architectures share some common features such as decentralization, self-reorganization, and self-healing. However, peer-to-peer networks and MANETs operate on different network layers, and thus, cause poor performance. To address this problem, we explore a novel cross-layer approach to improve the overall performance of CVEs over MANETs. The network layer should be aware of the user's physical position in the virtual environment (VE) in order to minimize network traffic and cope with a moderate workload between nodes. In this paper, we present a cross-layer approach model for collaborative virtual environment over MANET. We describe its implementation and evaluate its performance using NS2 simulator."",""1558-2183"","""",""10.1109/TPDS.2009.91"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5072207"",""Mobile collaborative virtual environment";mobile ad hoc network;"and peer-to-peer network."",""Virtual environment";Mobile ad hoc networks;Peer to peer computing;Collaborative work;Ad hoc networks;Online Communities/Technical Collaboration;Avatars;Telecommunication traffic;Traffic control;"Graphics"","""",""17"","""",""42"",""IEEE"",""12 Jun 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Direct Coherence Protocol for Many-Core Chip Multiprocessors,""A. Ros"; M. E. Acacio;" J. M. Garcia"",""Departamento de Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain"; Departamento de Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain;" Departamento de Ingeniería y Tecnología de Computadores, Universidad de Murcia, Murcia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2010"",""2010"",""21"",""12"",""1779"",""1792"",""Future many-core CMP designs that will integrate tens of processor cores on-chip will be constrained by area and power. Area constraints make impractical the use of a bus or a crossbar as the on-chip interconnection network, and tiled CMPs organized around a direct interconnection network will probably be the architecture of choice. Power constraints make impractical to rely on broadcasts (as, for example, Token-CMP does) or any other brute-force method for keeping cache coherence, and directory-based cache coherence protocols are currently being employed. Unfortunately, directory protocols introduce indirection to access directory information, which negatively impacts performance. In this work, we present DiCo-CMP, a novel cache coherence protocol especially suited to future many-core tiled CMP architectures. In DiCo-CMP, the task of storing up-to-date sharing information and ensuring ordered accesses for every memory block is assigned to the cache that must provide the block on a miss. Therefore, DiCo-CMP reduces the miss latency compared to a directory protocol by sending requests directly to the cache that provides the block in a cache miss. These latency reductions result in improvements in execution time of up to 6 percent, on average, over a directory protocol. In comparison with Token-CMP, our protocol only sends one request message for each cache miss, as such is able to reduce network traffic by 43 percent."",""1558-2183"","""",""10.1109/TPDS.2010.43"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5432165"",""Many-core CMP";cache coherence protocol;direct coherence;indirection problem;"on-chip network traffic."",""Access protocols";Multiprocessor interconnection networks;Delay;Network-on-a-chip;Telecommunication traffic;Coherence;Broadcasting;"Microprocessors"","""",""30"","""",""43"",""IEEE"",""18 Mar 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Distributed Approach of Proportional Bandwidth Allocation for Real-Time Services in UltraWideBand (UWB) WPANs,""C. Hu"; H. Kim; J. C. Hou; D. Chi;" S. Shankar N"",""Wireless Networking Business Unit, Broadcom Inc., Sunnyvale, CA, USA"; School of Electrical Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science, University of Illinois, Urbana-Champaign, USA; Windows User Experience Team, Microsoft, Seattle, WA, USA;" Broadcom Inc., San Diego"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2010"",""2010"",""21"",""11"",""1626"",""1643"",""Quality of service (QoS) provisioning is one of the most important criteria in newly emerging UWB WPANs, as they are expected to support a wide variety of applications from time-constrained, multimedia streaming to throughput-hungry, content transfer applications. Recently, the WiMedia Alliance has announced the PHY/MAC specification together with the common radio platform for UWB WPANs. The WiMedia MAC uses the contention-free reservation-based access, which supports isochronous traffic with distributed reservation protocol (DRP), and the contention-based access, which provides service differentiation for best effort and variable-rate real-time traffic with prioritized channel access (PCA), similar to the enhanced distributed coordinated access (EDCA) in IEEE 802.11e. In this paper, we conduct a comprehensive theoretical analysis and show that with the currently recommended parameter setting, EDCA cannot provide adequate QoS. In particular, without responding to the system dynamics (e.g., taking account of the number of active stations in each class), EDCA cannot allocate bandwidth in a deterministic proportional manner and the system bandwidth is underutilized. After identifying the deficiency of EDCA, we propose an enhanced QoS-provisioning framework for the PCA scheme that dynamically controls channel access to adjust allocated bandwidth depending on the change of application's bit rate, i.e., variable-rate real-time traffic. We show that in this framework, 1) variable-rate real-time traffic is adaptively guaranteed of deterministic bandwidth via a contention-based reservation access method"; 2) best effort traffic is provided with deterministic proportional QoS;" and 3) moreover, the bandwidth utilization in PCA is maximized. By deterministic proportional QoS, we mean that the proposed protocol will maintain the ratio, rj, of per-station throughput attained by a station of class j to that attained by a station of class 1 at the targeted value, and yet, the real amount of network bandwidth is changing according to the current available network bandwidth. We have also validated and evaluated the QoS provisioning capability and practicality of the proposed PCA framework both via simulation and an empirical study with the Multiband Atheros Driver for WiFi (MADWifi) Linux driver for Wireless LAN devices with the Atheros chipset."",""1558-2183"","""",""10.1109/TPDS.2010.32"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406512"",""Quality of service (QoS)";PCA;UWB WPANs;802.11e EDCA;MAC;"modeling."",""Channel allocation";Ultra wideband technology;Bandwidth;Quality of service;Principal component analysis;Traffic control;Physical layer;Media Access Protocol;Access protocols;"Bit rate"","""",""7"",""1"",""36"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;
"A Distributed Efficient Flow Control Scheme for Multirate Multicast Networks,""N. Xiong"; X. Jia; L. T. Yang; A. V. Vasilakos; Y. Li;" Y. Pan"",""Department of Computer Science, Georgia State University, Atlanta, GA, USA"; Department of Computer Science, City University of Hong Kong, Hong Kong, China; Department of Computer Science, St. FrancisXavier University, Canada; Department of Computer and Telecommunications Engineering, University of Western Macedonia, Greece; Department of Computer Science, Georgia State University, Atlanta, GA, USA;" Department of Computer Science, Georgia State University, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1254"",""1266"",""This paper proposes a novel and efficient distributed flow control scheme for multirate multicast (MR-M), based on the well-known Proportional Integral and Derivative (PID) controllers. The PID controller at each router computes its expected incoming rate and feed backs this rate to its upstream router, such that the local buffer occupancy can be stabilized at an appropriate value. We give the theoretical analysis of the proposed PID controller in terms of system stability. The proposed MR-M controller achieves the fairness in two aspects: 1) The intrasession fairness, i.e., the receivers from the same source within the same multicast session can receive data at different rates, if they subscribe networks with different capacities";" 2) The intersession fairness, i.e., the link bandwidth is fairly shared among multiple multicast sessions from different sources. Extensive simulations have been conducted and the results have demonstrated a superior performance of the proposed scheme in terms of system stability, high link utilization, and high throughput."",""1558-2183"","""",""10.1109/TPDS.2010.29"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406509"",""Explicit rate";fairness;flow control;multirate multicast;"stability."",""Distributed control";Three-term control;PD control;Pi control;Proportional control;Feeds;Control systems;Stability analysis;Bandwidth;"Throughput"","""",""72"","""",""36"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;
"A Distributed Protocol to Serve Dynamic Groups for Peer-to-Peer Streaming,""X. Jin"; S. . -H. G. Chan; W. -C. Wong;" A. C. Begen"",""Systems Technology Group, Oracle USA, Inc., Redwood Shores, CA, USA"; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China;" Video and Content Platforms Research and Advanced Development Group, Cisco Systems, Inc., San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Dec 2009"",""2010"",""21"",""2"",""216"",""228"",""Peer-to-peer (P2P) streaming has been widely deployed over the Internet. A streaming system usually has multiple channels, and peers may form multiple groups for content distribution. In this paper, we propose a distributed overlay framework (called SMesh) for dynamic groups where users may frequently hop from one group to another while the total pool of users remain stable. SMesh first builds a relatively stable mesh consisting of all hosts for control messaging. The mesh supports dynamic host joining and leaving, and will guide the construction of delivery trees. Using the Delaunay Triangulation (DT) protocol as an example, we show how to construct an efficient mesh with low maintenance cost. We further study various tree construction mechanisms based on the mesh, including embedded, bypass, and intermediate trees. Through simulations on Internet-like topologies, we show that SMesh achieves low delay and low link stress."",""1558-2183"","""",""10.1109/TPDS.2009.58"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815226"",""Peer-to-peer streaming";dynamic group;"Delaunay triangulation."",""Protocols";Peer to peer computing;Internet;Relays;Computer Society;Delay;Streaming media;Switches;TV;"Costs"","""",""1"","""",""36"",""IEEE"",""17 Apr 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A Dynamic Performance-Based Flow Control Method for High-Speed Data Transfer,""B. Eckart"; X. He; Q. Wu;" C. Xie"",""Department of Electrical and Computer Engineering, Tennessee Technological University, Cookeville, TN"; Department of Electrical and Computer Engineering, Tennessee Technological University, Cookeville, TN, USA; Department of Computer Science, University of Memphis, Memphis, TN, USA;" Data Storage Division of Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Dec 2009"",""2010"",""21"",""1"",""114"",""125"",""New types of specialized network applications are being created that need to be able to transmit large amounts of data across dedicated network links. TCP fails to be a suitable method of bulk data transfer in many of these applications, giving rise to new classes of protocols designed to circumvent TCP's shortcomings. It is typical in these high-performance applications, however, that the system hardware is simply incapable of saturating the bandwidths supported by the network infrastructure. When the bottleneck for data transfer occurs in the system itself and not in the network, it is critical that the protocol scales gracefully to prevent buffer overflow and packet loss. It is therefore necessary to build a high-speed protocol adaptive to the performance of each system by including a dynamic performance-based flow control. This paper develops such a protocol, Performance Adaptive UDP (henceforth PA-UDP), which aims to dynamically and autonomously maximize performance under different systems. A mathematical model and related algorithms are proposed to describe the theoretical basis behind effective buffer and CPU management. A novel delay-based rate-throttling model is also demonstrated to be very accurate under diverse system latencies. Based on these models, we implemented a prototype under Linux, and the experimental results demonstrate that PA-UDP outperforms other existing high-speed protocols on commodity hardware in terms of throughput, packet loss, and CPU utilization. PA-UDP is efficient not only for high-speed research networks, but also for reliable high-performance bulk data transfer over dedicated local area networks where congestion and fairness are typically not a concern."",""1558-2183"","""",""10.1109/TPDS.2009.37"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4798156"",""Flow control";high-speed protocol;reliable UDP;"bulk transfer."",""Protocols";Hardware;Delay;Bandwidth;Buffer overflow;Programmable control;Adaptive control;Control systems;Mathematical model;"Prototypes"","""",""15"",""3"",""46"",""IEEE"",""6 Mar 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A Fast Operational Transformation Algorithm for Mobile and Asynchronous Collaboration,""B. Shao"; D. Li;" N. Gu"",""School of Computer Science, Fudan University, Shanghai, China"; Nokia Research Center, Palo Alto, CA, USA;" School of Computer Science, Fudan University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2010"",""2010"",""21"",""12"",""1707"",""1720"",""In a mobile collaboration environment, the shared files are often replicated so that the users can work in parallel during periods of disconnection. When reconnected, sequences of updates made by different users are merged to produce a consistent view of shared files. This paper presents a novel transformation-based merging algorithm for supporting mobile collaboration. Compared to alternative optimistic consistency control methods, it can merge any updates to the same file automatically at the finest granularity without causing loss of work. Moreover, it improves the time complexity of the state-of-the-art transformation-based merging algorithms from O(n3) to O(n), where n is the size of either sequence when their sizes are comparable. This improvement is drastic and important especially for mobile devices that run on batteries and have limited processing power."",""1558-2183"","""",""10.1109/TPDS.2010.64"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445084"",""Collaboration";concurrency control;data consistency;mobile computing;operational transformation;"optimistic replication."",""Collaboration";Collaborative work;Mobile computing;Personal digital assistants;Merging;Batteries;Pervasive computing;Protocols;Computer science;"Optimization methods"","""",""13"","""",""31"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A Global Contribution Approach to Maintain Fairness in P2P Networks,""H. Nishida";" T. Nguyen"",""School of EECS, Oregon State University, Corvallis, OR, USA";" School of EECS, Oregon State University, Corvallis, OR, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Aug 2010"",""2010"",""21"",""6"",""812"",""826"",""For many P2P systems, implementing right incentives and policies to promote efficient and fair resource sharing is the key to improve the overall system performance. In this paper, we propose a points-based incentive mechanism named Global Contribution (GC) approach that efficiently and naturally maintains fairness in a P2P network. In this approach, a proposed GC algorithm first calculates a global score for each peer that accurately reflects its bandwidth contribution to the entire network. Then, these scores are used in a proposed data transfer policy to determine whether one peer can download data from other peers. Thus, the GC approach achieves: 1) efficiently preventing free-riding, 2) naturally balancing the upload and download amounts in each peer, and 3) reducing rejections in transactions between cooperative peers. Moreover, the GC algorithm requires only private transaction history as an input and can be fully decentralized. Also, its time complexities are approximately O(N^2) in a centralized system and O(N) per peer in a decentralized system."",""1558-2183"","""",""10.1109/TPDS.2009.122"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196663"",""P2P";free-riding;global contribution;fairness;"distributed systems."",""History";Resource management;Bandwidth;System performance;"Scalability"","""",""22"","""",""25"",""IEEE"",""7 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A High-Performance Heterogeneous Computing Platform for Biological Sequence Analysis,""X. Meng";" V. Chaudhary"",""Supercomputing Facility, Texas A and M University, College Station, TX, USA";" Department of Computer Science and Engineering, NYS Center of Excellence in Bioinformatics and Life Science, State University of New York, University at Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1267"",""1280"",""Advances in bioinformatics research continue to add complexity to the analyses and interpretation of biological data. Certain sequence database searches may take weeks to complete due to complicated data dependencies by dynamic programming. A reconfigurable coprocessor can remove this computational bottleneck and accelerate the operation. This paper presents a heterogeneous computing platform through Message Passing Interface (MPI) enabled enterprise computing infrastructure for high-throughput biological sequence analysis. The computing platform integrates heterogeneous computer architectures including conventional processors with Streaming Single Instruction Multiple Data Extensions 2 (SSE2) instructions, reconfigurable coprocessors, and legacy processors together into one system, and allows each to perform the task to which it is best suited. With appropriate computation and communication scheduling, the integrated heterogeneous computing infrastructure is designed to accommodate various types of accelerators to provide a High-Performance Computing (HPC) framework to support the most widely used life science applications."",""1558-2183"","""",""10.1109/TPDS.2009.165"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5374384"",""Index Term—Heterogeneous computing platform";Smith-Waterman algorithm;dynamic programming;sequence alignment;SIMD;SSE2;FPGA;MPI;"HPC."",""Biology computing";Coprocessors;Computer interfaces;Bioinformatics;Databases;Dynamic programming;Acceleration;Message passing;Computer aided instruction;"Computer architecture"","""",""20"","""",""33"",""IEEE"",""8 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A Hypergraph Approach to Linear Network Coding in Multicast Networks,""M. Yang";" Y. Yang"",""FalconStor Software, Melville, NY, USA";" Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""968"",""982"",""Network coding is a promising generalization of routing which allows a node to generate output messages by encoding its received messages. A typical scenario where network coding offers unique advantages is a multicast network where a source node generates messages and multiple receivers collect the messages. In a multicast network, linear network codes are preferred due to its sufficiency and simplicity. In this paper, we propose an approach to transforming the linear coding problem into a graph theory problem. By utilizing hypergraphs, we model the linear codes by constructing a pseudodual graph of the multicast network. Then, a valid linear code is equivalent to a cover in the pseudodual graph satisfying some constraints. By iterative refinements, an eligible cover can be found in polynomial time. Moreover, we propose several preprocessing algorithms to further reduce the computation time required by the iterative refinements by reducing the graph size before transformation. An important contribution of this work is that the proposed approach can be readily extended to solve many minimal network coding problems. By assigning different weights to edges, minimal network coding problems are reduced to the shortest path problem in the pseudodual graph. Our simulation results show that the proposed preprocessing algorithms can reduce the computation time by about 40-50 percent in a medium size multicast network compared to the scheme without preprocessing algorithms, and the throughput of the system with network coding is 25 percent higher than that with the traditional approach of multiple multicast trees."",""1558-2183"","""",""10.1109/TPDS.2009.144"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5226622"",""Network coding";linear coding;multicast network;"hypergraph."",""Network coding";Multicast algorithms;Linear code;Routing;Encoding;Graph theory;Polynomials;Iterative algorithms;Shortest path problem;"Computational modeling"","""",""20"","""",""29"",""IEEE"",""28 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
