"A Comment on “A Necessary and Sufficient Condition for Deadlock-Free Adaptive Routing in Wormhole Networks”,""F. Verbeek";" J. Schmaltz"",""School of Computer Science, Open University, Netherlands, Netherlands";" School of Computer Science, Open University, Netherlands, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1775"",""1776"",""The purpose of this comment is to show that Duato's condition for deadlock freedom is only sufficient and not necessary. We propose a fix to keep the condition necessary. The issue is subtle but essential: in a wormhole network worms necessarily do not intersect."",""1558-2183"","""",""10.1109/TPDS.2011.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680895"",""General";"Miscellaneous"",""System recovery";Routing;Law;Multiprocessor interconnection;Grippers;"Adaptive systems"","""",""16"","""",""4"",""IEEE"",""6 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Cooperative Diversity-Based Robust MAC Protocol in Wireless Ad Hoc Networks,""S. Moh";" C. Yu"",""School of Computer Engineering, Chosun University, Gwangju, South Korea";" Department of Electrical and Computer Engineering, Cleveland State University, Cleveland, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jan 2011"",""2011"",""22"",""3"",""353"",""363"",""In interference-rich and noisy environment, wireless communication is often hampered by unreliable communication links. Recently, there has been active research on cooperative communication that improves the communication reliability by having a collection of radio terminals transmit signals in a cooperative way. This paper proposes a medium access control (MAC) algorithm, called Cooperative Diversity MAC (CD-MAC), which exploits the cooperative communication capability of the physical (PHY) layer to improve robustness in wireless ad hoc networks. In CD-MAC, each terminal proactively selects a partner for cooperation and lets it transmit simultaneously so that this mitigates interference from nearby terminals, and thus, improves the network performance. For practicability, CD-MAC is designed based on the widely adopted IEEE 802.11 MAC. For accurate evaluation, this study presents and uses a realistic reception model by taking bit error rate (BER), derived from Intersil HFA3861B radio hardware, and the corresponding frame error rate (FER) into consideration. System-level simulation study shows that CD-MAC significantly outperforms the original IEEE 802.11 MAC in terms of packet delivery ratio and end-to-end delay."",""1558-2183"","""",""10.1109/TPDS.2010.99"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5467064"",""Wireless ad hoc network";cooperative diversity;cooperative transmission;partner selection;"MAC."",""Robustness";Media Access Protocol;Wireless application protocol;Mobile ad hoc networks;Interference;Bit error rate;Working environment noise;Wireless communication;Telecommunication network reliability;"Physical layer"","""",""38"","""",""41"",""IEEE"",""20 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Data Throughput Prediction and Optimization Service for Widely Distributed Many-Task Computing,""D. Yin"; E. Yildirim; S. Kulasekaran; B. Ross;" T. Kosar"",""Department of Computer Science and the Center of Computation & Technology, Louisiana State University, LA, USA"; Department of Computer Science and the Center of Computation & Technology, Louisiana State University, LA, USA; Department of Computer Science and the Center of Computation & Technology, Louisiana State University, LA, USA; Department of Computer Science and the Center of Computation & Technology, Louisiana State University, LA, USA;" Department of Computer Science and the Center of Computation & Technology, Louisiana State University, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""899"",""909"",""In this paper, we present the design and implementation of an application-layer data throughput prediction and optimization service for many-task computing in widely distributed environments. This service uses multiple parallel TCP streams to improve the end-to-end throughput of data transfers. A novel mathematical model is developed to determine the number of parallel streams, required to achieve the best network performance. This model can predict the optimal number of parallel streams with as few as three prediction points. We implement this new service in the Stork Data Scheduler, where the prediction points can be obtained using Iperf and GridFTP samplings. Our results show that the prediction cost plus the optimized transfer time is much less than the nonoptimized transfer time in most cases. As a result, Stork data transfer jobs with optimization service can be completed much earlier, compared to nonoptimized data transfer jobs."",""1558-2183"","""",""10.1109/TPDS.2010.187"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611501"",""Many-task computing";modeling;scheduling;parallel TCP streams;optimization;prediction;"stork."",""Optimization";Throughput;Servers;Mathematical model;Earth Observing System;"Equations"","""",""20"","""",""33"",""IEEE"",""28 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"A Deadlock-Free Dynamic Reconfiguration Scheme for Source Routing Networks Using Close Up*/Down* Graphs,""A. Robles-Gomez"; A. Bermudez;" R. Casado"",""Departmento de Sistemas de Comunicación y Control, UNED C/ Juan del Rosal, 16, Universidad Nacional de Educación a Distancia (UNED), ETSI Informatica, Madrid, Spain"; Departamento de Sistema Informáticos, Universidad de Castilla-La Mancha (UCLM), Escuela Superior de Ingeniería Informática, Spain;" Departamento de Sistema Informáticos, Universidad de Castilla-La Mancha (UCLM), Escuela Superior de Ingeniería Informática, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1641"",""1652"",""Computer performance has significantly increased in recent years and, consequently, communication subsystems have become bottlenecks within systems. To counter this problem, current high-performance distributed systems employ switch-based interconnection networks. In this scenario, after the occurrence of a topological change, a management mechanism must reestablish connectivity between network devices. This requires performing a network reconfiguration, which consists in updating the routing function. The main challenge involved in network reconfiguration is the reduction of performance degradation during the change assimilation process. As shown in the performance evaluation section, former reconfiguration techniques significantly reduce network service since the application traffic is temporally stopped in order to avoid deadlocks. In addition, current solutions are only designed for networks that use distributed routing. In this paper, we propose and evaluate a first reconfiguration method for source routing networks that does not restrict the injection of packets during the change assimilation process. Without requiring additional network resources, our scheme is able to recover topology connectivity maintaining network throughput."",""1558-2183"","""",""10.1109/TPDS.2011.79"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5722958"",""High-performance networks";fault tolerance;network management;dynamic reconfiguration;"and performance evaluation."",""Routing";System recovery;Network topology;Topology;Heuristic algorithms;Fabrics;"Proposals"","""",""4"","""",""26"",""IEEE"",""3 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Delay-Efficient Algorithm for Data Aggregation in Multihop Wireless Sensor Networks,""X. Xu"; X. Y. Li; X. Mao; S. Tang;" S. Wang"",""Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""163"",""175"",""Data aggregation is a key functionality in wireless sensor networks (WSNs). This paper focuses on data aggregation scheduling problem to minimize the delay (or latency). We propose an efficient distributed algorithm that produces a collision-free schedule for data aggregation in WSNs. We theoretically prove that the delay of the aggregation schedule generated by our algorithm is at most 16R + Δ - 14 time slots. Here, R is the network radius and Δ is the maximum node degree in the communication graph of the original network. Our algorithm significantly improves the previously known best data aggregation algorithm with an upper bound of delay of 24D + 6Δ + 16 time slots, where D is the network diameter (note that D can be as large as 2R). We conduct extensive simulations to study the practical performances of our proposed data aggregation algorithm. Our simulation results corroborate our theoretical results and show that our algorithms perform better in practice. We prove that the overall lower bound of delay for data aggregation under any interference model is max{log n,R}, where n is the network size. We provide an example to show that the lower bound is (approximately) tight under the protocol interference model when rI = r, where rI is the interference range and r is the transmission range. We also derive the lower bound of delay under the protocol interference model when r <"; rI <;" 3r and rI ≥ 3r."",""1558-2183"","""",""10.1109/TPDS.2010.80"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5444884"",""Wireless networks";aggregation;scheduling;delay;"sensor."",""Spread spectrum communication";Wireless sensor networks;Interference;Delay;Protocols;Monitoring;Energy resolution;Distributed algorithms;Scheduling algorithm;"Surveillance"","""",""165"","""",""25"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Distributed Algorithm for the Replica Placement Problem,""S. Zaman";" D. Grosu"",""Department of Computer Science, Wayne State University, Detroit, MI, USA";" Department of Computer Science, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""21 Jul 2011"",""2011"",""22"",""9"",""1455"",""1468"",""Caching and replication of popular data objects contribute significantly to the reduction of the network bandwidth usage and the overall access time to data. Our focus is to improve the efficiency of object replication within a given distributed replication group. Such a group consists of servers that dedicate certain amount of memory for replicating objects requested by their clients. The content replication problem we are solving is defined as follows: Given the request rates for the objects and the server capacities, find the replica allocation that minimizes the access time over all servers and objects. We design a distributed approximation algorithm that solves this problem and prove that it provides a 2-approximation solution. We also show that the communication and computational complexity of the algorithm is polynomial with respect to the number of servers, the number of objects, and the sum of the capacities of all servers. Finally, we perform simulation experiments to investigate the performance of our algorithm. The experiments show that our algorithm outperforms the best existing distributed algorithm that solves the replica placement problem."",""1558-2183"","""",""10.1109/TPDS.2011.27"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5686875"",""Replication";distributed replication group;distributed algorithm;"approximation algorithm."",""Servers";Approximation algorithms;Approximation methods;Algorithm design and analysis;Resource management;Equations;"Distributed algorithms"","""",""74"","""",""32"",""IEEE"",""13 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Distributed Algorithm for Web Service Composition Based on Service Agent Model,""H. Tong"; J. Cao; S. Zhang;" M. Li"",""Institute of Computing Technology, Chinese Academy of Sciences (CAS), Beijing, China"; Department of Computer Science and Engineering, School of Electronic, Information and Electrical Engineering, Shanghai Jiao Tong University, Minghang, Shanghai, China; Department of Computer Science and Engineering, School of Electronic, Information and Electrical Engineering, Shanghai Jiao Tong University, Minghang, Shanghai, China;" Department of Computer Science and Engineering, School of Electronic, Information and Electrical Engineering, Shanghai Jiao Tong University, Minghang, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""2008"",""2021"",""Agent-based service composition has provided a promising computing paradigm for the automatic web service composition. In this paper, a formal service agent model is proposed, which integrates the web service and software agent technologies into one cohesive entity. Based on the service agent model, a distributed planning algorithm for web service composition called DPAWSC is presented. DPAWSC formalizes web service composition into a graph search problem according to the dependence relations among service agents. The key to DPAWSC is that the alternative solution with smaller length has higher priority to be searched than one with larger length. DPAWSC is based on the distributed decision making of the autonomous service agents and addresses the distributed nature of web service composition. We evaluate the algorithm by simulation experiments and the results demonstrate that DPAWSC is effective for its ability to produce the high quality solution at a low cost of communications."",""1558-2183"","""",""10.1109/TPDS.2011.127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6034492"",""Distributed planning algorithm";web service composition;software agent;"service agent model."",""Web services";Software agents;Distributed databases;Software agents;Computational modeling;"Ontologies"","""",""38"","""",""41"",""IEEE"",""6 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Formal Methodology for Network Protocol Fingerprinting,""G. Shu";" D. Lee"",""Department of Computer Science and Engineering, Ohio State Uinversity, Columbus, OH, USA";" Department of Computer Science and Engineering, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Sep 2011"",""2011"",""22"",""11"",""1813"",""1825"",""Network protocol fingerprinting refers to the process of identifying a protocol implementation by their input and output behaviors. It has been regarded as both a potential threat to network security and also as a useful mechanism for network management. Existing protocol fingerprinting tools share common disadvantages such as being protocol-specific and difficult to automate. This paper proposes a formal methodology for fingerprinting experiments using which we can model a broad spectrum of fingerprinting problems and design-efficient algorithms. We present a formal behavioral model that specifies a protocol principal by its states and transitions, then identify a complete taxonomy of fingerprint matching and discovery problems is identified based on 1) whether the fingerprinting experiment is active or passive and 2) the information available about the specifications and implementations. Algorithms to solve the problems are discussed. In particular, for fingerprint matching algorithm, we propose an efficient PEFSM online separation algorithm for active experiment and concurrent passive testing for passive experiments. For fingerprint discovery problem, there are two cases: if the protocol specification is available as a nondeterministic PEFSM, we apply across verification and back-tracing technique for active and passive discovery, respectively";" if no specification is available, we take the machine learning approach and discover the fingerprint by active testing."",""1558-2183"","""",""10.1109/TPDS.2011.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5686874"",""Formal methods";network level security and protection;network management;"protocol verification."",""Fingerprint recognition";Protocols;Testing;Algorithm design and analysis;Taxonomy;Automata;"Data models"","""",""5"","""",""34"",""IEEE"",""13 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A Framework for Evaluating High-Level Design Methodologies for High-Performance Reconfigurable Computers,""E. El-Araby"; S. G. Merchant;" T. El-Ghazawi"",""Electrical and Computer Engineering Department, George Washington University, Ashburn, VA, USA"; Electrical and Computer Engineering Department, George Washington University, Ashburn, VA, USA;" Electrical and Computer Engineering Department, George Washington University, Ashburn, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2010"",""2011"",""22"",""1"",""33"",""45"",""High-performance reconfigurable computers have potential to provide substantial performance improvements over traditional supercomputers. Their acceptance, however, has been hindered by productivity challenges arising from increased design complexity, a wide array of custom design languages and tools, and often overblown sales literature. This paper presents a review and taxonomy of High-Level Languages (HLLs) and a framework for the comparative analysis of their features. It also introduces new metrics and a model based on computational effort. The proposed concepts are inspired by Netwon's equations of motion and the notion of work and power in an abstract multidimensional space of design specifications. The metrics are devised to highlight two aspects of the design process: the total time-to-solution and the efficient utilization of user and computing resources at discrete time steps along the development path. The study involves analytical and experimental evaluations demonstrating the applicability of the proposed model."",""1558-2183"","""",""10.1109/TPDS.2010.67"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445087"",""High-level language productivity";performance evaluation;productivity;"reconfigurable computing."",""Design methodology";High performance computing;Supercomputers;Productivity;Marketing and sales;Taxonomy;High level languages;Computational modeling;Equations;"Process design"","""",""7"","""",""27"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Generic Framework for Three-Factor Authentication: Preserving Security and Privacy in Distributed Systems,""X. Huang"; Y. Xiang; A. Chonka; J. Zhou;" R. H. Deng"",""School of Information Systems, Singapore Management University, Singapore"; School of Information Technology, Deakin University, Australia; School of Information Technology, Deakin University, Australia; Institute for Infocomm Research, Singapore;" School of Information Systems, Singapore Management University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2011"",""2011"",""22"",""8"",""1390"",""1397"",""As part of the security within distributed systems, various services and resources need protection from unauthorized use. Remote authentication is the most commonly used method to determine the identity of a remote client. This paper investigates a systematic approach for authenticating clients by three factors, namely password, smart card, and biometrics. A generic and secure framework is proposed to upgrade two-factor authentication to three-factor authentication. The conversion not only significantly improves the information assurance at low cost but also protects client privacy in distributed systems. In addition, our framework retains several practice-friendly properties of the underlying two-factor authentication, which we believe is of independent interest."",""1558-2183"","""",""10.1109/TPDS.2010.206"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5639010"",""Authentication";distributed systems;security;privacy;password;smart card;"biometrics."",""Authentication";Protocols;Servers;Privacy;"Iris recognition"","""",""176"",""1"",""24"",""IEEE"",""18 Nov 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Globally Overlaid Hierarchical P2P-SIP Architecture with Route Optimization,""H. -W. Ferng";" I. Christanto"",""Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan";" Department of Computer Science and Information Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Sep 2011"",""2011"",""22"",""11"",""1826"",""1833"",""In this paper, a three-level P2P-SIP architecture employing SIP servers is proposed for the overlay network. The proposed architecture achieves global overlay and has the capability of solving the triangular routing problem for the domain-based P2P-SIP architecture to reach route optimization. Demonstrated by our numerical results, the proposed architecture can exhibit its superiorities over the closest-related architectures in the literature in terms of message rate, latency, and physical hops count."",""1558-2183"","""",""10.1109/TPDS.2011.81"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733337"",""Peer-to-peer";session initiation protocol;global overlay;"overlay network."",""Logic gates";Servers;Mobile communication;Registers;Routing;Mobile computing;"Nominations and elections"","""",""6"","""",""20"",""IEEE"",""17 Mar 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
