"(ε, δ)-Approximate Aggregation Algorithms in Dynamic Sensor Networks,""J. Li";" S. Cheng"",""School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China";" School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""385"",""396"",""Aggregation operations are important in WSN applications. Since large numbers of applications only require approximate aggregation results rather than the exact ones, some approximate aggregation algorithms have been proposed to save energy. However, the error bounds of these algorithms are fixed and it is impossible to adjust the error bounds automatically, so they cannot meet the requirement of arbitrary precision required by various users. Thus, a uniform sampling-based algorithm was proposed by the authors of this paper to satisfy arbitrary precision requirement. Unfortunately, this uniform sampling-based algorithm is only suitable for static sensor networks. To overcome the shortcoming of the uniform sampling-based algorithm, this paper proposes four Bernoulli sampling-based and distributed approximate aggregation algorithms to process the snapshot and continuous aggregation queries in dynamic sensor networks. Theoretical analysis and experimental results show that the proposed algorithms have high performance in terms of accuracy and energy consumption."",""1558-2183"","""",""10.1109/TPDS.2011.193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953593"",""Wireless sensor network";approximate aggregation;"Bernoulli sampling."",""Approximation algorithms";Clustering algorithms;Entropy;Heuristic algorithms;Monitoring;Wireless sensor networks;"Algorithm design and analysis"","""",""30"","""",""25"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Cloud-Based Scheme for Protecting Source-Location Privacy against Hotspot-Locating Attack in Wireless Sensor Networks,""M. M. E. A. Mahmoud";" X. Shen"",""Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada";" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Aug 2012"",""2012"",""23"",""10"",""1805"",""1818"",""In wireless sensor networks, adversaries can make use of the traffic information to locate the monitored objects, e.g., to hunt endangered animals or kill soldiers. In this paper, we first define a hotspot phenomenon that causes an obvious inconsistency in the network traffic pattern due to the large volume of packets originating from a small area. Second, we develop a realistic adversary model, assuming that the adversary can monitor the network traffic in multiple areas, rather than the entire network or only one area. Using this model, we introduce a novel attack called Hotspot-Locating where the adversary uses traffic analysis techniques to locate hotspots. Finally, we propose a cloud-based scheme for efficiently protecting source nodes' location privacy against Hotspot-Locating attack by creating a cloud with an irregular shape of fake traffic, to counteract the inconsistency in the traffic pattern and camouflage the source node in the nodes forming the cloud. To reduce the energy cost, clouds are active only during data transmission and the intersection of clouds creates a larger merged cloud, to reduce the number of fake packets and also boost privacy preservation. Simulation and analytical results demonstrate that our scheme can provide stronger privacy protection than routing-based schemes and requires much less energy than global-adversary-based schemes."",""1558-2183"","""",""10.1109/TPDS.2011.302"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095543"",""Wireless sensor network privacy";source-location privacy-preserving schemes;context privacy;"and anonymity"",""Privacy";Monitoring;Wireless sensor networks;Cryptography;Correlation;Wireless communication;"Data privacy"","""",""111"","""",""39"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Cluster-on-a-Chip Architecture for High-Throughput Phylogeny Search,""T. M. Mintz";" J. D. Bakos"",""Department of Computer Science and Engineering, University of South Carolina, Columbia, SC, USA";" Department of Computer Science and Engineering, University of South Carolina, Columbia, SC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""579"",""588"",""In this paper, we describe an FPGA-based coprocessor architecture that performs a high-throughput branch-and-bound search of the space of phylogenetic trees corresponding to the number of input taxa. Our coprocessor architecture is designed to accelerate maximum-parsimony phylogeny reconstruction for gene-order and sequence data and is amenable to both exhaustive and heuristic tree searches. Our architecture exposes coarse-grain parallelism by dividing the search space among parallel processing elements (PEs) and each PE exposes fine-grain memory parallelism for their lower-bound computation, the kernel computation performed by each PE. Inter-PE communication is performed entirely on-chip. When using this coprocessor for maximum-parsimony reconstruction for gene-order data, our coprocessor achieves a 40X improvement over software in search throughput, corresponding to a 14X end-to-end application improvement when including all communication and systems overheads."",""1558-2183"","""",""10.1109/TPDS.2010.191"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611505"",""Biology and genetics";distributed systems;parallelism and concurrency;"reconfigurable hardware."",""Phylogeny";Field programmable gate arrays;Kernel;Parallel processing;Computer architecture;Genomics;"Bioinformatics"","""",""1"","""",""41"",""IEEE"",""28 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Correlated Resource Model of Internet End Hosts,""E. M. Heien"; D. Kondo;" D. P. Anderson"",""Laboratoire LIG, ENSIMAG, Montbonnot Saint Marti, France"; Laboratoire LIG, ENSIMAG, Montbonnot Saint Marti, France;" Space Sciences Laboratory, University of California, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""977"",""984"",""Understanding and modeling resources of Internet end hosts are essential for the design of desktop software and Internet-distributed applications. In this paper, we develop a correlated resource model of Internet end hosts based on real-trace data taken from several volunteer computing projects, including SETI@home. This data cover a five-year period with statistics for 6.7 million hosts. Our resource model is based on statistical analysis of host computational power, memory, and storage as well as how these resources change over time and the correlations among them. We find that resources with few discrete values (core count, memory) are well modeled by approximations governing the change of relative resource quantities over time. Resources with a continuous range of values are well modeled by correlated log-normal distributions (cache, processor speed, and available disk space). We validate and show the utility of the model by applying it to a resource allocation problem for Internet-distributed applications, and compare it to other models. We also make our trace data and tool for automatically generating realistic Internet end hosts publicly available."",""1558-2183"","""",""10.1109/TPDS.2011.251"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035699"",""Resource model";host model;Internet end host;resource scheduling;Internet computing;"volunteer computing."",""Computational modeling";Correlation;Internet;Multicore processing;Hardware;Benchmark testing;"Log-normal distribution"","""",""10"","""",""37"",""IEEE"",""6 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Distributed Constraint Satisfaction Problem Approach to Virtual Device Composition,""E. Karmouch";" A. Nayak"",""School of Electrical Engineering and Computer Science, University of Ottawa, ONT, Canada";" School of Electrical Engineering and Computer Science, University of Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Sep 2012"",""2012"",""23"",""11"",""1997"",""2009"",""The dynamic composition of networked appliances, or virtual devices, enables users to generate complex, strong, and specific systems. Current MANET-based composition schemes use service discovery mechanisms that depend on periodic service advertising by controlled broadcast, resulting in the unnecessary depletion of node resources. The assumption that, once generated, a virtual device is to remain static is false";" the device should gracefully degrade and upgrade along with the conditions in the user's environment, particularly the network's current performance requirements. Presently, schemes for infrastructure-less virtual device composition and management do not consider this adaptation. We present a distributed constraint satisfaction problem (distCSP) for virtual device composition in MANETs that addresses these issues together with simulations that show its effectiveness and efficiency."",""1558-2183"","""",""10.1109/TPDS.2012.39"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143920"",""Pervasive computing";multimedia applications;algorithm/protocol design and analysis;mobile environments;"constraint satisfaction"",""Decision support systems";"Helium"","""",""7"","""",""43"",""IEEE"",""31 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Distributed Fault/Intrusion-Tolerant Sensor Data Storage Scheme Based on Network Coding and Homomorphic Fingerprinting,""R. Zeng"; Y. Jiang; C. Lin; Y. Fan;" X. Shen"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; EPRI, China Southern Power Grid Company Limited, Guangzhou, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada;" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Aug 2012"",""2012"",""23"",""10"",""1819"",""1830"",""Recently, distributed data storage has gained increasing popularity for reliable access to data through redundancy spread over unreliable nodes in wireless sensor networks (WSNs). However, without any protection to guarantee the data integrity and availability, the reliable data storage cannot be achieved since sensor nodes are prone to various failures, and attackers may compromise sensor nodes to pollute or destroy the stored data. Therefore, how to design a robust sensor data storage scheme to efficiently guarantee the data integrity and availability becomes a critical issue for distributed sensor storage networks. In this paper, we propose a distributed fault/intrusion-tolerant data storage scheme based on network coding and homomorphic fingerprinting in volatile WSNs environments. For high data availability, the proposed scheme uses network coding to encode the source data and distribute encoded fragments with original data pieces. With secure, compact, and efficient homomorphic fingerprinting, our scheme can fast locate incorrect fragments and then initialize data maintenance. Extensive theoretical analysis and simulative results demonstrate the efficacy and efficiency of the proposed scheme."",""1558-2183"","""",""10.1109/TPDS.2011.294"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095535"",""Distributed sensor data storage";network coding;homomorphic fingerprinting;"data maintenance"",""Memory";Distributed databases;Availability;Network coding;Maintenance engineering;Wireless sensor networks;"Encoding"","""",""18"","""",""35"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Framework for Routing Performance Analysis in Delay Tolerant Networks with Application to Noncooperative Networks,""G. Resta";" P. Santi"",""Istituto di Informatica e Telematica del CNR, Pisa, Italy";" Istituto di Informatica e Telematica del CNR, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Nov 2011"",""2012"",""23"",""1"",""2"",""10"",""In this paper, we present a framework for analyzing routing performance in delay tolerant networks (DTNs). Differently from previous work, our framework is aimed at characterizing the exact distribution of relevant performance metrics, which is a substantial improvement over existing studies characterizing either the expected value of the metric, or an asymptotic approximation of the actual distribution. In particular, the considered performance metrics are packet delivery delay, and communication cost, expressed as number of copies of a packet circulating in the network at the time of delivery. Our proposed framework is based on a characterization of the routing process as a stochastic coloring process and can be applied to model performance of most stateless delay tolerant routing protocols, such as epidemic, two-hops, and spray and wait. After introducing the framework, we present examples of its application to derive the packet delivery delay and communication cost distribution of two such protocols, namely epidemic and two-hops routing. Characterizing packet delivery delay and communication cost distribution is important to investigate fundamental properties of delay tolerant networks. As an example, we show how packet delivery delay distribution can be used to estimate how epidemic routing performance changes in presence of different degrees of node cooperation within the network. More specifically, we consider fully cooperative, noncooperative, and probabilistic cooperative scenarios, and derive nearly exact expressions of the packet delivery rate (PDR) under these scenarios based on our proposed framework. The comparison of the obtained packet delivery rate estimation in the various cooperation scenarios suggests that even a modest level of node cooperation (probabilistic cooperation with a low probability of cooperation) is sufficient to achieve 2-fold performance improvement with respect to the most pessimistic scenario in which all potential forwarders drop packets."",""1558-2183"","""",""10.1109/TPDS.2011.99"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740860"",""Delay-tolerant networks";noncooperative networks;delay-tolerant routing;packet delivery delay distribution;"communication cost distribution."",""Delay";Routing;Routing protocols;Random variables;Estimation;"Approximation methods"","""",""32"","""",""19"",""IEEE"",""5 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Framework for Scalable Genome Assembly on Clusters, Clouds, and Grids,""C. Moretti"; A. Thrasher; L. Yu; M. Olson; S. Emrich;" D. Thain"",""Princeton University, Princeton, NJ, USA"; University of Notre Dame, Notre Dame, IN, USA; University of Notre Dame, Notre Dame, IN, USA; CenterX LLC, Madison, WI, USA; University of Notre Dame, Notre Dame, IN, USA;" University of Notre Dame, Notre Dame, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Oct 2012"",""2012"",""23"",""12"",""2189"",""2197"",""Bioinformatics researchers need efficient means to process large collections of genomic sequence data. One application of interest, genome assembly, has great potential for parallelization";" however, most previous attempts at parallelization require uncommon high-end hardware. This paper introduces the Scalable Assembler at Notre Dame (SAND) framework that can achieve significant speedup using large numbers of commodity machines harnessed from clusters, clouds, and grids. SAND interfaces with the Celera open-source assembly toolkit, replacing two independent sequential modules with scalable parallel alternatives: the candidate selector exploits distributed memory capacity, and the sequence aligner exploits distributed computing capacity. For large problems, these modules provide robust task and data management while also achieving speedup with high efficiency. We show results for several data sets ranging from 738 thousand to over 320 million alignments using resources ranging from a small cluster to more than a thousand nodes spanning three institutions."",""1558-2183"","""",""10.1109/TPDS.2012.80"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6165266"",""Distributed systems";bioinformatics;"genome assembly"",""Bioinformatics";Genomics;Cloud computing;Distributed processing;Random access memory;"Biomedical informatics"","""",""12"",""3"",""44"",""IEEE"",""6 Mar 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Game-Theoretic Approach to the Formation of Clustered Overlay Networks,""G. Koloniari";" E. Pitoura"",""Department of Computer Science, University of Ioannina (UoI), Ioannina, Greece";" Department of Computer Science, University of Ioannina (UoI), Ioannina, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2012"",""2012"",""23"",""4"",""589"",""597"",""In many large-scale content sharing applications, participants or nodes are connected with each other based on their content or interests, thus forming clusters. In this paper, we model the formation of such clustered overlays as a strategic game, where nodes determine their cluster membership with the goal of improving the recall of their queries. We study the evolution of such overlays both theoretically and experimentally in terms of stability, optimality, load balance, and the required overhead. We show that, in general, decisions made independently by each node using only local information lead to overall cost-effective cluster configurations that are also dynamically adaptable to system updates such as churn and query or content changes."",""1558-2183"","""",""10.1109/TPDS.2011.155"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871593"",""Clustering";distributed systems;"data sharing."",""Protocols";Peer to peer computing;Games;Topology;Computer aided software engineering;Stability analysis;"Routing"","""",""11"","""",""18"",""IEEE"",""9 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A General Framework for Efficient Continuous Multidimensional Top-k Query Processing in Sensor Networks,""H. Jiang"; J. Cheng; D. Wang; C. Wang;" G. Tan"",""Department of Electronics and Information Engineering, Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China"; Department of Electronics and Information Engineering, Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China; Department of Computing, Hong Kong Polytechnic University, Hong Kong, China; InterDigital Communication Corporation, King of Prussia, PA, USA;" Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2012"",""2012"",""23"",""9"",""1668"",""1680"",""Top-k query has long been a crucial problem in multiple fields of computer science, such as data processing and information retrieval. In emerging cyber-physical systems, where there can be a large number of users searching information directly into the physical world, many new challenges arise for top-k query processing. From the client's perspective, users may request different sets of information, with different priorities and at different times. Thus, top-k search should not only be multidimensional, but also be across time domain. From the system's perspective, data collection is usually carried out by small sensing devices. Unlike the data centers used for searching in the cyber-space, these devices are often extremely resource constrained and system efficiency is of paramount importance. In this paper, we develop a framework that can effectively satisfy demands from the two aspects. The sensor network maintains an efficient dominant graph data structure for data readings. A simple top-k extraction algorithm is used for user query processing and two schemes are proposed to further reduce communication cost. Our methods can be used for top-k query with any linear convex query function. The framework is adaptive enough to incorporate some advanced features";" for example, we show how approximate queries and data aging can be applied. To the best of our knowledge, this is the first work for continuous multidimensional top-k query processing in sensor networks. Simulation results show that our schemes can reduce the total communication cost by up to 90 percent, compared with a centralized scheme or a straightforward extension from previous top-k algorithm on 1D sensor data."",""1558-2183"","""",""10.1109/TPDS.2012.69"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6152096"",""Query processing";Routing;Algorithm design and analysis;Base stations;Data mining;Aggregates;Temperature sensors;top-k extraction.;Sensor networks;"algorithm/protocol design"",""Query processing";Routing;Algorithm design and analysis;Base stations;Data mining;Aggregates;"Temperature sensors"","""",""19"","""",""39"",""IEEE"",""14 Feb 2012"","""","""",""IEEE"",""IEEE Journals""";;;;
"A Network Coding Equivalent Content Distribution Scheme for Efficient Peer-to-Peer Interactive VoD Streaming,""Y. -C. Kao"; C. -N. Lee; P. -J. Wu;" H. -H. Kao"",""Industrial Technology Research Institute, Hsinchu, Taiwan"; Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan; Industrial Technology Research Institute, Hsinchu, Taiwan;" Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""985"",""994"",""Although random access operations are desirable for on-demand video streaming in peer-to-peer systems, they are difficult to efficiently achieve due to the asynchronous interactive behaviors of users and the dynamic nature of peers. In this paper, we propose a network coding equivalent content distribution (NCECD) scheme to efficiently handle interactive video-on-demand (VoD) operations in peer-to-peer systems. In NCECD, videos are divided into segments that are then further divided into blocks. These blocks are encoded into independent blocks that are distributed to different peers for local storage. With NCECD, a new client only needs to connect to a sufficient number of parent peers to be able to view the whole video and rarely needs to find new parents when performing random access operations. In most existing methods, a new client must search for parent peers containing specific segments";" however, NCECD uses the properties of network coding to cache equivalent content in peers, so that one can pick any parent without additional searches. Experimental results show that the proposed scheme achieves low startup and jump searching delays and requires fewer server resources. In addition, we present the analysis of system parameters to achieve reasonable block loss rates for the proposed scheme."",""1558-2183"","""",""10.1109/TPDS.2011.244"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035693"",""Peer-to-peer";network coding;interactive operations;"video-on-demand."",""Network coding";Streaming media;Peer to peer computing;Encoding;Bandwidth;Servers;"Computer science"","""",""9"","""",""28"",""IEEE"",""6 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
