"A 3.42-Approximation Algorithm for Scheduling Malleable Tasks under Precedence Constraints,""C. -Y. Chen";" C. -P. Chu"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan";" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1479"",""1488"",""Scheduling malleable tasks under general precedence constraints involves finding a minimum makespan (maximum completion time) by a feasible allotment. Based on the monotonous penalty assumptions of Blayo et al. [2], this work defines two assumptions concerning malleable tasks: the processing time of a malleable task is nonincreasing in the number of processors, while the work of a malleable task is nondecreasing in the number of processors. Additionally, the work function is assumed herein to be convex in the processing time. The proposed algorithm reformulates the linear program of [11], and this algorithm and associated proofs are inspired by the ones of [11]. This work describes a novel polynomial-time approximation algorithm that is capable of achieving an approximation ratio of 2+√2≈3.4142. This work further demonstrates that the proposed algorithm can yield an approximation ratio of 2.9549 when the processing time is strictly decreasing in the number of the processors allocated to the task. This finding represents an improvement upon the previous best approximation ratio of 100/63+100(√6469+137)/5481≈3.2920 [12] achieved under the same assumptions."",""1558-2183"","""",""10.1109/TPDS.2012.258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295609"",""Approximation algorithms";Program processors;Approximation methods;Schedules;Processor scheduling;Scheduling;Manganese;precedence constraints;Approximation algorithms;scheduling;"malleable tasks"",""Approximation algorithms";Program processors;Approximation methods;"Scheduling"","""",""20"","""",""22"",""IEEE"",""5 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A DHT-Aided Chunk-Driven Overlay for Scalable and Efficient Peer-to-Peer Live Streaming,""H. Shen"; Z. Li;" J. Li"",""Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA"; Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA;" Compression Communication and Storage Team, Microsoft Research, Redmond, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Sep 2013"",""2013"",""24"",""11"",""2125"",""2137"",""Internet-based video streaming applications are becoming more and more popular, attracting millions of online viewers every day. The incredible growth of viewers, dynamics of participants, and high video quality of service (QoS) requirement pose scalability, availability, and low-latency challenges to peer-to-peer (P2P) live video streaming systems. Tree-based systems have low-delay but are vulnerable to churn, while mesh-based systems are churn-resilient but suffer from high delay and overhead. Also, both structures cannot make full utilization of the bandwidth in the system. To tackle the challenges, we propose a DHT-aided chunk-driven overlay (DCO). It introduces a scalable DHT ring structure into a mesh-based overlay to efficiently manage video stream sharing. DCO includes a two-layer hierarchical DHT-based infrastructure, a chunk sharing algorithm, and a video provider selection algorithm. It selects stable nodes to form a scalable DHT-based infrastructure. The nodes in the DHT serve as distributed matchmakers between video providers and requesters. To motivate stable nodes to serve as the DHT nodes, we introduce an incentive mechanism based on the game theory. Aided by DHT, DCO guarantees stream chunk availability and assigns to a chunk requester a provider among all available providers in the system so that stream chunks are transmitted along a dynamic tree with top-down decreasing node bandwidth. In this way, DCO takes full advantage of available bandwidth in the system and, at the same time, provides high scalability and low latency. Experimental results show the superior performance of DCO compared with mesh-based and tree-based systems, and the effectiveness of the incentive mechanism and provider selection algorithm."",""1558-2183"","""",""10.1109/TPDS.2012.302"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6336745"",""DHT";P2P live streaming;"chunk-driven"",""Peer to peer computing";Bandwidth;Streaming media;Indexes;Servers;Nickel;"Availability"","""",""18"","""",""51"",""IEEE"",""22 Oct 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Fast RPC System for Virtual Machines,""H. Chen"; L. Shi; J. Sun; K. Li;" L. He"",""School of Information Science and Engineering, Hunan University, Changsha, Hunan, China"; School of Information Science and Engineering, Hunan University, Changsha, Hunan, China; School of Information Science and Engineering, Hunan University, Changsha, Hunan, China; School of Information Science and Engineering, Hunan University, Changsha, Hunan, China;" Department of Computer Science, University of Warwick, Coventry, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""24 May 2013"",""2013"",""24"",""7"",""1267"",""1276"",""Despite the advances in high performance interdomain communications for virtual machines (VM), data intensive applications developed for VMs based on the traditional remote procedure call (RPC) mechanism still suffer from performance degradation due to the inherent inefficiency of data serialization/deserilization operations. This paper presents VMRPC, a lightweight RPC framework specifically designed for VMs that leverages the heap and stack sharing mechanism to circumvent unnecessary data copy and serialization/deserilization. Our evaluation shows that the performance of VMRPC is an order of magnitude better than traditional RPC systems and existing alternative interdomain communication optimization systems. The evaluation on a VMRPC-enhanced networked file system across a varied range of benchmarks further reveals the competitiveness of VMRPC in IO-intensive applications."",""1558-2183"","""",""10.1109/TPDS.2012.199"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226385"",""Remote procedure call (RPC)";virtual machine;shared memory;"interdomain communication"",""Servers";Virtual machine monitors;Kernel;Virtual machining;Indexes;Protocols;"Security"","""",""4"",""5"",""24"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Fine-Grained Performance Model of Cloud Computing Centers,""H. Khazaei"; J. Misic;" V. B. Misic"",""Department of Computer Science, University of Manitoba, Toronto, ONT, Canada"; Department of Computer Science, George Vari Engineering and Computing Centre, Ryerson University, Toronto, ONT, Canada;" Department of Computer Science, George Vari Engineering and Computing Centre, Ryerson University, Toronto, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Sep 2013"",""2013"",""24"",""11"",""2138"",""2147"",""Accurate performance evaluation of cloud computing resources is a necessary prerequisite for ensuring that quality of service parameters remain within agreed limits. In this paper, we employ both the analytical and simulation modeling to addresses the complexity of cloud computing systems. Analytical model is comprised of distinct functional submodels, the results of which are combined in an iterative manner to obtain the solution with required accuracy. Our models incorporate the important features of cloud centers such as batch arrival of user requests, resource virtualization, and realistic servicing steps, to obtain important performance metrics such as task blocking probability and total waiting time incurred on user requests. Also, our results reveal important insights for capacity planning to control delay of servicing users requests."",""1558-2183"","""",""10.1109/TPDS.2012.280"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311400"",""Cloud computing";performance analysis;response time;blocking probability;queuing theory;interacting Markov model;"fixed-point iteration"",""Computational modeling";Delay;Analytical models;Cloud computing;"Time factors"","""",""87"","""",""42"",""IEEE"",""24 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A Geographically Aware Poll-Based Distributed File Consistency Maintenance Method for P2P Systems,""H. Shen";" G. Liu"",""Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA";" Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Sep 2013"",""2013"",""24"",""11"",""2148"",""2159"",""File consistency maintenance in P2P systems is a technique for maintaining consistency between files and their replicas. Most previous consistency maintenance methods depend on either message spreading or structure-based pushing. Message spreading generates high overhead due to a large amount of messages"; structure-based pushing methods reduce this overhead. However, both approaches cannot guarantee that every replica node receives an update in churn, because replica nodes passively wait for updates. As opposed to push-based methods that are not effective in high-churn and low-resource P2P systems, polling is churn resilient and generates low overhead. However, it is faced with a number of challenges: 1) ensuring a limited inconsistency; 2) realizing polling in a distributed manner; 3) considering physical proximity in polling;" and 4) leveraging polling to further reduce polling overhead. To handle these challenges, this paper introduces a poll-based distributed file consistency maintenance method called geographically aware wave (GeWave). GeWave further reduces update overhead, enhances the fidelity of file consistency, and takes proximity into account. Using adaptive polling in a dynamic structure, GeWave avoids redundant file updates and ensures that every node receives an update in a limited time period even in churn. Furthermore, it propagates updates between geographically close nodes in a distributed manner. Extensive experimental results from the PlanetLab real-world testbed demonstrate the efficiency and effectiveness of GeWave in comparison with other representative consistency maintenance schemes. It dramatically reduces the overhead and yields significant improvements on effectiveness, scalability, and churn resilience of previous file consistency maintenance methods."",""1558-2183"","""",""10.1109/TPDS.2012.317"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6378362"",""Consistency maintenance";file replication;peer-to-peer systems;proximity;"churn"",""Maintenance engineering";Peer to peer computing;Scalability;Internet;Vectors;Reliability;"Real-time systems"","""",""13"","""",""47"",""IEEE"",""11 Dec 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"A Highly Practical Approach toward Achieving Minimum Data Sets Storage Cost in the Cloud,""D. Yuan"; Y. Yang; X. Liu; W. Li; L. Cui; M. Xu;" J. Chen"",""Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia"; Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; Faculty of Information and Communication Technologies, Swinburne University of Technology, Hawthorn, VIC, Australia; School of Computer Science and Technology, Shandong University, Jinan, Shandong, China; School of Computer Science and Technology, Shandong University, Jinan, Shandong, China;" Faculty of Engineering and Information Technology, University of Technology, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1234"",""1244"",""Massive computation power and storage capacity of cloud computing systems allow scientists to deploy computation and data intensive applications without infrastructure investment, where large application data sets can be stored in the cloud. Based on the pay-as-you-go model, storage strategies and benchmarking approaches have been developed for cost-effectively storing large volume of generated application data sets in the cloud. However, they are either insufficiently cost-effective for the storage or impractical to be used at runtime. In this paper, toward achieving the minimum cost benchmark, we propose a novel highly cost-effective and practical storage strategy that can automatically decide whether a generated data set should be stored or not at runtime in the cloud. The main focus of this strategy is the local-optimization for the tradeoff between computation and storage, while secondarily also taking users' (optional) preferences on storage into consideration. Both theoretical analysis and simulations conducted on general (random) data sets as well as specific real world applications with Amazon's cost model show that the cost-effectiveness of our strategy is close to or even the same as the minimum cost benchmark, and the efficiency is very high for practical runtime utilization in the cloud."",""1558-2183"","""",""10.1109/TPDS.2013.20"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6410317"",""Data sets storage";computation-storage tradeoff;computation- and data-intensive applications;"cloud computing"",""Benchmark testing";Computational modeling;Materials;Runtime;Delay;Algorithm design and analysis;"Cloud computing"","""",""63"","""",""32"",""IEEE"",""14 Jan 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A New Disk I/O Model of Virtualized Cloud Environment,""D. Li"; X. Liao; H. Jin; B. Zhou;" Q. Zhang"",""Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Information Technologies, Sydney University, NSW, Australia;" Services Computing Technology and System Laboratory, Cluster and Grid Computing Laboratory, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1129"",""1138"",""In a traditional virtualized cloud environment, using asynchronous I/O in the guest file system and synchronous I/O in the host file system to handle an asynchronous user disk write exhibits several drawbacks, such as performance disturbance among different guests and consistency maintenance across guest failures. To improve these issues, this paper introduces a novel disk I/O model for virtualized cloud system called HypeGear, where the guest file system uses synchronous operations to deal with the guest write request and the host file system performs asynchronous operations to write the data to the hard disk. A prototype system is implemented on the Xen hypervisor and our experimental results verify that this new model has many advantages over the conventional asynchronous-synchronous model. We also evaluate the overhead of asynchronous I/O at host, which is brought by our new model. The result demonstrates that it enforces little cost on host layer."",""1558-2183"","""",""10.1109/TPDS.2012.321"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6378366"",""Virtualization";file system;asynchronous I/O;"synchronous I/O"",""Virtual machine monitors";Computer crashes;Hard disks;Semantics;Context;Data models;"Hardware"","""",""25"","""",""25"",""IEEE"",""11 Dec 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A New Progressive Algorithm for a Multiple Longest Common Subsequences Problem and Its Efficient Parallelization,""J. Yang"; Y. Xu; G. Sun;" Y. Shang"",""Key Laboratory on High Performance Computing and the School of ComputerScience, University of Science and Technology of China, Hefei, Anhui, China"; Key Laboratory on High Performance Computing and the School of ComputerScience, University of Science and Technology of China, Hefei, Anhui, China; Key Laboratory on High Performance Computing and the School of ComputerScience, University of Science and Technology of China, Hefei, Anhui, China;" Department of Computer Science, University of Missouri, Columbia, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2013"",""2013"",""24"",""5"",""862"",""870"",""The multiple longest common subsequence (MLCS) problem, which is related to the measurement of sequence similarity, is one of the fundamental problems in many fields. As an NP-hard problem, finding a good approximate solution within a reasonable time is important for solving large-size problems in practice. In this paper, we present a new progressive algorithm, Pro-MLCS, based on the dominant point approach. Pro-MLCS can find an approximate solution quickly and then progressively generate better solutions until obtaining the optimal one. Pro-MLCS employs three new techniques: 1) a new heuristic function for prioritizing candidate points"; 2) a novel d-index-tree data structure for efficient computation of dominant points;" and 3) a new pruning method using an upper bound function and approximate solutions. Experimental results show that Pro-MLCS can obtain the first approximate solution almost instantly and needs only a very small fraction, e.g., 3 percent, of the entire running time to get the optimal solution. Compared to existing state-of-the-art algorithms, Pro-MLCS can find better solutions in much shorter time, one to two orders of magnitude faster. In addition, two parallel versions of Pro-MLCS are developed: DPro-MLCS for distributed memory architecture and DSDPro-MLCS for hierarchical distributed shared memory architecture. Both parallel algorithms can efficiently utilize parallel computing resources and achieve nearly linear speedups. They also have a desirable progressiveness property-finding better solutions in shorter time when given more hardware resources."",""1558-2183"","""",""10.1109/TPDS.2012.202"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226388"",""Multiple longest common subsequence problem (MLCS)";skyline problem;branch-and-bound search;progressive algorithm;distributed memory architecture;"SMP cluster"",""Approximation algorithms";Parallel algorithms;Heuristic algorithms;Memory architecture;Complexity theory;Data structures;"DNA"","""",""16"","""",""31"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A Novel Message Scheduling Framework for Delay Tolerant Networks Routing,""A. Elwhishi"; P. -H. Ho; K. Naik;" B. Shihada"",""Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada;" MCSE Division, King Abdullah University for Science and Technology, Thuwal, Saudi Arabia"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2013"",""2013"",""24"",""5"",""871"",""880"",""Multicopy routing strategies have been considered the most applicable approaches to achieve message delivery in Delay Tolerant Networks (DTNs). Epidemic routing and two-hop forwarding routing are two well-reported approaches for delay tolerant networks routing which allow multiple message replicas to be launched in order to increase message delivery ratio and/or reduce message delivery delay. This advantage, nonetheless, is at the expense of additional buffer space and bandwidth overhead. Thus, to achieve efficient utilization of network resources, it is important to come up with an effective message scheduling strategy to determine which messages should be forwarded and which should be dropped in case of buffer is full. This paper investigates a new message scheduling framework for epidemic and two-hop forwarding routing in DTNs, such that the forwarding/dropping decision can be made at a node during each contact for either optimal message delivery ratio or message delivery delay. Extensive simulation results show that the proposed message scheduling framework can achieve better performance than its counterparts."",""1558-2183"","""",""10.1109/TPDS.2012.197"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226383"",""Routing";buffer management;message scheduling;"DTN"",""Routing";Delay;Computational modeling;Markov processes;Estimation;Vectors;"Buffer storage"","""",""27"","""",""42"",""IEEE"",""26 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A Privacy Leakage Upper Bound Constraint-Based Approach for Cost-Effective Privacy Preserving of Intermediate Data Sets in Cloud,""X. Zhang"; C. Liu; S. Nepal; S. Pandey;" J. Chen"",""Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia"; Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia; ICT Centre, CSIRO, Sydney, NSW, Australia; IBM Research, Melbourne, VIC, Australia;" Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1192"",""1202"",""Cloud computing provides massive computation power and storage capacity which enable users to deploy computation and data-intensive applications without infrastructure investment. Along the processing of such applications, a large volume of intermediate data sets will be generated, and often stored to save the cost of recomputing them. However, preserving the privacy of intermediate data sets becomes a challenging problem because adversaries may recover privacy-sensitive information by analyzing multiple intermediate data sets. Encrypting ALL data sets in cloud is widely adopted in existing approaches to address this challenge. But we argue that encrypting all intermediate data sets are neither efficient nor cost-effective because it is very time consuming and costly for data-intensive applications to en/decrypt data sets frequently while performing any operation on them. In this paper, we propose a novel upper bound privacy leakage constraint-based approach to identify which intermediate data sets need to be encrypted and which do not, so that privacy-preserving cost can be saved while the privacy requirements of data holders can still be satisfied. Evaluation results demonstrate that the privacy-preserving cost of intermediate data sets can be significantly reduced with our approach over existing ones where all data sets are encrypted."",""1558-2183"","""",""10.1109/TPDS.2012.238"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6263245"",""Cloud computing";data storage privacy;privacy preserving;intermediate data set;"privacy upper bound"",""Data privacy";Privacy;Encryption;Joints;Upper bound;"Computational modeling"","""",""90"","""",""34"",""IEEE"",""8 Aug 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Scalable Work-Efficient and Depth-Optimal Parallel Scan for the GPGPU Environment,""S. -W. Ha";" T. -D. Han"",""Department of Computer Science, Yonsei University, Seoul, Korea";" Department of Computer Science, Yonsei University, Seoul, Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2324"",""2333"",""The parallel scan is a basic tool that is used to parallelize algorithms which appear to have serial dependencies. The performance of these algorithms relies heavily on the efficiency of the parallel scan that is being used. To maintain work efficiency, current parallelization methods either sacrifice the overall depth or limit the scalability. In this study, we present a parallel scan method that is derived from the Han-Carlson parallel prefix graph and is both a work-efficient and a depth-optimal process. In this method, the depth is increased by a small constant value above the lower bound";" therefore, the amount of computation and/or memory access is effectively reduced. We also employ a novel cascaded thread-block execution method to exploit the single-program-multiple-data (SPMD) nature of the compute unified device architecture (CUDA) environment developed by NVIDIA. The proposed method facilitates the low-latency interthread accessible shared memory and the single-instruction-multiple-thread (SIMT) characteristics of the graphics hardware to reduce high-latency global memory access and costly barrier synchronization. Our experimental results demonstrate an average speed up of approximately 40 and 10 percent over the CUDA data parallel primitives (CUDPP) library derivation of the Kogge-Stone prefix tree and an implementation of Merrill and Grimshaw's method with coarser combination of the Kogge-Stone graph and the Brent-Kung prefix graph, respectively."",""1558-2183"","""",""10.1109/TPDS.2012.336"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392164"",""Parallel scan";prefix sum;Han-Carlson adder;high-performance computing;"GPGPU"",""Graphics processing units";Instruction sets;Complexity theory;"Algorithm design and analysis"","""",""14"","""",""28"",""IEEE"",""21 Dec 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
