"${\rm S}^{2}$-RAID: Parallel RAID Architecture for Fast Data Recovery,""J. Wan"; J. Wang; C. Xie;" Q. Yang"",""Wuhan National Laboratory For Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China"; School of computer of science and technology, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory For Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China;" Department of Electrical and Computer Engineering, University of Rhode Island, Kingston, RI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2014"",""2014"",""25"",""6"",""1638"",""1647"",""As disk volume grows rapidly with terabyte disk becoming a norm, RAID reconstruction process in case of a failure takes prohibitively long time. This paper presents a new RAID architecture, S2-RAID, allowing the disk array to reconstruct very quickly in case of a disk failure. The idea is to form skewed sub-arrays in the RAID structure so that reconstruction can be done in parallel dramatically speeding up data reconstruction process and hence minimizing the chance of data loss. We analyse the data recovery ability of this architecture and show its good scalability. A prototype S2-RAID system has been built and implemented in the Linux operating system for the purpose of evaluating its performance potential. Real world I/O traces including SPC, Microsoft, and a collection of a production environment have been used to measure the performance of S2-RAID as compared to existing baseline software RAID5, Parity Declustering, and RAID50. Experimental results show that our new S2-RAID speeds up data reconstruction time by a factor 2 to 4 compared to the traditional RAID. Meanwhile, S2-RAID keeps comparable production performance to that of the baseline RAID layouts while online RAID reconstruction is in progress."",""1558-2183"","""",""10.1109/TPDS.2013.225"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6594738"",""Data storage";parallel reconstruction;RAID reconstruction;"${\rm S}^{2}$-RAID"",""Layout";Prototypes;Parallel processing;Arrays;Production;"Software"","""",""8"","""",""28"",""IEEE"",""9 Sep 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A $(\rm UCON_{ABC})$ Resilient Authorization Evaluation for Cloud Computing,""A. L. Marcon"; A. O. Santin; M. Stihler;" J. Bachtold"",""Graduate Program in Computer Science, Pontifical Catholic University of Parana, Parana, Brazil"; Graduate Program in Computer Science, Pontifical Catholic University of Parana, Parana, Brazil; Graduate Program in Computer Science, Pontifical Catholic University of Parana, Parana, Brazil;" Graduate Program in Computer Science, Pontifical Catholic University of Parana, Parana, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jan 2014"",""2014"",""25"",""2"",""457"",""467"",""The business-driven access control used in cloud computing is not well suited for tracking fine-grained user service consumption. UCONABC applies continuous authorization reevaluation, which requires usage accounting that enables fine-grained access control for cloud computing. However, it was not designed to work in distributed and dynamic authorization environments like those present in cloud computing. During a continuous (periodical) reevaluation, an authorization exception condition, disparity among usage accounting and authorization attributes may occur. This proposal aims to provide resilience to the UCONABC continuous authorization reevaluation, by dealing with individual exception conditions while maintaining a suitable access control in the cloud environment. The experiments made with a proof-of-concept prototype show a set of measurements for an application scenario (e-commerce) and allows for the identification of exception conditions in the authorization reevaluation."",""1558-2183"","""",""10.1109/TPDS.2013.113"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6497049"",""Access controls";security and privacy protection;"distributed systems"",""Authorization";Cloud computing;Proposals;Computer architecture;"Resilience"","""",""7"","""",""29"",""IEEE"",""11 Apr 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Complex Network Approach to Topology Control Problem in Underwater Acoustic Sensor Networks,""L. Liu"; Y. Liu;" N. Zhang"",""Nanjing University of Posts and Telecommunications, Nanjing, CN"; University of Science and Technology of China, Hefei, Anhui, CN;" Nanjing University of Posts and Telecommunications, Nanjing, CN"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2014"",""2014"",""25"",""12"",""3046"",""3055"",""Underwater acoustic sensor networks (UASNs) have been developed for a set of underwater applications, including resource exploration, pollution monitoring, and tactical surveillance. Topology control techniques of UASNs are significantly different from those of terrestrial wireless sensor networks, due to the properties of underwater environments and acoustic communications. This research begins with a scale-free network model for calculating edge probability, which is used to generate initial topology randomly. Subsequently, a topology control strategy based on complex network theory (TCSCN) is put forward to construct a double clustering structure, where there are two kinds of cluster-heads to ensure connectivity and coverage, respectively. The performance of TCSCN is analyzed through simulation experiments that indicate a well-constructed topology, where (1,$\xi$ )-Coverage and (1, $\zeta$ )-Connectivity can be achieved while optimizing energy consumption and propagation delay as much as possible."",""1558-2183"","""",""10.1109/TPDS.2013.2295793"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6714535"",""Underwater acoustic sensor networks";topology control;complex network theory;energy consumption;"propagation delay"",""Topology";Sensors;Complex networks;Power capacitors;Thyristors;"Energy consumption"","""",""44"","""",""37"",""IEEE"",""16 Jan 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Context-Aware M2M-Based Middleware for Service Selection in Mobile Ad-Hoc Networks,""N. A. Surobhi";" A. Jamalipour"",""School of Electrical and Information Engineering, University of Sydney, NSW, Australia";" School of Electrical and Information Engineering, University of Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2014"",""2014"",""25"",""12"",""3056"",""3065"",""This paper proposes a novel middleware for service selection in mobile ad-hoc networks with a particular focus on scenarios immediately and subsequently afterwards an emergency. The proposed middleware, operating on a mobile user's hand-held device and collecting the user's contexts through machine-to-machine connectivity, has three major contributions as compared to the current literature. The middleware, based on the collected contexts, firstly classifies a service request, e.g., safety-related or comfort service. Then, it initiates the required network connectivity for service discovery, i.e., the ad-hoc connectivity when an infrastructure-based network is inaccessible. Finally, the middleware selects the service based on a method specifically proposed for that service category, including pre-defined realistic user contexts, to access it. The simulation results show that the middleware achieves up to 12 percent higher success rate compared to the minimum hop count service selection method. Compared with the same method, it has a response time up to 50 percent lower for the safety-related but 80 percent higher for the comfort services. Yet, the middleware attains up to 96 percent user satisfaction rate for both service classes."",""1558-2183"","""",""10.1109/TPDS.2014.2307875"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6747333"",""Wireless communication";mobile environments;"service-oriented architecture"",""Middleware";Ad hoc networks;Mobile computing;Context;Servers;Mobile communication;"Measurement"","""",""12"","""",""34"",""IEEE"",""24 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A Decision Procedure for Deadlock-Free Routing in Wormhole Networks,""F. Verbeek";" J. Schmaltz"",""School of Computer Science, Open University of The Netherlands";" School of Computer Science, Open University of The Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Jul 2014"",""2014"",""25"",""8"",""1935"",""1944"",""Deadlock freedom is a key challenge in the design of communication networks. Wormhole switching is a popular switching technique, which is also prone to deadlocks. Deadlock analysis of routing functions is a manual and complex task. We propose an algorithm that automatically proves routing functions deadlock-free or outputs a minimal counter-example explaining the source of the deadlock. Our algorithm is the first to automatically check a necessary and sufficient condition for deadlock-free routing. We illustrate its efficiency in a complex adaptive routing function for torus topologies. Results are encouraging. Deciding deadlock freedom is co-NP-Complete for wormhole networks. Nevertheless, our tool proves a 13 × 13 torus deadlock-free within seconds. Finding minimal deadlocks is more difficult. Our tool needs four minutes to find a minimal deadlock in a 11 × 11 torus while it needs nine hours for a 12 × 12 network."",""1558-2183"","""",""10.1109/TPDS.2013.121"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6564261"",""Communication networks";deadlocks;routing protocols;automatic verification;"formal methods"",""System recovery";Routing;Grippers;Topology;Network topology;Design methodology;"Switches"","""",""14"","""",""27"",""IEEE"",""19 Jul 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Delaunay-Based Coordinate-Free Mechanism for Full Coverage in Wireless Sensor Networks,""C. Qiu";" H. Shen"",""Department of Electrical and Computer Engineering, Clemson University, 313-B Riggs Hall, Clemson, SC";" Department of Electrical and Computer Engineering, Clemson University, 313-B Riggs Hall, Clemson, SC"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2014"",""2014"",""25"",""4"",""828"",""839"",""Recently, many schemes have been proposed for detecting and healing coverage holes to achieve full coverage in wireless sensor networks (WSNs). However, none of these schemes aim to find the shortest node movement paths to heal the coverage holes, which could significantly reduce energy usage for node movement. Also, current hole healing schemes require accurate knowledge of sensor locations";" obtaining this knowledge consumes high energy. In this paper, we propose a Delaunay-based coordinate-free mechanism (DECM) for full coverage. Based on rigorous mathematical analysis, DECM can detect coverage holes and find the locally shortest paths for healing holes in a distributed manner without requiring accurate node location information. Also, DECM incorporates a cooperative movement mechanism that can prevent generating new holes during node movements in healing holes. Simulation results and experimental results from the real-world GENI Orbit testbed show that DECM achieves superior performance in terms of the energy-efficiency, effectiveness of hole healing, energy consumption balance and lifetime compared to previous schemes."",""1558-2183"","""",""10.1109/TPDS.2013.134"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6515119"",""Wireless sensor networks";full coverage;energy efficiency;"Delaunay triangulation"",""Wireless sensor networks";Sensors;Image edge detection;Receivers;Mathematical model;Buildings;"Complexity theory"","""",""39"","""",""36"",""IEEE"",""13 May 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Distributed Information Divergence Estimation over Data Streams,""E. Anceaume";" Y. Busnel"",""Centre national de la recherche scientifique (CNRS), IRISA, Campus Universitaire de Beaulieu, Cedex, Bretagne, France";" LINA, Department of Computer Sciences, Université de Nantes, Loire Atlantique, BP, France"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Dec 2013"",""2014"",""25"",""2"",""478"",""487"",""In this paper, we consider the setting of large scale distributed systems, in which each node needs to quickly process a huge amount of data received in the form of a stream that may have been tampered with by an adversary. In this situation, a fundamental problem is how to detect and quantify the amount of work performed by the adversary. To address this issue, we propose a novel algorithm AnKLe for estimating the Kullback-Leibler divergence of an observed stream compared with the expected one. AnKLe combines sampling techniques and information-theoretic methods. It is very efficient, both in terms of space and time complexities, and requires only a single pass over the data stream. We show that AnKLe is an (ε, δ)-approximation algorithm with a space complexity Õ(1/ε + 1/ε2) bits in """"most"""" cases, and Õ(1/ε + (n-ε-1)/ε2) otherwise, where n is the number of distinct data items in a stream. Moreover, we propose a distributed version of AnKLe that requires at most O (rℓ (log n + 1)) bits of communication between the ℓ participating nodes, where r is number of rounds of the algorithm. Experimental results show that the estimation provided by AnKLe remains accurate even for different adversarial settings for which the quality of other methods dramatically decreases."",""1558-2183"","""",""10.1109/TPDS.2013.101"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494567"",""performance analysis";Data stream;Kullback-Leibler divergence;randomized approximation algorithm;"byzantine adversary"",""Entropy";Estimation;Algorithm design and analysis;Radiation detectors;Approximation algorithms;Computational modeling;"Data models"","""",""14"",""3"",""30"",""IEEE"",""5 Apr 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Framework for Amazon EC2 Bidding Strategy under SLA Constraints,""S. Tang"; J. Yuan; C. Wang;" X. -Y. Li"",""Temple University, Philadelphia, PA"; Department of Computer Science, University of Illinois, Philadelphia, PA; Department of Computer Science and Engineering, Tongji University, Shanghai, China;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Nov 2013"",""2014"",""25"",""1"",""2"",""11"",""With the recent introduction of Spot Instances in the Amazon Elastic Compute Cloud (EC2), users can bid for resources and, thus, control the balance of reliability versus monetary costs. Mechanisms and tools that deal with the cost-reliability tradeoffs under this scheme are of great value for users seeking to reduce their costs while maintaining high reliability. In this paper, we propose a set of bidding strategies under several service-level agreement (SLA) constraints. In particular, we aim to minimize the monetary cost and volatility of resource provisioning. Essentially, to derive an optimal bidding strategy, we formulate this problem as a Constrained Markov Decision Process (CMDP). Based on this model, we are able to obtain an optimal randomized bidding strategy through linear programming. Using real Instance price traces and workload models, we compare several adaptive checkpointing schemes in terms of monetary costs and job completion time. We evaluate our model and demonstrate how users should bid optimally on Spot Instances to reach different objectives with desired levels of confidence."",""1558-2183"","""",""10.1109/TPDS.2013.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6674938"",""Cloud computing";bidding strategy;"EC2"",""Cloud computing";Resource management;"Contracts"","""",""32"","""",""22"",""IEEE"",""25 Nov 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A High-Utilization Scheduling Schemeof Stream Programs on ClusteredVLIW Stream Architectures,""G. Jiang"; Z. Li; F. Wang;" S. Wei"",""Institute of Microelectronics, Tsinghua University, Beijing, P.R. China"; Research Institute of Information Technology, Tsinghua University, Beijing, P.R. China; Research Institute of Information Technology, Tsinghua University, Beijing, P.R. China;" Institute of Microelectronics, Tsinghua University, Beijing, P.R. China"",""IEEE Transactions on Parallel and Distributed Systems"",""27 Feb 2014"",""2014"",""25"",""4"",""840"",""850"",""Stream architectures have emerged as a mainstream solution for computation-intensive applications due to their rich arithmetic units. This paper proposes a multithreading technique based on a scheduling scheme of stream programs on clustered VLIW stream architecture, which aims at optimal arithmetic unit utilization without increasing energy consumption. Its principle is to exploit more kernel-level parallelism for further optimal compilation by constructing homogeneous multiple threads on stream programs. Three phases are proposed in the scheduling scheme. First, threads in stream programs are replicated for constructing homogeneous multiple threads. Second, time step assignment for homogeneous multithreaded stream programs is utilized to obtain efficient kernel combination. Third, stream segmentation is presented to optimize both memory transfers and startup overheads of kernels. A set of benchmarks are exploited to evaluate the effectiveness of the proposed technique. Experimental results show that, with exploiting kernel-level software pipeline, the proposed technique improves the performance by 20.9 percent averagely with the energy decreasing by 7.6 percent. Utilizations of adders and multipliers are up to average 77.4 and 75.8 percent, increasing 17.0 and 13.3 percent, respectively. Moreover, the proposed technique performs an average of 12.5 percent improvement over CSMT4 with the energy decreasing by 12.0 percent."",""1558-2183"","""",""10.1109/TPDS.2013.80"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6482558"",""Stream architecture";stream program;scheduling scheme;homogeneous multiple threads;"arithmetic unit utilization"",""Kernel";Streaming media;Instruction sets;Registers;Computer architecture;System-on-chip;"VLIW"","""",""3"","""",""26"",""IEEE"",""20 Mar 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Lightweight Encryption Scheme for Network-Coded Mobile Ad Hoc Networks,""P. Zhang"; C. Lin; Y. Jiang; Y. Fan;" X. Shen"",""Dept. of Computer Science and Technology, Tsinghua University, Beijing, China"; Dept. of Computer Science and Technology, Tsinghua University, Beijing, China; Dept. of Computer Science and Technology, Tsinghua University, Beijing, China; Dept. of Electrical and Computer Engineering, University of Waterloo, Waterloo, Ontario, Canada;" Dept. of Electrical and Computer Engineering, University of Waterloo, Waterloo, Ontario, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2014"",""2014"",""25"",""9"",""2211"",""2221"",""Energy saving is an important issue in Mobile Ad Hoc Networks (MANETs). Recent studies show that network coding can help reduce the energy consumption in MANETs by using less transmissions. However, apart from transmission cost, there are other sources of energy consumption, e.g., data encryption/decryption. In this paper, we study how to leverage network coding to reduce the energy consumed by data encryption in MANETs. It is interesting that network coding has a nice property of intrinsic security, based on which encryption can be done quite efficiently. To this end, we propose P-Coding, a lightweight encryption scheme to provide confidentiality for network-coded MANETs in an energy-efficient way. The basic idea of P-Coding is to let the source randomly permute the symbols of each packet (which is prefixed with its coding vector), before performing network coding operations. Without knowing the permutation, eavesdroppers cannot locate coding vectors for correct decoding, and thus cannot obtain any meaningful information. We demonstrate that due to its lightweight nature, P-Coding incurs minimal energy consumption compared to other encryption schemes."",""1558-2183"","""",""10.1109/TPDS.2013.161"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6559980"",""Mobile ad hoc networks";energy saving;network coding;"lightweight encryption"",""Network coding";Encryption;Encoding;Vectors;Ad hoc networks;"Mobile computing"","""",""42"","""",""35"",""IEEE"",""16 Jul 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Location-Free Semi-Directional-Flooding Technique for On-Demand Routing in Low-Rate Wireless Mesh Networks,""S. H. Kim"; P. K. Chong;" D. Kim"",""Department of Computer Science, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Korea"; Faculty of Engineering and Science, Universiti Tunku Abdul Rahman, Kuala Lumpur, Malaysia;" Department of Computer Science, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2014"",""2014"",""25"",""12"",""3066"",""3075"",""In this paper, we propose a novel semi-directional flooding (SDF) algorithm for on-demand routing in IEEE 802.15.4-based low-rate wireless mesh networks (LRWMNs). The novelty of our work is that the proposed routing algorithm enables route discovery request (RREQ) packets to be semi-directionally flooded, with respect to a source-destination pair, in a fully distributed manner without either physical or virtual location information. The idea behind this is to exploit the hierarchical addressing structure that allows each router node to compute logical tree distances between source-destination pairs, which approximately mirrors relative hop distance between the pairs, without message exchanges. By exploiting tree distances with a given target address, the SDF algorithm enables RREQ packets to be flooded over a small area, directed towards the destination. We also apply SDF to a lightweight on-demand routing algorithm like AODVjr, and propose two techniques of adaptive timers and route repair that reduces path setup delays and overheads during route rediscovery, respectively. We carry out extensive simulations and quantitatively show that SDF significantly reduces flooding overhead of network-wide flooding (NWF). We compare SDF-based AODVjr with both NWF-based AODVjr and enhanced hierarchical routing protocol (EHRP) for on demand routing and demonstrate that SDF-based AODVjr drastically reduces route discovery overhead by up to about 95 percent while still providing comparable or better performance than NWF-based AODVjr and EHRP."",""1558-2183"","""",""10.1109/TPDS.2014.2306418"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6740865"",""Low-rate wireless mesh network";directional flooding;route discovery;"distributed addressing"",""Data structures";Boolean functions;Routing;Routing protocols;Correlation;Measurement;"Equations"","""",""12"","""",""33"",""IEEE"",""14 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
