"2014 Reviewers List,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""282"",""290"",""Lists the reviewers who contributed to IEEE Transactions on Parallel and Distributed Systems in 2014."",""1558-2183"","""",""10.1109/TPDS.2014.2368792"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6979387"","""",""IEEE publishing"","""","""","""","""",""IEEE"",""9 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Cloud-Friendly RFID Trajectory Clustering Algorithm in Uncertain Environments,""Y. Wu"; H. Shen;" Q. Z. Sheng"",""School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China"; School of Information Science and Technology, University of Adelaide, Adelaide, Australia;" School of Computer Science, University of Adelaide, Adelaide, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2075"",""2088"",""In the emerging environment of the Internet of Things (IoT), through the connection of billions of radio frequency identification (RFID) tags and sensors to the Internet, applications will generate an unprecedented number of transactions and amount of data that require novel approaches in mining useful information from RFID trajectories. RFID data usually contain a considerable degree of uncertainty caused by various factors such as hardware flaws, transmission faults and environment instability. In this paper, we propose an efficient clustering algorithm that is much less sensitive to noise and outliers than the existing methods. To better facilitate the emerging cloud computing resources, our algorithm is designed cloud-friendly so that it can be easily adopted in a cloud environment. The scalability and efficiency of the proposed algorithm are demonstrated through an extensive set of experimental studies."",""1558-2183"","""",""10.1109/TPDS.2014.2347286"",""National Science Foundation of China(grant numbers:#61170232)"; State Key Laboratory of Rail Traffic Control and Safety Research(grant numbers:RS2012K011); Australian Research Council(grant numbers:LP100200114); Discovery Project(grant numbers:DP130104614);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877686"",""Internet of Things";radio frequency identification (RFID);uncertainty;clustering algorithm;"cloud computing"",""Radiofrequency identification";Trajectory;Clustering algorithms;Probabilistic logic;Algorithm design and analysis;"Data mining"","""",""15"","""",""41"",""IEEE"",""13 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A Code Generation Framework for Targeting Optimized Library Calls for Multiple Platforms,""W. J. Tan"; W. T. Tang; R. S. M. Goh; S. J. Turner;" W. -F. Wong"",""School of Computer Engineering, Nanyang Technological University, Singapore"; Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore; Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore;" Department of Computer Science, School of Computing, National University of Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2015"",""2015"",""26"",""7"",""1789"",""1799"",""Directive-based programming approaches such as OpenMP and OpenACC have gained popularity due to their ease of programming. These programming models typically involve adding compiler directives to code sections such as loops in order to parallelize them for execution on multicore CPUs or GPUs. However, one problem with this approach is that existing compilers generate code directly from the annotated sections and do not make use of hardware-specific architectural features. As a result, the generated code is unable to fully exploit the capabilities of the underlying hardware. Alternatively, we propose a code generation framework in which linear algebraic operations in the annotated codes are recognized, extracted and mapped to optimized vendor-provided platform-specific library calls. We demonstrate that such an approach can result in better performance in the generated code compared to those which are generated by existing compilers. This is substantiated by experimental results on multicore CPUs and GPUs."",""1558-2183"","""",""10.1109/TPDS.2014.2329494"",""Agency for Science, Technology and Research(grant numbers:102-101-0028)"; PSF(grant numbers:102-101-0028);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6827957"",""Code generation";OpenMP;OpenACC;multicore CPU;"GPU"",""Libraries";Engines;Graphics processing units;Vectors;Multicore processing;Arrays;"Programming"","""",""9"","""",""35"",""IEEE"",""9 Jun 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Comment on “Power Cost Reduction in Distributed Data Centers: A Two Time Scale Approach for Delay Tolerant Workloads”,""W. Fang"; Y. Yao; L. Huang; A. B. Sharma; L. Golubchik;" M. J. Neely"",""State Key Lab of Astronautical Dynamics of China, Xi’an, P.R., China"; University of Southern California, Los Angeles, CA 90089; Tsinghua University, Room 1-208, FIT Building, Beijing 100084, P.R., China; NEC Laboratories America, Inc., 4 Independence Way, Suite 200, Princeton, NJ 08540; University of Southern California, Los Angeles, CA 90089;" University of Southern California, Los Angeles, CA 90089"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Apr 2015"",""2015"",""26"",""5"",""1495"",""1496"",""This comment points out several mathematical errors in the proof of Therorem 3, and gives the correct expression of B3."",""1558-2183"","""",""10.1109/TPDS.2014.2312920"",""National Nature Science Foundation of China(grant numbers:61202430,61303245)"; Beijing Jiaotong University(grant numbers:2012RC040); Astronautical Dynamics of China(grant numbers:2014ADL-DW0401);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6810886"",""Power management";data center;stochastic optimization;"performance analysis"",""Educational institutions";Distributed databases;Robustness;Queueing analysis;Delays;Servers;"Estimation error"","""",""4"","""",""2"",""IEEE"",""6 May 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Cooperative ONU Sleep Method for Reducing Latency and Energy Consumption of STA in Smart-FiWi Networks,""H. Nishiyama"; K. Togashi; Y. Kawamoto;" N. Kato"",""Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan"; Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan; Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan;" Graduate School of Information Sciences, Tohoku University, Sendai, Miyagi, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2621"",""2629"",""Fiber-Wireless (FiWi) network is a classification of network that combines the massive bandwidth of the optical network and the reach of the wireless network. FiWi networks are usually composed of an optical and a wireless component. Since both components are designed to work independently, some mechanisms, such as the different power saving methods in both components, may not cooperate with each other and this may result in an undesirable performance. In this paper, we identify that the conflicting power saving mechanisms cause unnecessary energy consumption and introduce additional delay to the overall FiWi network. To cope with this problem, we propose a novel ONU sleep method, which dynamically control the ONU sleep period based on the STAs energy control mechanism. Finally, we demonstrate that our proposed method has shorter latency and is more efficient in term of energy consumption than the existing method."",""1558-2183"","""",""10.1109/TPDS.2014.2360405"",""JSPS KAKENHI";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915901"",""Passive Optical Network (PON)";Wireless Local Area Network (WLAN);Fiber Wireless (FiWi) network;Optical Network Unit (ONU) sleep;Power Saving Mode (PSM),;Adaptive PSM (APSM);energy efficiency;Passive optical network (PON);wireless local area network (WLAN);fiber wireless (FiWi) network;Optical network unit (ONU) sleep;power saving mode (PSM);adaptive PSM (APSM);"and energy efficiency"",""Optical network units";Wireless LAN;Delays;Passive optical networks;Energy consumption;"Wireless communication"","""",""11"","""",""19"",""IEEE"",""3 Oct 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Decentralized Cloud Firewall Framework with Resources Provisioning Cost Optimization,""M. Liu"; W. Dou; S. Yu;" Z. Zhang"",""State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, Nanjing 210023, P.R., China"; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, Nanjing 210023, P.R., China; School of IT, Deakin University, Victoria 3125, Australia;" Department of Electronic Engineering, University of California, Los Angeles, CA"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Feb 2015"",""2015"",""26"",""3"",""621"",""631"",""Cloud computing is becoming popular as the next infrastructure of computing platform. Despite the promising model and hype surrounding, security has become the major concern that people hesitate to transfer their applications to clouds. Concretely, cloud platform is under numerous attacks. As a result, it is definitely expected to establish a firewall to protect cloud from these attacks. However, setting up a centralized firewall for a whole cloud data center is infeasible from both performance and financial aspects. In this paper, we propose a decentralized cloud firewall framework for individual cloud customers. We investigate how to dynamically allocate resources to optimize resources provisioning cost, while satisfying QoS requirement specified by individual customers simultaneously. Moreover, we establish novel queuing theory based model M/Geo/1 and M/Geo/m for quantitative system analysis, where the service times follow a geometric distribution. By employing Z-transform and embedded Markov chain techniques, we obtain a closed-form expression of mean packet response time. Through extensive simulations and experiments, we conclude that an M/Geo/1 model reflects the cloud firewall real system much better than a traditional M/M/1 model. Our numerical results also indicate that we are able to set up cloud firewall with affordable cost to cloud customers."",""1558-2183"","""",""10.1109/TPDS.2014.2314672"",""National Science Foundation of China(grant numbers:91318301,61321491)"; Ministry of Science and Technology(grant numbers:2011BAK21B06);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6781636"",""Cloud computing";firewall;resources allocation;"system modeling"",""Quality of service";Cloud computing;Time factors;Mathematical model;Analytical models;Markov processes;"Servers"","""",""26"","""",""30"",""IEEE"",""1 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A Differentiated Quality Adaptation Approach for Scalable Streaming Services,""X. Li";" B. Veeravalli"",""Department of Advanced Computing, Institute of High Performance Computing, Singapore";" Department of Electrical and Computer Engineering, The National University of Singapore, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2089"",""2099"",""Providing scalable video streaming services for heterogeneous users in dynamic networked environments requires efficient and adaptive quality management mechanisms which deliver quality-customized services according to the client's preferences and adapt the services to cope with various network conditions. In this paper, we address the issue of quality adaptation for providing personalized scalable media streaming services in dynamic network environments. We propose a differentiated adaptive quality optimization algorithm, called Scalable Video Coding Quality Adaptation algorithm (SVC-QA), which adapts streaming quality based on both system-level and client-level optimization to optimize streaming quality according to network bandwidth conditions, content characteristics, a user's quality preferences, and buffering capacities of different client devices (e.g., mobile phones, PCs, HDTVs, etc.). Comparative studies are conducted to compare our proposed algorithms with other adaptive methods. We show that two-level SVC quality adaptation method can achieve better SVC streaming quality with both high peak signal-to-noise ratio (PSNR) and low quality variance under dynamic resource constraints. Moreover, the proposed distributed method reduces the computational complexities at the server side substantially, making it practical and flexible for providing scalable streaming services."",""1558-2183"","""",""10.1109/TPDS.2014.2308193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6748101"",""Scalable streaming services";quality adaptation;distributed systems;"service utility"",""Streaming media";Bandwidth;Servers;Static VAr compensators;Bit rate;Optimization;"PSNR"","""",""5"","""",""22"",""IEEE"",""25 Feb 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Distributed Fault-Tolerant Topology Control Algorithm for Heterogeneous Wireless Sensor Networks,""H. Bagci"; I. Korpeoglu;" A. Yazıcı"",""Department of Computer Engineering, Middle East Technical University, Ankara, Turkey"; Department of Computer Engineering, Bilkent University, Ankara, Turkey;" Department of Computer Engineering, Middle East Technical University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2015"",""2015"",""26"",""4"",""914"",""923"",""This paper introduces a distributed fault-tolerant topology control algorithm, called the Disjoint Path Vector (DPV), for heterogeneous wireless sensor networks composed of a large number of sensor nodes with limited energy and computing capability and several supernodes with unlimited energy resources. The DPV algorithm addresses the k-degree Anycast Topology Control problem where the main objective is to assign each sensor's transmission range such that each has at least k-vertex-disjoint paths to supernodes and the total power consumption is minimum. The resulting topologies are tolerant to k-1 node failures in the worst case. We prove the correctness of our approach by showing that topologies generated by DPV are guaranteed to satisfy k-vertex supernode connectivity. Our simulations show that the DPV algorithm achieves up to 4-fold reduction in total transmission power required in the network and 2-fold reduction in maximum transmission power required in a node compared to existing solutions."",""1558-2183"","""",""10.1109/TPDS.2014.2316142"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6786025"",""Topology control";fault tolerance;$k$ -connectivity;disjoint paths;heterogeneous wireless sensor networks;"energy efficiency"",""Topology";Wireless sensor networks;Network topology;Fault tolerance;Fault tolerant systems;Complexity theory;"Vectors"","""",""77"","""",""37"",""IEEE"",""9 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Family of Bit-Representation-Optimized Formats for Fast Sparse Matrix-Vector Multiplication on the GPU,""W. T. Tang"; W. J. Tan; R. S. M. Goh; S. J. Turner;" W. -F. Wong"",""Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore"; School of Computer Engineering, Nanyang Technological University, Singapore; Institute of High Performance Computing, Agency for Science, Technology and Research, Singapore; School of Computer Engineering, Nanyang Technological University, Singapore;" Department of Computer Science, National University of Singapore, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Aug 2015"",""2015"",""26"",""9"",""2373"",""2385"",""Sparse matrix-vector multiplication (SpMV) is an important kernel that is used in many iterative algorithms for solving scientific and engineering problems. One of the main challenges of SpMV is its memory-boundedness due to the low arithmetic intensity of the kernel. Although compression has been proposed previously to improve SpMV performance on CPUs, its use has not been demonstrated on the GPU because of the serial nature of many compression and decompression schemes. In this paper, we introduce a family of bit-representation-optimized (BRO) compression formats for representing sparse matrices on GPUs. The proposed formats - BRO-CSR, BRO-ELL and BRO-HYB, perform compression on index data and help to speed up SpMV on GPUs through the reduction of memory traffic. We also propose two other hybrid BRO formats which can potentially perform better than both HYB and BRO-HYB formats. Experimental results demonstrate that compared to uncompressed CSR and ELLPACK formats, our proposed compressed BRO-CSR and BRO-ELL formats are able to achieve average speedups of 2× and 1.4× respectively. Furthermore, we demonstrate that by using BRO-ELL, the preconditioned conjugate gradient method is able to achieve an average speedup of 1.3× over ELLPACK."",""1558-2183"","""",""10.1109/TPDS.2014.2357437"",""Agency for Science, Technology and Research(grant numbers:102-101-0028)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6895301"",""Sparse matrix format";data compression;matrix-vector multiplication;GPU;parallelism;"memory bandwidth"",""Arrays";Graphics processing units;Indexes;Sparse matrices;Instruction sets;"Kernel"","""",""10"","""",""32"",""IEEE"",""11 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A General Scalable and Elastic Content-Based Publish/Subscribe Service,""Y. Wang";" X. Ma"",""Science and Technology on Parallel and Distributed Processing Laboratory, College of Computer, National University of Defense Technology, Changsha, Hunan, P.R. China";" Science and Technology on Parallel and Distributed Processing Laboratory, College of Computer, National University of Defense Technology, Changsha, Hunan, P.R. China"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2100"",""2113"",""The big data era is characterized by the emergence of live content with increasing complexities of data dimensionality and data sizes, which poses a new challenge to emergency applications: how to timely disseminate large-scale live content to users who are interested in. The publish/subscribe (pub/sub) model is widely used to disseminate data because of its possibility of expanding the system to Internet-scale size. However, existing pub/sub systems are inadequate to meet the requirement of disseminating live content in the big data era, since their multi-hop routing techniques and coarse-grained partitioning techniques lead to a low matching throughput, and their upload capacities do not scale well. In this paper, we propose a general scalable and elastic pub/sub service based on the cloud computing environment, called GSEC. For generality, we propose a two-layer pub/sub framework to support the dissemination with diverse data sizes and data dimensionality. For scalability, a hybrid space partitioningtechnique is proposed to achieve high matching throughput, which divides subscriptions into multiple clusters in a hierarchical manner. Moreover, a helper-based content distribution technique is proposed to achieve high upload bandwidth, where servers act as both providers and coordinators to fully explore the upload capacity of the system. For elasticity, we propose a performance-aware provisioningtechnique to adjust the scale of servers to adapt to the churn workloads. To evaluate the performance of GSEC, about 1,000 servers are deployed and hundreds of thousands of live content items are tested in our CloudStack-based testbed. Extensive experiments confirm that GSEC can linearly increase the capacities of event matching and content distribution with the growth of servers, adaptively adjust these capacities in tens of seconds according to the churn workloads, and significantly outperforms the state-of-the-art approaches under various parameter settings."",""1558-2183"","""",""10.1109/TPDS.2014.2346759"",""National Grand Fundamental Research 973 Program of China(grant numbers:2011CB302601)"; National Natural Science Foundation of China(grant numbers:61379052); National High Technology Research and Development 863 Program of China(grant numbers:2013AA01A213); Natural Science Foundation for Distinguished Young Scholars of Hunan Province(grant numbers:14JJ1026); Doctoral Program of Higher Education(grant numbers:20124307110015);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876150"",""Publish/subscribe";event matching;space partitioning;content distribution;"cloud computing"",""Subscriptions";Servers;Routing;Clustering algorithms;Throughput;Scalability;"Humidity"","""",""41"","""",""28"",""IEEE"",""12 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A GPU Approach to Subtrajectory Clustering Using the Fréchet Distance,""J. Gudmundsson";" N. Valladares"",""University of Sydney and NICTA, Australia";" IMA, Universitat de Girona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2015"",""2015"",""26"",""4"",""924"",""937"",""Given a trajectory T we study the problem of reporting all subtrajectory clusters of T. To measure similarity between trajectory we choose the Frechet distance. We adapt an existing serial algorithm into a GPU parallel algorithm, resulting in substantial speed-ups, in some cases up to 11× faster, and increasing the size of the data that can be handled in reasonable amount of time, tests were performed on trajectories three times the size as previously managed. This is to the best of our knowledge not only the first GPU implementation of a subtrajectory clustering algorithm but also the first implementation using the continuous Frechet distance, instead of the discrete Frechet distance."",""1558-2183"","""",""10.1109/TPDS.2014.2317713"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6799188"",""Algorithms";clustering;GPU;Fréchet distance;"trajectory clustering"",""Trajectory";Graphics processing units;Clustering algorithms;Measurement;Arrays;Approximation algorithms;"Instruction sets"","""",""17"","""",""24"",""IEEE"",""16 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Hybrid Chemical Reaction Optimization Scheme for Task Scheduling on Heterogeneous Computing Systems,""Y. Xu"; K. Li; L. He; L. Zhang;" K. Li"",""College of Computer Science and Electronic Engineering, National Supercomputing Center in Changsha, Hunan, Changsha, China"; College of Computer Science and Electronic Engineering, National Supercomputing Center in Changsha, Hunan, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, National Supercomputing Center in Changsha, Hunan, Changsha, China;" College of Computer Science and Electronic Engineering, Hunan University, Hunan Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Nov 2015"",""2015"",""26"",""12"",""3208"",""3222"",""Scheduling for directed acyclic graph (DAG) tasks with the objective of minimizing makespan has become an important problem in a variety of applications on heterogeneous computing platforms, which involves making decisions about the execution order of tasks and task-to-processor mapping. Recently, the chemical reaction optimization (CRO) method has proved to be very effective in many fields. In this paper, an improved hybrid version of the CRO method called HCRO (hybrid CRO) is developed for solving the DAG-based task scheduling problem. In HCRO, the CRO method is integrated with the novel heuristic approaches, and a new selection strategy is proposed. More specifically, the following contributions are made in this paper. (1) A Gaussian random walk approach is proposed to search for optimal local candidate solutions. (2) A left or right rotating shift method based on the theory of maximum Hamming distance is used to guarantee that our HCRO algorithm can escape from local optima. (3) A novel selection strategy based on the normal distribution and a pseudo-random shuffle approach are developed to keep the molecular diversity. Moreover, an exclusive-OR (XOR) operator between two strings is introduced to reduce the chance of cloning before new molecules are generated. Both simulation and real-life experiments have been conducted in this paper to verify the effectiveness of HCRO. The results show that the HCRO algorithm schedules the DAG tasks much better than the existing algorithms in terms of makespan and speed of convergence."",""1558-2183"","""",""10.1109/TPDS.2014.2385698"",""Key Program of National Natural Science Foundation of China(grant numbers:61133005,61432005)"; National Natural Science Foundation of China(grant numbers:61370095,61472124,61202109,61472126);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6995978"",""Chemical reaction optimization";Hamming distance;Hybrid scheduling;Normal distribution;Pseudo random shuffle;Chemical reaction optimization;hamming distance;hybrid scheduling;normal distribution;"pseudo random shuffle"",""Processor scheduling";Program processors;Sociology;Statistics;Heuristic algorithms;Computational modeling;"Scheduling"","""",""129"","""",""27"",""IEEE"",""23 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
