"A 2-Approximation Algorithm for Scheduling Parallel and Time-Sensitive Applications to Maximize Total Accrued Utility Value,""S. Li"; M. Song; P. -J. Wan;" S. Ren"",""Department of Engineering Mechanics, Dalian University of Technology, Dalian, China"; Department of Computer Science, Illinois Institute of Technology, Chicago, IL; Department of Computer Science, Illinois Institute of Technology, Chicago, IL;" Department of Computer Science, Illinois Institute of Technology, Chicago, IL"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2016"",""2016"",""27"",""7"",""1864"",""1878"",""For a time-sensitive application, the usefulness of its end results (also called the application's accrued utility value in the paper) depends on the time when the application is completed and its results are delivered. In this paper, we address the accrued utility value maximization problem for narrow parallel and time-sensitive applications. We first consider the problem in the context of a discrete time domain and present the Spatial-Temporal Interference Based (STIB) scheduling algorithm. We formally prove that the STIB algorithm is a 2-approximation algorithm. Second, we extend our work to a continuous time domain and present a heuristic scheduling algorithm, i.e., the Continuous Spatial-Temporal Interference Based (STIB-C) algorithm to maximize the system's total accrued utility value when the system operates in a continuous time domain. The extensive empirical evaluations reveal that: (1) in a discrete time domain, the systems' total accrued utility values obtained through the STIB algorithm are consistent with the theoretic bound, i.e., they never go below 50 percent of the optimal value. In fact, on average, the STIB algorithm can achieve over 92.5 percent of the optimal value";" (2) compared to other scheduling policies listed in the literature, the developed STIB and STIB-C algorithms have clear advantages in terms of the system's total accrued utility value and the profitable application ratio. In particular, in terms of the system's total accrued utility value, both the STIB and the STIB-C algorithms achieve as much as six times for both the First Come First Come Serve(FCFS) with backfilling algorithm and the Gang Earliest Deadline First (EDF) algorithm, and 4.5 times for the 0-1 Knapsack based scheduling algorithm. In terms of the profitable application ratio, both the STIB and the STIB-C algorithms obtain as much as four times for both the FCFS with backfilling algorithm and the Gang EDF algorithm, and two times for the 0-1 Knapsack based scheduling algorithm."",""1558-2183"","""",""10.1109/TPDS.2015.2474360"",""US National Science Foundation(grant numbers:CNS-1018731,CNS-0746643(CAREER))";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7229345"",""Parallel";time-sensitive;scheduling;approximation algorithm;Parallel;time-sensitive;scheduling;"approximation algorithm"",""Interference";Scheduling algorithms;Schedules;Scheduling;Time-domain analysis;"Optimal scheduling"","""",""6"","""",""35"",""IEEE"",""28 Aug 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Cloud Gaming System Based on User-Level Virtualization and Its Resource Scheduling,""Y. Zhang"; P. Qu; J. Cihang;" W. Zheng"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Apr 2016"",""2016"",""27"",""5"",""1239"",""1252"",""Many believe the future of gaming lies in the cloud, namely Cloud Gaming, which renders an interactive gaming application in the cloud and streams the scenes as a video sequence to the player over Internet. This paper proposes GCloud, a GPU/CPU hybrid cluster for cloud gaming based on the user-level virtualization technology. Specially, we present a performance model to analyze the server-capacity and games' resource-consumptions, which categorizes games into two types: CPU-critical and memory-of-critical. Consequently, several scheduling strategies have been proposed to improve the resource-utilization and compared with others. Simulation tests show that both of the First-Fit-like and the Best-Fit-like strategies outperform the other(s)";" especially they are near optimal in the batch processing mode. Other test results indicate that GCloud is efficient: An off-the-shelf PC can support five high-end video-games run at the same time. In addition, the average per-frame processing delay is 8~19 ms under different image-resolutions, which outperforms other similar solutions."",""1558-2183"","""",""10.1109/TPDS.2015.2433916"",""High Tech. R&D Program of China(grant numbers:2013AA01A215)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7109163"",""cloud computing";cloud gaming;resource scheduling;user-level virtualization;Cloud computing;cloud gaming;resource scheduling;"user-level virtualization"",""Games";Servers;Graphics processing units;Delays;Virtualization;Rendering (computer graphics);"Streaming media"","""",""17"","""",""40"",""IEEE"",""15 May 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A Comment on “Fast Bloom Filters and Their Generalization”,""P. Reviriego"; K. Christensen;" J. A. Maestro"",""Universidad Antonio de Nebrija, C/ Pirineos, Madrid, Spain"; University of South Florida, 4202 East Fowler Avenue, ENB 118, Tampa, FL, USA;" Universidad Antonio de Nebrija, C/ Pirineos, Madrid, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2015"",""2016"",""27"",""1"",""303"",""304"",""A Bloom filter is a data structure that provides probabilistic membership checking. Bloom filters have many applications in computing and communications systems. The performance of a Bloom filter is measured by false positive rate, memory size requirement, and query (or memory look-up) overhead. A recent paper by Qiao et al. proposes the Fast Bloom Filter, also called Bloom-1, which requires only a single memory look-up for a membership test. Bloom-1 achieves a reduced query overhead at the expense of a slightly higher false positive rate for a given memory size. The false positive rate of Bloom-1 has been analyzed theoretically by Qiao et al. relying on a well-known, but flawed, approximation for the false positive rate for a Bloom filter. In this comment paper we show that the Qiao et al. analysis of Bloom-1 under-estimates the false positive rate for low loads. We provide a correct analysis of Bloom-1 yielding an expression for the exact false positive rate."",""1558-2183"","""",""10.1109/TPDS.2014.2378268"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7012061"",""Bloom filter";false positive;memory access;Bloom filter;false positive;"memory access"",""Information filters";Equations;Mathematical model;Approximation methods;Memory management;"Load modeling"","""",""10"","""",""5"",""IEEE"",""16 Jan 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Constraint Programming Scheduler for Heterogeneous High-Performance Computing Machines,""T. Bridi"; A. Bartolini; M. Lombardi; M. Milano;" L. Benini"",""Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, Bologna, Italy"; Department of Electrical, Electronic and Information Engineering (DEI), University of Bologna, Viale Risorgimento 2, Bologna, Italy; Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, Bologna, Italy; Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, Bologna, Italy;" Department of Electrical, Electronic and Information Engineering (DEI), University of Bologna, Viale Risorgimento 2, Bologna, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Sep 2016"",""2016"",""27"",""10"",""2781"",""2794"",""Scheduling and dispatching tools for high-performance computing (HPC) machines have the key role of mapping jobs to the available resources, trying to maximize performance and quality-of-service (QoS). Allocation and Scheduling in the general case are well-known NP-hard problems, forcing commercial schedulers to adopt greedy approaches to improve performance and QoS. Search-based approaches featuring the exploration of the solution space have seldom been employed in this setting, but mostly applied in off-line scenarios. In this paper, we present the first search-based approach to job allocation and scheduling for HPC machines, working in a production environment. The scheduler is based on Constraint Programming, an effective programming technique for optimization problems. The resulting scheduler is flexible, as it can be easily customized for dealing with heterogeneous resources, user-defined constraints and different metrics. We evaluate our solution both on virtual machines using synthetic workloads, and on the Eurora HPC with production workloads. Tests on a wide range of operating conditions show significant improvements in waitings and QoS in mid-tier HPC machines w.r.t state-of-the-art commercial rule-based dispatchers. Furthermore, we analyze the conditions under which our approach outperforms commercial approaches, to create a portfolio of scheduling algorithms that ensures robustness, flexibility and scalability."",""1558-2183"","""",""10.1109/TPDS.2016.2516997"",""ERC(grant numbers:291125)"; YINS RTD project(grant numbers:20NA21 150939); NSF; CINECA;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7378987"",""Constraint programming";optimization;HPC;scheduling;resource allocation;"supercomputer"",""Processor scheduling";Scheduling;Optimization;Quality of service;Programming;"Resource management"","""",""18"","""",""34"",""IEEE"",""12 Jan 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Crowdsourcing Worker Quality Evaluation Algorithm on MapReduce for Big Data Applications,""D. Dang"; Y. Liu; X. Zhang;" S. Huang"",""College of Information Science and Technology, Beijing Normal University, Beijing, China"; College of Information Science and Technology, Beijing Normal University, Beijing, China; College of Information Science and Technology, Beijing Normal University, Beijing, China;" College of Information Science and Technology, Beijing Normal University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2016"",""2016"",""27"",""7"",""1879"",""1888"",""Crowdsourcing is a new emerging distributed computing and business model on the backdrop of Internet blossoming. With the development of crowdsourcing systems, the data size of crowdsourcers, contractors and tasks grows rapidly. The worker quality evaluation based on big data analysis technology has become a critical challenge. This paper first proposes a general worker quality evaluation algorithm that is applied to any critical tasks such as tagging, matching, filtering, categorization and many other emerging applications, without wasting resources. Second, we realize the evaluation algorithm in the Hadoop platform using the MapReduce parallel programming model. Finally, to effectively verify the accuracy and the effectiveness of the algorithm in a wide variety of big data scenarios, we conduct a series of experiments. The experimental results demonstrate that the proposed algorithm is accurate and effective. It has high computing performance and horizontal scalability. And it is suitable for large-scale worker quality evaluations in a big data environment."",""1558-2183"","""",""10.1109/TPDS.2015.2457924"",""National Natural Science Foundation of China(grant numbers:60940032,61073034,61370064)"; Program for New Century Excellent Talents in University; Ministry of Education of China(grant numbers:NCET-10-0239); Science Foundation of Ministry of Education of China; China Mobile Communicaions Corporation(grant numbers:MCM20130371);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7273904"",""crowdsourcing systems";quality control;Big data;MapReduce;Hadoop;Crowdsourcing systems;quality control;big data;mapreduce;"hadoop"",""Accuracy";Crowdsourcing;Algorithm design and analysis;Big data;Computational modeling;Quality control;"Data models"","""",""21"","""",""47"",""IEEE"",""22 Sep 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A Delayed Container Organization Approach to Improve Restore Speed for Deduplication Systems,""J. Liu"; Y. Chai; C. Yan;" X. Wang"",""Key Laboratory of Data Engineering and Knowledge Engineering, Ministry of Education, School of Information, Renmin University of China, Beijing, China"; Key Laboratory of Data Engineering and Knowledge Engineering, Ministry of Education, School of Information, Renmin University of China, Beijing, China; Department of Electrical and Computer Engineering, College of Engineering, Boston University, Boston, MA;" School of Computer Science and Technology, Tianjin University, Tianjin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Aug 2016"",""2016"",""27"",""9"",""2477"",""2491"",""Data deduplication has become necessary to improve the space-efficiency of large-scale distributed storage systems, as the global data have accumulated at an exponential rate and they have significant redundancy. However, the negative impact on restore performance is a main challenge for deduplication systems. One of the key reasons is that when restoring data, the low average useful data ratio (UDR) of containers wastes a considerable part of disk bandwidth to read useless data. This is mainly attributed to the uncontrollable compositions of containers. To solve this problem, we propose a new approach called Delayed Container Organization (DCO) to delay the construction of containers after accumulating some redundant data chunks in fast Non-Volatile Memory (NVM) devices to organize high-UDR containers. For example, data chunks in the intersection of some data segments can be organized together in one container to achieve both high deduplication ratio and high UDRs when restoring these related data segments. DCO is implemented in a prototype deduplication system. The experimental results indicate that compared with Capping, DCO promotes the average UDR of containers by 38.30 percent, improves the restore performance by a factor of 2.2, and achieves better space-efficiency and higher cost performance."",""1558-2183"","""",""10.1109/TPDS.2015.2509060"",""National Natural Science Foundation of China(grant numbers:61202115)"; State Key Laboratory of Computer Architecture; Institute of Computing Technology; Chinese Academy of Science(grant numbers:CARCH201302); National High-tech R&D Program of China(grant numbers:2013AA013204);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7358159"",""Deduplication";NVM;SSD;restore;"UDR"",""Containers";Nonvolatile memory;Organizations;Acceleration;Distributed databases;Redundancy;"Bandwidth"","""",""9"","""",""43"",""IEEE"",""17 Dec 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A Distributed and Scalable Approach to Semi-Intrusive Load Monitoring,""G. Tang"; K. Wu;" J. Lei"",""Department of Computer Science, University of Victoria, Victoria, B.C, Canada"; Department of Computer Science, University of Victoria, Victoria, B.C, Canada;" School of Computer and Information Engineering, Shanghai University of Electric Power, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2016"",""2016"",""27"",""6"",""1553"",""1565"",""Non-intrusive appliance load monitoring (NIALM) helps identify major energy guzzlers in a building without introducing extra metering cost. It motivates users to take proper actions for energy saving and greatly facilitates demand response (DR) programs. Nevertheless, NIALM of large-scale appliances is still an open challenge. To pursue a scalable solution to energy monitoring for contemporary large-scale appliance groups, we propose a distributed metering platform and use parallel optimization for semi-intrusive appliance load monitoring (SIALM). Based on a simple power model, a sparse switching event recovering (SSER) model is established to recover appliance states from their aggregated load data. Furthermore, the sufficient conditions for unambiguous state recovery of multiple appliances are presented. By considering these conditions as well as the electrical network topology constraint, a minimum number of meters are obtained to correctly recover the energy consumption of individual appliances. We evaluate the performance of both SIALM and NIALM with real-world trace data and synthetic data. The results demonstrate that with the help of a small number of meters, the SIALM approach significantly improves the accuracy of energy disaggregation for large-scale appliances."",""1558-2183"","""",""10.1109/TPDS.2015.2470238"",""Natural Sciences and Engineering Research Council of Canada(grant numbers:195819339)"; Natural Science Foundation of China(grant numbers:61373152,61272437,61472236); Shanghai Municipal Education Commission(grant numbers:13ZZ131,14ZZ150); Shanghai Science and Technology Committee(grant numbers:12JC1404500,13JC1403503); Shanghai Science and Technology Committee(grant numbers:14110500800);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7210212"",""Semi-intrusive appliance load monitoring";energy disaggregation;optimization;measurement;Semi-intrusive appliance load monitoring;energy disaggregation;optimization;"measurement"",""Home appliances";Monitoring;Optimization;Switches;Buildings;Hidden Markov models;"Mathematical model"","""",""25"","""",""31"",""IEEE"",""19 Aug 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Family of Fault-Tolerant Efficient Indirect Topologies,""D. F. Bermúdez Garzón"; C. G. Requena; M. E. Gómez; P. López;" J. Duato"",""DISCA, Universitat Politècnica de València, Valencia, Spain"; DISCA, Universitat Politècnica de València, Valencia, Spain; DISCA, Universitat Politècnica de València, Valencia, Spain; DISCA, Universitat Politècnica de València, Valencia, Spain;" DISCA, Universitat Politècnica de València, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2016"",""2016"",""27"",""4"",""927"",""940"",""On the one hand, performance and fault-tolerance of interconnection networks are key design issues for high performance computing (HPC) systems. On the other hand, cost should be also considered. Indirect topologies are often chosen in the design of HPC systems. Among them, the most commonly used topology is the fat-tree. In this work, we focus on getting the maximum benefits from the network resources by designing a simple indirect topology with very good performance and fault-tolerance properties, while keeping the hardware cost as low as possible. To do that, we propose some extensions to the fat-tree topology to take full advantage of the hardware resources consumed by the topology. In particular, we propose three new topologies with different properties in terms of cost, performance and fault-tolerance. All of them are able to achieve a similar or better performance results than the fat-tree, providing also a good level of fault-tolerance and, contrary to most of the available topologies, these proposals are able to tolerate also faults in the links that connect to end nodes."",""1558-2183"","""",""10.1109/TPDS.2015.2430863"",""Spanish Ministerio de Economía y Competitividad"; FEDER(grant numbers:TIN2012-38341-C04-01);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7103363"",""Regular Indirect Topologies";Fat-Trees;Adaptive and Deterministic Routing;RUFT;Fault–Tolerance;Regular indirect topologies;fat-trees;adaptive and deterministic routing;RUFT;"fault-tolerance"",""Topology";Ports (Computers);Fault tolerance;Fault tolerant systems;Network topology;Hardware;"Complexity theory"","""",""8"","""",""27"",""IEEE"",""7 May 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Fast Discrete Wavelet Transform Using Hybrid Parallelism on GPUs,""T. M. Quan";" W. -K. Jeong"",""Department of Electrical and Computer Engineering, Ulsan National Institute of Science and Technology (UNIST), Ulsan, Korea";" Department of Electrical and Computer Engineering, Ulsan National Institute of Science and Technology (UNIST), Ulsan, Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Oct 2016"",""2016"",""27"",""11"",""3088"",""3100"",""Wavelet transform has been widely used in many signal and image processing applications. Due to its wide adoption for time-critical applications, such as streaming and real-time signal processing, many acceleration techniques were developed during the past decade. Recently, the graphics processing unit (GPU) has gained much attention for accelerating computationally-intensive problems and many solutions of GPU-based discrete wavelet transform (DWT) have been introduced, but most of them did not fully leverage the potential of the GPU. In this paper, we present various state-of-the-art GPU optimization strategies in DWT implementation, such as leveraging shared memory, registers, warp shuffling instructions, and thread- and instruction-level parallelism (TLP, ILP), and finally elaborate our hybrid approach to further boost up its performance. In addition, we introduce a novel mixed-band memory layout for Haar DWT, where multi-level transform can be carried out in a single fused kernel launch. As a result, unlike recent GPU DWT methods that focus mainly on maximizing ILP, we show that the optimal GPU DWT performance can be achieved by hybrid parallelism combining both TLP and ILP together in a mixed-band approach. We demonstrate the performance of our proposed method by comparison with other CPU and GPU DWT methods."",""1558-2183"","""",""10.1109/TPDS.2016.2536028"",""Institute for Information & communications Technology Promotion"; Korea government(grant numbers:R0190-15-2012); High Performance Big Data Analytics Platform Performance Acceleration Technologies Development); R&D program of MOTIE/KEIT(grant numbers:10054548); Basic Science Research Program; National Research Foundation of Korea; Ministry of Education(grant numbers:NRF-2014R1A1A2058773);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7422119"",""Wavelet transform";hybrid parallelism;lifting scheme;bit rotation;"GPU computing"",""Discrete wavelet transforms";Graphics processing units;Parallel processing;Acceleration;"Registers"","""",""11"","""",""33"",""IEEE"",""29 Feb 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Framework for Practical Dynamic Software Updating,""G. Chen"; H. Jin; D. Zou; Z. Liang; B. B. Zhou;" H. Wang"",""Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Department of Computer Science, School of Computing, National University of Singapore, Singapore; Centre for Distributed and High Performance Computing, School of Information Technologies, University of Sydney, NSW, Australia;" Cluster and Grid Computing Lab, Services Computing Technology and System Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2016"",""2016"",""27"",""4"",""941"",""950"",""Dynamic software updating (DSU) enables a program to be patched on the fly without being shutdown. This paper addresses the practicality problem of the recent research on DSU systems, and presents Replus, a new DSU system that balances practicality and functionality. Replus aims to retain backward binary compatibility and support multi-threaded programs. In addition, it does not require customers to have developer-level software knowledge. More importantly, without specific compiler support, Replus can patch programs that are difficult to be updated at runtime, as well as programs that may incur an indefinite delay in DSU. The key technique of our solution is to update the stack elements for the patched program using two new mechanisms: Immediate Stack Updating, which immediately updates the stack of a thread, and timely stack updating, which only updates the stack frames of the necessary functions without affecting others. Replus also develops an Instruction Level Updating  mechanism, which is more efficient for certain security patches. We used popular server applications as test suites to evaluate the effectiveness of Replus. The experimental results demonstrated that Replus can successfully update all the test suites with negligible impact on application performance."",""1558-2183"","""",""10.1109/TPDS.2015.2430854"",""National 973 Fundamental Basic Research Program(grant numbers:2014CB340600)"; National Science Foundation of China(grant numbers:61272072); Program for New Century Excellent Talents in University(grant numbers:NCET-13-0241);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7103360"",""Dynamic Software Updating";Stack Updating;Instruction Updating;Dynamic software updating;stack updating;"patching"",""Software";Servers;Security;Computer bugs;Runtime;Delays;"Electronic mail"","""",""8"","""",""28"",""IEEE"",""7 May 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A Framework of Price Bidding Configurations for Resource Usage in Cloud Computing,""K. Li"; C. Liu; K. Li;" A. Y. Zomaya"",""College of Information Science and Engineering, Hunan University, and National Supercomputing Center in Changsha, Hunan, China"; College of Information Science and Engineering, Hunan University, and National Supercomputing Center in Changsha, Hunan, China; Department of Computer Science, State University of New York, New Paltz, New York;" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2016"",""2016"",""27"",""8"",""2168"",""2181"",""In this paper, we focus on price bidding strategies of multiple users competition for resource usage in cloud computing. We consider the problem from a game theoretic perspective and formulate it into a non-cooperative game among the multiple cloud users, in which each cloud user is informed with incomplete information of other users. For each user, we design a utility function which combines the net profit with time efficiency and try to maximize its value. We design a mechanism for the multiple users to evaluate their utilities and decide whether to use the cloud service. Furthermore, we propose a framework for each cloud user to compute an appropriate bidding price. At the beginning, by relaxing the condition that the allocated number of servers can be fractional, we prove the existence of Nash equilibrium solution set for the formulated game. Then, we propose an iterative algorithm ( $\mathcal {IA}$ ), which is designed to compute a Nash equilibrium solution. The convergency of the proposed algorithm is also analyzed and we find that it converges to a Nash equilibrium if several conditions are satisfied. Finally, we revise the obtained solution and propose a near-equilibrium price bidding algorithm ( $\mathcal {NPBA}$ ) to characterize the whole process of our proposed framework. The experimental results show that the obtained near-equilibrium solution is close to the equilibrium one."",""1558-2183"","""",""10.1109/TPDS.2015.2495120"",""National Natural Science Foundation of China(grant numbers:61133005,61432005)"; National Natural Science Foundation of China(grant numbers:61370095,61472124,61402400); International Science & Technology Cooperation Program of China(grant numbers:2015DFA11240);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7307193"",""Cloud computing";nash equilibrium;non-cooperative game theory;"price bidding strategy"",""Servers";Games;Nash equilibrium;Resource management;Algorithm design and analysis;"Cloud computing"","""",""61"","""",""33"",""IEEE"",""26 Oct 2015"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
