"A Cloud Reservation System for Big Data Applications,""D. C. Marinescu"; A. Paya;" J. P. Morrison"",""Computer Science Department, University of Central Florida, Orlando, FL"; Computer Science Department, University of Central Florida, Orlando, FL;" Computer Science Department, University College Cork, Cork, Ireland"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""606"",""618"",""Emerging Big Data applications increasingly require resources beyond those available from a single server and may be expressed as a complex workflow of many components and dependency relationships-each component potentially requiring its own specific, and perhaps specialized, resources for its execution. Efficiently supporting this type of Big Data application is a challenging resource management problem for existing cloud environments. In response, we propose a two-stage protocol for solving this resource management problem. We exploit spatial locality in the first stage by dynamically forming rack-level coalitions of servers to execute a workflow component. These coalitions only exist for the duration of the execution of their assigned component and are subsequently disbanded, allowing their resources to take part in future coalitions. The second stage creates a package of these coalitions, designed to support all the components in the complete workflow. To minimize the communication and housekeeping overhead needed to form this package of coalitions, the technique of combinatorial auctions is adapted from market-based resource allocation. This technique has a considerably lower overhead for resource aggregation than the traditional hierarchically organized models. We analyze two strategies for coalition formation: the first, history-based uses information from past auctions to pre-form coalitions in anticipation of predicted demand";" the second one is a just-in-time-that builds coalitions only when support for specific workflow components is requested."",""1558-2183"","""",""10.1109/TPDS.2016.2594783"",""US National Science Foundation CCR(grant numbers:1525943)"; Simulation of Quantum Many-Body Systems Feasible on the Cloud(grant numbers:H2020 EU); Irish Centre for Cloud Computing and Commerce;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7523396"",""Big data applications";cloud resource management;hierarchical organization;coalition formation;"combinatorial auctions"",""Cloud computing";Resource management;Servers;Big data;Organizations;Computers;"Google"","""",""15"","""",""39"",""IEEE"",""27 Jul 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Clustering Algorithm for Communication-Aware Scheduling of Task Graphs on Multi-Core Reconfigurable Systems,""A. Yoosefi";" H. R. Naji"",""Department of Electrical and Computer Engineering, Graduate University of Advanced Technology, Kerman, Iran";" Department of Electrical and Computer Engineering, Graduate University of Advanced Technology, Kerman, Iran"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Sep 2017"",""2017"",""28"",""10"",""2718"",""2732"",""In this paper, a clustering algorithm called the Reconfigurable Dominant Sequence Clustering (ReDSC), is proposed. The experiments show that ReDSC reduces the parallel run time efficiently by 30 percent. Moreover, an empirical comparison of ReDSC with its peer in the multi-processor model, i.e., DSC algorithm, is provided and the results demonstrate the 35 percent improvement of ReDSC over DSC. Then, a hardware implementation of a dynamic scheduler for run-time communication-aware scheduling of hardware tasks is proposed. The proposed scheduler makes use of the ReDSC algorithm for allocating tasks to the processing reconfigurable cores, dynamically considering the communication costs. The simulation results illustrate the benefits of the proposed scheduler as compared to that of other static and basic schedulers in the technical literature."",""1558-2183"","""",""10.1109/TPDS.2017.2703123"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7924424"",""Clustering";field-programmable gate array (FPGA);multi-core;reconfigurable computing;"task scheduling"",""Hardware";Dynamic scheduling;Clustering algorithms;Processor scheduling;Heuristic algorithms;"Field programmable gate arrays"","""",""18"","""",""33"",""IEEE"",""10 May 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Collision-Mitigation Cuckoo Hashing Scheme for Large-Scale Storage Systems,""Y. Sun"; Y. Hua; D. Feng; L. Yang; P. Zuo; S. Cao;" Y. Guo"",""Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China."; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China.; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China.; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China.; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China.; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China.;" Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, China."",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""619"",""632"",""With the rapid growth of the amount of information, cloud computing servers need to process and analyze large amounts of high-dimensional and unstructured data timely and accurately. This usually requires many query operations. Due to simplicity and ease of use, cuckoo hashing schemes have been widely used in real-world cloud-related applications. However, due to the potential hash collisions, the cuckoo hashing suffers from endless loops and high insertion latency, even high risks of re-construction of entire hash table. In order to address these problems, we propose a cost-efficient cuckoo hashing scheme, called MinCounter. The idea behind MinCounter is to alleviate the occurrence of endless loops in the data insertion by selecting unbusy kicking-out routes. MinCounter selects the “cold” (infrequently accessed), rather than random, buckets to handle hash collisions. We further improve the concurrency of the MinCounter scheme to pursue higher performance and adapt to concurrent applications. MinCounter has the salient features of offering efficient insertion and query services and delivering high performance of cloud servers, as well as enhancing the experiences for cloud users. We have implemented MinCounter in a large-scale cloud testbed and examined the performance by using three realworld traces. Extensive experimental results demonstrate the efficacy and efficiency of MinCounter."",""1558-2183"","""",""10.1109/TPDS.2016.2594763"",""National Key Research and Development(grant numbers:2016YFB1000202)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7523403"",""Cuckoo hashing";cloud storage;"data insertion and query"",""Cloud computing";Servers;Real-time systems;Radiation detectors;Indexes;Data structures;"Complexity theory"","""",""6"","""",""61"",""IEEE"",""27 Jul 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Comprehensive Study of MapReduce Over Lustre for Intermediate Data Placement and Shuffle Strategies on HPC Clusters,""M. Wasi-ur-Rahman"; N. S. Islam; X. Lu;" D. K. Panda"",""Department of Computer Science and Engineering, The Ohio State University, Columbus, OH"; Department of Computer Science and Engineering, The Ohio State University, Columbus, OH; Department of Computer Science and Engineering, The Ohio State University, Columbus, OH;" Department of Computer Science and Engineering, The Ohio State University, Columbus, OH"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""633"",""646"",""With high performance interconnects and parallel file systems, running MapReduce over modern High Performance Computing (HPC) clusters has attracted much attention due to its uniqueness of solving data analytics problems with a combination of Big Data and HPC technologies. Since the MapReduce architecture relies heavily on the availability of local storage media, the Lustre-based global storage in HPC clusters poses many new opportunities and challenges. In this paper, we perform a comprehensive study on different MapReduce over Lustre deployments and propose a novel high-performance design of YARN MapReduce on HPC clusters by utilizing Lustre as the additional storage provider for intermediate data. With a deployment architecture where both local disks and Lustre are utilized for intermediate data storage, we propose a novel priority directory selection scheme through which RDMA-enhanced MapReduce can choose the best intermediate storage during runtime by on-line profiling. Our results indicate that, we can achieve 44 percent performance benefit for shuffle-intensive workloads in leadership-class HPC systems. Our priority directory selection scheme can improve the job execution time by 63 percent over default MapReduce while executing multiple concurrent jobs. To the best of our knowledge, this is the first such comprehensive study for YARN MapReduce with Lustre and RDMA."",""1558-2183"","""",""10.1109/TPDS.2016.2591947"",""National Science Foundation(grant numbers:#CNS-1419123,#IIS-1447804,#ACI-1450440)"; Extreme Science and Engineering Discovery Environment (XSEDE); National Science Foundation(grant numbers:#OCI-1053575);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7514945"",""Big data";high performance computing;RDMA;MapReduce;"lustre"",""Computer architecture";Servers;High performance computing;Data analysis;Big data;"Memory"","""",""18"","""",""40"",""IEEE"",""18 Jul 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Conflict-Free Replicated JSON Datatype,""M. Kleppmann";" A. R. Beresford"",""Computer Laboratory, University of Cambridge, Cambridge, United Kingdom";" Computer Laboratory, University of Cambridge, Cambridge, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Sep 2017"",""2017"",""28"",""10"",""2733"",""2746"",""Many applications model their data in a general-purpose storage format such as JSON. This data structure is modified by the application as a result of user input. Such modifications are well understood if performed sequentially on a single copy of the data, but if the data is replicated and modified concurrently on multiple devices, it is unclear what the semantics should be. In this paper we present an algorithm and formal semantics for a JSON data structure that automatically resolves concurrent modifications such that no updates are lost, and such that all replicas converge towards the same state (a conflict-free replicated datatype or CRDT). It supports arbitrarily nested list and map types, which can be modified by insertion, deletion and assignment. The algorithm performs all merging client-side and does not depend on ordering guarantees from the network, making it suitable for deployment on mobile devices with poor network connectivity, in peer-to-peer networks, and in messaging systems with end-to-end encryption."",""1558-2183"","""",""10.1109/TPDS.2017.2697382"",""The Boeing Company";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7909007"",""CRDTs";collaborative editing;P2P;JSON;optimistic replication;operational semantics;"eventual consistency"",""Data structures";Collaboration;Semantics;Registers;Servers;Data models;"Mobile handsets"","""",""49"","""",""44"",""IEEE"",""24 Apr 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Declarative Optimization Engine for Resource Provisioning of Scientific Workflows in Geo-Distributed Clouds,""A. C. Zhou"; B. He; X. Cheng;" C. T. Lau"",""Inria Rennes Bretagne Atlantique, Rennes, France"; National University of Singapore, Singapore; Nanyang Technological University, Singapore;" Nanyang Technological University, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""647"",""661"",""Geo-distributed clouds are becoming increasingly popular for cloud providers, and data centers with different regions often offer different prices, even for the same type of virtual machines. Resource provisioning in geo-distributed clouds is an important and complicated problem for budget and performance optimizations of scientific workflows. Scientists are facing the complexities resulted from various cloud offerings in the geo-distributed settings, severe cloud performance dynamics and evolving user requirements on performance and cost. To address those complexities, we propose a declarative optimization engine named Geco for resource provisioning of scientific workflows in geo-distributed clouds. Geco allows users to specify their workflow optimization goals and constraints of specific problems with an extended declarative language. We propose a novel probabilistic optimization approach for evaluating the declarative optimization goals and constraints to address the cloud dynamics. Additionally, we develop runtime optimizations to more effectively utilize the cloud resources at runtime. To accelerate the solution finding, Geco leverages the power of GPUs to find the solution in a fast and timely manner. Our evaluations with four common workflow provisioning problems demonstrate that, Geco is able to achieve more effective performance/cost optimizations in geo-distributed cloud environments than the state-of-the-art approaches."",""1558-2183"","""",""10.1109/TPDS.2016.2599529"",""MoE"; AcRF(grant numbers:T1 251RES1610); NUS;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7542141"",""Resource provisioning";scientific workflows;declarative optimizations;"geo-distributed clouds"",""Cloud computing";Optimization;Engines;Asia;Complexity theory;Probabilistic logic;"Runtime"","""",""13"","""",""46"",""IEEE"",""11 Aug 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Domain Specific Approach to High Performance Heterogeneous Computing,""G. Inggs"; D. B. Thomas;" W. Luk"",""Circuits and Systems Group, Department of Electrical and Electronic Engineering, Imperial College London, London, United Kingdom"; Circuits and Systems Group, Department of Electrical and Electronic Engineering, Imperial College London, London, United Kingdom;" Custom Computing Group in the Department of Computing, Imperial College London, London, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Dec 2016"",""2017"",""28"",""1"",""2"",""15"",""Users of heterogeneous computing systems face two problems: first, in understanding the trade-off relationships between the observable characteristics of their applications, such as latency and quality of the result, and second, how to exploit knowledge of these characteristics to allocate work to distributed computing platforms efficiently. A domain specific approach addresses both of these problems. By considering a subset of operations or functions, models of the observable characteristics or domain metrics may be formulated in advance, and populated at run-time for task instances. These metric models can then be used to express the allocation of work as a constrained integer program. These claims are illustrated using the domain of derivatives pricing in computational finance, with the domain metrics of workload latency and pricing accuracy. For a large, varied workload of 128 Black-Scholes and Heston model-based option pricing tasks, running upon a diverse array of 16 Multicore CPUs, GPUs and FPGAs platforms, predictions made by models of both the makespan and accuracy are generally within 10 percent of the run-time performance. When these models are used as inputs to machine learning and MILP-based workload allocation approaches, a latency improvement of up to 24 and 270 times over the heuristic approach is seen."",""1558-2183"","""",""10.1109/TPDS.2016.2563427"",""South African National Research Foundation"; Oppenheimer Memorial Trust; Nallatech, Altera, Xilinx, Intel, and Maxeler university programs;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7465804"",""Distributed computing, programming environments, accelerator architectures, high performance computing, application software"",""Resource management";Measurement;Computational modeling;Pricing;Biological system modeling;Context;"Benchmark testing"","""",""6"","""",""31"",""IEEE"",""5 May 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Dynamic Approach for Workload Partitioning on GPU Architectures,""F. Busato";" N. Bombieri"",""Department of Computer Science, University of Verona, VR, Italy";" Department of Computer Science, University of Verona, VR, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2017"",""2017"",""28"",""6"",""1535"",""1549"",""Workload partitioning and the subsequent work item-to-thread mapping are key aspects to face when implementing any efficient GPU application. Different techniques have been proposed to deal with such issues, ranging from the computationally simplest static to the most complex dynamic ones. Each of them finds the best use depending on the workload characteristics (static for more regular workloads, dynamic for irregular workloads). Nevertheless, no one of them provides a sound tradeoff when applied in both cases. Static approaches lead to load unbalancing with irregular problems, while the computational overhead introduced by the dynamic or semi-dynamic approaches often worsens the overall application performance when run on regular problems. This article presents an efficient dynamic technique for workload partitioning and work item-to-thread mapping whose complexity is significantly reduced with respect to the other dynamic approaches in literature. The article shows how the partitioning and mapping algorithm has been implemented by fully taking advantage of the GPU device characteristics with the aim of minimizing the involved computational overhead. The article shows, compares, and analyses the experimental results obtained by applying the proposed approach and several static, dynamic, and semi-dynamic techniques at the state of the art to different benchmarks and over different GPU technologies (i.e., NVIDIA Fermi, Kepler, and Maxwell) to understand when and how each technique best applies."",""1558-2183"","""",""10.1109/TPDS.2016.2631166"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7750565"",""Computer society";IEEE;IEEEtran;journal;prefix-scan;load balacing;"GPU"",""Graphics processing units";Instruction sets;Indexes;Heuristic algorithms;Message systems;Parallel processing;"Benchmark testing"","""",""5"","""",""29"",""IEEE"",""21 Nov 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Fast and Accurate Hardware String Matching Module with Bloom Filters,""S. Zengin";" E. G. Schmidt"",""Defense Industries Research and Development Institute, Scientific and Technological Research Council of Turkey, Ankara, Turkey";" Department of Electrical and Electronics Engineering, Middle East Technical University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2017"",""2017"",""28"",""2"",""305"",""317"",""Many fields of computing such as Deep Packet Inspection (DPI) employ string matching modules (SMM) that search for a given set of positive strings in their input. An SMM is expected to produce correct outcomes while scanning the input data at high rates. Furthermore the string sets that are searched for are usually large and their sizes increase steadily. Bloom Filters (BFs) are hashing data structures which are fast but their false positive results require further processing. That is, their speed can be exploited for Standard Bloom Filter SMMs (SBFs) as long as the positive probability is low. Multiple BFs in parallel can further increase the throughput. In this paper, we propose the Double Bloom Filter SMM (DBF) which achieves a higher throughput than the SBF and maintains a high throughput even for large positive probabilities. The second Bloom Filter of DBF stores a small enough subset of the positive strings such that its false positive probability is approximately zero. We develop an analytical model of the DBF and show that the throughput advantage of DBF over SBF becomes more prominent if the positive probability and the fraction of matches in the second Bloom Filter increase. Accordingly, we propose a heuristic algorithm that stores the strings that are more frequently matched in the second Bloom Filter according to localities identified in the input. Our numerical results are obtained using realistic values from an FPGA implementation and are validated by SystemC simulations."",""1558-2183"","""",""10.1109/TPDS.2016.2577033"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7485864"",""Bloom filter";string matching;deep packet inspection;"field programmable gate array (FPGA)"",""Throughput";Matched filters;Analytical models;Hardware;Field programmable gate arrays;Time factors;"Metadata"","""",""6"","""",""39"",""IEEE"",""6 Jun 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Fuzzy Approach Based on Heterogeneous Metrics for Scaling Out Public Clouds,""V. Persico"; D. Grimaldi; A. Pescapè; A. Salvi;" S. Santini"",""University of Napoli “Federico II”, Napoli, Italy"; University of Napoli “Federico II”, Napoli, Italy; University of Napoli “Federico II”, Napoli, Italy; University of Napoli “Federico II”, Napoli, Italy;" University of Napoli “Federico II”, Napoli, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2017"",""2017"",""28"",""8"",""2117"",""2130"",""Thanks to resource elasticity, cloud systems allow to build high performance applications by dynamically adapting resources to workload dynamics. In this paper, we present a novel approach for horizontally scaling cloud resources. The approach is based on an optimized feedback control scheme that leverages fuzzy logic to self-adjust its parameters in order to cope with unpredictable and highly time-varying public-cloud operating conditions. The proposed approach takes as input heterogeneous monitoring metrics related to distinct aspects of interest (i.e., CPU and network load) merged through a fitness function. Therefore, it is able to accomplish the application needs from different viewpoints. The extensive experimental evaluation performed in the Amazon EC2 environment showed how the proposed approach is robust against a number of realistic workloads-also when VM failures happen- and that it is flexible, as being suitable for applications with different needs. Finally, it also achieves better performance when compared to previously proposed solutions."",""1558-2183"","""",""10.1109/TPDS.2017.2651810"",""MIUR(grant numbers:11 DM 593/2000)"; AWS;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7814313"",""Cloud computing";cloud control;cloud monitoring;autoscaling;PID;fuzzy logic;"QoS/QoE metrics"",""Cloud computing";Measurement;Quality of service;Elasticity;Fuzzy logic;Servers;"Adaptation models"","""",""20"","""",""69"",""IEEE"",""11 Jan 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A General-Purpose Architecture for Replicated Metadata Services in Distributed File Systems,""D. Stamatakis"; N. Tsikoudis; E. Micheli;" K. Magoutis"",""Department of Computer Science, Brandeis University, Waltham, MA"; Department of Computer Science, Brandeis University, Waltham, MA; Department of Computer Science and Engineering, University of Ioannina, Ioannina, Greece;" Department of Computer Science and Engineering, University of Ioannina, Ioannina, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Sep 2017"",""2017"",""28"",""10"",""2747"",""2759"",""A large class of modern distributed file systems treat metadata services as an independent system component, separately from data servers. The availability of the metadata service is key to the availability of the overall system. Given the high rates of failures observed in large-scale data centers, distributed file systems usually incorporate high-availability (HA) features. A typical approach in the development of distributed file systems is to design and develop metadata services from the ground up, at significant cost in terms of complexity and time, often leading to functional shortcomings. Our motivation in this paper was to improve on this state of things by defining a general-purpose architecture for HA metadata services (which we call RMS) that can be easily incorporated and reused in new or existing file systems, reducing development time. Taking two prominent distributed file systems as case studies, PVFS and HDFS, we developed RMS variants that improve on functional shortcomings of the original HA solutions, while being easy to build and test. Our extensive evaluation of the RMS variant of HDFS shows that it does not incur an overall performance or availability penalty compared to the original implementation."",""1558-2183"","""",""10.1109/TPDS.2017.2700272"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917318"",""Distributed file systems";high availability;system recovery;"metadata services"",""Metadata";Servers;Distributed databases;Computer architecture;Peer-to-peer computing;"File systems"","""",""3"","""",""57"",""IEEE"",""2 May 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
