"$k$ NN-DP: Handling Data Skewness in $kNN$ Joins Using MapReduce,""X. Zhao"; J. Zhang;" X. Qin"",""Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China"; Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China;" Department of Computer Science and Software Engineering, Auburn University, Auburn, AL"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""600"",""613"",""In this study, we discover that the data skewness problem imposes adverse impacts on MapReduce-based parallel kNN-join operations running clusters. We propose a data partitioning approach-called kNN-DP-to alleviate load imbalance incurred by data skewness. The overarching goal of kNN-DP is to equally divide data objects into a large number of partitions, which are processed by mappers and reducers in parallel. At the heart of kNN-DP is a data partitioning module, which dynamically and judiciously partitions data to optimize kNN-join performance by suppressing data skewness on Hadoop clusters. Data partitioning decisions largely depends on data properties (e.g., distributions), the analysis of which is highly expensive for a massive amount of data. To speed up the data-property analysis, we incorporate a sampling technique to profile the data distribution of a small sample dataset representing big datasets. After building a data-partitioning cost model for parallel kNN-joins, we derive the time-complexity upper and lower bounds of parallel kNN-join algorithms. The cost model offers us a guidance to systematically investigate kNN-DP's performance. kNN-DP obtains global nearest neighbors using local nearest neighbors. To improve the accuracy of such an approximation solution, we augment each node's local data by a small amount of redundant data. We develop two kNN-DP-based schemes called LSH+ and z-value+, which seamlessly integrate kNN-DP with the existing LSH and z-value algorithms for kNN-join computing. We implement and evaluate LSH+ and z-value+ on a 24-node Hadoop cluster driven by both synthetic and real-world high-dimensional datasets. The experimental results show that kNN-DP significantly improves the performance of LSH and z-value while offering high extensibility and scalability on Hadoop clusters."",""1558-2183"","""",""10.1109/TPDS.2017.2767596"",""National Natural Science Foundation of China(grant numbers:61572343)";" Shanxi ""1331 Project"" Key Innovative Research Team"; U.S. National Science Foundation(grant numbers:CCF-0845257(CAREER));" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8089758"",""Data skewness";kNN-joins;data partitioning;"MapReduce"",""Time complexity";Distributed databases;Silicon;Algorithm design and analysis;Optimization;"Partitioning algorithms"","""",""24"","""",""32"",""IEEE"",""30 Oct 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Code Generator for Energy-Efficient Wavefront Parallelization of Uniform Dependence Computations,""Y. Zou";" S. Rajopadhye"",""Computer Science Department, State University, Fort Collins, CO";" Computer Science Department, State University, Fort Collins, CO"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2018"",""2018"",""29"",""9"",""1923"",""1936"",""Energy is now critical in all aspects of computing. We address a class of programs that includes so-called “stencil computations.” We address energy optimization of such programs. Since optimizing for speed alone already minimizes energy for most components, we seek to further improve the energy consumption by reducing the total number of off-chip memory accesses without sacrificing execution time. Our strategy uses two-level tiling: we first partition the iteration space into “passes,” each of which is tiled and parallelized. Here, the schedules that map the original program to the multi-pass, parametrically tiled code are specified by polynomials. They are more general than affine multidimensional schedules used by state of the art polyhedral compilers, so generating such codes automatically is an important open problem, and goes beyond the motivation of energy efficiency. We develop a parametric tiled code generator supporting our energy-efficient parallelization strategy. We give a simple linear regression model for energy as a function of performance counters. Our experimental validation on three platforms shows a reduction by about 74 percent (resp. 75 and 67 percent) of the dynamic memory energy consumption on an 8-core Xeon E5-2650 v2 (resp. 6-core Xeon E5-2620 v2 and 6-core Xeon E52602 v3). This leads to a reduction in the total energy of the program by 2 to 14 percent."",""1558-2183"","""",""10.1109/TPDS.2017.2709748"",""US National Science Foundation(grant numbers:CCF-0917319,CNS-1240991)"; AFOSR(grant numbers:FA9550-13-1-0064); DoE(grant numbers:DE-SC0014495);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7935535"",""Energy consumption";automatic parallelization;hierarchical tiling;off-chip memory access;"polyhedral model"",""Two dimensional displays";Standards;Heating systems;Jacobian matrices;Generators;Energy consumption;"Schedules"","""",""2"","""",""39"",""IEEE"",""30 May 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Dataflow Processor as the Basis of a Tiled Polymorphic Computing Architecture with Fine-Grain Instruction Migration,""D. Hentrich"; E. Oruklu;" J. Saniie"",""Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL"; Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL;" Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Sep 2018"",""2018"",""29"",""10"",""2164"",""2175"",""A dataflow processor is presented that is to be used as the basis of a tiled polymorphic computing architecture. The key contribution is a new scheme that allows a program's instructions to be migrated before and during runtime in a fine-grained manner across the collection of processors. The primary reason to perform this migration is to execute programs faster. Other reasons to perform instruction migration are to prioritize computational resources and to achieve thermal balancing. The act of performing instruction migration across of a collection of processors is logically equivalent to rearranging the computer architecture under the program (i.e., polymorphic computing). Additionally, a new dataflow instruction set which enables the migration is presented. This instruction set is built upon the concept of a single RISC-like dataflow instruction that can atomically execute, make decisions, and independently route results. Furthermore, the novel concept of an operation cell is presented. An operation cell holds a single instruction and its data. It also contains logic to independently determine when an instruction is executed and when to forward data to other operation cells in the collection of processors. In addition, the internal architecture of this processor is presented. This includes the arithmetic logic unit (ALU) that is used to execute the instructions and a series of buses that allow data movement to occur in parallel to instruction execution. Finally, an inter-processor migration strategy is defined."",""1558-2183"","""",""10.1109/TPDS.2018.2819670"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325523"",""Polymorphic computing";dataflow instruction sets;computer architecture;microprocessors;parallel machines;parallel architectures;reconfigurable architectures;"high performance computing (HPC)"",""Computer architecture";Microprocessors;Fabrics;Instruction sets;Technological innovation;Runtime;"Monitoring"","""",""4"","""",""31"",""IEEE"",""26 Mar 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Design Space Exploration Methodology for Parameter Optimization in Multicore Processors,""P. Kansakar";" A. Munir"",""Department of Computer Science, Kansas State University, Manhattan, KS";" Department of Computer Science, Kansas State University, Manhattan, KS"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2017"",""2018"",""29"",""1"",""2"",""15"",""The need for application-specific design of multicore/manycore processing platforms is evident with computing systems finding use in diverse application domains. In order to tailor multicore/manycore processors for application specific requirements, a multitude of processor design parameters have to be tuned accordingly which involves rigorous and extensive design space exploration over large search spaces. In this paper, we propose an efficient methodology for design space exploration. We evaluate our methodology over two search spaces small and large, using a cycle-accurate simulator (ESESC) and a standard set of PARSEC and SPLASH-2 benchmarks. For the smaller design space, we compare results obtained from our design space exploration methodology with results obtained from fully exhaustive search. The results show that solution quality obtained from our methodology are within 1.35 - 3.69 percent of the results obtained from fully exhaustive search while only exploring 2.74 - 3 percent of the design space. For larger design space, we compare solution quality of different results obtained by varying the number of tunable processor design parameters included in the exhaustive search phase of our methodology. The results show that including more number of tunable parameters in the exhaustive search phase of our methodology greatly improves solution quality."",""1558-2183"","""",""10.1109/TPDS.2017.2745580"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8017478"",""Multicore/manycore processors";processor design parameters;design space exploration;cycle-accurate simulator (ESESC);PARSEC and SPLASH-2 benchmarks;"parameter optimization"",""Space exploration";Algorithm design and analysis;Optimization;Program processors;Measurement;Multicore processing;"Clustering algorithms"","""",""8"","""",""23"",""IEEE"",""29 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Differentiated Caching Mechanism to Enable Primary Storage Deduplication in Clouds,""H. Wu"; C. Wang; Y. Fu; S. Sakr; K. Lu;" L. Zhu"",""University of New South Wales, Sydney, NSW, Australia"; Data61, CSIRO, Eveleigh NSW, Australia; Army Engineering University, Nanjing, China; University of New South Wales, Sydney, NSW, Australia; National University of Defense Technology, Changsha, China;" University of New South Wales, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""14 May 2018"",""2018"",""29"",""6"",""1202"",""1216"",""Existing primary deduplication techniques either use inline caching to exploit locality in primary workloads or use post-processing deduplication to avoid the negative impact on I/O performance. However, neither of them works well in the cloud servers running multiple services for the following two reasons: First, the temporal locality of duplicate data writes varies among primary storage workloads, which makes it challenging to efficiently allocate the inline cache space and achieve a good deduplication ratio. Second, the post-processing deduplication does not eliminate duplicate I/O operations that write to the same logical block address as it is performed after duplicate blocks have been written. A hybrid deduplication mechanism is promising to deal with these problems. Inline fingerprint caching is essential to achieving efficient hybrid deduplication. In this paper, we present a detailed analysis of the limitations of using existing caching algorithms in primary deduplication in the cloud. We reveal that existing caching algorithms either perform poorly or incur significant memory overhead in fingerprint cache management. To address this, we propose a novel fingerprint caching mechanism that estimates the temporal locality of duplicates in different data streams and prioritizes the cache allocation based on the estimation. We integrate the caching mechanism and build a hybrid deduplication system. Our experimental results show that the proposed mechanism provides significant improvement for both deduplication ratio and overhead reduction."",""1558-2183"","""",""10.1109/TPDS.2018.2790946"",""The National Key Research and Development Program of China(grant numbers:2016YFB0200401)"; program for New Century Excellent Talents in University; National Science Foundation (NSF) China(grant numbers:61402492,61402486,61402518,61379146); laboratory pre-research fund(grant numbers:9140C810106150C81001); HUNAN Province Science Foundation(grant numbers:2017RS3045);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8249847"",""Data deduplication";cache management;ghost cache;primary storage;"cloud services"",""Cloud computing";Estimation;Servers;Algorithm design and analysis;Electronic mail;Resource management;"Containers"","""",""20"","""",""45"",""IEEE"",""8 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Double Auction Mechanism to Bridge Users’ Task Requirements and Providers’ Resources in Two-Sided Cloud Markets,""L. Lu"; J. Yu; Y. Zhu;" M. Li"",""Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, P.R.China"; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, P.R.China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, P.R.China;" Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, P.R.China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2018"",""2018"",""29"",""4"",""720"",""733"",""Double auction-based pricing model is an efficient pricing model to balance users' and providers' benefits. Existing double auction mechanisms usually require both users and providers to bid with the unit price and the number of VMs. However, in practice users seldom know the exact number of VMs that meets their task requirements, which leads to users' task requirements inconsistent with providers' resource. In this paper, we propose a truthful double auction mechanism, including a matching process as well as a pricing and VM allocation scheme, to bridge users' task requirements and providers' resources in two-sided cloud markets. In the matching process, we design a cost-aware resource algorithm based on Lyapunov optimization techniques to precisely obtain the number of VMs that meets users' task requirements. In the pricing and VM allocation scheme, we apply the idea of second-price auction to determine the final price and the number of provisioned VMs in the double auction. We theoretically prove our proposed mechanism is individual-rational, truthful and budget-balanced, and analyze the optimality of proposed algorithm. Through simulation experiments, the results show that the individual profits achieved by our algorithm are 12.35 and 11.02 percent larger than that of scaleout and greedy scale-up algorithms respectively for 90 percent of users, and the social welfare of our mechanism is only 7.01 percent smaller than that of the optimum mechanism in the worst case."",""1558-2183"","""",""10.1109/TPDS.2017.2781236"",""National Key R&D Program of China(grant numbers:2017YFC0803700)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170253"",""Double auction mechanism";two-sided cloud markets;VM trading;"Lyapunov optimization"",""Pricing";Cloud computing;Bridges;Algorithm design and analysis;Resource management;"Optimization"","""",""45"","""",""48"",""IEEE"",""8 Dec 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Fault-Tolerant Framework for Asynchronous Iterative Computations in Cloud Environments,""Z. Wang"; L. Gao; Y. Gu; Y. Bao;" G. Yu"",""School of Computer Science and Engineering, Northeastern University, Shenyang, Liaoning, China"; Department of Electrical and Computer Engineering, University of Massachusetts Amherst, Amherst, MA; School of Computer Science and Engineering, Northeastern University, Shenyang, Liaoning, China; School of Computer Science and Engineering, Northeastern University, Shenyang, Liaoning, China;" College of Information, Liaoning University, Shenyang, Liaoning, China"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2018"",""2018"",""29"",""8"",""1678"",""1692"",""Most graph algorithms are iterative in nature. They can be processed by distributed systems in memory in an efficient asynchronous manner. However, it is challenging to recover from failures in such systems. This is because traditional checkpoint fault-tolerant frameworks incur expensive barrier costs that usually offset the gains brought by asynchronous computations. Worse, surviving data are rolled back, leading to costly re-computations. This paper first proposes to leverage surviving data for failure recovery in an asynchronous system. Our framework guarantees the correctness of algorithms and avoids rolling back surviving data. Additionally, a novel asynchronous checkpointing solution is introduced to accelerate recovery at the price of nearly zero overheads. Some optimization strategies like message pruning, non-blocking recovery and load balancing are also designed to further boost the performance. We have conducted extensive experiments to show the effectiveness of our proposals using real-world graphs."",""1558-2183"","""",""10.1109/TPDS.2018.2808519"",""National Natural Science Foundation of China(grant numbers:61433008,U143520006,61472071,61528203)"; U.S. National Natural Science Foundation(grant numbers:CNS-1217284); UMass Amherst; China Scholarship Council;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8300647"",""Fault-tolerance";asynchronous model;iterative graph algorithm;"distributed memory-based systems"",""Fault tolerance";Fault tolerant systems;Checkpointing;Computational modeling;Engines;Iterative algorithms;"Synchronization"","""",""10"","""",""35"",""IEEE"",""22 Feb 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Flattened Metadata Service for Distributed File Systems,""S. Li"; F. Liu; J. Shu; Y. Lu; T. Li;" Y. Hu"",""State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, Henan, China"; State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, Henan, China; Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; University of Florida, Gainesville, FL;" University of Florida, Gainesville, FL"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Nov 2018"",""2018"",""29"",""12"",""2641"",""2657"",""Key-Value stores provide scalable metadata service for distributed file systems. However, the metadata's organization itself, which is organized using a directory tree structure, does not fit the key-value access pattern, thereby limiting the performance. To address this issues, we propose a distributed file system with a flattened and fine-grained division metadata service, LocoMeta, to bridge the performance gap between file system metadata and key-value stores. LocoMeta is designed to bridge the gap between file metadata to key-value store with two techniques. First, LocoMeta flattens the directory content and structure, which organizes file and directory index nodes in a flat space while reversely indexing the directory entries. Second, it exploits a fine-grained division method to improve the key-value access performance. Evaluations show that LocoMeta with eight nodes boosts the metadata throughput by five times, which approaches 93 percent throughput of a single-node key-value store, compared to 18 percent in the state-of-the-art IndexFS."",""1558-2183"","""",""10.1109/TPDS.2018.2842183"",""National Key R&D Program of China(grant numbers:2016YFB0801303,2016QY01W0105)"; National Natural Science Foundation of China(grant numbers:61772300,61433008); Young Elite Scientists Sponsorship Program of China Association for Science and Technology (CAST);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8370078"",""Metadata server";distributed file system;"storage system"",""Metadata";Servers;Data storage systems;Scalability;File systems;"Throughput"","""",""7"","""",""66"",""IEEE"",""31 May 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Framework for the Automatic Vectorization of Parallel Sort on x86-Based Processors,""K. Hou"; H. Wang;" W. -C. Feng"",""Department of Computer Science, Virginia Tech, Blacksburg, VA"; Department of Computer Science, Virginia Tech, Blacksburg, VA;" Department of Computer Science, Virginia Tech, Blacksburg, VA"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Apr 2018"",""2018"",""29"",""5"",""958"",""972"",""The continued growth in the width of vector registers and the evolving library of intrinsics on the modern x86 processors make manual optimizations for data-level parallelism tedious and error-prone. In this paper, we focus on parallel sorting, a building block for many higher-level applications, and propose a framework for the Automatic SIMDization of Parallel Sorting (ASPaS) on x86-based multiand many-core processors. That is, ASPaS takes any sorting network and a given instruction set architecture (ISA) as inputs and automatically generates vector code for that sorting network. After formalizing the sort function as a sequence of comparators and the transpose and merge functions as sequences of vector-matrix multiplications, ASPaS can map these functions to operations from a selected “pattern pool” that is based on the characteristics of parallel sorting, and then generate the vector code with the real ISA intrinsics. The performance evaluation on the Intel Ivy Bridge and Haswell CPUs, and Knights Corner MIC illustrates that automatically generated sorting codes from ASPaS can outperform the widely used sorting tools, achieving up to 5.2x speedup over the single-threaded implementations from STL and Boost and up to 6.7x speedup over the multi-threaded parallel sort from Intel TBB."",""1558-2183"","""",""10.1109/TPDS.2018.2789903"",""NSF-BIGDATA(grant numbers:IIS-1247693)"; NSF-XPS(grant numbers:CCF-1337131);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247204"",""SIMD";IMCI;AVX2;Xeon Phi;sorting networks;merging networks;"code-generation"",""Sorting";Microwave integrated circuits;Registers;Merging;Distributed databases;"Instruction sets"","""",""8"","""",""38"",""IEEE"",""5 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Guide for Achieving High Performance with Very Small Matrices on GPU: A Case Study of Batched LU and Cholesky Factorizations,""A. Haidar"; A. Abdelfattah; M. Zounon; S. Tomov;" J. Dongarra"",""Innovative Computing Laboratory, University of Tennessee, Knoxville, TN"; Innovative Computing Laboratory, University of Tennessee, Knoxville, TN; University of Manchester, Manchester, United Kingdom; Innovative Computing Laboratory, University of Tennessee, Knoxville, TN;" University of Manchester, Manchester, United Kingdom"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Apr 2018"",""2018"",""29"",""5"",""973"",""984"",""We present a high-performance GPU kernel with a substantial speedup over vendor libraries for very small matrix computations. In addition, we discuss most of the challenges that hinder the design of efficient GPU kernels for small matrix algorithms. We propose relevant algorithm analysis to harness the full power of a GPU, and strategies for predicting the performance, before introducing a proper implementation. We develop a theoretical analysis and a methodology for high-performance linear solvers for very small matrices. As test cases, we take the Cholesky and LU factorizations and show how the proposed methodology enables us to achieve a performance close to the theoretical upper bound of the hardware. This work investigates and proposes novel algorithms for designing highly optimized GPU kernels for solving batches of hundreds of thousands of small-size Cholesky and LU factorizations. Our focus on efficient batched Cholesky and batched LU kernels is motivated by the increasing need for these kernels in scientific simulations (e.g., astrophysics applications). Techniques for optimal memory traffic, register blocking, and tunable concurrency are incorporated in our proposed design. The proposed GPU kernels achieve performance speedups versus CUBLAS of up to 6× for the factorizations, using double precision arithmetic on an NVIDIA Pascal P100 GPU."",""1558-2183"","""",""10.1109/TPDS.2017.2783929"",""National Science Foundation(grant numbers:CSR 1514286,OAC 1740250)"; NVIDIA; Department of Energy;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8214236"",""Batched computation";GPUs;"variable small sizes"",""Kernel";Graphics processing units;Libraries;Algorithm design and analysis;Linear algebra;Computational modeling;"Computer architecture"","""",""15"","""",""42"",""IEEE"",""15 Dec 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Hardware Architecture for Radial Basis Function Neural Network Classifier,""M. Mohammadi"; A. Krishna; N. S.;" S. K. Nandy"",""Computer Aided Design Laboratory, Indian Institute of Science, Bangalore, Karnataka, India"; Computer Aided Design Laboratory, Indian Institute of Science, Bangalore, Karnataka, India; Indian Institute of Science, Bangalore, Karnataka, IN;" Computer Aided Design Laboratory, Indian Institute of Science, Bangalore, Karnataka, India"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""481"",""495"",""In this paper we present design and analysis of scalable hardware architectures for training learning parameters of RBFNN to classify large data sets. We design scalable hardware architectures for K-means clustering algorithm to training the position of hidden nodes at hidden layer of RBFNN and pseudoinverse algorithm for weight adjustments at output layer. These scalable parallel pipelined architectures are capable of implementing data sets with no restriction on their dimensions. This paper also presents a flexible and scalable hardware accelerator for realization of classification using RBFNN, which puts no limitation on the dimension of the input data is developed. We report FPGA synthesis results of our implementations. We compare results of our hardware accelerator with CPU, GPU and implementations of the same algorithms and with other existing algorithms. Analysis of these results show that scalability of our hardware architecture makes it favorable solution for classification of very large data sets."",""1558-2183"","""",""10.1109/TPDS.2017.2768366"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094305"",""Data classification";RBFNN classifier;scalable architectures;reconfigurable computing;"parallel and pipelined architectures"",""Hardware";Kernel;Computer architecture;Copper;Training;Clustering algorithms;"Algorithm design and analysis"","""",""15"","""",""22"",""IEEE"",""2 Nov 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
