"A Bi-layered Parallel Training Architecture for Large-Scale Convolutional Neural Networks,""J. Chen"; K. Li; K. Bilal; x. zhou; K. Li;" P. S. Yu"",""National Supercomputing Center in Changsha, Hunan, Changsha, China"; National Supercomputing Center in Changsha, Hunan, Changsha, China; Qatar University, Doha, Qatar; National Supercomputing Center in Changsha, Hunan, Changsha, China; Department of Computer Science, State University of New York, New Paltz, NY, USA;" Department of Computer Science, University of Illinois at Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""965"",""976"",""Benefitting from large-scale training datasets and the complex training network, Convolutional Neural Networks (CNNs) are widely applied in various fields with high accuracy. However, the training process of CNNs is very time-consuming, where large amounts of training samples and iterative operations are required to obtain high-quality weight parameters. In this paper, we focus on the time-consuming training process of large-scale CNNs and propose a Bi-layered Parallel Training (BPT-CNN) architecture in distributed computing environments. BPT-CNN consists of two main components: (a) an outer-layer parallel training for multiple CNN subnetworks on separate data subsets, and (b) an inner-layer parallel training for each subnetwork. In the outer-layer parallelism, we address critical issues of distributed and parallel computing, including data communication, synchronization, and workload balance. A heterogeneous-aware Incremental Data Partitioning and Allocation (IDPA) strategy is proposed, where large-scale training datasets are partitioned and allocated to the computing nodes in batches according to their computing power. To minimize the synchronization waiting during the global weight update process, an Asynchronous Global Weight Update (AGWU) strategy is proposed. In the inner-layer parallelism, we further accelerate the training process for each CNN subnetwork on each computer, where computation steps of convolutional layer and the local weight training are parallelized based on task-parallelism. We introduce task decomposition and scheduling strategies with the objectives of thread-level load balancing and minimum waiting time for critical paths. Extensive experimental results indicate that the proposed BPT-CNN effectively improves the training performance of CNNs while maintaining the accuracy."",""1558-2183"","""",""10.1109/TPDS.2018.2877359"",""National Key R&D Program of China(grant numbers:2016YFB0200201)"; National Outstanding Youth Science Program of National Natural Science Foundation of China(grant numbers:61625202); International Postdoctoral Exchange Fellowship Program(grant numbers:2018024); China Postdoctoral Science Foundation(grant numbers:2018T110829); National Science Foundation(grant numbers:IIS-1526499,IIS-1763325,CNS-1626432); NSFC(grant numbers:61672313);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502141"",""Big data";bi-layered parallel computing;convolutional neural networks;deep learning;"distributed computing"",""Training";Computer architecture;Computational modeling;Parallel processing;Task analysis;Distributed computing;"Acceleration"","""",""132"","""",""26"",""IEEE"",""21 Oct 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A Compiler for Agnostic Programming and Deployment of Big Data Analytics on Multiple Platforms,""B. Di Martino"; A. Esposito; S. D'Angelo; S. A. Maisto;" S. Nacchia"",""Department of Engineering, Università degli Studi della Campania “Luigi Vanvitelli”, Caserta, CE, Italy"; Department of Engineering, Università degli Studi della Campania “Luigi Vanvitelli”, Caserta, CE, Italy; Department of Engineering, Università degli Studi della Campania “Luigi Vanvitelli”, Caserta, CE, Italy; Department of Engineering, Università degli Studi della Campania “Luigi Vanvitelli”, Caserta, CE, Italy;" Department of Engineering, Università degli Studi della Campania “Luigi Vanvitelli”, Caserta, CE, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2019"",""2019"",""30"",""9"",""1920"",""1931"",""To run proper Big Data Analytics, small and medium enterprises (SMEs) need to acquire expertise, hardware and software, which often translates to relevant initial investments for activities not directly connected to the company's business. To reduce such investments, the TOREADOR project proposes a Big Data Analytics framework which supports users in devising their own Big Data solutions by keeping the inherent costs at a minimum, and leveraging pre-existent knowledge and expertise. Among the objectives of the TOREADOR framework is supporting developers in parallelizing and deploying their Big Data algorithms, in order to develop their own analytics solutions. This paper describes the Code-Based approach, adopted within the TOREADOR framework to parallelize users' algorithms and deploy them on distributed platforms, via the annotation of parallelizable code portions with parallelization primitives. The approach, which relies on the guidance of Parallel Patterns to implement the parallelization, and on Skeletons to automatically build execution and deployment templates, is realized through a source-to-source Compiler, also described in the present paper."",""1558-2183"","""",""10.1109/TPDS.2019.2901488"",""European Union's Horizon 2020(grant numbers:688797)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8665909"",""TOREADOR";parallel compiler;skeletons;parallel patterns;parallel primitives;"big data analytics"",""Big Data";Skeleton;Task analysis;Programming;Computational modeling;Program processors;"Parallel processing"","""",""6"","""",""20"",""OAPA"",""12 Mar 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Correlation-Aware Page-Level FTL to Exploit Semantic Links in Workloads,""J. Zhou"; D. Han; J. Wang; X. Zhou;" C. Jiang"",""College of Information Engineering, Shanghai Maritime University, Shanghai, China"; College of Information Engineering, Shanghai, China; Department of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA; Computer Science, University of Colorado at Colorado Springs, Colorado Springs, CO, USA;" Department of Computer Science and Technology, Tongji University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Mar 2019"",""2019"",""30"",""4"",""723"",""737"",""NAND Flash based Solid State Disks (SSDs) are gaining tremendous popularity in today's storage market due to their unique erase-before-write feature. The Flash Translation Layer (FTL) in the SSDs redirects the incoming writes to a free physical address and manages a logical to physical address mapping table. However, this induces significant performance degradation to the SSDs. One of the main reasons is that current cache management in FTLs is mainly optimized for the temporal or spatial locality. However, because of multiple levels of data buffers in the whole storage architecture, the locality of internal disk I/O is relatively low. What's more, the increasing capacity of SSD not only generates large mapping tables, but also imposes high pressure on the efficiency of page-level address mapping. To overcome this limitation, we propose Correlation-Aware Page-level FTL, a.k.a CPFTL, which exploits I/O correlations in the workloads. In CPFTL, we develop a correlation-aware mapping table based on the correlation in read operations. We then build a correlation prediction table to support fast mapping entry lookup in the correlation-aware mapping table. Finally, we split read and write caches and build a skew-aware dirty entry index to improve the cache hit ratio and reduce the garbage collection overhead. Our emulator and prototype are open-sourced at: https://github.com/janzhou/SSD-Emulator. The experimental results show that CPFTL can reduce the average response time by 63.4 percent for read dominant workloads and 32.9 percent for transaction workloads."",""1558-2183"","""",""10.1109/TPDS.2018.2871826"",""National Science Foundation(grant numbers:CCF-1337244,1527249,1717388)"; US Army/DURIP(grant numbers:W911NF-17-1-0208); National Natural Science Foundation of China(grant numbers:61672338,61873160);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8470972"",""I/O correlation";solid state drive;"flash translation layer"",""Correlation";Time factors;Prefetching;Random access memory;Bandwidth;Semantics;"Computer science"","""",""9"","""",""35"",""IEEE"",""23 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Cost-Efficient Router Architecture for HPC Inter-Connection Networks: Design and Implementation,""Y. Dai"; K. Lu; L. Xiao;" J. Su"",""Department of Computer Science, National University of Defense Technology, Changsha, China"; Department of Computer Science, National University of Defense Technology, Changsha, China; Department of Computer Science, National University of Defense Technology, Changsha, China;" Department of Computer Science, National University of Defense Technology, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2019"",""2019"",""30"",""4"",""738"",""753"",""High-radix routers with lower latency and higher bandwidth play an increasingly important role in constructing large-scale interconnection networks such as those used in super-computers and datacenters. The tile-based crossbar approach partitions a single large crossbar into many small tiles and can considerably reduce the complexity of arbitration while providing higher throughput than the conventional switch implementation. However, it is not scalable due to power consumption, placement, and routing problems. Inspired by non-saturated throughput theory, this paper proposes a scalable router microarchitecture, termed Multiport Binding Tile-based Router (MBTR). By aggregating multiple physical ports into a single tile a high-radix router can be flexibly organized into different tile arrays, thus the number of tiles and hardware overhead can be considerably reduced. For a radix-64 router MBTR achieves up to $50 \sim 75\%$50∼75%50∼75% reduction in memory consumption as well as wire area compared with a hierarchical switch. We theoretically deduce the sufficient and necessary conditions for the asymmetrical crossbar to achieve un-saturated relative 100 percent throughput. Based on this observation we analyze the MBTR throughput and derive the condition that should be satisfied by the MBTR design parameters to yield 100 percent throughput. We further discuss how to make a trade-off between MBTR parameters based on the constraints of performance, power and area. The simulation results demonstrate MBTR is indistinguishable from the YARC router in terms of throughput and delay, and can even outperform it by reducing potential contention for output ports. We have fabricated a 36-port MBTR chip at 28 nm, providing 100 Gb/s bidirectional bandwidth per port, with a fall-through latency of just 30 ns. Internally it runs at 9.6 Tb/s, thus offering a speedup of $1.34\times$1.34×1.34×."",""1558-2183"","""",""10.1109/TPDS.2018.2873337"",""863 Program of China(grant numbers:2016YFB0200401,2016YFB0200200)"; National Natural Science Foundation of China(grant numbers:61502507,61672526); laboratory pre-research fund(grant numbers:9140C810106150C81001); Foundation for the Author of National Excellent Doctoral Dissertation of the People's Republic of China(grant numbers:201450);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8478359"",""High-radix router architecture";non-saturated throughput theory;ASIC implementation;"arbitration logic"",""Throughput";Switches;Microarchitecture;Wires;Bandwidth;Complexity theory;"Memory management"","""",""11"","""",""22"",""IEEE"",""30 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Distributed Multilevel Force-Directed Algorithm,""A. Arleo"; W. Didimo; G. Liotta;" F. Montecchiani"",""Technische Universität Wien (TU Wien), Vienna, Austria"; Università degli Studi di Perugia, Perugia, Italy; Università degli Studi di Perugia, Perugia, Italy;" Università degli Studi di Perugia, Perugia, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2019"",""2019"",""30"",""4"",""754"",""765"",""The use of graph visualization approaches to present and analyze complex data is taking a leading role in conveying information and knowledge to users in many application domains. This creates the need of developing efficient and effective algorithms that automatically compute graph layouts. In this respect, force-directed algorithms are arguably among the most popular graph layout techniques. Aimed at leveraging the potential of modern distributed graph algorithms platforms, we present Multi-GiLA, the first multilevel force-directed graph visualization algorithm based on a vertex-centric computation paradigm. We implemented Multi-GiLA using the Apache Giraph platform. Experiments show that it can be successfully applied to compute high quality layouts of very large graphs on inexpensive cloud computing platforms."",""1558-2183"","""",""10.1109/TPDS.2018.2869805"",""Dipartimento di Ingegneria dell’Università";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462766"",""Distributed graph visualization algorithms";visual analytics;"large and complex networks"",""Visual analytics";Complex networks;Cloud computing;Data visualization;"Distributed algorithms"","""",""14"","""",""56"",""IEEE"",""12 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Distributed Trust Evaluation Protocol with Privacy Protection for Intercloud,""Y. Dou"; H. C. B. Chan;" M. H. Au"",""Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong"; Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong;" Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""14 May 2019"",""2019"",""30"",""6"",""1208"",""1221"",""Intercloud seeks to facilitate resource sharing among clouds. To support Intercloud, a trust evaluation framework among clouds and users is required. For trust evaluation, conventional protocols are typically based on a centralized architecture focusing on a one-way relationship. For Intercloud, the environment is highly dynamic and distributed, and relationships can be one-way or two-way (i.e., clouds provide services to each other). This paper presents a distributed trust evaluation protocol with privacy protection for Intercloud. The new contributions and innovative features are summarized below. First, feedback is protected by homomorphic encryption with verifiable secret sharing. Second, to cater to the dynamic nature of Intercloud, trust evaluation can be conducted in a distributed manner and is functional even when some of the parties are offline. Third, to facilitate customized trust evaluation, an innovative mechanism is used to store feedback, such that it can be processed flexibly while protecting feedback privacy. The protocol has been proved based on a formal security model. Simulations have been performed to demonstrate the effectiveness of the protocol. The results show that even when half of the clouds are malicious or offline, by choosing suitable operational parameters the protocol can still support effective trust evaluation with privacy protection."",""1558-2183"","""",""10.1109/TPDS.2018.2883080"",""Department of Computing, The Hong Kong Polytechnic University";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8543602"",""Intercloud";trust evaluation;privacy;reputation;"cloud computing"",""Cloud computing";Protocols;Cryptography;Privacy;Business;Computational modeling;"Logic gates"","""",""11"","""",""39"",""IEEE"",""23 Nov 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Framework for Mesoscopic Traffic Simulation in GPU,""V. A. Vu";" G. Tan"",""Department of Computer Science, National University of Singapore, Singapore";" Department of Computer Science, National University of Singapore, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Jul 2019"",""2019"",""30"",""8"",""1691"",""1703"",""Much progress has recently been made to enhance mesoscopic traffic simulation with the focus on advanced modeling features and traffic management support capabilities. Subsequently, the computational performance needs to be improved in order to make mesoscopic traffic simulation stay effective to real-time applications. This paper presents a framework for mesoscopic traffic simulation which offloads both the demand and supply components to GPU. The simulation algorithm divides the simulation flow into different steps and designs multiple kernels to handle the steps. A high level of data parallelism is achieved by assigning the GPU threads to the appropriate components of the traffic network. Several optimization options using an innovative data structure and improved warp execution are also deployed to harness the GPU performance while preserving simulation correctness. The performance of the framework is evaluated in a real network showing the speedup of up to nearly 5 times in the demand simulation and more than 4 times in the supply simulation compared to the sequential simulation."",""1558-2183"","""",""10.1109/TPDS.2019.2896636"",""National Research Foundation Singapore(grant numbers:R-252-001-459-592)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8630684"",""GPU";high-performance computing;"mesoscopic traffic simulation"",""Computational modeling";Graphics processing units;Load modeling;Data models;Vehicles;Loading;"Microscopy"","""",""4"","""",""29"",""IEEE"",""31 Jan 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"A General Analysis Framework for Soft Real-Time Tasks,""Z. Dong"; C. Liu; S. Bateni; Z. Kong; L. He; L. Zhang; R. Prakash;" Y. Zhang"",""Department of Computer Science and Engineering, Southern University of Science and Technology"; Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA; Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA; Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA; Department of Computer Science and Engineering, University of Colorado Denver, Denver, CO, USA; Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA; Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA;" Department of Computer Science and Engineering, Southern University of Science and Technology"",""IEEE Transactions on Parallel and Distributed Systems"",""15 May 2019"",""2019"",""30"",""6"",""1222"",""1237"",""Much recent work has been conducted on supporting soft real-time tasks on multiprocessors due to the multicore revolution. While most earlier works focus on the traditional sporadic task model with deterministic worst-case specification, several recent works investigate the stochastic nature of many workloads seen in practice, specifying task execution times using average-case provisioning instead of the worst case. Unfortunately, all the existing work on supporting soft real-time workloads ignores a simple practical fact that the job inter-arrival time (or task period) is also stochastic for many real-world applications. Adopting a fixed worst-case period to model all the arriving pattern is rather pessimistic and may result in significant capacity loss in practice. Based on these observations, we present a general soft real-time multiprocessor schedulability analysis framework in this paper for practical sporadic task systems specified by stochastic period and execution demand, following probability distributions. Our analysis can be generally applied to global tunable priority-based schedulers, which allow any job's priority to be changed dynamically at runtime within a priority window of constant length. We have extensively evaluated the analysis framework using a MPEG video decoding case study and simulation-based experiments. Experimental results demonstrate significant advantages of our analysis, which yields over 200 and 50 percent improvements compared to existing analysis assuming worst-case task periods in terms of schedulability and magnitude of the derived tardiness bound, respectively."",""1558-2183"","""",""10.1109/TPDS.2018.2884980"",""National Key R&D Program of China(grant numbers:2017YFC0804002)"; Shenzhen Peacock Plan(grant numbers:KQTD2016112514355531); Science and Technology Innovation Committee Foundation of Shenzhen(grant numbers:ZDSYS201703031748284,JCYJ20170817110848086); Program for University Key Laboratory of Guangdong Province(grant numbers:2017KSYS008); US NSF(grant numbers:CNS 1527727,CNS CAREER 1750263); Southern University of Science and Technology; Southern University of Science and Technology;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8565912"",""Real-time scheduling";stochastic tasks;schedulability test;tardiness bound;"probability distribution"",""Task analysis";Stochastic processes;Real-time systems;Schedules;Probability distribution;Multicore processing;"Runtime"","""",""6"","""",""38"",""IEEE"",""6 Dec 2018"","""","""",""IEEE"",""IEEE Journals""";;;;
"A Hardware Runtime for Task-Based Programming Models,""X. Tan"; J. Bosch; C. Álvarez; D. Jiménez-González; E. Ayguadé;" M. Valero"",""Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC), Barcelona, Catalonia, Spain"; Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC), Barcelona, Catalonia, Spain; Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC), Barcelona, Catalonia, Spain; Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC), Barcelona, Catalonia, Spain; Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC), Barcelona, Catalonia, Spain;" Barcelona Supercomputing Center (BSC), Universitat Politècnica de Catalunya (UPC), Barcelona, Catalonia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2019"",""2019"",""30"",""9"",""1932"",""1946"",""Task-based programming models such as OpenMP 5.0 and OmpSs are simple to use and powerful enough to exploit task parallelism of applications over multicore, manycore and heterogeneous systems. However, their software-only runtimes introduce relevant overhead when targeting fine-grained tasks, resulting in performance losses. To overcome this drawback, we present a hardware runtime Picos++ that accelerates critical runtime functions such as task dependence analysis, nested task support, and heterogeneous task scheduling. As a proof-of-concept, the Picos++ hardware runtime has been integrated with a compiler infrastructure that supports parallel task-based programming models. A FPGA SoC running Linux OS has been used to implement the hardware accelerated part of Picos++, integrated with a heterogeneous system composed of 4 symmetric multiprocessor (SMP) cores and several hardware functional accelerators (HwAccs) for task execution. Results show significant improvements on energy and performance compared to state-of-the-art parallel software-only runtimes. With Picos++, applications can achieve up to 7.6x speedup and save up to 90 percent of energy, when using 4 threads and up to 4 HwAccs, and even reach a speedup of 16x over the software alternative when using 12 HwAccs and small tasks."",""1558-2183"","""",""10.1109/TPDS.2019.2907493"",""Spanish Government(grant numbers:SEV-2015-0493,TIN2015-65316-P)"; Generalitat de Catalunya(grant numbers:2017-SGR-1414,2017-SGR-1328); H2020 European Research Council(grant numbers:RoMoL GA 321253);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8674567"",""Fine-grained parallelism";task-dependence analysis;nested tasks;heterogeneous task scheduling;energy saving;FPGA;"task-based programming models"",""Task analysis";Hardware;Runtime;Programming;Field programmable gate arrays;Switched mode power supplies;"Multicore processing"","""",""10"","""",""30"",""IEEE"",""26 Mar 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A Holistic Energy-Efficient Real-Time Scheduler for Mixed Stream and Batch Processing Workloads,""S. Maroulis"; N. Zacheilas;" V. Kalogeraki"",""Informatics, Athens University of Economics and Business, Athens, Greece"; Informatics, Athens University of Economics and Business, Athens, Greece;" Informatics, Athens University of Economics and Business, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Nov 2019"",""2019"",""30"",""12"",""2624"",""2635"",""In recent years we have experienced a wide adoption of novel distributed processing frameworks such as Apache Spark for handling batch and stream processing big data applications. An important aspect that has not been examined in these systems yet, is the energy consumption during the applications' execution. Reducing the energy consumption of modern datacenters is a necessity, as datacenters contribute over 2 percent of the total US electric usage. However, efficiently scheduling applications in distributed processing systems can be challenging as there is a trade-off between minimizing the datacenter's energy usage and satisfying the application performance requirements. In this work we propose, ExpREsS, a scheduler for orchestrating the execution of Spark applications in a way that enables us to minimize the energy consumption while ensuring that the applications' performance requirements are met. Our approach exploits time-series segmentation for capturing the applications' energy usage and execution times, and then applies a novel DVFS technique to minimize the energy consumption. In order to tackle the limited number of application's profiling runs, we exploit regression techniques to predict the applications' execution times and power consumption. Our detailed experimental evaluation using realistic workloads on our local cluster illustrates the working and benefits of our approach."",""1558-2183"","""",""10.1109/TPDS.2019.2922606"",""European Union(grant numbers:FP7 ERC IDEAS 308019 NGHCS)"; Horizon2020 688380 VaVeL;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8735782"",""Distributed systems";scheduling;green computing;apache spark;"cluster management"",""Power demand";Energy consumption;Cluster computing;Central Processing Unit;Time-frequency analysis;"Distributed processing"","""",""4"","""",""34"",""IEEE"",""12 Jun 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A Hybrid Approach for Optimizing Parallel Clustering Throughput using the GPU,""M. Gowanlock"; C. M. Rude; D. M. Blair; J. D. Li;" V. Pankratius"",""School of Informatics, Computing & Cyber Systems, Northern Arizona University, Flagstaff, AZ, USA"; Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Chemistry and the Department of Earth, Environmental and Planetary Sciences, Brown University, Providence, RI, USA; AAAS Science & Technology Policy Fellow, Washington, DC, USA;" Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Mar 2019"",""2019"",""30"",""4"",""766"",""777"",""We introduce Hybrid-Dbscan, that uses the GPU and CPUs for optimizing clustering throughput. The main idea is to exploit the memory bandwidth on the GPU for fast index searches, and optimize data transfers between host and GPU, to alleviate the potential negative performance impact of the PCIe interconnect. We propose and compare two GPU kernels that exploit grid-based indexing schemes to improve neighborhood search performance. We employ a batching scheme for host-GPU data transfers to obviate limited GPU memory, and exploit concurrent operations on the host and GPU. This scheme is robust with respect to both sparse and dense data distributions and avoids buffer overflows that would otherwise degrade performance. We evaluate our approaches on ionospheric total electron content datasets as well as intermediate-redshift galaxies from the Sloan Digital Sky Survey. Hybrid-Dbscan outperforms the reference implementation across a range of application scenarios, including small workloads, which typically are the domain of CPU-only algorithms. We advance an empirical response time performance model of Hybrid-Dbscan by utilizing the underlying properties of the datasets. With only a single execution of Hybrid-Dbscan on a dataset, we are able to accurately predict the response time for a range of $\epsilon$  ε    ε   search distances."",""1558-2183"","""",""10.1109/TPDS.2018.2869777"",""National Science Foundation(grant numbers:ACI-1442997)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462789"",""DBSCAN";GPGPU;in-memory database;parallel clustering;query optimization;"spatial databases"",""Graphics processing units";Clustering algorithms;Kernel;Indexing;Throughput;"Time factors"","""",""11"","""",""34"",""IEEE"",""12 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
