"Memory-Efficient and Skew-Tolerant MapReduce Over MPI for Supercomputing Systems,""T. Gao"; Y. Guo; B. Zhang; P. Cicotti; Y. Lu; P. Balaji;" M. Taufer"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA; NVIDIA, San Diego, USA; National Supercomputing Center in Guangzhou, China; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA;" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2020"",""2020"",""31"",""12"",""2734"",""2748"",""Data analytics has become an integral part of large-scale scientific computing. Among various data analytics frameworks, MapReduce has gained the most traction. Although some efforts have been made to enable efficient MapReduce for supercomputing systems, they are often limited to fairly homogeneous workloads where equal partitioning of input data across tasks results in essentially equal output or temporary data generated on each task. For workloads that are more skewed, however, current implementations can result in imbalance in memory usage and, consequently, can cause a slowdown in execution time and a loss in data scalability. To tackle this problem, we enhance a previously published memory-conscious MapReduce over MPI framework called Mimir. Our enhancements to Mimir include combiner and dynamic repartition optimizations to minimize and balance memory usage and to achieve close to optimal balance of the memory usage across processes and to reduce the execution time by up to 12 times. Experimental results show that Mimir can scale to at least 3072 processes on the Tianhe-2 supercomputer on skewed datasets."",""1558-2183"","""",""10.1109/TPDS.2019.2932066"",""U.S. Department of Energy(grant numbers:DE-AC02-06CH11357)"; National Science Foundation(grant numbers:#1318445,#1318417,#1841758); National Key R&D Project in China(grant numbers:2016YFB1000302); National Natural Science Foundation of China(grant numbers:U1611261,NSFC61402503); Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2016ZT06D211); China Scholarship Council; National Science Foundation(grant numbers:ACI-1053575);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103270"",""Skew mitigation";load balancing;high-performance computing;data analytics;MapReduce;memory efficiency;"performance and scalability"",""Supercomputers";Data models;Optimization;Programming;Operating systems;Aggregates;"Data analysis"","""",""4"","""",""38"",""CCBY"",""28 May 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"A Black-Box Fork-Join Latency Prediction Model for Data-Intensive Applications,""M. Nguyen"; S. Alesawi; N. Li; H. Che;" H. Jiang"",""Department of Computer Science and Engineering, The University of Texas at Arlington, Arlington, USA"; Department of Computer Science and Engineering, The University of Texas at Arlington, Arlington, USA; Department of Computer Science and Engineering, The University of Texas at Arlington, Arlington, USA; Department of Computer Science and Engineering, The University of Texas at Arlington, Arlington, USA;" Department of Computer Science and Engineering, The University of Texas at Arlington, Arlington, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Apr 2020"",""2020"",""31"",""9"",""1983"",""2000"",""The workflows of the predominant datacenter services are underlaid by various Fork-Join structures. Due to the lack of good understanding of the performance of Fork-Join structures in general, today's datacenters often operate under low resource utilization to meet stringent service level objectives (SLOs), e.g., in terms of tail and/or mean latency, for such services. Hence, to achieve high resource utilization, while meeting stringent SLOs, it is of paramount importance to be able to accurately predict the tail and/or mean latency for a broad range of Fork-Join structures of practical interests. In this article, we propose a black-box Fork-Join model that covers a wide range of Fork-Join structures for the prediction of tail and mean latency, called ForkTail and ForkMean, respectively. We derive highly computational effective, empirical expressions for tail and mean latency as functions of means and variances of task response times. Our extensive testing results based on model-based and trace-driven simulations, as well as a real-world case study in a cloud environment demonstrate that the models can consistently predict the tail and mean latency within 20 and 15 percent prediction errors at 80 and 90 percent load levels, respectively, for heavy-tailed workloads, and at any load levels for light-tailed workloads. Moreover, our sensitivity analysis demonstrates that such errors can be well compensated for with no more than 7 percent resource overprovisioning. Consequently, the proposed prediction model can be used as a powerful tool to aid the design of tail-and-mean-latency guaranteed job scheduling and resource provisioning, especially at high load, for datacenter applications."",""1558-2183"","""",""10.1109/TPDS.2020.2982137"",""NSF(grant numbers:CCF XPS 1629625,CCF 1704504)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043685"",""Tail latency";mean response time;Fork Join queuing networks;"datacenter resource provisioning"",""Task analysis";Load modeling;Time factors;Servers;Predictive models;Computational modeling;"Resource management"","""",""9"","""",""52"",""IEEE"",""20 Mar 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Comment on Privacy-Preserving Scalar Product Protocols as Proposed in “SPOC”,""T. Schneider";" A. Treiber"",""Cryptography and Privacy Engineering Group (ENCRYPTO), TU Darmstadt, Darmstadt, Germany";" Cryptography and Privacy Engineering Group (ENCRYPTO), TU Darmstadt, Darmstadt, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2020"",""2020"",""31"",""3"",""543"",""546"",""Privacy-preserving scalar product (PPSP) protocols are an important building block for secure computation tasks in various applications. Lu et al. (TPDS'13) introduced a PPSP protocol that does not rely on cryptographic assumptions and that is used in a wide range of publications to date. In this comment paper, we show that Lu et al.'s protocol is insecure and should not be used. We describe specific attacks against it and, using impossibility results of Impagliazzo and Rudich (STOC'89), show that it is inherently insecure and cannot be fixed without relying on at least some cryptographic assumptions."",""1558-2183"","""",""10.1109/TPDS.2019.2939313"",""DFG"; BMBF; HMWK;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823041"",""Privacy-preserving scalar product protocols";secure computation;"oblivious transfer"",""Protocols";Privacy;Public key cryptography;Task analysis;"Encryption"","""",""7"","""",""27"",""IEEE"",""3 Sep 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Dynamic Multi–Objective Approach for Dynamic Load Balancing in Heterogeneous Systems,""A. Cabrera"; A. Acosta; F. Almeida;" V. Blanco"",""HPC Group of Universidad de La Laguna, Escuela Superior de Ingeniería y Tecnología, San Cristóbal de La Laguna, Spain"; HPC Group of Universidad de La Laguna, Escuela Superior de Ingeniería y Tecnología, San Cristóbal de La Laguna, Spain; HPC Group of Universidad de La Laguna, Escuela Superior de Ingeniería y Tecnología, San Cristóbal de La Laguna, Spain;" HPC Group of Universidad de La Laguna, Escuela Superior de Ingeniería y Tecnología, San Cristóbal de La Laguna, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""15 May 2020"",""2020"",""31"",""10"",""2421"",""2434"",""Modern standards in High Performance Computing (HPC) have started to consider energy consumption and power draw as a limiting factor. New and more complex architectures have been introduced in HPC systems to afford these new restrictions, and include coprocessors such as GPGPUs for intensive computational tasks. As systems increase in heterogeneity, workload distribution becomes a more core problem to achieve the maximum efficiency in every computational component. We present a Multi-Objective Dynamic Load Balancing (DLB) approach where several objectives can be applied to tune an application. These objectives can be dynamically exchanged during the execution of an algorithm to better adapt to the resources available in a system. We have implemented the Multi-Objective DLB together with a generic heuristic engine, designed to perform multiple strategies for DLB in iterative problems. We also present Ull Multiobjective Framework (UllMF), an open-source tool that implements the Multi-Objective generic approach. UllMF separates metric gathering, objective functions to be optimized and load balancing algorithms, and improves code portability using a simple interface to reduce the costs of new implementations. We illustrate how performance and energy consumption are improved for the implemented techniques, and analyze their quality using different DLB techniques from the literature."",""1558-2183"","""",""10.1109/TPDS.2020.2989869"",""Spanish Ministry of Science, Innovation and Universities(grant numbers:TIN2016-78919-R)"; Government of the Canary Islands(grant numbers:ProID2017010130,TESIS2017010134);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9076818"",""Dynamic load balancing";energy efficiency;iterative algorithms;"heterogeneous computing"",""Load management";Heuristic algorithms;Measurement;Linear programming;Energy consumption;Task analysis;"Optimization"","""",""6"","""",""35"",""IEEE"",""23 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A Game-Theoretical Approach for User Allocation in Edge Computing Environment,""Q. He"; G. Cui; X. Zhang; F. Chen; S. Deng; H. Jin; Y. Li;" Y. Yang"",""School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia"; School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; University of Auckland, Auckland, New Zealand; School of Information Technology, Deakin University, Geelong, Australia; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; Services Computing Technology and System Lab, Big Data Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technolgoy, HuaZhong University of Science and Technology, Wuhan Shi, China; State Key Laboratory for Novel Software Technology, Department of Computer Science and Technology, Nanjing University, Nanjing Shi, China;" School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2020"",""2020"",""31"",""3"",""515"",""529"",""Edge Computing provides mobile and Internet-of-Things (IoT) app vendors with a new distributed computing paradigm which allows an app vendor to deploy its app at hired edge servers distributed near app users at the edge of the cloud. This way, app users can be allocated to hired edge servers nearby to minimize network latency and energy consumption. A cost-effective edge user allocation (EUA) requires maximum app users to be served with minimum overall system cost. Finding a centralized optimal solution to this EUA problem is NP-hard. Thus, we propose EUAGame, a game-theoretic approach that formulates the EUA problem as a potential game. We analyze the game and show that it admits a Nash equilibrium. Then, we design a novel decentralized algorithm for finding a Nash equilibrium in the game as a solution to the EUA problem. The performance of this algorithm is theoretically analyzed and experimentally evaluated. The results show that the EUA problem can be solved effectively and efficiently."",""1558-2183"","""",""10.1109/TPDS.2019.2938944"",""Australian Research Council(grant numbers:DP170101932,DP180100212)"; National Natural Science Foundation of China(grant numbers:61772461); Natural Science Foundation of Zhejiang Province(grant numbers:LR18F020003);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8823046"",""Edge user allocation";edge server;cost-effectiveness;pay-as-you-go;game theory;Nash equilibrium;multi-tenancy;"edge computing"",""Servers";Games;Edge computing;Resource management;Nash equilibrium;Cloud computing;"Bandwidth"","""",""217"","""",""43"",""IEEE"",""3 Sep 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A General Design for a Scalable MPI-GPU Multi-Resolution 2D Numerical Solver,""M. Turchetto"; A. D. Palù;" R. Vacondio"",""Engineering and Architecture Department, University of Parma, Parma, Italy"; Mathematics Physics Computer Science Department, University of Parma, Parma, Italy;" Engineering and Architecture Department, University of Parma, Parma, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2020"",""2020"",""31"",""5"",""1036"",""1047"",""This article presents a multi-GPU implementation of a Finite-Volume solver on a multi-resolution grid. The implementation completely offloads the computation to the GPUs and communications between different GPUs are implemented by means of the Message Passing Interface (MPI) API. Different domain decomposition techniques have been considered and the one based on the Hilbert Space Filling Curves (HSFC) showed optimal scalability. Several optimizations are introduced: One-to-one MPI communications among MPI ranks are completely masked by GPU computations on internal cells and a novel dynamic load balancing algorithm is introduced to minimize the waiting times at global MPI synchronization barriers. Such algorithm adapts the computational load of ranks in response to dynamical changes in the execution time of blocks and in network performances";" Its capability to converge to a balanced computation has been empirically shown by numerical experiments. Tests exploit up to 64 GPUs and 83M cells and achieve an efficiency of 90 percent in weak scalability and 85 percent for strong scalability. The framework is general and the results of the article can be ported to a wide range of explicit 2D Partial Differential Equations solvers."",""1558-2183"","""",""10.1109/TPDS.2019.2961909"",""the Italian MIUR(grant numbers:RBSI14R1GP,D92I15000190001)"; Italian INdAM – GNCS(grant numbers:2019);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8941298"",""CUDA";multi-GPU;MPI;dynamic load balancing;hilbert space filling curves;multi-resolution grid;shallow water equations (SWE);"AMR"",""Graphics processing units";Mathematical model;Computational modeling;Load management;Numerical models;Load modeling;"Two dimensional displays"","""",""8"","""",""25"",""IEEE"",""24 Dec 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"A High Throughput B+tree for SIMD Architectures,""W. Zhang"; Z. Yan; Y. Lin; C. Zhao;" L. Peng"",""Shanghai Key Laboratory of Data Science, Institute for Big Data, and Shanghai Institute of Intelligent Electrontics & System, Software School, Fudan University, Shanghai, China"; Shanghai Key Laboratory of Data Science, Institute for Big Data, and Shanghai Institute of Intelligent Electrontics & System, Software School, Fudan University, Shanghai, China; Shanghai Key Laboratory of Data Science, Institute for Big Data, and Shanghai Institute of Intelligent Electrontics & System, Software School, Fudan University, Shanghai, China; Shanghai Key Laboratory of Data Science, Institute for Big Data, and Shanghai Institute of Intelligent Electrontics & System, Software School, Fudan University, Shanghai, China;" Division of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2020"",""2020"",""31"",""3"",""707"",""720"",""B+tree is one of the most important data structures and has been widely used in different fields. With the increase of concurrent queries and data-scale in storage, designing an efficient B+tree structure has become critical. Due to abundant computation resources, SIMD architectures provide potential opportunities to achieve high query throughput for B+tree. However, prior methods cannot achieve satisfactory performance results due to low resource utilization and poor memory performance. In this paper, we first identify the gaps between B+tree and SIMD architectures. Concurrent B+tree queries involve many global memory accesses and different divergences, which mismatch with SIMD architecture features. Based on this observation, we propose Harmonia, a novel B+tree structure to bridge the gaps. In Harmonia, a B+tree structure is divided into a key region and a child region. The key region stores the nodeswith its keys in a breadth-first order. The child region is organized as a prefix-sum array, which only stores each node's first child index in the key region. Since the prefix-sum child region is small and the children's index can be retrieved through index computations, most of it can be stored in on-chip caches, which can achieve good cache locality. To make it more efficient, Harmonia also includes two optimizations: partially-sorted aggregation and narrowed thread-group traversal, which can mitigate memory and execution divergence and improve resource utilization. Evaluations on a 28-core INTEL CPU show that Harmonia can achieve up to 207 million queries per second, which is about 1.7X faster than that of CPU-based HB+Tree, a recent state-of-the-art solution. And on a Volta TITAN V GPU, it can achieve up to 3.6 billion queries per second, which is about 3.4X faster than that of GPU-based HB+Tree."",""1558-2183"","""",""10.1109/TPDS.2019.2942918"",""National Natural Science Foundation of China(grant numbers:61672160)"; Shanghai Municipal Science and Technology Major Project(grant numbers:2018SHZDZX01); Shanghai Technology Development and Entrepreneurship Platform for Neuromorphic and AI SoC;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846100"",""SIMD";B+tree;"high-throughput"",""Indexes";Throughput;Resource management;Vegetation;Memory management;"Data structures"","""",""6"","""",""52"",""IEEE"",""23 Sep 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Highly Reliable Metadata Service for Large-Scale Distributed File Systems,""J. Zhou"; Y. Chen; W. Wang; S. He;" D. Meng"",""Chinese Academy of Sciences, Beijing, China"; Department of Computer Science, Texas Tech University, Lubbock, USA; Chinese Academy of Sciences, Beijing, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China;" Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jan 2020"",""2020"",""31"",""2"",""374"",""392"",""Many massive data processing applications nowadays often need long, continuous, and uninterrupted data accesses. Distributed file systems are used as the back-end storage to provide the global namespace management and reliability guarantee. Due to increasing hardware failures and software issues with the growing system scale, metadata service reliability has become a critical issue as it has a direct impact on file and directory operations. Existing metadata management mechanisms can provide fault tolerance capability to some level but are inadequate. They often have limitations in system availability, state consistence, and performance overhead and lack an effective mechanism to offer metadata reliability. This paper introduces a novel highly reliable metadata service to address these issues in large-scale file systems. Different from traditional strategies, this proposed reliable metadata service adopts a new active-standby architecture for fault tolerance and uses a holistic approach to improve file system availability. A new shared storage pool (SSP) is designed for transparent metadata synchronization and replication between active and standby servers. Based on the SSP, a new policy called multiple actives multiple standbys (MAMS) is presented to perform metadata service recovery in case of failures. A new global state recovery strategy and a smart client fault tolerance mechanism are achieved to maintain the continuity of metadata service. We have implemented such highly reliable metadata service in a prototype file system CFS (Clover file system) and conducted extensive tests to evaluate it. Experimental results confirm that it can significantly improve file system reliability with fast failover under different failure scenarios while having negligible influence on performance. Compared with typical reliability designs in Hadoop Avatar, Hadoop HA, and Boom-FS file systems, the mean-time-to-recovery (MTTR) with the highly reliable metadata service was reduced by 80.23, 65.46 and 28.13 percent, respectively."",""1558-2183"","""",""10.1109/TPDS.2019.2937492"",""Beijing Municipal Science and Technology Commission(grant numbers:Z191100007119002)"; National Science Foundation(grant numbers:CNS-1338078,CNS-1362134,CCF-1409946,CCF-1718336,OAC-1835892,CNS-1817094); National Natural Science Foundation of China(grant numbers:61572377); Natural Science Foundation of Hubei Province(grant numbers:2017CFC889); Fundamental Research Funds for the Central Universities(grant numbers:2018QNA5015);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812918"",""Distributed file systems";metadata service;metadata reliability;fault tolerance;"shared metadata storage"",""Metadata";Servers;Protocols;Synchronization;Fault tolerance;"Fault tolerant systems"","""",""9"","""",""61"",""IEEE"",""26 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Holistic Heterogeneity-Aware Data Placement Scheme for Hybrid Parallel I/O Systems,""S. He"; Z. Li; J. Zhou; Y. Yin; X. Xu; Y. Chen;" X. -H. Sun"",""College of Computer Science and Technology, Zhejiang University, Hangzhou, China"; Computer Science Program, School of Business, Stockton University, Galloway, USA; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Zhejiang Lab, Intelligent Computing System Research Center, Institute of Artificial Intelligence, Hangzhou, China; Department of Computer Science, Kennesaw State University, Kennesaw, USA; Department of Computer Science, Texas Tech University, Lubbock, USA;" Department of Computer Science, Illinois Institute of Technology, Chicago, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2020"",""2020"",""31"",""4"",""830"",""842"",""We present H2DP, a holistic heterogeneity-aware data placement scheme for hybrid parallel I/O systems, which consist of HDD servers and SSD servers. Most of the existing approaches focus on server performance or application I/O pattern heterogeneity in data placement. H2DP considers three axes of heterogeneity: server performance, server space, and application I/O pattern. More specifically, H2DP determines the optimized stripe sizes on servers based on server performance, keeps only critical data on all hybrid servers and the rest data on HDD servers, and dynamically migrates data among different types of servers at run-time. This holistic heterogeneity-awareness enables H2DP to achieve high performance by alleviating server load imbalance, efficiently utilizing SSD space, and accommodating application pattern variation. We have implemented a prototype of H2DP under MPICH2 atop OrangeFS. Extensive experimental results demonstrate that H2DP significantly improve I/O system performance compared to existing data placement schemes."",""1558-2183"","""",""10.1109/TPDS.2019.2948901"",""National Natural Science Foundation of China(grant numbers:61572377)"; Natural Science Foundation of Hubei Province(grant numbers:2017CFC889); Fundamental Research Funds for the Central Universities(grant numbers:2018QNA5015); Zhejiang Lab Research Project(grant numbers:2019KC0AC01);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880508"",""Parallel I/O system";parallel file system;hybrid parallel file system;data placement;"solid state drive"",""Servers";System performance;Bandwidth;Computer science;Distributed databases;Sun;"File systems"","""",""7"","""",""50"",""IEEE"",""24 Oct 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"A Hybrid Update Strategy for I/O-Efficient Out-of-Core Graph Processing,""X. Xu"; F. Wang; H. Jiang; Y. Cheng; D. Feng;" Y. Zhang"",""Wuhan National Laboratory for Optoelectronics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; Wuhan National Laboratory for Optoelectronics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Department of Computer Science and Engineering, University of Texas at Arlington, Arlington, USA; College of Mathematics and Computer Science, Fuzhou University, Fuzhou, China; Wuhan National Laboratory for Optoelectronics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China;" Wuhan National Laboratory for Optoelectronics, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Mar 2020"",""2020"",""31"",""8"",""1767"",""1782"",""In recent years, a number of out-of-core graph processing systems have been proposed to process graphs with billions of edges on just one commodity computer, due to their high cost efficiency. To obtain a better performance, these systems adopt a full I/O model that scans all edges during the computation to avoid the inefficiency of random I/Os. Although this model ensures good I/O access locality, it leads to a large number of useless edges to be loaded when running graph algorithms that only access a small portion of edges in each iteration. An intuitive method to solve this I/O inefficiency problem is the on-demand I/O model that only accesses the active edges. However, this method only works well for the graph algorithms with very few active edges, since the I/O cost will grow rapidly as the number of active edges increases due to the increasing amount of random I/Os. In this article, we present HUS-Graph, an efficient out-of-core graph processing system to address the above I/O issues and achieve a good balance between I/O traffic and I/O access locality. HUS-Graph adopts a hybrid update strategy including two update models, Row-oriented Push (ROP) and Column-oriented Pull (COP). It supports switching between ROP and COP adaptively, for the graph algorithms that have different computation and I/O features. For traversal-based algorithms, HUS-Graph also provides an immediate propagation-based vertex update scheme to accelerate the vertex state propagation and convergence speed. Furthermore, HUS-Graph adopts a locality-optimized dual-block representation to organize graph data and an I/O-based performance prediction method to enable the system to dynamically select the optimal update model between ROP and COP. To save the disk space and further reduce I/O traffic, HUS-Graph implements a space-efficient storage format by combining several graph compression methods. Extensive experimental results show that HUS-Graph outperforms two existing out-of-core systems GraphChi and GridGraph by 1.2x-52.8x."",""1558-2183"","""",""10.1109/TPDS.2020.2973143"",""National Defense Preliminary Research Project(grant numbers:31511010202)"; National Natural Science Foundation of China(grant numbers:61832020,61772216,61821003,U1705261); Wuhan application basic research(grant numbers:2017010201010103); Hubei province technical innovation special Project(grant numbers:2017AAA129); Fundamental Research Funds for the Central Universities; Wuhan National Laboratory for Optoelectronics(grant numbers:2018WNLOKF006);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8994089"",""Graph processing";out-of-core;I/O;"hybrid update strategy"",""Adaptation models";Load modeling;Data models;Computational modeling;Switches;Computer science;"Loading"","""",""6"","""",""42"",""IEEE"",""11 Feb 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"A Novel Low Cost Interconnection Architecture Based on the Generalized Hypercube,""G. Wang"; C. -K. Lin; J. Fan; B. Cheng;" X. Jia"",""School of Computer Science and Technology, Soochow University, Suzhou, China"; College of Mathematics and Computer Science, Fuzhou University, Fuzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China; School of Computer Science and Technology, Soochow University, Suzhou, China;" Department of Computer Science, City University of Hong Kong, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2020"",""2020"",""31"",""3"",""647"",""662"",""The generalized hypercube (GH) is one key interconnection network with excellent topological properties. It contains many other interconnection topologies, such as the hypercube network, the complete graph, the mesh network, and the k-ary n-cube network. It can also be used to construct some data center networks, such as HyperX, BCube, FBFLY, and SWCube. However, the construction cost of GH is high since it contains too many links. In this paper, we propose a novel low cost interconnection architecture called the exchanged generalized hypercube (EGH). We study the properties of EGH, such as the number of edges, the degree of vertices, connectivity, diameter, and diagnosability. Then, we give a routing algorithm to find the shortest path between any two distinct vertices of EGH. Furthermore, we design an algorithm to give disjoint paths between any two distinct vertices of EGH. In addition, we propose two local diagnosis algorithms: LDTEGH and LDWBEGH in EGH under PMC model and MM model, respectively. Simulation results demonstrate that even if the proportion of faulty vertices in EGH is up to 25 percent, the probability that these two diagnosis algorithms can successfully determine the status of vertices is more than 90 percent. As far as the number of edges is concerned, the analysis shows that the construction cost of EGH is much less than that of GH. We could regard this work as the basis for proposing future new high performance topologies."",""1558-2183"","""",""10.1109/TPDS.2019.2941207"",""National Natural Science Foundation of China(grant numbers:61572337,61872257)"; Natural Science Research of Jiangsu Higher Education Institutions of China(grant numbers:18KJA520009); Application Foundation Research of Suzhou of China(grant numbers:SYG201653); Priority Academic Program Development of Jiangsu Higher Education Institutions;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836112"",""Exchanged generalized hypercube";low cost;local diagnosis;disjoint path;"routing"",""Hypercubes";Routing;Network topology;Topology;Program processors;"Fault tolerance"","""",""19"","""",""43"",""IEEE"",""13 Sep 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
