"3D Perception With Slanted Stixels on GPU,""D. Hernandez-Juarez"; A. Espinosa; D. Vazquez; A. M. Lopez;" J. C. Moure"",""SLAMcore Ltd., London, SE1 1JA, U.K."; Universitat Autonoma de Barcelona, Bellaterra, Spain; Element AI, Montreal, QC, Canada; Universitat Autonoma de Barcelona, Bellaterra, Spain;" Universitat Autonoma de Barcelona, Bellaterra, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Apr 2021"",""2021"",""32"",""10"",""2434"",""2447"",""This article presents a GPU-accelerated software design of the recently proposed model of Slanted Stixels, which represents the geometric and semantic information of a scene in a compact and accurate way. We reformulate the measurement depth model to reduce the computational complexity of the algorithm, relying on the confidence of the depth estimation and the identification of invalid values to handle outliers. The proposed massively parallel scheme and data layout for the irregular computation pattern that corresponds to a Dynamic Programming paradigm is described and carefully analyzed in performance terms. Performance is shown to scale gracefully on current generation embedded GPUs. We assess the proposed methods in terms of semantic and geometric accuracy as well as run-time performance on three publicly available benchmark datasets. Our approach achieves real-time performance with high accuracy for 2048 × 1024 image sizes and 4 × 4 Stixel resolution on the low-power embedded GPU of an NVIDIA Tegra Xavier."",""1558-2183"","""",""10.1109/TPDS.2021.3067836"",""Ministerio de Economía, Industria y Competitividad(grant numbers:TIN2017-84553-C2-1-R)"; Antonio M. López(grant numbers:TIN2017-88709-R);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382880"",""Stereo vision";stixel world;autonomous vehicles;scene understanding;computer vision;embedded systems;"GPU acceleration"",""Graphics processing units";Semantics;Computational modeling;Real-time systems;Mathematical model;Image segmentation;"Indexes"","""","""","""",""34"",""CCBY"",""22 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Case for Pricing Bandwidth: Sharing Datacenter Networks With Cost Dominant Fairness,""L. Chen"; Y. Feng; B. Li;" B. Li"",""School of Computing and Informatics, University of Louisiana at Lafayette, Lafayette, LA, USA"; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada;" Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Jan 2021"",""2021"",""32"",""5"",""1256"",""1269"",""Unlike other resources such as CPU or memory in a virtual machine, inter-virtual-machine (inter-VM) bandwidth has not been explicitly priced in datacenter networks. In this article, we argue that tenants of an IaaS cloud computing platform should be given the flexibility to pay more for explicitly priced datacenter bandwidth beyond traditional virtual machines, in order to achieve better (or more predictable) application performance. We show that a much simpler design principle can be followed to allocate bandwidth fairly, and desirable properties related to fairness can be more easily achieved, compared with state-of-the-art proposals. We call such a design principle cost dominant fairness, which stipulates that bandwidth should be allocated based on the total cost that a tenant incurs for running its applications in the cloud. Guided by the principle of cost dominant fairness, we explore the design space of pricing inter-VM bandwidth, as well as achieving fair bandwidth sharing among multiple tenants. Through our study, we believe that it is best to assign per-VM-pair weights based on individualized prices. We present a distributed bandwidth allocation algorithm that is theoretically supported by a network utility maximization formulation, and practically implemented as a shim layer at each virtual machine. We are also concerned with practical issues of billing, where discounts are needed to ensure that a tenant only pays for the bandwidth share that it is allocated. Finally, we have evaluated our pricing framework and per-VM-pair weighted fair bandwidth allocation in the Mininet emulation testbed and simulations."",""1558-2183"","""",""10.1109/TPDS.2020.3045709"",""BoRSF-RCS(grant numbers:LEQSF(2019-22)-RD-A-21)"; RGC GRF(grant numbers:16206417,16207818);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9298928"",""Datacenter networks";bandwidth allocation;fairness;"pricing"",""Bandwidth";Pricing;Cloud computing;Virtual machining;Space exploration;Resource management;"Channel allocation"","""",""5"","""",""40"",""IEEE"",""18 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"A Distributed Framework for EA-Based NAS,""Q. Ye"; Y. Sun; J. Zhang;" J. Lv"",""School of Computer Science, Sichuan University, Chengdu, China"; School of Computer Science, Sichuan University, Chengdu, China; School of Computer Science, Sichuan University, Chengdu, China;" State Key Laboratory of Hydraulics and Mountain River Engineering, School of Computer Science, Sichuan University, Chengdu, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1753"",""1764"",""Evolutionary Algorithms (EA) are widely applied in Neural Architecture Search (NAS) and have achieved appealing results. Different EA-based NAS algorithms may utilize different encoding schemes for network representation, while they have the same workflow. Specifically, the first step is the initialization of the population with different encoding schemes, and the second step is the evaluation of the individuals by the fitness function. Then, the EA-based NAS algorithm executes evolution operations, e.g., selection, mutation, and crossover, to eliminate weak individuals and generate more competitive ones. Lastly, evolution continues until the max generation and the best neural architectures will be chosen. Because each individual needs complete training and validation on the target dataset, the EA-based NAS always consumes significant computation and time inevitably, which results in the bottleneck of this approach. To ameliorate this issue, this article proposes a distributed framework to boost the computation of the EA-based NAS algorithm. This framework is a server/worker model where the server distributes individuals requested by the computing nodes and collects the validated individuals and hosts the evolution operations. Meanwhile, the most time-consuming phase (i.e., individual evaluation) of the EA-based NAS is allocated to the computing nodes, which send requests asynchronously to the server and evaluate the fitness values of the individuals. Additionally, a new packet structure of the message delivered in the cluster is designed to encapsulate various network representations and support different EA-based NAS algorithms. We design an EA-based NAS algorithm as a case to investigate the efficiency of the proposed framework. Extensive experiments are performed on an illustrative cluster with different scales, and the results reveal that the framework can achieve a nearly linear reduction of the search time with the increase of the computational nodes. Furthermore, the length of the exchanged messages among the cluster is tiny, which benefits the framework expansion."",""1558-2183"","""",""10.1109/TPDS.2020.3046774"",""National Key R&D Program of China(grant numbers:YFB1002201)"; National Natural Science Fund for Distinguished Young Scholar(grant numbers:61625204); National Science Foundation of China(grant numbers:61836006);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305984"",""Distributed framework";evolutionary algorithm (EA);neural architecture search (NAS);"evolutionary neural networks"",""Computer architecture";Training;Statistics;Sociology;Neural networks;Clustering algorithms;"Servers"","""",""8"","""",""61"",""IEEE"",""23 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A Fault-Tolerant Distributed Framework for Asynchronous Iterative Computations,""T. Zhou"; L. Gao;" X. Guan"",""Department of Computer Science and Technology, Xi'an Jiaotong University, Xi'an, China"; Department of Electrical and Computer Engineering, University of Massachusetts Amhers, Amherst, MA, USA;" Systems Engineering Instituteg, Xi'an Jiaotong University, Xi'an, China"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Mar 2021"",""2021"",""32"",""8"",""2062"",""2073"",""Asynchronous iterative computations (AIC) are common in machine learning and data mining systems. However, the lack of synchronization barriers in asynchronous processing brings challenges for continuous processing while workers might fail. There is no global synchronization point that all workers can roll back to. In this article, we propose a fault-tolerant framework for asynchronous iterative computations (FAIC). Our framework takes a virtual snapshot of the AIC system without halting the computation of any worker. We prove that the virtual snapshot capture by FAIC can recover the AIC system correctly. We evaluate our FAIC framework on two existing AIC systems, Maiter and NOMAD. Our experiment result shows that the checkpoint overhead of FAIC is more than 50 percent shorter than the synchronous checkpoint method. FAIC is around 10 percent faster than other asynchronous snapshot algorithms, such as the Chandy-Lamport algorithm. Our experiments on a large cluster demonstrate that FAIC scales with the number of workers."",""1558-2183"","""",""10.1109/TPDS.2021.3059420"",""National Science Foundation(grant numbers:CNS-1815412,CNS-1908536)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354533"",""Fault-tolerance";cloud computing;asynchronous iterative computation;"asynchronous snapshot"",""Computational modeling";Synchronization;Servers;Transient analysis;Fault tolerant systems;Fault tolerance;"Data models"","""","""","""",""26"",""IEEE"",""15 Feb 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Game-Based Approach for Cost-Aware Task Assignment With QoS Constraint in Collaborative Edge and Cloud Environments,""S. Long"; W. Long; Z. Li; K. Li; Y. Xia;" Z. Tang"",""Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent Network, School of Computer Science, Xiangtan University, Xiangtan, Hunan, China"; Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent Network, School of Computer Science, Xiangtan University, Xiangtan, Hunan, China; Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent Network, School of Computer Science, Xiangtan University, Xiangtan, Hunan, China; College of Information Science and Engineering, Hunan University; School of Automation, Beijing Institute of Technology, Beijing, China;" College of Information Science and Engineering, Hunan University"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1629"",""1640"",""With the development of the Internet of Things, the data that needs to be processed is increasing rapidly. Therefore, the collaboration of cloud and edge emerges as the times require. Edge nodes are mainly responsible for collecting data, and decide to process the data locally or offload to cloud data centers. Cloud data centers are suitable for data analysis, model training, and managing edge nodes. In this article, we focus on the task assignment problems in collaborative edge and cloud environments and study it in a distributed, non-cooperative environment. An M/M/1 queueing model is established to characterize the task transmission. Because of the multi-core processors, we set an M/M/C queueing model to characterize the task computation. We consider the problem from the perspective of game theory and formulate it into a non-cooperative game among multi-agents (multiple edge data centers) in which each agent is informed with incomplete information (allocation strategies) of others. For each agent, we define a function of the expected cost of tasks as the disutility function, and minimize it subject to the QoS constraint. We analyze the existence of Nash equilibrium and develop a Greedy Energy-aware Algorithm (GEA) to choose active servers using the Limit Searching Algorithm (LSA) to find the ceiling utilization. Then we propose the Best Response Algorithm (BRA) to optimize the utility function. The convergence of the BRA algorithm has been discussed. Finally, the results demonstrate that the BRA algorithm can get a solution close to Nash equilibrium and reach it quickly."",""1558-2183"","""",""10.1109/TPDS.2020.3041029"",""National Key Research and Development Program of China(grant numbers:2018YFB1003702)"; National Natural Science Foundation of China(grant numbers:62032020); Hunan Science and Technology Planning Project(grant numbers:2019RS3019); Hunan Provincial Natural Science Foundation of China for Distinguished Young Scholars(grant numbers:2018JJ1025); Hunan Province Department of Education(grant numbers:18C0107); National Natural Science Foundation of China(grant numbers:61502407,62076214); Natural Science Foundation of Hunan(grant numbers:2019JJ50618); Hunan Province Science and Technology Project(grant numbers:2018TP1036); Xiangtan University(grant numbers:11kz/kz08057);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9272869"",""Data centers";game theory;mutliple agent system;QoS constraint;"queueing system"",""Task analysis";Servers;Cloud computing;Quality of service;Energy consumption;Games;"Data centers"","""",""36"","""",""41"",""IEEE"",""27 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"A Generic Stochastic Model for Resource Availability in Fog Computing Environments,""S. K. Battula"; M. M. O'Reilly; S. Garg;" J. Montgomery"",""School of Information and Communication Technology, College of Sciences and Engineering, University of Tasmania, Hobart, Australia"; School of Natural Sciences, College of Sciences and Engineering, University of Tasmania, Hobart, Australia; School of Information and Communication Technology, College of Sciences and Engineering, University of Tasmania, Hobart, Australia;" School of Information and Communication Technology, College of Sciences and Engineering, University of Tasmania, Hobart, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Dec 2020"",""2021"",""32"",""4"",""960"",""974"",""Fog computing is an increasingly popular method with which to process the huge amount of data generated by the Internet of Things (IoT) devices and applications at the edge-level, using the heterogeneous autonomous end-devices of the participating users. To meet the requirements of the IoT and time-sensitive applications, a Fog computing platform needs to select appropriate resources, the availability of which can be guaranteed during the execution of the application. For the proper selection of resources, the platform must be able to predict future availability. Hence, a proper resource availability model which provides knowledge about the future availability of resources in the Fog computing environment is required. However, designing an efficient resource availability model, in a highly distributed and mobile environment like the Fog, is a complex task due to the multidimensional characteristics of Fog devices, such as mobility, lack of centralised control, limited resources, and being battery powered. Existing resource availability models did not consider all the characteristics of a real Fog environment. Therefore, this study aims to provide a generic continuous-time Markov chain (CTMC), based resource availability model for Fog computing environments. The applicability of the model is shown by integrating the model input with the nearest-location best fit (NLBF) and Best-Fit resource selection policies."",""1558-2183"","""",""10.1109/TPDS.2020.3037247"",""Australian Research Council(grant numbers:LP140100152)"; ARC Center of Excellence for Mathematical and Statistical Frontiers;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253552"",""Fog computing";resource availability;stochastic model;Markov chain;"mobility and Internet of Things"",""Computational modeling";Edge computing;Mathematical model;Cloud computing;Internet of Things;Stochastic processes;"Dynamic scheduling"","""",""13"","""",""29"",""IEEE"",""10 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"A GPU Acceleration Framework for Motif and Discord Based Pattern Mining,""B. Zhu"; Y. Jiang; M. Gu;" Y. Deng"",""School of Software, Tsinghua University, Beijing, China"; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China;" School of Software, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Feb 2021"",""2021"",""32"",""8"",""1987"",""2004"",""With the fast digitalization of our society, mining patterns from large time series data is increasingly becoming a critical problem for a wide range of big data applications. Motif and discord discovery algorithms, which offer effective solutions to identify repeatedly appearing and abnormal patterns, respectively, are fundamental building blocks for time series processing. Both approaches, however, can be time extremely consuming when handling large time series due to the subsequence-based computations of distance similarity metrics. In this article, we show that the highly involved subsequence-based computations can actually be decomposed into a few fine-grained computing patterns for efficient data parallel computing. By developing highly efficient GPU algorithms for such basic patterns and effectively composing such patterns, we are able to solve both motif and discord discovery problems under euclidean and DTW distance metrics in a unified GPU acceleration framework. Extensive experiments prove that the proposed framework outperforms pruned CPU algorithms by up to three orders of magnitude. Our work paves the foundation of building GPU acceleration frameworks for large-scale time series datasets."",""1558-2183"","""",""10.1109/TPDS.2021.3055765"",""National Key Research and Development Program of China(grant numbers:2018YFB1702600)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343677"",""Time series";pattern mining;motif;discord;dynamic time warping (DTW);euclidean distance;GPU;"acceleration"",""Lenses";Time series analysis;Graphics processing units;Euclidean distance;Data mining;Acceleration;"Force"","""",""7"","""",""33"",""IEEE"",""1 Feb 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A High-Throughput FPGA Accelerator for Short-Read Mapping of the Whole Human Genome,""Y. -L. Chen"; B. -Y. Chang; C. -H. Yang;" T. -D. Chiueh"",""Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan"; Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan; Department of Electrical Engineering, Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan;" Department of Electrical Engineering, Graduate Institute of Electronics Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Feb 2021"",""2021"",""32"",""6"",""1465"",""1478"",""The mapping of DNA subsequences to a known reference genome, referred to as “short-read mapping”, is essential for next-generation sequencing. Hundreds of millions of short reads need to be aligned to a tremendously long reference sequence, making short-read mapping very time consuming. In this article, a high-throughput hardware accelerator is proposed so as to accelerate this task. A Bloom filter-based candidate mapping location (CML) generator and a folded processing element (PE) array are proposed to address CML selection and the Smith-Waterman (SW) alignment algorithm, respectively. It is shown that the proposed CML generator reduces the required memory access by 40 percent by employing a down-sampling scheme when compared to the Ferragina-Manzini index (FM-index) solution. The proposed hierarchical Bloom filter (HBF) that includes optimized parameters achieves a 1.5×104 times acceleration over the conventional Bloom filter. The proposed memory re-allocation scheme further reduces the memory access time for the HBF by a factor of 256. The proposed folded PE array delivers a 1.2-to-3.2 times higher giga cell updates per second (GCUPS). The processing time can be further reduced by 53-to-72 percent by employing a fully pipelined PE array that allows for a tailored shift amount for seeding. The accelerator is realized on a Stratix V GX FPGA with 16GB external SDRAM. Operated at 200MHz, the proposed FPGA accelerator delivers a 2.1-to-11 times higher throughput with the highest 99 percent accuracy and 98 percent sensitivity compared to the state-of-the-art FPGA-based solutions."",""1558-2183"","""",""10.1109/TPDS.2021.3051011"",""Ministry of Science and Technology(grant numbers:NSC99-2221-E-002-208-MY2,MOST 108-2218-E-002-060)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320533"",""DNA sequencing";Bloom filter;short-read mapping;Smith-Waterman alignment;"FPGA implementation"",""Genomics";Bioinformatics;Indexes;Field programmable gate arrays;DNA;Generators;"Sequential analysis"","""",""10"","""",""46"",""IEEE"",""12 Jan 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"A Hybrid Fuzzy Convolutional Neural Network Based Mechanism for Photovoltaic Cell Defect Detection With Electroluminescence Images,""C. Ge"; Z. Liu; L. Fang; H. Ling; A. Zhang;" C. Yin"",""College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China"; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China;" College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1653"",""1664"",""In the intelligent manufacturing process of solar photovoltaic (PV) cells, the automatic defect detection system using the Industrial Internet of Things (IIoT) smart cameras and sensors cooperated in IIoT has become a promising solution. Many works have been devoted to defect detection of PV cells in a data-driven way. However, because of the subjectivity and fuzziness of human annotation, the data contains a high quantity of noise and unpredictable uncertainties, which creates great difficulties in automatic defect detection. To address this problem, we propose a novel architecture named fuzzy convolution, which integrates fuzzy logic and convolution operations at microscopic level. Combining the proposed fuzzy convolution with the regular convolution, we build a network called Hybrid Fuzzy Convolutional Neural Network (HFCNN). Compared with convolutional neural networks (CNNs), HFCNN can address the uncertainties of PV cell data to improve the accuracy with fewer parameters, making it possible to apply our method in smart cameras. Experimental results on a public dataset show the superiority of our proposed method compared with CNNs."",""1558-2183"","""",""10.1109/TPDS.2020.3046018"",""National Natural Science Foundation of China(grant numbers:62032025,62076125,U20B2050)"; National Science Foundation for Post-doctoral Scientists of China(grant numbers:2019M651826); Natural Science Foundation of Jiangsu Province(grant numbers:BK20180421);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9301240"",""Convolutional neural network";photovoltaic cell;defect detection;fuzzy logic;"fuzzy inference"",""Fuzzy logic";Convolution;Feature extraction;Uncertainty;Computer architecture;Deep learning;"Smart cameras"","""",""9"","""",""52"",""IEEE"",""21 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Machine-Learning-Based Framework for Productive Locality Exploitation,""E. Kayraklioglu"; E. Favry;" T. El-Ghazawi"",""Hewlett Packard Enterprise Company, San Jose, CA, USA"; Université Paris-Est, Champs-sur-Marne, France;" George Washington University, DC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2021"",""2021"",""32"",""6"",""1409"",""1424"",""Data locality is of extreme importance in programming distributed-memory architectures due to its implications on latency and energy consumption. Automated compiler and runtime system optimization studies have attempted to improve data locality exploitation without burdening the programmer. However, due to the difficulty of static code analysis, conservatism in compiler optimizations to avoid errors, and cost of dynamic analysis, the efficacy of automated optimizations is limited. Therefore, programmers need to spend significant effort in optimizing locality while creating applications for distributed memory parallel systems. We present a machine-learning based framework to automatically exploit locality in distributed memory applications. This framework takes application source whose time-critical blocks are marked by pragmas, and produces optimized source code that uses a regressor for efficient data movement. The regressor is trained with automatically-collected application profiles with very small input data sizes. We integrate our prototype in the Chapel language stack. In our experiments, we show that the Elastic Net model is the ideal regressor for our case and applications that utilize Elastic Net can perform very similarly to programmer-optimized versions. We also show that such regressors can be trained within few minutes on a cluster or within 30 minutes on a workstation, including data collection."",""1558-2183"","""",""10.1109/TPDS.2021.3051348"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9321696"",""Data locality";distributed memory;programming models;"machine learning"",""Optimization";Reactive power;Programming;Runtime;Program processors;Productivity;"Prefetching"","""",""2"","""",""49"",""IEEE"",""13 Jan 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Parallel Jacobi-Embedded Gauss-Seidel Method,""A. Ahmadi"; F. Manganiello; A. Khademi;" M. C. Smith"",""Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA"; School of Mathematical and Statistical Sciences, Clemson University, Clemson, SC, USA.; Department of Industrial Engineering, Clemson University, Clemson, SC, USA;" Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 Feb 2021"",""2021"",""32"",""6"",""1452"",""1464"",""A broad range of scientific simulations involve solving large-scale computationally expensive linear systems of equations. Iterative solvers are typically preferred over direct methods when it comes to large systems due to their lower memory requirements and shorter execution times. However, selecting the appropriate iterative solver is problem-specific and dependent on the type and symmetry of the coefficient matrix. Gauss-Seidel (GS) is an iterative method for solving linear systems that are either strictly diagonally dominant or symmetric positive definite. This technique is an improved version of Jacobi and typically converges in fewer iterations. However, the sequential nature of this algorithm complicates the parallel extraction. In fact, most parallel derivatives of GS rely on the sparsity pattern of the coefficient matrix and require matrix reordering or domain decomposition. In this article, we introduce a new algorithm that exploits the convergence property of GS and adapts the parallel structure of Jacobi. The proposed method works for both dense and sparse systems and is straightforward to implement. We have examined the performance of our method on multicore and many-core architectures. Experimental results demonstrate the superior performance of the proposed algorithm compared with GS and Jacobi. Additionally, performance comparison with built-in Krylov solvers in MATLAB showed that in terms of time per iteration, Krylov methods perform faster on CPUs, but our approach is significantly better when executed on GPUs. Lastly, we apply our method to solve the power flow problem, and the results indicate a significant improvement in runtime, reaching up to 87 times faster speed compared with GS."",""1558-2183"","""",""10.1109/TPDS.2021.3052091"",""NSF-MRI(grant numbers:1725573)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9325945"",""Linear systems";iterative methods;parallel;PJG;Gauss-Seidel;Jacobi;Krylov;SpMV performance;"power flow"",""Jacobian matrices";Convergence;Matrix decomposition;Sparse matrices;Mathematical model;Linear systems;"Multicore processing"","""",""6"","""",""41"",""IEEE"",""15 Jan 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
