"$run$ runData: Re-Distributing Data via Piggybacking for Geo-Distributed Data Analytics Over Edges,""Y. Jin"; Z. Qian; S. Guo; S. Zhang; L. Jiao;" S. Lu"",""Department of Computer Science and Technology, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China"; Department of Computer Science and Technology, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; Department of Computer Science and Technology, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; Department of Computer and Information Science, University of Oregon, Eugene, OR, USA;" Department of Computer Science and Technology, State Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jun 2021"",""2022"",""33"",""1"",""40"",""55"",""Efficiently analyzing geo-distributed datasets is emerging as a major demand in a cloud-edge system. Since the datasets are often generated in closer proximity to end users, traditional works mainly focus on offloading proper tasks from those hotspot edges to the datacenter to decrease the overall completion time of submitted jobs in a one-shot manner. However, optimizing the completion time of current job alone is insufficient in a long-term scope since some datasets would be used multiple times. Instead, optimizing the data distribution is much more efficient and could directly benefit forthcoming jobs, although it may postpone the execution of current one. Unfortunately, due to the throwaway feature of data fetcher, existing data analytics systems fail to re-distribute corresponding data out of hotspot edges after the execution of data analytics. In order to minimize the overall completion time for a sequence of jobs as well as to guarantee the performance of current one, we propose to re-distribute the data along with task offloading, and formulate corresponding ε-bounded data-driven task scheduling problem over wide area network under the consideration of edge heterogeneity. We design an online schema run Data, which offloads proper tasks and related data via piggybacking to the datacenter based on delicately calculated probabilities. Through rigorous theoretical analysis, run Data is proved concentrated on its optimum with high probability. We implement run Data based on Spark and HDFS. Both testbed results and trace-driven simulations show that run Data re-distributes proper data via piggybacking and achieves up to 37 percent reduction on average response time compared with state-of-the-art schemas."",""1558-2183"","""",""10.1109/TPDS.2021.3086274"",""National Key Research and Development Program of China(grant numbers:2017YFB1001801)"; National Science Foundation of China(grant numbers:61832005,61872175); Ripple Faculty Fellowship; Natural Science Foundation of Jiangsu Province(grant numbers:BK20181252); Collaborative Innovation Center of Novel Software Technology and Industrialization; Nanjing University Innovation and Creative Program(grant numbers:CXCY19-25); Hong Kong RGC Research Impact Fund(grant numbers:R5060-19,R5034-18); General Research Fund(grant numbers:152221/19E,15220320/20E); Collaborative Research Fund(grant numbers:C5026-18G); National Natural Science Foundation of China(grant numbers:61872310); Shenzhen Science and Technology Innovation Commission(grant numbers:R2020A045);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9446574"",""Cloud-edge system";data re-distribution;heterogeneity;"online schema"",""Task analysis";Data analysis;Wide area networks;Data models;Servers;Optimization;"Videos"","""",""1"","""",""67"",""IEEE"",""3 Jun 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"$TC-Stream$TC-Stream: Large-Scale Graph Triangle Counting on a Single Machine Using GPUs,""J. Huang"; H. Wang; X. Fei; X. Wang;" W. Chen"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Technology and Appications, Qinghai University, Qinghai, China;" Department of Information Technology Center, Qinghai University, Qinghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""25 May 2022"",""2022"",""33"",""11"",""3067"",""3078"",""In this paper, we build a $TC$TC-$Stream$Stream, a high-performance graph processing system specific for a triangle counting algorithm on graph data with up to tens of billions of edges, which significantly exceeds the device memory capacity of Graphics Processing Units (GPUs). The triangle counting problem is a broad research topic in data mining and social network analysis in the graph processing field. As the scale of the graph data grows, a portion of the graph data must be loaded iteratively. In the existing literature, graphs with billions of edges need to be done distributively, which is cost-intensive. Also, many disk-based triangle counting systems are proposed for CPU architectures, but their tackling performances are inefficient. To solve the above problem, we propose $TC$TC-$Stream$Stream, and it focuses on three issues: 1) For power-law graphs, because the amount of tasks of each vertex or edge is inconsistent, it is bound to cause different demands of computing and memory resources for different task types. We propose a parallel vertex approach and the reordering of vertices for graph data that can be placed in the GPU device memory to ensure the maximum workload balancing"; 2) A binary-search-based set intersection method is designed to achieve the maximum parallelism in GPU;" 3) For the graph data that exceeds the GPU device memory capacity, we develop a novel vertical partition algorithm to guarantee the independent computing on each partition so that the three computation processes, i.e., the computation on GPU, the data transmission between main memory of CPU and SSD, and the communication between the CPU and the GPU can be perfectly overlapped. Moreover, the $TC$TC-$Stream$Stream optimizes edge-iterator models and benefits from multi-thread parallelism. Extensive experiments conducted on large-scale datasets showed that the $TC$TC-$stream$stream running on a single Tesla V100 GPU performs $2.4-6\times$2.4-6× and $1.8-4.4\times$1.8-4.4× faster than the state-of-the-art single-machine in-memory triangle counting system and GPU-based triangle counting system, respectively, and achieves $2.4\times$2.4× faster than the state-of-the-art out-of-core distributed system PDTL running on an 8-node cluster when processing the graph data with 42.5 billion edges, which demonstrates the high performance and cost-effectiveness of the $TC$TC-$Stream$Stream."",""1558-2183"","""",""10.1109/TPDS.2021.3135329"",""National Natural Science Foundation of China(grant numbers:62062059,62162053,61762074)"; National Natural Science Foundation of Qinghai Province(grant numbers:2019-ZJ-7034); Qinghai University(grant numbers:2020-ZZ-03);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9650723"",""Triangle counting";vertical partition;out-of-core;GPU;"parallel processing"",""Graphics processing units";Instruction sets;Computer architecture;Parallel processing;Task analysis;Partitioning algorithms;"Data mining"","""",""4"","""",""73"",""IEEE"",""14 Dec 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"$TC-Stream$TC-Stream: Large-Scale Graph Triangle Counting on a Single Machine Using GPUs,""J. Huang"; H. Wang; X. Fei; X. Wang;" W. Chen"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Technology and Appications, Qinghai University, Qinghai, China;" Department of Information Technology Center, Qinghai University, Qinghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""25 May 2022"",""2022"",""33"",""11"",""3067"",""3078"",""In this paper, we build a $TC$TC-$Stream$Stream, a high-performance graph processing system specific for a triangle counting algorithm on graph data with up to tens of billions of edges, which significantly exceeds the device memory capacity of Graphics Processing Units (GPUs). The triangle counting problem is a broad research topic in data mining and social network analysis in the graph processing field. As the scale of the graph data grows, a portion of the graph data must be loaded iteratively. In the existing literature, graphs with billions of edges need to be done distributively, which is cost-intensive. Also, many disk-based triangle counting systems are proposed for CPU architectures, but their tackling performances are inefficient. To solve the above problem, we propose $TC$TC-$Stream$Stream, and it focuses on three issues: 1) For power-law graphs, because the amount of tasks of each vertex or edge is inconsistent, it is bound to cause different demands of computing and memory resources for different task types. We propose a parallel vertex approach and the reordering of vertices for graph data that can be placed in the GPU device memory to ensure the maximum workload balancing"; 2) A binary-search-based set intersection method is designed to achieve the maximum parallelism in GPU;" 3) For the graph data that exceeds the GPU device memory capacity, we develop a novel vertical partition algorithm to guarantee the independent computing on each partition so that the three computation processes, i.e., the computation on GPU, the data transmission between main memory of CPU and SSD, and the communication between the CPU and the GPU can be perfectly overlapped. Moreover, the $TC$TC-$Stream$Stream optimizes edge-iterator models and benefits from multi-thread parallelism. Extensive experiments conducted on large-scale datasets showed that the $TC$TC-$stream$stream running on a single Tesla V100 GPU performs $2.4-6\times$2.4-6× and $1.8-4.4\times$1.8-4.4× faster than the state-of-the-art single-machine in-memory triangle counting system and GPU-based triangle counting system, respectively, and achieves $2.4\times$2.4× faster than the state-of-the-art out-of-core distributed system PDTL running on an 8-node cluster when processing the graph data with 42.5 billion edges, which demonstrates the high performance and cost-effectiveness of the $TC$TC-$Stream$Stream."",""1558-2183"","""",""10.1109/TPDS.2021.3135329"",""National Natural Science Foundation of China(grant numbers:62062059,62162053,61762074)"; National Natural Science Foundation of Qinghai Province(grant numbers:2019-ZJ-7034); Qinghai University(grant numbers:2020-ZZ-03);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9650723"",""Triangle counting";vertical partition;out-of-core;GPU;"parallel processing"",""Graphics processing units";Instruction sets;Computer architecture;Parallel processing;Task analysis;Partitioning algorithms;"Data mining"","""",""4"","""",""73"",""IEEE"",""14 Dec 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Bayesian Approach To Distributed Anomaly Detection In Edge AI Networks,""M. Odiathevar"; W. K. G. Seah;" M. Frean"",""School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand"; School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand;" School of Engineering and Computer Science, Victoria University of Wellington, Wellington, New Zealand"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jun 2022"",""2022"",""33"",""12"",""3306"",""3320"",""The challenge of anomaly detection is to obtain an accurate understanding of expected behaviour which is intensified when the data are distributed heterogeneously. Transmitting raw data to a central site incurs high communication overhead and raises privacy issues. The concept of Edge AI allows computation to be performed at the edge site allowing for quick decision making in mission critical scenarios such as self-driving cars. A model is learnt locally and its parameters are transmitted and aggregated. However, existing methods of aggregation do not account for variance and heterogeneous distribution of data. They also do not consider edge constraints such as limited computational, memory and communication capabilities of edge devices. In this work, a fully Bayesian approach is employed by means of a Bayesian Random Vector Functional Link AutoEncoder being incorporated with Expectation Propagation for distributed training. Our anomaly detection system operates without any transmission of raw data, is robust under inhomogeneous network densities and under uneven and biased data distributions. It allows for asynchronous updates to converge in a few iterations and is a relatively simple neural network addressing edge constraints without compromising on performance as compared to existing more complex models."",""1558-2183"","""",""10.1109/TPDS.2022.3151853"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9714821"",""Anomaly detection";Bayesian;random vector functional link;expectation propagation;edge AI;"single layer feed-forward neural network"",""Bayes methods";Anomaly detection;Training;Image edge detection;Distributed databases;Data models;"Computational modeling"","""",""5"","""",""61"",""IEEE"",""16 Feb 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Bi-Objective Learn-and-Deploy Scheduling Method for Bursty and Stochastic Requests on Heterogeneous Cloud Servers,""X. Cai"; H. Xu; X. Li; K. Wang; L. Chen; R. R. García;" Q. Zhang"",""Key Laboratory of Intelligent Control and Optimization for Industrial Equipment of Ministry of Education (MOE), School of Control Science and Engineering, Dalian University of Technology, Dalian, Liaoning, China"; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, China; School of Computer Science and Engineering, Southeast University, Nanjing, Jiangsu, China; College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, China; School of Computer Science and Engineering, Southeast University, Nanjing, Jiangsu, China; Grupo de Sistemas de Optimización Aplicada, Universitat Politècnica de València, València, Spain;" Department of Computer Science, City University of Hong Kong, Kowloon, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Aug 2022"",""2022"",""33"",""12"",""4547"",""4562"",""In this article, we consider the dynamic allocation of bursty requests stochastically arriving at heterogeneous servers with uncertain setup times. Lower expected response time and less power consumption are desirable objectives of users and service providers respectively. However, sudden increase and decrease of cloud servers caused by bursty requests are rather challenging to get an appropriate trade-off between the two conflicting objectives which are closely related to the launched servers. The heterogeneity of the cloud servers further makes it more difficult to decide how to switch on and off servers and effectively and efficiently allocate bursty requests with balanced objectives. Based on a Markov decision process, a real-time bilevel decision-making model is constructed for unallocated requests which includes: whether to launch a server and which type of server to launch. A learn-and-deploy algorithm framework is proposed which contains two complementary stages. In the first stage, an effective offline bi-objective optimization algorithm is proposed to learn a set of policies, which provides helpful trade-off information for a decision-maker to choose a preferred policy a posteriori. In terms of the system status, a policy decides whether to launch a server according to a state-action table and which server to launch using a server priority sequence. In the second stage, a computationally efficient policy deployment method is proposed to search the corresponding action in the selected policy based on the current system status and apply it to the real-time system. Experimental studies over a large number of random and real instances have been conducted to validate the effectiveness of the proposed bilevel model and algorithm. Compared to the most recent existing method, the performance of the proposed approach can at most achieve an 80% improvement on power consumption and 20% improvement on response time."",""1558-2183"","""",""10.1109/TPDS.2022.3196475"",""Key-Area Research and Development Program of Guangdong Province(grant numbers:2021B0101200003)"; National Natural Science Foundation of China(grant numbers:62072234,61732006,61832004); Natural Science Foundation of Jiangsu Province of China(grant numbers:BK20181288); China Postdoctoral Science Foundation(grant numbers:2015M571751); Collaborative Innovation Center of Wireless Communications Technology; Spanish Ministry of Science, Innovation, and Universities(grant numbers:RTI2018-094940-B-I00);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857657"",""Cloud computing";bursty and stochastic requests;heterogeneous servers;multiobjective optimization;learn-and-deploy;Markov decision process;"dynamic programming"",""Servers";Cloud computing;Power demand;Optimization;Time factors;Analytical models;"Real-time systems"","""","""","""",""38"",""IEEE"",""16 Aug 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"A Bifactor Approximation Algorithm for Cloudlet Placement in Edge Computing,""D. Bhatta";" L. Mashayekhy"",""Department of Computer and Information Sciences, University of Delaware, Newark, DE, USA";" Department of Computer and Information Sciences, University of Delaware, Newark, DE, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Dec 2021"",""2022"",""33"",""8"",""1787"",""1798"",""Emerging applications with low-latency requirements such as real-time analytics, immersive media applications, and intelligent virtual assistants have rendered Edge Computing as a critical computing infrastructure. Existing studies have explored the cloudlet placement problem in a homogeneous scenario with different goals such as latency minimization, load balancing, energy efficiency, and placement cost minimization. However, placing cloudlets in a highly heterogeneous deployment scenario considering the next-generation 5G networks and IoT applications is still an open challenge. The novel requirements of these applications indicate that there is still a gap in ensuring low-latency service guarantees when deploying cloudlets. Furthermore, deploying cloudlets in a cost-effective manner and ensuring full coverage for all users in edge computing are other critical conflicting issues. In this article, we address these issues by designing a bifactor approximation algorithm to solve the heterogeneous cloudlet placement problem to guarantee a bounded latency and placement cost, while fully mapping user applications to appropriate cloudlets. We first formulate the problem as a multi-objective integer programming model and show that it is a computationally NP-hard problem. We then propose a bifactor approximation algorithm, ACP, to tackle its intractability. We investigate the effectiveness of ACP by performing extensive theoretical analysis and experiments on multiple deployment scenarios based on New York City OpenData. We prove that ACP provides a (2,4)-approximation ratio for the latency and the placement cost. The experimental results show that ACP obtains near-optimal results in a polynomial running time making it suitable for both short-term and long-term cloudlet placement in heterogeneous deployment scenarios."",""1558-2183"","""",""10.1109/TPDS.2021.3126256"",""National Science Foundation(grant numbers:CNS-1755913)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609538"",""Edge computing";cloudlets;placement cost;latency;full coverage;"approximation algorithm"",""Cloud computing";Costs;Approximation algorithms;Edge computing;Servers;Low latency communication;"Internet of Things"","""",""13"","""",""44"",""IEEE"",""9 Nov 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Block-Based Triangle Counting Algorithm on Heterogeneous Environments,""A. Yaşar"; S. Rajamanickam; J. W. Berry;" Ü. V. Çatalyürek"",""School of Computational Science and Engineering, Georgia Institute of Technology, Atlanta, GA, USA"; Center for Computing Research, Sandia National Laboratories, Albuquerque, USA; Center for Computing Research, Sandia National Laboratories, Albuquerque, USA;" School of Computational Science and Engineering, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2021"",""2022"",""33"",""2"",""444"",""458"",""Triangle counting is a fundamental building block in graph algorithms. In this article, we propose a block-based triangle counting algorithm to reduce data movement during both sequential and parallel execution. Our block-based formulation makes the algorithm naturally suitable for heterogeneous architectures. The problem of partitioning the adjacency matrix of a graph is well-studied. Our task decomposition goes one step further: it partitions the set of triangles in the graph. By streaming these small tasks to compute resources, we can solve problems that do not fit on a device. We demonstrate the effectiveness of our approach by providing an implementation on a compute node with multiple sockets, cores and GPUs. The current state-of-the-art in triangle enumeration processes the Friendster graph in 2.1 seconds, not including data copy time between CPU and GPU. Using that metric, our approach is 20 percent faster. When copy times are included, our algorithm takes 3.2 seconds. This is 5.6 times faster than the fastest published CPU-only time."",""1558-2183"","""",""10.1109/TPDS.2021.3093240"",""National Science Foundation(grant numbers:CCF-1919021)"; Sandia National Laboratories;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468328"",""Triangle counting";task-based;block-based;sub-graph;multi-core;"multi-GPU"",""Task analysis";Partitioning algorithms;Heuristic algorithms;Kernel;Hardware;Graphics processing units;"Ear"","""",""1"","""",""48"",""IEEE"",""29 Jun 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Decentralized Federated Learning Framework via Committee Mechanism With Convergence Guarantee,""C. Che"; X. Li; C. Chen; X. He;" Z. Zheng"",""School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China"; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, Guangdong, China;" School of Software Engineering, Sun Yat-sen University, Zhuhai, Guangdong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2022"",""2022"",""33"",""12"",""4783"",""4800"",""Federated learning allows multiple participants to collaboratively train an efficient model without exposing data privacy. However, this distributed machine learning training method is prone to attacks from Byzantine clients, which interfere with the training of the global model by modifying the model or uploading the false gradient. In this article, we propose a novel serverless federated learning framework Committee Mechanism based Federated Learning (CMFL), which can ensure the robustness of the algorithm with convergence guarantee. In CMFL, a committee system is set up to screen the uploaded local gradients. The committee system selects the local gradients rated by the elected members for the aggregation procedure through the selection strategy, and replaces the committee member through the election strategy. Based on the different considerations of model performance and defense, two opposite selection strategies are designed for the sake of both accuracy and robustness. Extensive experiments illustrate that CMFL achieves faster convergence and better accuracy than the typical Federated Learning, in the meanwhile obtaining better robustness than the traditional Byzantine-tolerant algorithms, in the manner of a decentralized approach. In addition, we theoretically analyze and prove the convergence of CMFL under different election and selection strategies, which coincides with the experimental results."",""1558-2183"","""",""10.1109/TPDS.2022.3202887"",""National Key R&D Program of China(grant numbers:2020YFB1006001)"; National Natural Science Foundation of China(grant numbers:62176269,62006252); Key-Area Research and Development Program of Guangdong Province(grant numbers:2020B010165003); Innovative Research Foundation of Ship General Performance(grant numbers:25622112);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9870745"",""Decentralized federated learning";committee mechanism;byzantine robustness;"theoretical convergence analysis"",""Servers";Convergence;Training;Hidden Markov models;Robustness;Collaborative work;"Voting"","""",""16"","""",""58"",""IEEE"",""31 Aug 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Fast $f(r,k+1)/k$f(r,k+1)/k-Diagnosis for Interconnection Networks Under MM* Model,""Y. Huang"; L. Lin;" S. -Y. Hsieh"",""College of Computer and Cyber Security, Fujian Normal University, Fuzhou, Fujian, China"; College of Computer and Cyber Security, Key Laboratory of Network Security and Cryptology, Fujian Normal University, Fuzhou, Fujian, China;" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Nov 2021"",""2022"",""33"",""7"",""1593"",""1604"",""Cyberspace is not a “vacuum space”, and it is normal that there are inevitable viruses and worms in cyberspace. Cyberspace security threats stem from the problem of endogenous security, which is caused by the incompleteness of theoretical system and technology of the information field itself. Thus it is impossible and unnecessary for us to build an “aseptic” cyberspace. On the contrast, we must focus on improving the “self-immunity” of network. Literally, endogenous security is an endogenous effect from its own structural factors rather than external ones. The $t/k$t/k-diagnosis strategy plays a very important role in measuring endogenous network security without prior knowledge, which can significantly enhance the self-diagnosing capability of network. As far as we know, few research involves $t/k$t/k-diagnosis algorithm and $t/k$t/k-diagnosability of interconnection networks under MM* model. In this article, we propose a fast $f(r,k+1)/k$f(r,k+1)/k-diagnosis algorithm of complexity $O(Nr^2)$O(Nr2), say $G$GMIS$k$kDIAGMM*, for a general $r$r-regular network $G$G under MM* model by designing a 0-comparison subgraph $M_0(G)$M0(G), where $N$N is the size of $G$G. We determine that the $t/k$t/k-diagnosability $(t(G)/k)^M$(t(G)/k)M of $G$G under MM* model is $f(r,k+1)$f(r,k+1) by $G$GMIS$k$kDIAGMM* algorithm. Moreover, we establish the $(t(G)/k)^M$(t(G)/k)M of some interconnection networks under MM* model, including BC networks, $(n,l)$(n,l)-star graph networks, and data center network DCells. Finally, we compare $(t(G)/k)^M$(t(G)/k)M with diagnosability, conditional diagnosability, pessimistic diagnosability, extra diagnosability, and good-neighbor diagnosability under MM* model. It can be seen that $(t(G)/k)^M$(t(G)/k)M is greater than other fault diagnosabilities in most cases."",""1558-2183"","""",""10.1109/TPDS.2021.3122440"",""National Natural Science Foundation of China(grant numbers:62102088,62171132,U1905211,61773415)"; Fok Ying Tung Education Foundation(grant numbers:171061); Natural Science Foundation of Fujian Province(grant numbers:2021J05228); Fujian University of Technology(grant numbers:GJ-YB-20-06);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9585362"",""Endogenous security";fault diagnosis;reliability; $t/k$    t / k     -diagnosability;interconnection networks;"MM* model"",""Security";Program processors;Cyberspace;Hypercubes;Data centers;Multiprocessing systems;"Computational modeling"","""",""3"","""",""37"",""IEEE"",""26 Oct 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Global Cost-Aware Container Scheduling Strategy in Cloud Data Centers,""S. Long"; W. Wen; Z. Li; K. Li; R. Yu;" J. Zhu"",""Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent network, Changsha, Hunan, China"; Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent network, Changsha, Hunan, China; Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent network, Changsha, Hunan, China; College of Information Science and Engineering, Hunan University, Changsha, Hunan, China; School of Automation, Guangdong University of Technology, Guangzhou, Guangdong, China;" Key Laboratory of Hunan Province for Internet of Things and Information Security, Hunan International Scientific and Technological Cooperation Base of Intelligent network, Changsha, Hunan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""25 May 2022"",""2022"",""33"",""11"",""2752"",""2766"",""Large-scale Internet applications running on data centers are typically instantiated as a set of containers. Assigning a container to its affinity machine can reduce communication and transport costs while assigning it to the anti-affinity machine may affect the proper operation of the container. Existing container scheduling methods cannot accommodate these two types of requirements. In order to reduce the operation and maintenance cost of data centers, this article focuses on the container instance allocation problem in heterogeneous server cluster, and proposes a global cost-aware scheduling algorithm (GCCS) to solve it. The purpose is to minimize the total power consumption of the cluster from a global perspective, while trying to meet the affinity/anti-affinity requirements of applications. We study the number of containers per server selected by the application, model it as an integer linear program (ILP), and then propose a heuristic search algorithm to repair the relaxation solution of the ILP into a suboptimal feasible solution. In particular, we use Bayesian optimizer to perform a number of automated development and exploration processes for the selection of the cost coefficient. The experiments are carried out with the best cost coefficient recommended by Bayesian optimizer. Finally, the results demonstrate that GCCS can significantly reduce the total power consumption of the cluster, while maintaining a high affinity satisfaction ratio."",""1558-2183"","""",""10.1109/TPDS.2021.3133868"",""National Natural Science Foundation of China(grant numbers:62172350,62032020,62172349,62076214)"; Hunan Province Department of Education(grant numbers:21B0120); Natural Science Foundation of Hunan Province(grant numbers:2021JJ40544); Hunan Science and Technology Planning(grant numbers:2019RS3019); Hunan Provincial Natural Science Foundation of China for Distinguished Young Scholars(grant numbers:2018JJ1025); Hunan Province Science and Technology(grant numbers:2018TP1036);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9645367"",""Container scheduling";Bayesian optimization;container-based clouds;power efficiency;"cost optimization"",""Containers";Costs;Cloud computing;Servers;Power demand;Data centers;"Scheduling"","""",""2"","""",""44"",""IEEE"",""10 Dec 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
