"A Comprehensive Performance Model of Sparse Matrix-Vector Multiplication to Guide Kernel Optimization,""T. Xia"; G. Fu; C. Li; Z. Luo; L. Zhang; R. Chen; W. Zhao; N. Zheng;" P. Ren"",""College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China"; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China; College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China;" College of Artificial Intelligence, Xi’an Jiaotong University, Xi’an, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Dec 2022"",""2023"",""34"",""2"",""519"",""534"",""Sparse Matrix-Vector Multiplication (SpMV) is important in scientific and industrial applications and remains a well-known challenge for modern CPUs due to high sparsity and irregularity. Many researchers try to improve SpMV performance by designing dedicated data formats and computation patterns. However, out-of-order superscalar CPUs have complex micro-architectures where exist complicated interactions and restrictions among software and hardware factors. It is hard to systematically study the effectiveness of optimization methods on the overall performance, as its benefits may be undermined by other factors. In this paper, we thoroughly study the execution of SpMV on modern CPUs and propose a comprehensive performance model to reveal the critical factors and their relationships. Specifically, we first study the coding characteristics of SpMV kernels to identify key factors worthy of attention. Then we model the execution of SpMV as two overlapped parts: CPU pipeline and memory latency. Both are carefully modeled with related hardware and software factors. We also model SIMD performance with the usage of specific SIMD instructions and vector registers. Experiments show that our model matches the actual execution of real-world processors. Guided by the model, we propose SpV8, a novel SpMV kernel that optimizes critical factors to improve computation efficiency and memory bandwidth. Experiments on Intel/AMD x86 and ARM AArch64 platforms show that SpV8 outperforms several state-of-the-art approaches with large margins, achieving average $3.4\times$3.4× over Intel Math Kernel Library and $1.4\times$1.4× over the best existing approach. Such results indicate that the proposed model is capable of valuable guidance for efficient SpMV optimizations."",""1558-2183"","""",""10.1109/TPDS.2022.3225230"",""National Key Research and Development Program of China(grant numbers:2021YFB0300900)"; National Natural Science Foundation of China(grant numbers:62088102); Key Research and Development Projects of Shaanxi Province(grant numbers:2022ZDLGY01-08);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964419"",""Optimization";performance model;sparse-vector matrix multiplication;"SIMD"",""Pipelines";Kernel;Sparse matrices;Computational modeling;Memory management;Software;"Optimization"","""",""1"","""",""29"",""IEEE"",""28 Nov 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"A Distributed Network-Based Runtime Verification of Full Regular Temporal Properties,""B. Yu"; C. Tian; X. Lu; N. Zhang;" Z. Duan"",""School of Computer Science and Technology, Xidian University, Xi’an, Shaanxi, China"; School of Computer Science and Technology, Xidian University, Xi’an, Shaanxi, China; School of Computer Science and Technology, Xidian University, Xi’an, Shaanxi, China; School of Computer Science and Technology, Xidian University, Xi’an, Shaanxi, China;" School of Computer Science and Technology, Xidian University, Xi’an, Shaanxi, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Nov 2022"",""2023"",""34"",""1"",""76"",""91"",""As a lightweight method, runtime verification aims to check whether one program execution satisfies a desired property. For online runtime verification, the approach efficiency and property expressiveness are two key points restricting its wide application. In this paper, we propose a distributed network-based parallel runtime verification approach to verifying full regular temporal properties for a suitable subset of C (named by Xd-C) programs in an online manner. With this approach, an Xd-C program is translated into an equivalent Modeling, Simulation and Verification Language (MSVL) program, and a desired property is specified as a Propositional Projection Temporal Logic (PPTL) formula";" during the program execution, segments of the generated state sequence are verified in parallel by distributed multi-core machines. Experimental results show that, our approach has a speedup of 2.5X-5.0X over the state-of-art runtime verification approaches and supports full regular temporal properties, meaning that our approach can not only take full advantage of computing and storage resources in a distributed network, but also support more expressive properties."",""1558-2183"","""",""10.1109/TPDS.2022.3215854"",""National Key Research and Development Program of China(grant numbers:2018AAA0103202)"; National Natural Science Foundation of China(grant numbers:62202361,62192734,61732013,62172322); Natural Science Basic Research Program of Shaanxi(grant numbers:2021JQ-208);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925650"",""C program";full regular property;runtime verification;parallelism;"distributed network"",""Runtime";Task analysis;Semantics;Monitoring;Arithmetic;Testing;"Syntactics"","""","""","""",""39"",""IEEE"",""20 Oct 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Framework for Mapping DRL Algorithms With Prioritized Replay Buffer Onto Heterogeneous Platforms,""C. Zhang"; Y. Meng;" V. Prasanna"",""Department of Computer Science, University of Southern California, Los Angeles, CA, USA"; Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA;" Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""15 May 2023"",""2023"",""34"",""6"",""1816"",""1829"",""Despite the recent success of Deep Reinforcement Learning (DRL) in self-driving cars, robotics and surveillance, training DRL agents takes tremendous amount of time and computation resources. In this article, we aim to accelerate DRL with Prioritized Replay Buffer due to its state-of-the-art performance on various benchmarks. The computation primitives of DRL with Prioritized Replay Buffer include environment emulation, neural network inference, sampling from Prioritized Replay Buffer, updating Prioritized Replay Buffer and neural network training. The speed of running these primitives varies for various DRL algorithms such as Deep Q Network and Deep Deterministic Policy Gradient. This makes a fixed mapping of DRL algorithms inefficient. In this work, we propose a framework for mapping DRL algorithms onto heterogeneous platforms consisting of a multi-core CPU, a GPU and a FPGA. First, we develop specific accelerators for each primitive on CPU, FPGA and GPU. Second, we relax the data dependency between priority update and sampling performed in the Prioritized Replay Buffer. By doing so, the latency caused by data transfer between GPU, FPGA and CPU can be completely hidden without sacrificing the rewards achieved by agents learned using the target DRL algorithms. Finally, given a DRL algorithm specification, our design space exploration automatically chooses the optimal mapping of various primitives based on an analytical performance model. On widely used benchmark environments, our experimental results demonstrate up to 997.3× improvement in training throughput compared with baseline mappings on the same heterogeneous platform. Compared with the state-of-the-art distributed Reinforcement Learning framework RLlib, we achieve 1.06$\times \sim$×∼ 1005× improvement in training throughput."",""1558-2183"","""",""10.1109/TPDS.2023.3264823"",""NSF(grant numbers:CNS-2009057,OAC-2209563)"; AMD Xilinx;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10093111"",""Deep reinforcement learning";design space exploration;FPGA;GPU;heterogeneous platform;"prioritized replay buffer"",""Training";Field programmable gate arrays;Graphics processing units;Neural networks;Data collection;Throughput;"Memory"","""","""","""",""33"",""IEEE"",""5 Apr 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"A General Approach to Generate Test Packets With Network Configurations,""Y. Li"; H. Zhang; J. Wang; Z. Wang; X. Yin; X. Shi;" J. Wu"",""Institute for Network Sciences, Cyberspace, Tsinghua University, Beijing, China"; Institute for Network Sciences, Cyberspace, Tsinghua University, Beijing, China; Institute for Network Sciences, Cyberspace, Tsinghua University, Beijing, China; Institute for Network Sciences, Cyberspace, Tsinghua University, Beijing, China; Department of Computer Science, Technology, Tsinghua University, Beijing, China; Institute for Network Sciences, Cyberspace, Tsinghua University, Beijing, China;" Department of Computer Science, Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Mar 2023"",""2023"",""34"",""4"",""1362"",""1375"",""The correctness and reliability of modern networks are often the greatest concerns. A myriad network events like software update, device crash and resource exhaustion, inevitably lead to liveness errors on data plane. This paper focuses on fault detection of the network data plane using test packets. Existing test packet generation techniques are limited in two aspects: i) it is difficult to collect the input data plane snapshot through SNMP or terminals ii) it may rise false negatives due to inconsistent snapshot. In this paper, we propose a new framework, SWIFT, that automatically generates test packets with network configurations. SWIFT minimizes the number of test packets by allowing a packet to go through multiple links or interfaces. For network updates, SWIFT updates test packets in an incremental way to revalidate the network. We evaluate its performance using hundreds of benchmark network configurations. The results show that it takes few seconds to generate test packets to exercise all links and interfaces, and updates the test packets in few seconds for configuration changes. We also deployed a SWIFT prototype in a university network, and successfully detected many network outages."",""1558-2183"","""",""10.1109/TPDS.2023.3241433"",""National Science Foundation(grant numbers:62102020)"; National Key Research and Development Program of China(grant numbers:2020YFE0200500); National Science Foundation(grant numbers:62002009);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10035502"",""Network Configurations";Abstract Representation;Test Packets;Network Reliability;"Network Management"",""Routing protocols";Routing;Probes;Software;Hardware;Costs;"Computer bugs"","""","""","""",""40"",""IEEE"",""2 Feb 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A Low-Memory Community Detection Algorithm With Hybrid Sparse Structure and Structural Information for Large-Scale Networks,""W. Zhu"; Y. Sun; R. Fang;" B. Xu"",""Key Laboratory of Big Data & Artificial Intelligence in Transportation, Ministry of Education, and School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China"; Key Laboratory of Big Data & Artificial Intelligence in Transportation, Ministry of Education, and School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; Key Laboratory of Big Data & Artificial Intelligence in Transportation, Ministry of Education, and School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China;" Key Laboratory of Big Data & Artificial Intelligence in Transportation, Ministry of Education, and School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Aug 2023"",""2023"",""34"",""10"",""2671"",""2683"",""Community detection plays an essential role in the domains of social, bioinformatics, and e-commerce. The innovative structural information theory (SInfo, introduced by Li et al.) has achieved excellent performance for network analysis. Nevertheless, similar to traditional network algorithms, the SInfo algorithm will exhaust all system memory resources when processing large-scale networks based on adjacency data structures. Moreover, due to the irregular and sequential characteristics, the SInfo algorithm is challenging to parallelize. In this article, we propose a hybrid sparse data structure and design a low-memory community detection algorithm based on structural information theory (HSSInfo), which shrinks memory requirements and achieves high parallelism. Specifically, we first propose a general quantization method to quantify the information change in community transformation, with which community inner and outer connection complexity can be semantically interpreted. Second, we design a general hybrid sparse structure to store network data among CPU and GPU, which can reduce memory resource consumption for community detection on large-scale networks. Finally, we develop an HSSInfo algorithm based on the quantization method and hybrid sparse structure, in which parallelism intersection and community fusion algorithms are employed to improve parallel scalability. We execute the comparison experiments for HSSInfo and eleven baseline algorithms on nine real-world datasets. Empirically, HSSInfo can achieve orders of magnitude speedups and extend structural information theory to large-scale datasets of billions of edges. Meanwhile, compared with various community detection algorithms, HSSInfo can achieve higher or similar accuracy with up to 19x memory shrinkage ratio."",""1558-2183"","""",""10.1109/TPDS.2023.3277885"",""National Key R&D Program of China(grant numbers:2021ZD0113002)"; National Natural Science Foundation of China(grant numbers:62072292,61572005,61771058); Fundamental Research Funds for the Central Universities(grant numbers:2020YJS032);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10129834"",""Community detection";hybrid sparse structure;structural information theory;social networks;"parallel algorithms"",""Graphics processing units";Information theory;Schedules;Quantization (signal);Memory management;Image edge detection;"Data mining"","""","""","""",""39"",""IEEE"",""19 May 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"A Memory-Constraint-Aware List Scheduling Algorithm for Memory-Constraint Heterogeneous Muti-Processor System,""Y. Yao"; Y. Song; Y. Huang; W. Ni;" D. Zhang"",""School of Microelectronics, Hefei University of Technology, Hefei, Anhui, China"; School of Microelectronics, Hefei University of Technology, Hefei, Anhui, China; School of Microelectronics, Hefei University of Technology, Hefei, Anhui, China; School of Microelectronics, Hefei University of Technology, Hefei, Anhui, China;" School of Microelectronics, Hefei University of Technology, Hefei, Anhui, China"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Mar 2023"",""2023"",""34"",""4"",""1082"",""1099"",""An effective scheduling algorithm is vital for the execution efficiency of applications on Heterogeneous Muti-Processor System (HMPS), especially Memory-Constraint Heterogeneous Muti-Processor System (MCHMPS). Stringent local and external memory constraints have significant impact on the execution performance of applications executed on MCHMPS, predictability is also a critical factor for task scheduling on MCHMPS. Therefore, a novel list scheduling algorithm termed Memory-constraint-aware Improved Predict Priority and Optimistic Processor Selection Scheduling (MIPPOSS), essentially a heuristic search optimization algorithm, is proposed in this paper. In MIPPOSS, a predictive approach is applied for task prioritization and processor selection, and a novel memory-constraint-aware approach is employed in the processor selection phase. MIPPOSS has polynomial complexity and produces better results for application scheduling on target architecture. Randomly generated DAGs and 3 real-world applications experiments, including Cybershake, LIGO, and Montage, show that MIPPOSS outperforms the other five competing algorithms by a large margin."",""1558-2183"","""",""10.1109/TPDS.2022.3229373"",""University Synergy Innovation Program of Anhui Province(grant numbers:GXXT-2019-030)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9987695"",""Heterogeneous systems";memory constraints;parallel computing;"list scheduling"",""Task analysis";Scheduling;Memory management;Costs;Computational modeling;Scheduling algorithms;"Time complexity"","""","""","""",""33"",""IEEE"",""15 Dec 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"A Multi-GPU Aggregation-Based AMG Preconditioner for Iterative Linear Solvers,""M. Bernaschi"; A. Celestini; F. Vella;" P. D'Ambra"",""Institute for Applied Computing (IAC) - CNR, Rome, Italy"; Institute for Applied Computing (IAC) - CNR, Rome, Italy; University of Trento, Trento, Italy;" Institute for Applied Computing (IAC) - CNR, Naples, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Jun 2023"",""2023"",""34"",""8"",""2365"",""2376"",""We present and release in open source format a sparse linear solver which efficiently exploits heterogeneous parallel computers. The solver can be easily integrated into scientific applications that need to solve large and sparse linear systems on modern parallel computers made of hybrid nodes hosting Nvidia Graphics Processing Unit (GPU) accelerators. The work extends previous efforts of some of the authors in the exploitation of a single GPU accelerator and proposes an implementation, based on the hybrid MPI-CUDA software environment, of a Krylov-type linear solver relying on an efficient Algebraic MultiGrid (AMG) preconditioner already available in the BootCMatchG library. Our design for the hybrid implementation has been driven by the best practices for minimizing data communication overhead when multiple GPUs are employed, yet preserving the efficiency of the GPU kernels. Strong and weak scalability results of the new version of the library on well-known benchmark test cases are discussed. Comparisons with the Nvidia AmgX solution show a speedup, in the solve phase, up to 2.0x."",""1558-2183"","""",""10.1109/TPDS.2023.3287238"",""EC"; Towards EXtreme scale Technologies and Accelerators for euROhpc hw/Sw Supercomputing Applications for exascale; Horizon 2020 Program for Research and Innovation(grant numbers:956831); Indam GNCS Project 2022(grant numbers:CUP_E55F22000270001); European Commission; NextGenerationEU;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10155151"",""GPU accelerators";heterogeneous computing;iterative sparse linear solvers;parallel numerical algorithms;"scalability"",""Sparse matrices";Graphics processing units;Scalability;Linear systems;Iterative methods;Convergence;"Linear accelerators"","""","""","""",""36"",""IEEE"",""19 Jun 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"A Novel Compute-Efficient Tridiagonal Solver for Many-Core Architectures,""K. Liu";" W. Xue"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China";" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""21 Nov 2022"",""2023"",""34"",""1"",""195"",""206"",""The tridiagonal solver is an important kernel and is widely supported in mainstream numerical libraries. While parallel algorithms have been studied for many-core architectures, the performance of current algorithms and implementations is still hindered by input size sensitivity and cross-platform portability. In this paper, we propose a novel algorithm WM-pGE for the batched solution of diagonally dominant tridiagonal systems. The algorithm balances the key design objectives, including computation complexity, memory complexity, parallelism, and input size sensitivity, better than existing algorithms. Moreover, an elegant formulation is presented to show the implementation and cross-platform optimization without loss of efficiency and generality, by extracting the platform-dependent works into only four vector operators. The results from our batched tridiagonal experiments show that the proposed algorithm outperforms the prior work PCR-pThomas by 25% and 12% on NVIDIA Tesla V100 in single and double precision, respectively. On Intel KNL, our method achieves a 10% improvement in performance over PCR-pThomas in double precision."",""1558-2183"","""",""10.1109/TPDS.2022.3214762"",""Science and Technology Project of State Grid(grant numbers:5100-202055002A-0-0-00)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919397"",""Parallel numerical algorithm";Tridiagonal solver;batched Tridiagonal solver;"many-core architectures"",""Computer architecture";Layout;Sensitivity;Parallel algorithms;Heuristic algorithms;Graphics processing units;"Computational complexity"","""",""1"","""",""38"",""IEEE"",""14 Oct 2022"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Novel Integrated Simulation Framework for Cyber-Physical Systems Modelling,""N. Tampouratzis"; P. Mousouliotis;" I. Papaefstathiou"",""Laboratory of Computer Systems Architecture, Aristotle University of Thessaloniki, Thessaloniki, Greece"; Laboratory of Computer Systems Architecture, Aristotle University of Thessaloniki, Thessaloniki, Greece;" Laboratory of Computer Systems Architecture, Aristotle University of Thessaloniki, Thessaloniki, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Aug 2023"",""2023"",""34"",""10"",""2684"",""2698"",""The growing use of Cyber-Physical Systems (CPS) in a plethora of domains (e.g. healthcare, industry, smart homes, transportation, etc.) triggers an urgent demand for simulation frameworks that can simulate in an integrated manner all the components (i.e. CPUs, Memories, Networks, Physical Environment) of a system-under-design(SuD). By utilizing such a simulator, software design can proceed in parallel with physical development which results in the reduction of the so important time-to-market. The main problem, however, is that currently there is a shortage of such simulation frameworks"; most simulators used for modelling the digital aspects of CPS applications (i.e. full-system CPU/Mem/Peripheral simulators) lack any support of the CPS physical aspects and vice versa. The presented fully-distributed simulation framework (APOLLON) is the first known open-source, high-performance simulator that can handle holistically complex CPSs including processors, peripherals, networks and physical aspects of them. APOLLON is an extension of the COSSIM simulation framework and it integrates, in a novel and efficient way, a combined processing and network simulator with the widely-used Ptolemy physical simulator, in a transparent way. Our highly integrated approach is further augmented with Machine Learning capabilities by implementing Long Short-Term Memory (LSTM) and Gated Recurrent Unit (GRU) recurrent neural networks in both the Cyber and Physical domains, enabling users to develop their complex recurrent neural networks significantly fast and accurately. APOLLON has been evaluated when executing a number of benchmarks and real-world use cases;" the end results demonstrate that the presented approach has up to 99% accuracy in the reported SuD aspects."",""1558-2183"","""",""10.1109/TPDS.2023.3300081"",""Greece and the European Union"; Operational Programme “Human Resources Development; Education and Lifelong Learning; Reinforcement of Postdoctoral Researchers - 2nd Cycle(grant numbers:MIS5033021); State Scholarships Foundation (IKY) for the author Nikolaos Tampouratzis; Hellenic Foundation for Research and Innovation; First Call for H.F.R.I. Research Projects to support Faculty members and Researchers(grant numbers:2198); Panagiotis Mousouliotis and Ioannis Papaefstathiou until 29/6/2023; Operational Program Competitiveness, Entrepreneurship and Innovation; RESEARCH-CREATE-INNOVATE(grant numbers:T2EDK-03595); Ioannis Papaefstathiou;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10197534"",""Cyber-physical system simulator";distributed systems simulator;integrated simulator;"machine learning"",""Protocols";Wireless sensor networks;Synchronization;Operating systems;Mathematical models;Estimation;"Recurrent neural networks"","""","""","""",""33"",""IEEE"",""31 Jul 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"A Novel Parallel Algorithm for Sparse Tensor Matrix Chain Multiplication via TCU-Acceleration,""H. Wang"; W. Yang; R. Hu; R. Ouyang; K. Li;" K. Li"",""College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China"; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China;" College of Computer Science and Electronic Engineering, Hunan University, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jul 2023"",""2023"",""34"",""8"",""2419"",""2432"",""Analysis of multi-dimensional data, especially tensor decomposition, which extracts latent information, is becoming considerably popular. Although multi-dimensional sparse data is typically processed on multi-core processors, developing highly optimized GPU-based Sparse Tensor Matrix Chain Multiplication (SpTMCM) is challenging. The purpose of this paper is to investigate a novel approach named SpTMCM and to explore the discovery of SpTMCM coupled with the emerging computing core, Tensor Core Unit (TCU). In contrast to prior work, the proposed novel approach enables a uniform storage format and optimization approach for SpTMCM. We design a hybrid tensor format based on multi-dimensional tiling that divides the tensor depending on the tile threshold to address the inefficient memory accesses caused by the irregular nonzero distribution of the sparse tensor. Further, we develop a TCU-based tensor parallel algorithm with our novel approach to increase the memory bandwidth. Compared to state-of-the-art works, our method achieves $1.16\sim 24.12\times$1.16∼24.12× speedup for SpMTTKRP and $5.07\sim 7.15\times$5.07∼7.15× speedup for SpTTMChain across NVIDIA A100 GPU on a range of real-world sparse tensors."",""1558-2183"","""",""10.1109/TPDS.2023.3288520"",""Key-Area Research and Development Program of Guangdong Province(grant numbers:2021B0101190004)"; National Key R&D Program of China(grant numbers:2021YFB0300800); Key Program of the National Natural Science Foundation of China(grant numbers:U21A20461,92055213); Research Innovation Project for Postgraduate Students of Hunan Province(grant numbers:CX20220412); National Natural Science Foundation of China(grant numbers:61872127);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10159508"",""GPU";hybrid format;parallel performance;SpMTTKRP;SpTTMChain;sparse tensor;"tensor core"",""Tensors";Graphics processing units;Parallel algorithms;Sparse matrices;Symbols;Optimization;"Indexes"","""",""1"","""",""38"",""IEEE"",""22 Jun 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A Parallel Algorithm to Accelerate DEVS Simulations in Shared Memory Architectures,""G. G. Trabes"; G. A. Wainer;" V. Gil-Costa"",""Department of Systems and Computing Engineering, Carleton University, Ottawa, ON, Canada"; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada;" National University of San Luis and CCT CONICET, San Luis, Argentina"",""IEEE Transactions on Parallel and Distributed Systems"",""31 Mar 2023"",""2023"",""34"",""5"",""1609"",""1620"",""We propose a new algorithm for the execution of Discrete Event System Specification (DEVS) simulations on parallel shared memory architectures. Our approach executes parallel discrete-event simulations by executing all tasks in the PDEVS simulation protocol in parallel. The algorithm works by distributing the computations among different cores on shared memory architectures. To show the benefits of our algorithm, we present the results of a set of experiments using a synthetic benchmark and a real-world scenario using two independent computer architectures. The results obtained show how our algorithm accelerates simulations up to eight times, improving previous approaches. In addition, we show that our approach scales when we increase the number of CPU-cores used."",""1558-2183"","""",""10.1109/TPDS.2023.3256083"",""NSERC Canada";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10068737"",""Discrete-event";parallel algorithms;simulation;"shared memory"",""Computational modeling";Protocols;Synchronization;Cadmium;Task analysis;Approximation algorithms;"Software algorithms"","""","""","""",""34"",""IEEE"",""14 Mar 2023"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
